perseus_id	perseus_author	author_impact_date	wikidata_work_label	perseus_title	genre	form_of_creative_work	instance_of	is_mythological	mythological_reason
tlg0010.tlg008	Isocrates	-400	Against the Sophists	Against the Sophists			literary work, oration	0	This is a philosophical treatise addressing contemporary sophists and educational practices.
tlg0010.tlg015	Isocrates	-400	Evagoras	Evagoras			literary work	0	This is an encomium for Evagoras I, a contemporary Cypriot king, not a mythological figure.
tlg0010.tlg012	Isocrates	-400	Plataicus	Plataicus			literary work, oration	0	This oration likely deals with contemporary political or historical events related to Plataea.
tlg0010.tlg024	Isocrates	-400	Archidamus	Letter 9. To Archidamus			literary work	0	This is an oration concerning Archidamus III, a contemporary Spartan king, not a mythological figure.
tlg0010.tlg022	Isocrates	-400	To Dionysius	Letter 1. To Dionysius			letter, literary work	0	This is a letter addressed to Dionysius I of Syracuse, a contemporary ruler.
tlg0010.tlg013	Isocrates	-400	To Nicocles	To Nicocles			literary work, oration	0	This is an oration offering advice to Nicocles, a contemporary Cypriot ruler.
tlg0010.tlg014	Isocrates	-400	Nicocles	Nicocles or the Cyprians	treatise	prose	translated work, literary work	0	This treatise is addressed to Nicocles, a contemporary Cypriot ruler, offering advice on governance.
tlg0010.tlg003	Isocrates	-400	Against Lochites	Against Lochites			literary work, oration	0	This is a forensic oration dealing with a contemporary legal case.
tlg0010.tlg005	Isocrates	-400	Trapeziticus	Trapeziticus			literary work, oration	0	This is a forensic oration dealing with a contemporary legal case involving banking.
tlg0010.tlg002	Isocrates	-400	Against Callimachus	Against Callimachus			literary work, oration	0	This is a forensic oration dealing with a contemporary legal case.
tlg0010.tlg011	Isocrates	-400	Panegyricus	Panegyricus	panegyric		literary work, oration	0	This is a panegyric advocating for contemporary Greek unity against Persia.
tlg0010.tlg016	Isocrates	-400	Archidamus	Archidamus			literary work	0	This is an oration concerning Archidamus III, a contemporary Spartan king, not a mythological figure.
tlg0010.tlg029	Isocrates	-400	To Antipater	Letter 4. To Antipater			letter, literary work	0	This is a letter addressed to Antipater, a contemporary Macedonian general.
tlg0010.tlg020	Isocrates	-400	Philip	To Philip			literary work	0	This is an oration addressed to Philip II of Macedon, a contemporary ruler.
tlg0010.tlg027	Isocrates	-400	Philip	Letter 2. To Philip, I			literary work	0	This is an oration addressed to Philip II of Macedon, a contemporary ruler.
tlg0010.tlg018	Isocrates	-400	Areopagiticus	Areopagiticus			literary work, oration	0	This oration discusses contemporary Athenian political institutions and reforms.
tlg0010.tlg026	Isocrates	-400	To Timotheus	Letter 7. To Timotheus			letter, literary work	0	This is a letter addressed to Timotheus, a contemporary Athenian general.
tlg0010.tlg019	Isocrates	-400	Antidosis	Antidosis			oration, literary work	0	This is a defense speech concerning Isocrates' own contemporary legal and educational practices.
tlg0010.tlg021	Isocrates	-400	Panathenaicus	Panathenaicus			literary work, oration	0	This oration praises Athens and its contemporary achievements, though it may reference historical events.
tlg0010.tlg017	Isocrates	-400	On the peace	On the Peace			literary work, oration	0	This oration discusses contemporary political issues and advocates for peace among Greek states.
tlg0010.tlg028	Isocrates	-400	To Alexander	Letter 5. To Alexander			letter, literary work	0	This is a letter addressed to Alexander the Great, a contemporary figure.
tlg0010.tlg010	Isocrates	-400	Busiris	Busiris			literary work	1	This work is an encomium on Busiris, a legendary Egyptian king from Greek mythology.
tlg0010.tlg004	Isocrates	-400	On the Team of Horses	Concerning the Team of Horses			literary work, oration	0	This is a forensic oration dealing with a contemporary legal dispute over a team of horses.
tlg0010.tlg025	Isocrates	-400	To the kings of the Mytilenians	Letter 8. To the Rulers of the Mytilenaeans			letter, literary work	0	This is a letter addressed to contemporary rulers of Mytilene.
tlg0010.tlg023	Isocrates	-400	To the sons of Jason	Letter 6. To the Children of Jason			letter, literary work	0	This is a letter addressed to the sons of Jason of Pherae, contemporary figures.
tlg0011.tlg007	Sophocles	-460	Oedipus at Colonus	Oedipus at Colonus	Greek tragedy	play	dramatic work	1	Greek tragedies like 'Oedipus at Colonus' are set in the legendary past and deal with mythological figures.
tlg0011.tlg001	Sophocles	-460	Trachiniae	Trachiniae	Greek tragedy	play	dramatic work	1	Greek tragedies like 'Trachiniae' are set in the legendary past and deal with mythological figures.
tlg0011.tlg006	Sophocles	-460	Philoctetes	Philoctetes	Greek tragedy	play	dramatic work	1	Greek tragedies like 'Philoctetes' are set in the legendary past and deal with mythological figures.
tlg0011.tlg003	Sophocles	-460	Ajax	Ajax	Greek tragedy	play	dramatic work	1	Greek tragedies like 'Ajax' are set in the legendary past and deal with mythological figures.
tlg0011.tlg005	Sophocles	-460	Electra	Electra	Greek tragedy, thriller	play	dramatic work	1	Greek tragedies like 'Electra' are set in the legendary past and deal with mythological figures.
tlg0011.tlg002	Sophocles	-460	Antigone	Antigone	Greek tragedy	play	dramatic work	1	Greek tragedies like 'Antigone' are set in the legendary past and deal with mythological figures.
tlg0011.tlg004	Sophocles	-460	Oedipus Rex	Oedipus Tyrannus	Greek tragedy	play	dramatic work	1	Greek tragedies like 'Oedipus Rex' are set in the legendary past and deal with mythological figures.
tlg0011.tlg008	Sophocles	-460	Trachinki	Tracking Satyrs			version, edition or translation	1	'Trachinki' is likely a variant of 'Trachiniae', a Greek tragedy set in the legendary past.
tlg0012.tlg001	Homer	-750	Iliad	Iliad	epic poem	long poem	literary work, oral poetry	1	Homer's 'Iliad' is an epic poem set in the Heroic Age, dealing with mythological events and figures.
tlg0012.tlg003	Homer	-750	Epigrams	Epigrams		poetry collection	literary work	1	Homeric epigrams, if authentic, would likely deal with mythological themes or figures, consistent with Homer's other works.
tlg0012.tlg002	Homer	-750	Odyssey	Odyssey	epic poem		literary work	1	Homer's 'Odyssey' is an epic poem set in the Heroic Age, dealing with mythological events and figures.
tlg0014.tlg054	Demosthenes	-348	Against Conon	Against Conon			literary work, oration	0	Demosthenes' orations, such as 'Against Conon', address contemporary legal and political issues.
tlg0014.tlg053	Demosthenes	-348	Against Nicostratus	Apollodorus Against Nicostratus			literary work, oration	0	Demosthenes' orations, such as 'Against Nicostratus', address contemporary legal and political issues.
tlg0014.tlg062	Demosthenes	-348	Exordia	Exordia			written work, group of literary works	0	Demosthenes' 'Exordia' are introductions to orations, which would address contemporary issues.
tlg0014.tlg009	Demosthenes	-348	Third Philippic	Third Philippic			literary work, oration	0	Demosthenes' 'Third Philippic' is a political oration addressing contemporary threats from Philip II of Macedon.
tlg0014.tlg036	Demosthenes	-348	For Phormion	For Phormio			literary work, oration	0	Demosthenes' orations, such as 'For Phormion', address contemporary legal and political issues.
tlg0014.tlg031	Demosthenes	-348	Against Onetor I	Against Onetor II			literary work, oration	0	Demosthenes' orations, such as 'Against Onetor I', address contemporary legal and political issues.
tlg0014.tlg038	Demosthenes	-348	Against Nausimachus and Xenopeithes	Against Nausimachus and Xenopeithes			literary work, oration	0	Demosthenes' orations, such as 'Against Nausimachus and Xenopeithes', address contemporary legal and political issues.
tlg0014.tlg063	Demosthenes	-348	Letters	Letters			correspondence, written work	0	Demosthenes' 'Letters' would address contemporary events and personal communications.
tlg0014.tlg055	Demosthenes	-348	Against Callicles	Against Callicles			literary work, oration	0	Demosthenes' orations, such as 'Against Callicles', address contemporary legal and political issues.
tlg0014.tlg039	Demosthenes	-348	Against Boeotus	Against Boeotus I			group of literary works	0	Demosthenes' orations, such as 'Against Boeotus', address contemporary legal and political issues.
tlg0014.tlg006	Demosthenes	-348	Philippic	Second Philippic	apologia, philippic		group of literary works	0	Demosthenes' 'Philippic' orations address contemporary political issues and threats from Philip II of Macedon.
tlg0014.tlg030	Demosthenes	-348	Against Onetor I	Against Onetor I			literary work, oration	0	Demosthenes' orations, such as 'Against Onetor I', address contemporary legal and political issues.
tlg0014.tlg008	Demosthenes	-348	On the Chersonese	On the Chersonese			literary work, oration	0	Demosthenes' orations, such as 'On the Chersonese', address contemporary political and military issues.
tlg0014.tlg037	Demosthenes	-348	Against Pantaenetus	Against Pantaenetus			literary work, oration	0	Demosthenes' orations, such as 'Against Pantaenetus', address contemporary legal and political issues.
tlg0014.tlg024	Demosthenes	-348	Against Timocrates	Against Timocrates			literary work, oration	0	Demosthenes' orations, including 'Against Timocrates', address contemporary legal and political issues of his time.
tlg0014.tlg023	Demosthenes	-348	Against Aristocrates	Against Aristocrates			literary work, oration	0	Demosthenes' orations, including 'Against Aristocrates', address contemporary legal and political issues of his time.
tlg0014.tlg048	Demosthenes	-348	Against Olympiodorus	Against Olympiodorus			literary work, oration	0	Demosthenes' orations, including 'Against Olympiodorus', address contemporary legal and political issues of his time.
tlg0014.tlg041	Demosthenes	-348	Against Spudias	Against Spudias			oration, literary work	0	Demosthenes' orations, including 'Against Spudias', address contemporary legal and political issues of his time.
tlg0014.tlg022	Demosthenes	-348	Against Androtion	Against Androtion			oration, literary work	0	Demosthenes' orations, including 'Against Androtion', address contemporary legal and political issues of his time.
tlg0014.tlg025	Demosthenes	-348	Against Aristogeiton	Against Aristogeiton I			group of literary works	0	Demosthenes' orations, including 'Against Aristogeiton', address contemporary legal and political issues of his time.
tlg0014.tlg014	Demosthenes	-348	On the Navy	On the Navy-Boards			literary work, oration	0	Demosthenes' orations, including 'On the Navy', address contemporary legal and political issues of his time.
tlg0014.tlg040	Demosthenes	-348	Against Boeotus	Against Boeotus II			group of literary works	0	Demosthenes' orations, including 'Against Boeotus', address contemporary legal and political issues of his time.
tlg0014.tlg049	Demosthenes	-348	Against Timotheus	Apollodorus Against Timotheus			oration, literary work	0	Demosthenes' orations, including 'Against Timotheus', address contemporary legal and political issues of his time.
tlg0014.tlg032	Demosthenes	-348	Against Zenothemis	Against Zenothemis			literary work, oration	0	Demosthenes' orations, including 'Against Zenothemis', address contemporary legal and political issues of his time.
tlg0014.tlg035	Demosthenes	-348	Against Lacritus	Against Lacritus			literary work, oration	0	Demosthenes' orations, including 'Against Lacritus', address contemporary legal and political issues of his time.
tlg0014.tlg004	Demosthenes	-348	Philippic	First Philippic	apologia, philippic		group of literary works	0	Demosthenes' 'Philippic' orations address contemporary political issues and conflicts with Philip II of Macedon.
tlg0014.tlg050	Demosthenes	-348	Against Polycles	Apollodorus Against Polycles			oration, literary work	0	Demosthenes' orations, including 'Against Polycles', address contemporary legal and political issues of his time.
tlg0014.tlg057	Demosthenes	-348	Against Eubulides	Against Eubulides			literary work, oration	0	Demosthenes' orations, including 'Against Eubulides', address contemporary legal and political issues of his time.
tlg0014.tlg005	Demosthenes	-348	On the Peace	On the Peace			literary work, oration	0	Demosthenes' orations, including 'On the Peace', address contemporary legal and political issues of his time.
tlg0014.tlg034	Demosthenes	-348	Against Phormio	Against Phormio			literary work, oration	0	Demosthenes' orations, including 'Against Phormio', address contemporary legal and political issues of his time.
tlg0014.tlg058	Demosthenes	-348	Against Theocrines	Against Theocrines			literary work, oration	0	Demosthenes' orations, including 'Against Theocrines', address contemporary legal and political issues of his time.
tlg0014.tlg056	Demosthenes	-348	Against Dionysodorus	Against Dionysodorus			literary work, oration	0	Demosthenes' orations, including 'Against Dionysodorus', address contemporary legal and political issues of his time.
tlg0014.tlg051	Demosthenes	-348	On the Trierarchic Crown	On The Trierarchic Crown			literary work, oration	0	Demosthenes' orations, including 'On the Trierarchic Crown', address contemporary legal and political issues of his time.
tlg0014.tlg029	Demosthenes	-348	Against Aphobus I	Against Aphobus III			oration, literary work	0	Demosthenes' orations, including 'Against Aphobus I', address contemporary legal and political issues of his time.
tlg0014.tlg020	Demosthenes	-348	Against Leptines	Against Leptines			literary work, oration	0	Demosthenes' orations, including 'Against Leptines', address contemporary legal and political issues of his time.
tlg0014.tlg027	Demosthenes	-348	Against Aphobus I	Against Aphobus I			oration, literary work	0	Demosthenes' orations, including 'Against Aphobus I', address contemporary legal and political issues of his time.
tlg0014.tlg018	Demosthenes	-348	On the Crown	On the Crown			literary work, oration	0	Demosthenes' 'On the Crown' addresses contemporary political events and his own actions in Athens.
tlg0014.tlg044	Demosthenes	-348	Against Leochares	Against Leochares			literary work, oration	0	Demosthenes' orations, including 'Against Leochares', address contemporary legal and political issues of his time.
tlg0014.tlg043	Demosthenes	-348	Against Macartatus	Against Macartatus			literary work, oration	0	Demosthenes' orations, including 'Against Macartatus', address contemporary legal and political issues of his time.
tlg0014.tlg026	Demosthenes	-348	Against Aristogeiton	Against Aristogeiton II			group of literary works	0	Demosthenes' orations, including 'Against Aristogeiton', deal with contemporary legal and political issues in 4th-century BCE Athens.
tlg0014.tlg021	Demosthenes	-348	Against Meidias	Against Meidias			literary work, oration	0	Demosthenes' orations, including 'Against Meidias', deal with contemporary legal and political issues in 4th-century BCE Athens.
tlg0014.tlg028	Demosthenes	-348	Against Aphobus I	Against Aphobus II			oration, literary work	0	Demosthenes' orations, including 'Against Aphobus I', deal with contemporary legal and political issues in 4th-century BCE Athens.
tlg0014.tlg010	Demosthenes	-348	Philippic	Fourth Philippic	apologia, philippic		group of literary works	0	Demosthenes' 'Philippic' orations address contemporary political threats from Philip II of Macedon.
tlg0014.tlg052	Demosthenes	-348	Against Callippus	Apollodorus Against Callipus			oration, literary work	0	Demosthenes' orations, including 'Against Callippus', deal with contemporary legal and political issues in 4th-century BCE Athens.
tlg0014.tlg015	Demosthenes	-348	On the Liberty of the Rhodians	For the Liberty of the Rhodians			literary work, oration	0	Demosthenes' orations, including 'On the Liberty of the Rhodians', deal with contemporary legal and political issues in 4th-century BCE Athens.
tlg0014.tlg047	Demosthenes	-348	Against Euergus and Mnesibulus	Against Evergus And Mnesibulus			literary work, oration	0	Demosthenes' orations, including 'Against Euergus and Mnesibulus', deal with contemporary legal and political issues in 4th-century BCE Athens.
tlg0014.tlg033	Demosthenes	-348	Against Apatourius	Against Apaturius			literary work, oration	0	Demosthenes' orations, including 'Against Apatourius', deal with contemporary legal and political issues in 4th-century BCE Athens.
tlg0014.tlg001	Demosthenes	-348	Olynthiacs	First Olynthiac			group of literary works	0	Demosthenes' 'Olynthiacs' address contemporary political threats from Philip II of Macedon.
tlg0014.tlg046	Demosthenes	-348	Against Stephanos	Apollodorus Against Stephanus II			group of literary works	0	Demosthenes' orations, including 'Against Stephanos', deal with contemporary legal and political issues in 4th-century BCE Athens.
tlg0014.tlg003	Demosthenes	-348	Olynthiacs	Third Olynthiac			group of literary works	0	Demosthenes' 'Olynthiacs' address contemporary political threats from Philip II of Macedon.
tlg0014.tlg002	Demosthenes	-348	Olynthiacs	Second Olynthiac			group of literary works	0	Demosthenes' 'Olynthiacs' address contemporary political threats from Philip II of Macedon.
tlg0014.tlg045	Demosthenes	-348	Against Stephanos	Apollodorus Against Stephanus I			group of literary works	0	Demosthenes' orations, including 'Against Stephanos', deal with contemporary legal and political issues in 4th-century BCE Athens.
tlg0014.tlg012	Demosthenes	-348	Letters	Philip’s Letter			correspondence, written work	0	Demosthenes' 'Letters' are contemporary correspondence addressing political and personal matters of his time.
tlg0014.tlg011	Demosthenes	-348	Letters	Answer to Philip’s Letter			correspondence, written work	0	Demosthenes' 'Letters' are contemporary correspondence addressing political and personal matters of his time.
tlg0014.tlg061	Demosthenes	-348	Erotic Essay	The Erotic Essay			oration, literary work	0	Demosthenes' 'Erotic Essay' is a rhetorical exercise or speech, likely dealing with contemporary social or philosophical themes rather than ancient myths.
tlg0014.tlg019	Demosthenes	-348	On the False Embassy	On the Embassy			oration, literary work	0	Demosthenes' 'On the False Embassy' is an oration concerning a contemporary political event and legal dispute.
tlg0014.tlg013	Demosthenes	-348	On Organization	On Organization			oration, literary work	0	Demosthenes' 'On Organization' is an oration dealing with contemporary political and military organization in Athens.
tlg0014.tlg042	Demosthenes	-348	Against Stephanos	Against Phaenippus			group of literary works	0	Demosthenes' orations, including 'Against Stephanos', deal with contemporary legal and political issues in 4th-century BCE Athens.
tlg0014.tlg059	Demosthenes	-348	Against Onetor	Apollodorus Against Neaera			group of literary works	0	Demosthenes' orations, including 'Against Onetor', deal with contemporary legal and political issues in 4th-century BCE Athens.
tlg0014.tlg017	Demosthenes	-348	On the Peace	On the Treaty with Alexander			literary work, oration	0	Demosthenes' 'On the Peace' is an oration addressing contemporary political negotiations and policies.
tlg0014.tlg016	Demosthenes	-348	For the Megalopolitans	For the People of Megalopolis			oration, literary work	0	Demosthenes' 'For the Megalopolitans' is an oration concerning contemporary political alliances and foreign policy.
tlg0014.tlg060	Demosthenes	-348	Demosthenes' Funeral Oration	The Funeral Speech			literary work, oration	0	Demosthenes' 'Funeral Oration' would have commemorated contemporary figures and events, reflecting on the society of his time.
tlg0014.tlg007	Demosthenes	-348	On the Navy	On Halonnesus			literary work, oration	0	Demosthenes' 'On the Navy' is an oration discussing contemporary Athenian naval policy and military affairs.
tlg0017.tlg006	Isaeus	-384	On the Estate of Philoctemones	On the Estate of Philoctemon			literary work, oration	0	Isaeus' orations, such as 'On the Estate of Philoctemones', are legal speeches dealing with contemporary inheritance disputes in 4th-century BCE Athens.
tlg0017.tlg008	Isaeus	-384	On the Estate of Ciron	On The Estate of Ciron			oration, literary work	0	This is an oration concerning a legal case, which is contemporary to the author's time.
tlg0017.tlg005	Isaeus	-384	On the Estate of Dicaeogenes	On the Estate of Dicaeogenes			literary work, oration	0	This is an oration concerning a legal case, which is contemporary to the author's time.
tlg0017.tlg002	Isaeus	-384	On the Estate of Menecles	On the Estate of Menecles			oration, literary work	0	This is an oration concerning a legal case, which is contemporary to the author's time.
tlg0017.tlg011	Isaeus	-384	On the Estate of Hagnias	On the Estate of Hagnias			literary work, oration	0	This is an oration concerning a legal case, which is contemporary to the author's time.
tlg0017.tlg007	Isaeus	-384	On the Estate of Apollodoros	On The Estate of Apollodorus			literary work, oration	0	This is an oration concerning a legal case, which is contemporary to the author's time.
tlg0017.tlg010	Isaeus	-384	On the Estate of Aristarchos	On The Estate of Aristarchus			literary work, oration	0	This is an oration concerning a legal case, which is contemporary to the author's time.
tlg0017.tlg009	Isaeus	-384	On the Estate of Astyphilos	On the Estate of Astyphilus			literary work, oration	0	This is an oration concerning a legal case, which is contemporary to the author's time.
tlg0017.tlg001	Isaeus	-384	On the Estate of Cleonymos	On The Estate of Cleonymus			literary work, oration	0	This is an oration concerning a legal case, which is contemporary to the author's time.
tlg0017.tlg003	Isaeus	-384	On the Estate of Pyrrhos	On The Estate Of Pyrrhus			oration, literary work	0	This is an oration concerning a legal case, which is contemporary to the author's time.
tlg0017.tlg004	Isaeus	-384	On the Estate of Ciron	On the Estate of Nicostratus			oration, literary work	0	This is an oration concerning a legal case, which is contemporary to the author's time.
tlg0017.tlg012	Isaeus	-384	For Euphiletos	On Behalf of Euphiletus			literary work, oration	0	This is an oration concerning a legal case, which is contemporary to the author's time.
tlg0019.tlg006	Aristophanes	-409	The Birds	Birds	Old Comedy	play	dramatic work	0	Aristophanes' comedies satirize contemporary Athenian society and politics.
tlg0019.tlg003	Aristophanes	-409	The Clouds	Clouds	Old Comedy	play	dramatic work	0	Aristophanes' comedies satirize contemporary Athenian society and politics.
tlg0020.tlg001	Hesiod	-740	Theogony	Theogony	narrative poetry		literary work	1	Hesiod's Theogony describes the origins and genealogies of the Greek gods, placing it in a mythological past.
tlg0020.tlg002	Hesiod	-740	Works and Days	Works and Days	poetry, didactic poetry	poem	literary work	1	Hesiod's Works and Days contains mythological narratives and didactic advice rooted in a legendary past.
tlg0020.tlg003	Hesiod	-740	Shield of Heracles	Shield of Heracles	epic poem	poem	literary work	1	The Shield of Heracles is an epic poem about a demigod, firmly placing it in the mythological Heroic Age.
tlg0026.tlg001	Aeschines	-354	Against Timarchus	Against Timarchus			oration, literary work	0	This is an oration concerning a legal or political matter, which is contemporary to the author's time.
tlg0026.tlg003	Aeschines	-354	Against Ctesiphon	Against Ctesiphon			literary work, oration	0	This is an oration concerning a legal or political matter, which is contemporary to the author's time.
tlg0026.tlg002	Aeschines	-354	On the Embassy	On the Embassy			literary work, oration	0	This is an oration concerning a political event, which is contemporary to the author's time.
tlg0027.tlg001	Andocides	-500	On the Mysteries	On the Mysteries			literary work, oration	0	This is an oration concerning a legal or political matter, which is contemporary to the author's time.
tlg0027.tlg003	Andocides	-500	On the Peace with Sparta	On the Peace with Sparta			literary work, oration	0	This is an oration concerning a political event, which is contemporary to the author's time.
tlg0027.tlg002	Andocides	-500	On His Return	On His Return			version, edition or translation	0	This is an oration concerning a personal and political event, which is contemporary to the author's time.
tlg0027.tlg004	Andocides	-500		Against Alcibiades				0	Without a title, and given the author's other works are contemporary orations, this is likely contemporary.
tlg0028.tlg006	Antiphon	-500	On the Choreutes	On the Choreutes			oration, literary work	0	This is an oration concerning a legal case, which is contemporary to the author's time.
tlg0028.tlg003	Antiphon	-500	Second Tetralogy	The Second Tetralogy: Prosecution for Accidental Homicide			literary work, oration	0	This is an oration concerning legal cases, which is contemporary to the author's time.
tlg0028.tlg004	Antiphon	-500	Third Tetralogy	The Third Tetralogy: Prosecution for Murder Of One Who Pleads That He Was Acting in Self-Defence			oration, literary work	0	This is an oration, a form of legal speech, which typically deals with contemporary legal cases and issues.
tlg0028.tlg005	Antiphon	-500	On the Murder of Herodes	On the Murder of Herodes			literary work, oration	0	This is an oration, a form of legal speech, which typically deals with contemporary legal cases and issues.
tlg0028.tlg002	Antiphon	-500	First Tetralogy	The First Tetralogy: Anonymous Prosecution for Murder			literary work, oration	0	This is an oration, a form of legal speech, which typically deals with contemporary legal cases and issues.
tlg0028.tlg001	Antiphon	-500	Against the Stepmother for Poisoning	Prosecution Of The Stepmother For Poisoning			literary work, oration	0	This is an oration, a form of legal speech, which typically deals with contemporary legal cases and issues.
tlg0029.tlg006	Dinarchus	-324	Against Philocles	Against Philocles			literary work, oration	0	This is an oration, a form of legal speech, which typically deals with contemporary legal cases and issues.
tlg0029.tlg004	Dinarchus	-324	Against Demosthenes	Against Demosthenes			written work, oration	0	This is an oration, a form of legal speech, which typically deals with contemporary legal cases and issues.
tlg0029.tlg005	Dinarchus	-324	Against Aristogeiton	Against Aristogiton			literary work, oration	0	This is an oration, a form of legal speech, which typically deals with contemporary legal cases and issues.
tlg0030.tlg001	Hyperides	-360		In Defence of Lycophron				0	Hyperides was an Attic orator, and his works would have dealt with contemporary legal and political matters.
tlg0030.tlg006	Hyperides	-360		Funeral Speech				0	Hyperides was an Attic orator, and his works would have dealt with contemporary legal and political matters.
tlg0030.tlg003	Hyperides	-360		Against Athenogenes				0	Hyperides was an Attic orator, and his works would have dealt with contemporary legal and political matters.
tlg0030.tlg004	Hyperides	-360		In Defence of Euxenippus				0	Hyperides was an Attic orator, and his works would have dealt with contemporary legal and political matters.
tlg0030.tlg005	Hyperides	-360		Against Demosthenes				0	Hyperides was an Attic orator, and his works would have dealt with contemporary legal and political matters.
tlg0030.tlg002	Hyperides	-360		Against Philippides				0	Hyperides was an Attic orator, and his works would have dealt with contemporary legal and political matters.
tlg0031.tlg009	New Testament	100		Galatians				0	The New Testament describes events and teachings contemporary to the early Christian community in the 1st century CE.
tlg0031.tlg007	New Testament	100		1 Corinthians				0	The New Testament describes events and teachings contemporary to the early Christian community in the 1st century CE.
tlg0031.tlg001	New Testament	100		Matthew				0	The New Testament describes events and teachings contemporary to the early Christian community in the 1st century CE.
tlg0031.tlg006	New Testament	100		Romans				0	The New Testament describes events and teachings contemporary to the early Christian community in the 1st century CE.
