rule_uid	file_id	criteria	rule	group	resource	directionality	verbatim	contemporary	factuality	reasoning	confidence	author	work_title	impact_year	group_specificity	is_historical	secondary_reasoning	resource_materiality	materiality_reasoning
tlg0006.tlg018.perseus-eng2#11	tlg0006.tlg018.perseus-eng2	Occupation	Seer ambition and social distrust	Priests	Social reputation and trust	LESS	[§13] Agamemnon: The whole tribe of seers is a curse with its ambition. Menelaus: Yes, and good for nothing and useless, when among us.	1	0	The dialogue establishes that the group of seers (mantis) is viewed with inherent suspicion and regarded as socially 'useless' or harmful due to their perceived political ambitions.	7.0	Euripides	Iphigenia in Aulis	-445	3	0	Specific profession; the rule describes a contemporary social perception of seers.	2	Social reputation and trust are status-based with weak material payoffs.
tlg0006.tlg018.perseus-eng2#12	tlg0006.tlg018.perseus-eng2	Nobility	High-born restricted emotional expression	High-born men	Freedom of emotional expression	LESS	[§15] What an advantage humble birth possesses! for it is easy for her sons to weep and tell out all their sorrows; while to the high-born man come these same sorrows, but we have dignity throned over our life and are the people’s slaves.	1	0	Agamemnon contrasts the 'humble born' with the 'high-born,' noting that social status and 'dignity' prevent leaders from openly weeping or expressing grief, effectively making them slaves to public expectation.	9.0	Euripides	Iphigenia in Aulis	-445	3	0	Specific role within a broader class; the rule describes a contemporary social expectation for nobility.	1	Freedom of emotional expression is an abstract, non-material resource.
tlg0006.tlg018.perseus-eng2#13	tlg0006.tlg018.perseus-eng2	Occupation	General must possess intelligence	Generals	Right to hold command	MORE	[§14] May I never appoint a man to rule my country or lead its warriors because of his kinship! Sense is what the general must have; since any man, with ordinary intelligence, can govern a state.	1	0	Menelaus argues that military leadership should be contingent upon intellectual capacity ('sense') rather than mere lineage, establishing intelligence as a required resource for the role.	8.0	Euripides	Iphigenia in Aulis	-445	3	0	Specific profession; the rule describes a contemporary requirement for military leadership.	3	Right to hold command is a social role with tangible outcomes (power, spoils).
tlg0006.tlg018.perseus-eng2#14	tlg0006.tlg018.perseus-eng2	Education	Education-based access to virtue	Educated people	Access to virtue	MORE	[§16] Likewise the training that come of education conduces greatly to virtue; for not only is modesty wisdom, but it has also the rare grace of seeing by its better judgment what is right; whereby a glory, ever young, is shed over life by reputation.	1	0	The Chorus identifies education as a specific mechanism that provides individuals with the capacity for virtue and the 'grace' of correct judgment.	9.0	Euripides	Iphigenia in Aulis	-445	4	0	Broad societal group; the rule describes a contemporary belief about education and virtue.	1	Access to virtue is an abstract, non-material resource.
tlg0006.tlg018.perseus-eng2#15	tlg0006.tlg018.perseus-eng2	Gender	Male-only public leadership	Women	Right to public political order	LESS	[§16] A great thing it is to hunt virtue, for women when they love secretly; while in men, an inborn sense of order, shown in countless ways, adds to a city’s greatness.	1	0	The text distinguishes between the private/secret virtue of women and the public 'sense of order' attributed to men which contributes to the state, effectively excluding women from the resource of public political governance.	8.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the rule describes a contemporary gender role in public life.	3	Right to public political order is a social role with tangible outcomes.
tlg0006.tlg018.perseus-eng2#16	tlg0006.tlg018.perseus-eng2	Lineage	Leader accountability to the mob	Kings	Freedom from public compulsion	LESS	[§15] The whole Achaean army here assembled. ... Don’t you think, then, he [Odysseus] will arise among the Argives and tell them the oracles ... Then, when he has carried the army away with him, he will bid the Argives slay us and sacrifice the girl.	1	1	Agamemnon explains that despite his royal status, he is compelled by the 'mob' (the army) and cannot simply release his daughter, showing that the ruler lacks the resource of independent action when faced with collective military will.	9.0	Euripides	Iphigenia in Aulis	-445	3	0	Specific role within a broader class; the rule describes a contemporary constraint on royal power.	4	Freedom from public compulsion is a concrete legal/social right with direct material effect.
tlg0006.tlg018.perseus-eng2#17	tlg0006.tlg018.perseus-eng2	Gender	Female exclusion from public religious rites	Women	Right to participate in public religious ceremonies	LESS	[§20] Go within—it is wrong for maidens to be seen—after you have given me your hand and a kiss, on the eve of your lengthy sojourn far from your father’s side.	1	1	Agamemnon explicitly instructs Iphigenia to go inside the house because it is considered socially 'wrong' or inappropriate for young women to be visible or present during the public/military religious sacrifices he is about to perform.	9.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the rule describes a contemporary gender-based restriction.	3	Participation in public religious ceremonies is a social practice with tangible outcomes.
tlg0006.tlg018.perseus-eng2#18	tlg0006.tlg018.perseus-eng2	Gender	Paternal authority over daughter's marriage	Women	Right to choose a spouse	LESS	[§20] Agamemnon: As for him, to whom you have betrothed our daughter, I know his name, it is true, but want to learn his lineage and the land of his birth. ... Agamemnon: Such is the future husband of your daughter. ... He who takes her to himself will see to that.	1	1	The dialogue demonstrates that the father (Agamemnon) has the sole authority to betroth the daughter and negotiate with the groom, while the daughter has no role in the selection or the arrangement.	10.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the rule describes a contemporary patriarchal marriage custom.	4	Right to choose a spouse is a concrete legal right with direct material effects (dowry, inheritance).
tlg0006.tlg018.perseus-eng2#19	tlg0006.tlg018.perseus-eng2	Gender	Male management of military/public affairs	Women	Right to manage outdoor public affairs	LESS	[§20] Clytemnestra: No, by the goddess-queen of Argos! Go, manage matters out of doors; but in the house it is my place to decide what is proper for maidens at their wedding.	1	1	Clytemnestra defines a strict spatial and jurisdictional boundary based on gender: the 'out of doors' (military and public space) belongs to the man, while the 'house' (domestic space) is the woman's domain.	9.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the rule describes a contemporary gender-based division of labor.	3	Management of public affairs is a social role with tangible outcomes.
tlg0006.tlg018.perseus-eng2#20	tlg0006.tlg018.perseus-eng2	Nobility	Noble access to social deference	Nobility	Right to receive public reverence	MORE	[§20] Oh! great is the bliss the great enjoy. Behold Iphigenia, the king’s child, my lady, and Clytemnestra, the daughter of Tyndareus; how proud their lineage! how high their pinnacle of fortune! These mighty ones, whom wealth attends, are very gods in the eyes of less favored folk.	1	1	The Chorus notes that those of high lineage and wealth (the 'great') receive a level of reverence approaching that of gods from the common or 'less favored' people.	9.0	Euripides	Iphigenia in Aulis	-445	3	0	Specific role within a broader class; the rule describes a contemporary social deference to nobility.	2	Public reverence is a status-based access with weak material payoff.
tlg0006.tlg018.perseus-eng2#21	tlg0006.tlg018.perseus-eng2	Gender	Maternal right to bridal torch ceremony	Women	Right to perform bridal torch rites	MORE	[§20] Clytemnestra: And leave my child? Then who will raise her bridal torch? Agamemnon: I will provide the proper wedding torch. Clytemnestra: That is not the custom; but you think lightly of these things.	1	1	Clytemnestra asserts that by Greek custom, the mother has the right and duty to raise the bridal torch, a resource Agamemnon tries to usurp.	8.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the rule describes a contemporary gender-specific ritual right.	3	Performing bridal torch rites is a social practice with tangible outcomes (recognition, legitimacy).
tlg0006.tlg018.perseus-eng2#22	tlg0006.tlg018.perseus-eng2	Gender	Parental exclusion from marriage information	Women	Access to information regarding marriage arrangements	LESS	[§22] Iphigenia: What! have you found me a new home, father? Agamemnon: Enough of this! it is not for girls to know such things.	1	1	Agamemnon explicitly silences his daughter’s inquiry about her future home/marriage, stating that such knowledge is restricted from young women.	10.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the rule describes a contemporary gender-based restriction on information.	3	Access to marriage arrangement information can have tangible outcomes for one's future.
tlg0006.tlg018.perseus-eng2#23	tlg0006.tlg018.perseus-eng2	Gender	Female exclusion from public visibility	Women	Right to be seen in public spaces	LESS	[§22] Agamemnon: Go within—it is wrong for maidens to be seen—after you have given me your hand and a kiss, on the eve of your lengthy sojourn far from your father’s side.	1	1	Agamemnon commands his daughter to hide indoors based on the social norm that it is improper for unmarried women to be visible in public/military settings.	9.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the rule describes a contemporary gender-based restriction on public visibility.	3	Right to be seen in public spaces is a social role with tangible outcomes (reputation, interaction).
tlg0006.tlg018.perseus-eng2#24	tlg0006.tlg018.perseus-eng2	Gender	Maternal right to wedding rituals	Women	Right to lead bridal ceremonies	MORE	[§22] Clytemnestra: It is good that a mother should give her own child away. ... No, by the goddess-queen of Argos! Go, manage matters out of doors; but in the house it is my place to decide what is proper for maidens at their wedding.	1	1	Clytemnestra asserts her customary right as a mother to manage the internal domestic and ritual aspects of the wedding, challenging her husband's attempt to exclude her.	9.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the rule describes a contemporary gender-specific ritual right.	3	Leading wedding rituals is a social practice with tangible outcomes (recognition, legitimacy).
tlg0006.tlg018.perseus-eng2#25	tlg0006.tlg018.perseus-eng2	Gender	Female exclusion from military camp	Women	Right to reside in military spaces	LESS	[§22] Agamemnon: It is not good for you to be alone among a soldier-crowd. ... Go to Argos, and take care of your unwedded daughters.	1	1	Agamemnon attempts to use the custom of gender segregation in military environments to remove his wife from the camp and send her back to the domestic sphere.	8.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the author describes a contemporary norm within the play's setting.	3	Access to military spaces is a social role with tangible outcomes for safety and status.
tlg0006.tlg018.perseus-eng2#26	tlg0006.tlg018.perseus-eng2	Gender	Paternal authority over daughters' marriage	Women	Right to choose a spouse	LESS	[§22] Clytemnestra: As for him, to whom you have betrothed our daughter, I know his name, it is true, but want to learn his lineage and the land of his birth.	1	1	The text shows that the father (Agamemnon) has the sole authority to betroth the daughter, with the mother only being informed of the decision and the daughter having no say.	9.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the author describes a contemporary norm within the play's setting.	4	Right to choose a spouse has direct material effects on property, lineage, and social standing.
tlg0006.tlg018.perseus-eng2#27	tlg0006.tlg018.perseus-eng2	Gender	Male-only military space	Women	Access to military camps	LESS	[§27] Who are you, and why have you come to the mustering of the Danaids—you, a woman, to a fenced camp of men? | [§27] Well and shortly answered on all important points, but it is shameful for me to stand talking to women.	1	1	The text establishes that a military camp is specifically a 'fenced camp of men' and that the presence of a woman is an anomaly requiring explanation, further reinforced by the social shame associated with a soldier conversing with women in that setting.	10.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the author describes a contemporary norm within the play's setting.	3	Access to military camps is a social role with tangible outcomes for safety and status.
tlg0006.tlg018.perseus-eng2#28	tlg0006.tlg018.perseus-eng2	Freedom	Slave identity by ownership	Slaves	Right to personal identity	LESS	[§27] Whose slave are you? not mine; for mine and Agamemnon’s goods are separate. | [§27] I belong to this lady who stands before the tent, a gift to her from Tyndareus her father.	1	1	The dialogue defines the slave not as an individual but as property ('goods') belonging to a specific owner, transferable as a 'gift' (dowry), illustrating a lack of right to personal autonomy or identity independent of a master.	9.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the author describes a contemporary norm within the play's setting.	5	Right to personal identity for slaves is a fundamental bodily entitlement, impacting ownership and freedom.
tlg0006.tlg018.perseus-eng2#29	tlg0006.tlg018.perseus-eng2	Age	Military service exemption for youth	Minors	Exemption from military service	MORE	[§27] For this delay at the Euripus is not the same for all of us; there are some, for instance, who, bing still unwed, have left their houses desolate and are idling here upon the beach, while others are married but without children.	1	1	The distinction between those 'still unwed' vs those with families in a military context implies that there is a threshold of age/maturity (marriageability) required for service, and conversely, those too young (children) are not part of the 'idling' army at the beach, implying their exemption.	7.0	Euripides	Iphigenia in Aulis	-445	4	0	Broad societal group; the author describes a contemporary norm within the play's setting.	4	Exemption from military service is a concrete legal right with direct material effect on life and well-being.
tlg0006.tlg018.perseus-eng2#30	tlg0006.tlg018.perseus-eng2	Gender	Female exclusion from public gaze	Women	Right to public presence	LESS	[§27] Do not bring your daughter out for me to see, lady, nor let us incur the reproach of the ignorant; for an army, when gathered together without domestic duties to employ it, loves the evil gossip of malicious tongues.	1	1	Achilles explicitly warns against the public appearance of the daughter in the camp to avoid 'reproach' and 'gossip', indicating a social rule that limits women's visibility in crowded or public male spaces to protect their reputation.	9.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the author describes a contemporary norm within the play's setting.	3	Right to public presence affects social standing and access to public life, with tangible outcomes.
tlg0006.tlg018.perseus-eng2#31	tlg0006.tlg018.perseus-eng2	Gender	Guardian control over marriage	Women	Right to choose spouse	LESS	[§27] It is not to secure a bride that I have spoken thus... but king Agamemnon has put an insult on me; he should have asked my leave to use my name as a means to catch the child, for it was I chiefly who induced Clytemnestra to betroth her daughter to me.	1	1	The text describes marriage as a negotiation between men (Achilles and Agamemnon) where the daughter is 'betrothed' or used as a 'means', showing that the woman has no access to the resource of choosing her own partner.	9.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the author describes a contemporary norm within the play's setting.	4	Right to choose a spouse has direct material effects on property, lineage, and social standing.
tlg0006.tlg018.perseus-eng2#32	tlg0006.tlg018.perseus-eng2	Freedom	Slave inclusion in female dowry	Slaves	Right to remain in original household	LESS	[§28] Old man: Likewise you know it was in your dowry king Agamemnon received me. Clytemnestra: Yes, you came to Argos with me, and have been mine this long time past.	1	1	The text describes a common Greek social rule where slaves were included as material assets within a woman's dowry, resulting in the slave being transferred from the father's house to the husband's house upon marriage.	10.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the author describes a contemporary norm within the play's setting.	5	Right to remain in original household for slaves is a tangible property right, affecting their physical location.
tlg0006.tlg018.perseus-eng2#33	tlg0006.tlg018.perseus-eng2	Gender	Female exclusion from military camps	Women	Freedom from social reproach in public spaces	LESS	[§29] Achilles: Do not bring your daughter out for me to see, lady, nor let us incur the reproach of the ignorant; for an army, when gathered together without domestic duties to employ it, loves the evil gossip of malicious tongues.	1	1	Achilles cites a social norm where women (especially unmarried ones) appearing in a military camp face gossip and reputational damage, restricting their freedom of movement in these spaces.	9.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the author describes a contemporary norm within the play's setting.	3	Freedom from social reproach in public spaces affects social standing and access to public life.
tlg0006.tlg018.perseus-eng2#34	tlg0006.tlg018.perseus-eng2	Gender	Female modesty in public supplication	Women	Right to public political appeal	LESS	[§29] Clytemnestra: Will you have her clasp your knees as a suppliant? it is no maid’s part; yet if it seems good to you, why, come she shall with the modest look of free-born maid; but if I shall obtain the same end from you without her coming then let her abide within, for there is dignity in her reserve.	1	1	Clytemnestra acknowledges a norm where it is considered inappropriate ('no maid's part') for a young woman to engage in the physical act of public supplication, indicating a restriction on how women can access help or justice.	9.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the author describes a contemporary norm within the play's setting.	3	Right to public political appeal is access to a social practice that produces tangible outcomes.
tlg0006.tlg018.perseus-eng2#35	tlg0006.tlg018.perseus-eng2	Citizenship	Soldier right to rational leadership	Soldiers	Right to refuse obedience to leaders	MORE	[§29] Achilles: and provided the Atridae lead well, I will obey them; but when they cease from that, no more will I obey; no, but here and in Troy I will show the freedom of my nature	1	0	Achilles defines a rule of conditional obedience within the Greek army: the duty to follow commanders is predicated on the quality of their leadership, otherwise the free-born soldier retains his autonomy.	7.0	Euripides	Iphigenia in Aulis	-445	3	0	Specific role within a broader class; the author describes a contemporary norm within the play's setting.	4	Right to refuse obedience to leaders is a concrete legal right with direct material effect on freedom.
tlg0006.tlg018.perseus-eng2#36	tlg0006.tlg018.perseus-eng2	Gender	Maiden exclusion from certain discourse	Women	Access to private familial consultation	LESS	[§34] Daughter of Leda, it is lucky I have found you outside the tent, to discuss with you in our daughter’s absence subjects not suited for the ears of maidens on the eve of marriage.	1	1	Agamemnon explicitly identifies a category of speech/information that is deemed inappropriate for young women, restricting their access to specific types of family planning or political discussions based on their gender and status as 'maidens'.	9.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the author describes a contemporary norm within the play's setting.	3	Access to private familial consultation affects participation in decisions with tangible outcomes.
tlg0006.tlg018.perseus-eng2#37	tlg0006.tlg018.perseus-eng2	Age	Child obedience to parental summons	young people	Right to personal autonomy	LESS	[§34] Come forth, my daughter; well you know what is in your father’s mind; take the child Orestes, your brother, and bring him with you in the folds of your robe. Behold! she comes, in obedience to your summons.	1	1	The text demonstrates the lack of autonomy for children (Iphigenia and the infant Orestes), as their movements and presence are governed entirely by the 'summons' and commands of their parents.	8.0	Euripides	Iphigenia in Aulis	-445	4	0	Broad societal group; the author describes a contemporary norm within the play's setting.	4	Right to personal autonomy for young people has direct material effects on freedom of movement.
tlg0006.tlg018.perseus-eng2#38	tlg0006.tlg018.perseus-eng2	Lineage	Paternal authority over child's life	Kings	Total authority over offspring's life	MORE	[§34] It is not Menelaus who has enslaved me to him, child, nor have I followed his wish; no, it is Hellas, for whom I must sacrifice you whether I will or not; to this necessity I bow my head | [§34] Ah! my child, he that begot you has slain you himself, he and no one else, nor was it by another’s hand	1	1	The passage describes a societal structure where the father (specifically the king/head of lineage) has the ultimate right to decide the life or death of his children for the sake of political or religious necessity.	10.0	Euripides	Iphigenia in Aulis	-445	3	0	Specific role within a broader class; the author describes a contemporary norm within the play's setting.	5	Total authority over offspring's life is a fundamental bodily entitlement, impacting life and death.
tlg0006.tlg018.perseus-eng2#39	tlg0006.tlg018.perseus-eng2	Gender	Female vulnerability to forced marriage	Women	Freedom to choose a spouse	LESS	[§34] In the first place—to reproach you first with this—it was not of my own free will but by force that you took and wed me, after slaying Tantalus, my former husband, and dashing my baby on the ground when you had torn him from my breast with brutal violence.	0	1	Clytemnestra recounts her marriage as a product of martial force rather than consent, indicating that women lack the resource of self-determination in marital unions, particularly in contexts of war or conquest.	9.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the author describes a contemporary norm within the play's setting.	4	Freedom to choose a spouse has direct material effects on property, lineage, and social standing.
tlg0006.tlg018.perseus-eng2#40	tlg0006.tlg018.perseus-eng2	Gender	Male precedence in life value	Women	Right to life	LESS	[§37] It is not right that this man should enter into battle with all Argos or be slain for a woman’s sake. Better a single man should see the light than ten thousand women.	1	0	The text explicitly states a hierarchy of life value where a single man's life is presented as more valuable than the lives of ten thousand women, justifying the sacrifice of the female protagonist.	10.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the author describes a contemporary norm within the play's setting.	5	Right to life is a fundamental bodily entitlement, directly impacting existence.
tlg0006.tlg018.perseus-eng2#41	tlg0006.tlg018.perseus-eng2	Ethnicity	Hellenic dominance over barbarians	Metics	Political self-determination	LESS	[§37] And it is right, mother, that Hellenes should rule barbarians, but not barbarians Hellenes, those being slaves, while these are free.	1	0	The text establishes a rule of ethnic hierarchy where non-Greeks (barbarians) are characterized as naturally suited for slavery and rule by Greeks.	9.0	Euripides	Iphigenia in Aulis	-445	4	0	Broad societal group; the author describes a contemporary norm within the play's setting.	4	Political self-determination is a concrete legal right with direct material effect on governance.
tlg0006.tlg018.perseus-eng2#42	tlg0006.tlg018.perseus-eng2	Gender	Female exclusion from public mourning	Women	Right to public mourning rites	LESS	[§37] Cut not off the tresses of your hair for me, nor clothe yourself in sable garb. [...] Do not put mourning raiment on them either. [...] for at the holy rites it is not fitting.	1	1	Iphigenia instructs her mother and sisters to refrain from traditional mourning symbols (cutting hair, black clothing) because her death is framed as a public/divine sacrifice rather than a private loss.	8.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the author describes a contemporary norm within the play's setting.	3	Right to public mourning rites is access to a social practice with tangible outcomes for social recognition.
tlg0006.tlg018.perseus-eng2#43	tlg0006.tlg018.perseus-eng2	Citizenship	Female exclusion from military policy	Women	Influence over military decisions	LESS	[§37] I see that you are angry with your husband to no purpose; it is hard for us to persist in impossibilities. [...] My one life prevent all this? What kind of justice is that?	1	1	The female characters acknowledge they lack the power to stop the collective military will of the 'men of Hellas' or the 'mob', framing female resistance to military sacrifice as an 'impossibility'.	8.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the author describes a contemporary norm within the play's setting.	3	Influence over military decisions is access to a social role that produces tangible outcomes.
tlg0006.tlg018.perseus-eng2#44	tlg0006.tlg018.perseus-eng2	Ethnicity	Hellenic dominance over barbarians	Metics / Foreigners	Right to self-governance	LESS	[§38] And it is right, mother, that Hellenes should rule barbarians, but not barbarians Hellenes, those being slaves, while these are free.	1	0	The passage establishes a rule of ethnic hierarchy, defining non-Hellenes (barbarians) as naturally subject to the rule of Hellenes and equating their status with slavery.	10.0	Euripides	Iphigenia in Aulis	-445	4	0	Broad societal group; the author describes a contemporary norm within the play's setting.	4	Right to self-governance is a concrete legal right with direct material effect on autonomy.
tlg0006.tlg018.perseus-eng2#45	tlg0006.tlg018.perseus-eng2	Freedom	Mortal subjugation to divine will	Citizens	Personal autonomy	LESS	[§38] If Artemis has decided to take my body, am I, a mortal, to thwart the goddess? no, that is impossible. I give my body to Hellas; sacrifice it and make an utter end of Troy.	1	1	The text describes a rule where human individuals, even those of high status, cannot refuse a divine demand for their life/body once a religious determination (sacrifice) has been made.	9.0	Euripides	Iphigenia in Aulis	-445	5	0	Canonical societal group; the author describes a contemporary norm within the play's setting.	1	Personal autonomy subjugated to divine will is a non-material, spiritual resource.
