rule_uid	file_id	perseus_author	perseus_title	period	criteria	rule	group	resource	directionality	verbatim	reasoning	contemporary	factuality	confidence	resource_materiality	materiality_reasoning	resource_generality	generality_reasoning	resource_persistence	persistence_reasoning	group_immutability	immutability_reasoning	rule_contemporarity	contemporarity_reasoning	opinion_vs_fact	opinion_vs_fact_reasoning	tautology	tautology_reasoning	year	genre
tlg0062.tlg034.perseus-eng2::13	tlg0062.tlg034.perseus-eng2	Lucian of Samosata	Anacharsis, or Athletics	High Roman Empire (135–205 CE)	['Age', 'Occupation']	Exemption from lethal combat training	Soldiers	Right to personal safety in training	MORE	['As for testing them under arms, and watching them get wounded—no! It is bestial and terribly cruel and, more than that, unprofitable to kill off the most efficient men who can be used to better advantage against the enemy.']	Solon explicitly states that Athenian law/custom forbids testing young men (those of military age) with lethal weapons during peace-time training to preserve their lives for actual warfare, contrasting this with the brutal physical training they do undergo.	1	1.0	9	5	Right to personal safety and preservation of life is a tangible bodily entitlement.	4	Addresses a broad protection from lethal violence in training.	3	Resource is attached to the phase of military service/training.	2	Soldiers are people in a specific role/active duty stage.	1	Depicts Solon's era laws from a Roman period perspective.	4	Solon reports this as a rationale within the legal framework.	0	Soldiers are not defined by protection from lethal training.	155	dialogue
tlg0086.tlg035.perseus-eng2::50	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Citizenship']	Popular right of assembly speech	Citizens	Right to speak in the assembly	MORE	['but the people have the sovereign decision, and anybody who wishes may speak against the proposals introduced, a right that does not exist under the other constitutions.']	In the Carthaginian constitution, the text explicitly grants any citizen the right to speak against proposals in the assembly, which is noted as a unique right compared to Sparta or Crete.	1	1.0	10	4	The right to speak in the assembly allows direct influence on law and policy.	3	Specific to a particular procedural right within the assembly.	4	A recurring right held by citizens throughout their adult lives.	4	Citizenship is a stable, structural legal status.	0	Aristotle analyzes the current Carthaginian constitution.	5	The author contrasts this factual right with other known constitutions.	0	Speech is not part of the basic definition of citizenship.	-348	treatise
tlg0086.tlg003.perseus-eng1::41	tlg0086.tlg003.perseus-eng1	Aristotle	Athenian Constitution	Late Classical (354–165 BCE)	['Freedom']	Slave exclusion from citizenship	Slaves	Right to the franchise	LESS	['his subsequent prosecution of Thrasybulus on the charge of illegality, for a motion by which he proposed to confer the franchise on all who had taken part in the return from Piraeus, although some of them were notoriously slaves.']	The successful prosecution of a motion to grant slaves the franchise proves that the prevailing legal norm in Athens excluded slaves from receiving citizenship rights.	0	1.0	9	4	The franchise (citizenship) is a foundational status with material legal effects.	5	The franchise is a foundational societal axis.	5	Slavery and citizenship are lifelong, structural legal statuses.	4	Slave status is a legal birth-status, requiring manumission to change.	1	Refers to a specific prosecution of Thrasybulus (historical).	5	Uses a factual historical prosecution as evidence of the legal norm.	0	Slavery is unfreedom, but not definitionally 'exclusion from voting' in all contexts.	-348	
tlg0032.tlg015.perseus-eng1::11	tlg0032.tlg015.perseus-eng1	Xenophon	Constitution of the Athenians	Classical (500–360 BCE)	['Citizenship']	Collective immunity from contract liability	The People	Protection from individual liability	MORE	"[""But in the case of engagements entered into by a democracy it is open to the People to throw the blame on the single individual who spoke in favour of some measure, or put it to the vote, and to maintain to the rest of the world, 'I was not present, nor do I approve of the terms of the agreement.' Inquiries are made in a full meeting of the People, and should any of these things be disapproved of, it can at once discover ten thousand excuses to avoid doing whatever they do not wish.""]"	The author describes a structural legal practice in Athens where the collective 'People' (Demos) can avoid the consequences of failed treaties or contracts by shifting legal and moral blame onto the individual proposer, a right not available to oligarchs.	1	1.0	9	4	Immunity from liability for debts/treaties protects personal freedom and wealth.	4	Covers a broad category of legal and contractual accountability.	4	Provides long-term protection against the fallout of state actions.	4	The 'People' is the fixed body of the citizenry.	0	Refers to contemporary Athenian diplomatic and legal practices.	3	A cynical interpretation of how the Demos evades factual obligations.	0	Citizenship does not conceptually include 'immunity from contract liability'.	-394	
tlg0086.tlg003.perseus-eng1::70	tlg0086.tlg003.perseus-eng1	Aristotle	Athenian Constitution	Late Classical (354–165 BCE)	['Occupation']	Juror compensation for legal service	Jurors	Right to receive pay	MORE	['Finally, when all has been completed in accordance with the law, the jurors receive their pay in the order assigned by the lot.']	The text describes the standard conclusion of a court session where the individuals acting as jurors are entitled to material compensation (pay) for their service to the state.	1	1.0	10	5	Direct payment in cash (obols) is a tangible material resource.	3	Specific to the institution of the jury system.	2	Payment is received per session/service day.	2	Juror is an episodic role assigned by lot.	0	Describes the current Athenian administrative practice.	5	A purely descriptive account of how jurors are compensated.	0	Serving as a juror does not conceptually guarantee being paid; it is a policy.	-348	
tlg0540.tlg012.perseus-eng2::5	tlg0540.tlg012.perseus-eng2	Lysias	Against Eratosthenes	Classical (500–360 BCE)	['Citizenship', 'Gender']	Citizen daughter marriage rights	Daughters of citizens	Right to intended marriage	MORE	['For they sent many of the citizens into exile with the enemy; they unjustly put many of them to death, and then deprived them of burial; many who had full civic rights they excluded from the citizenship; and the daughters of many they debarred from in tended marriage.']	The text lists debarring daughters of citizens from marriage as a violation of established norms/rules, implying that such a group normally possesses the right to complete their intended marriages.	1	1.0	8	5	Marriage affects property, lineage, and physical legal standing.	4	Foundational societal axis for women's status and inheritance.	5	Marriage typically initiates a long-term/lifelong status.	5	Combined gender and lineage (citizen daughter) is strictly immutable.	0	Describes contemporary interference in marital rights.	5	Factual list of grievances committed by the regime.	0	Marriage is not part of the definition of 'daughter'.	-409	rhetoric
tlg0059.tlg008.perseus-eng2::14	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Citizenship']	Archon performance of national sacrifices	The King Archon	Right to perform national sacrifices	MORE	['Yes, among you Athenians this is very plain, for they say the holiest and most national of the ancient sacrifices are performed by the man whom the lot has chosen to be the King. The second in order of the nine annual archons.']	Plato references a specific contemporary Athenian practice where a specific magistrate (the King Archon) is granted the exclusive right/duty to lead the most significant state religious ceremonies.	1	1.0	10	3	Performing national sacrifices is a high-status civic role with ritual authority.	3	Specific to the ritual domain of state religion.	3	Term of office is strictly annual ('chosen by lot').	2	Office-holder for a single year (King Archon).	0	Refers to the current Athenian Athenian King Archon.	5	Explicitly cites a 'very plain' current Athenian practice.	0	An Archon is not by definition the performer of sacrifices.	-393	dialogue
tlg0086.tlg035.perseus-eng2::163	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Freedom']	Slave lack of discipline in tyranny	Slaves	Freedom from household discipline	MORE	['Also the things that occur in connection with the final form of democracy are all favorable to tyranny—dominance of women in the homes, in order that they may carry abroad reports against the men, and lack of discipline among the slaves, for the same reason']	In tyrannies and extreme democracies, the author notes a specific social condition/rule where slaves are allowed a 'lack of discipline' by the state to encourage them to inform on their masters.	1	1.0	8	3	Freedom from household discipline is a change in the conditions of servile labor.	3	Specific to domestic discipline and behavior.	4	Relates to the general long-term conditions of slavery under a regime.	4	Slaves are a legal birth-status/structural group.	0	Observed social condition in contemporary 'final forms' of democracy.	3	A socio-political observation/claim about regime effects on the family.	0	Slavery is defined by discipline; lacking it is a reversal of the definition.	-348	treatise
tlg0086.tlg003.perseus-eng1::20	tlg0086.tlg003.perseus-eng1	Aristotle	Athenian Constitution	Late Classical (354–165 BCE)	['Citizenship']	Democratic identification by deme	Citizens	Official status identification by locality	MORE	['All who lived in any given deme he declared fellow-demesmen, to the end that the new citizens might not be exposed by the habitual use of family names, but that men might be officially described by the names of their demes; and accordingly it is by the names of their demes that the Athenians speak of one another.']	Cleisthenes established a rule where citizenship and official identity were tied to the deme (locality) rather than family names, specifically to protect and integrate new citizens into the franchise.	1	1.0	10	3	Official identity is a social role that grants access to legal/civic rights.	4	The basis for all official identification and civic interaction.	5	Deme membership is a lifelong, hereditary structural status.	4	Citizenship/Deme-status is a legal birth-status.	1	Describes the historical reforms of Cleisthenes.	5	Reports the renaming/reclassification policy as a factual change.	0	Citizens are not defined by 'location-based naming' by default.	-348	
tlg0086.tlg035.perseus-eng2::217	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Citizenship']	Citizen training for ruling and being ruled	Citizens	Right to hold political office	MORE	['But since we say that the goodness of a citizen and ruler are the same as that of the best man, and that the same person ought to become a subject first and a ruler afterwards, it will be important for the legislator to study how and by what courses of training good men are to be produced']	In the context of the Greek polis being described, citizenship entails a specific progression (ruling and being ruled) which the lawgiver facilitates through a specific curriculum.	1	1.0	8	4	Holding office is a concrete legal right and social role.	5	Fundamental access to political power and rule.	5	Part of a lifelong civic progression.	4	Citizenship is stable and structural.	0	Central feature of contemporary Greek civic life.	3	Links existing roles to normative courses of training.	0	Citizenship does not technically define training programs.	-348	treatise
tlg0032.tlg015.perseus-eng1::10	tlg0032.tlg015.perseus-eng1	Xenophon	Constitution of the Athenians	Classical (500–360 BCE)	['Wealth / Properties']	Wealthy obligation to land defense	The wealthy	Protection from property damage	LESS	"[""the farming portion of the community and the wealthy landowners are ready to cringe before the enemy overmuch, whilst the People, knowing full well that, come what may, not one stock or stone of their property will suffer, nothing will be cut down, nothing burnt, lives in freedom from alarm, without fawning at the enemy's approach.""]"	The text highlights a structural difference in exposure to risk based on wealth: the poor (the 'People') possess no land to be ravaged, while the landowners bear the material loss of enemy invasions, affecting their political behavior.	1	1.0	8	5	Land and crop destruction is a direct loss of material wealth and capital.	4	Protection of property is a broad foundational societal concern.	3	Exposure to damage occurs during wartime (episodic but recurring).	3	Wealth/landownership is a durable social status.	0	Describes the political effects of contemporary warfare in Attica.	4	Reports a factual difference in property exposure between classes.	0	Being wealthy does not define one as having land cut down, though it makes it possible.	-394	
tlg0062.tlg034.perseus-eng2::5	tlg0062.tlg034.perseus-eng2	Lucian of Samosata	Anacharsis, or Athletics	High Roman Empire (135–205 CE)	['Citizenship']	Areopagus restriction on rhetorical introductions	Citizens	Protection from biased legal pleading	MORE	['As long as they speak about the case, the court tolerates them and listens in silence; but if anyone prefaces his speech with an introduction in order to make the court more favourable, or brings emotion or exaggeration into the case— tricks that are often devised by the disciples of rhetoric to influence the judges,—then the crier appears and silences them at once, preventing them from talking nonsense to the court and from tricking the case out in words, in order that the Areopagites may see the facts bare.']	The text describes a specific procedural rule in the Athenian murder court (Areopagus) that forbids emotional or irrelevant introductions, ensuring litigants are judged on facts rather than rhetorical skill.	0	1.0	9	4	Fair trial procedures represent a concrete legal right with life/death consequences.	3	Refers to specific procedural technicalities in a murder trial.	2	Protections are bounded to the episode of a single trial.	4	Citizenship is a structural birth-status.	1	Dialogue set in the historical past of Solon.	5	States the well-attested procedural bans of the Areopagus as plain fact.	0	Silence of the crier is not part of the definition of citizenship.	155	dialogue
tlg0086.tlg035.perseus-eng2::62	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Occupation']	Artisan exclusion from office	Artisans	Eligibility for the archonship	LESS	['Hence in some states manual laborers were not admitted to office in old times, before the development of extreme democracy.']	The text describes a historical legal rule where manual laborers (mechanic artisans) were formally barred from holding public office based on their occupation.	0	1.0	10	4	Eligibility for office is a core legal right with material power.	3	Specific to the holding of public office.	4	The exclusion lasted as long as one remained in that occupation.	3	Occupation (artisan) is a durable identity but potentially changeable.	1	Refers explicitly to 'old times' before extreme democracy.	5	Historical report of office eligibility rules.	0	Being an artisan is an occupation, not a definition of office exclusion.	-348	treatise
tlg0014.tlg059.perseus-eng2::4	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	['Citizenship', 'Gender', 'Freedom']	Slave status of children	Slaves	Right to personal freedom	LESS	['There were these seven girls who were purchased while they were small children by Nicaretê, who was the freedwoman of Charisius the Elean and the wife of his cook Hippias. ... She called them by the name of daughters in order that, by giving out that they were free women, she might exact the largest fees from those who wished to enjoy them. When she had reaped the profit of the youthful prime of each, she sold them, all seven, without omitting one']	The text establishes that individuals born or purchased into slavery (the girls) are treated as property (chattel) and have no right to freedom or self-determination, contrasted with the 'lie' of being free daughters.	1	1.0	9	5	Total loss of freedom (enslavement) is the ultimate material deprivation.	5	Freedom vs. enslavement is a foundational societal axis.	5	Slave status is lifelong and hereditary.	4	Enslavement is a rigid legal/structural status.	0	Refers to the contemporary treatment of slaves in 4th c. BCE Athens.	5	Describes the purchase and sale of individuals as plain factual behavior.	1	Slaves lacking freedom is the definition of slavery.	-348	
tlg0086.tlg035.perseus-eng2::82	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Citizenship']	Citizen participation in government	Citizens	Right to share in governing	MORE	['and a citizen is in general one who shares in governing and being governed, although he is different according to each form of constitution, but in relation to the best form a citizen is one who has the capacity and the will to be governed and to govern with a view to the life in accordance with virtue.']	The author defines the general constitutive rule of Greek city-states: that the status of 'citizen' grants the resource of political participation (ruling and being ruled).	1	1.0	10	4	Sharing in governing provides direct power over laws and resources.	5	Fundamental definition of political existence and rights.	5	Lifelong role as a member of the sovereign body.	4	Citizenship is legal birth-status, very difficult to leave or acquire.	0	Definition applies to the contemporary Greek conception of the state.	5	Plain description of what a citizen is in his society.	1	The definition provided for 'citizen' is literally one who 'shares in governing'.	-348	treatise
tlg0086.tlg035.perseus-eng2::131	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Lineage', 'Wealth / Properties']	Noble claim to unequal rights	Nobility	Right to unequal (superior) status	MORE	['And there are some men who being superior in birth claim unequal rights because of this inequality; for persons who have ancestral virtue and wealth behind them are thought to be noble.']	Aristotle identifies high birth (nobility) and ancestral wealth as criteria used to justify giving specific groups more rights and resources than the general population.	1	1.0	9	4	The right to unequal status includes specific legal exemptions and political privileges.	5	Unequal (superior) rights cover a broad class of social and legal life outcomes.	5	Ancestral status is hereditary and persists throughout the individual's entire life.	5	Lineage and 'ancestral virtue' are birth-fixed and strictly immutable.	0	Refers to the persistent claims and social rules of noble families in fourth-century Greece.	4	Reported as a social fact of how certain groups claim and exert their status.	0	While nobility implies status, specific 'unequal rights' are a legal addition to birth birth.	-348	treatise
tlg0059.tlg008.perseus-eng2::20	tlg0059.tlg008.perseus-eng2	Plato	Statesman	Classical (500–360 BCE)	['Wealth / Properties', 'Citizenship']	Wealth-based jury selection	The rich	Right to serve as a judge	MORE	['there will have to be sessions of courts in which the judges are chosen by lot either from a selected list of the rich or from the whole people, and the rulers will have to be brought before these courts and examined as to their conduct in office']	The passage identifies that in contemporary legal systems, judges for the accountability of rulers are selected either from the general citizenry or specifically from the wealthy, identifying wealth as a criterion for the resource of judicial power.	1	1.0	9	4	Serving as a judge grants power over legal outcomes and penalties.	4	Judicial power is a broad structural resource.	2	Brief episode (serving for specific court sessions).	3	The 'rich' are a durable wealth group.	0	Refers to contemporary selection for law courts.	5	Reported as a fact of how contemporary courts are composed.	0	Being rich does not definitionally include being a judge.	-393	dialogue
tlg0086.tlg035.perseus-eng2::161	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Citizenship']	Forced labor for public works	Subjects	Protection from forced labor	LESS	['And it is a device of tyranny to make the subjects poor, so that a guard may not be kept, and also that the people being busy with their daily affairs may not have leisure to plot against their ruler. Instances of this are the pyramids in Egypt and the votive offerings of the Cypselids, and the building of the temple of Olympian Zeus by the Pisistratidae']	The text identifies a systematic practice of employing the populace in massive building projects to ensure they remain poor and occupied, effectively depriving them of leisure and wealth.	1	1.0	9	5	Forced labor for public works (pyramids, temples) is a direct material exploitation of labor.	4	Covers a broad category of labor extraction and impoverishment.	4	Often long-term projects (years/decades) that define a life stage.	4	The 'subjects' / 'the people' are a stable civic group.	0	Presented as a general 'device of tyranny' with recent and old examples.	5	Describes the practice and its objective as a factual political mechanism.	0	Being a subject does not define one as a forced laborer for large projects.	-348	treatise
tlg0086.tlg035.perseus-eng2::61	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['Freedom']	Master's exemption from menial labor	Masters	Exemption from executing menial tasks	MORE	['one form of authority is that of a master; by this we mean the exercise of authority in regard to the necessary work of the house, which it is not necessary for the master to know how to execute, but rather how to utilize; the other capacity, I mean the ability actually to serve in these menial tasks, is indeed a slave’s quality.']	Aristotle identifies a rule of the household where the master is granted the resource of leisure/exemption from physical labor, while the execution of those tasks is defined as the domain of the slave.	1	1.0	9	5	Exemption from menial labor is a direct entitlement regarding bodily use/leisure.	4	Foundational to the distinction between master/slave lifestyles.	5	Masters hold this exemption for as long as they retain their status.	4	Master status is a durable, structural legal and class position.	0	Discusses the internal structure of the contemporary household.	3	A mix of actual household norms and Aristotle's theoretical justification.	0	A master is defined by authority, not the specific exemption from labor.	-348	treatise
tlg0086.tlg035.perseus-eng2::4	tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Late Classical (354–165 BCE)	['FreedomState']	Slave as master's total property	Slaves	Right to self-ownership	LESS	['Hence whereas the master is merely the slave’s master and does not belong to the slave, the slave is not merely the slave of the master but wholly belongs to the master. These considerations therefore make clear the nature of the slave and his essential quality: one who is a human being belonging by nature not to himself but to another is by nature a slave, and a person is a human being belonging to another if being a man he is an article of property, and an article of property is an instrument for action separable from its owner.']	Aristotle defines the legal and natural status of a slave in his society as being the total property of another, lacking any right to self-ownership or autonomy.	1	1.0	10	5	Complete loss of self-ownership and autonomy.	5	Slavery is a foundational societal axis.	5	Lifelong/structural status.	4	Legal birth-status (or capture), hard to reverse.	0	Reflects the author's contemporary social reality.	2	Analytical definition for the purpose of philosophical classification.	1	Directly restates the definition of a slave as property belonging to another.	-348	treatise
tlg0032.tlg015.perseus-eng1::6	tlg0032.tlg015.perseus-eng1	Xenophon	Constitution of the Athenians	Classical (500–360 BCE)	['Citizenship']	Allied litigation in Athenian courts	Foreigners	Right to local adjudication	LESS	['it is looked upon as a mistaken policy on the part of the Athenian democracy to compel her allies to voyage to Athens in order to have their cases tried. [...] Whereas now every single individual among the allies is forced to pay flattery to the People of Athens because he knows that he must betake himself to Athens and win or lose his case at the bar, not of any stray set of judges, but of the sovereign People itself, such being the law and custom at Athens.']	The text describes a legal requirement where citizens of allied states (non-Athenian citizens) are forced by Athenian law and custom to travel to Athens for legal trials rather than having them heard in their home territories.	1	1.0	10	4	Right to local adjudication has direct material effects on legal costs and success.	3	Specifically concerns the venue and jurisdiction of legal trials.	3	Applies per trial, though the rule itself is a recurring structural burden.	4	Foreign (allied) status is a fixed legal birth-status in this context.	0	Describes contemporary Athenian imperial legal procedures.	5	The requirement to sail to Athens for trial is a well-attested historical fact.	0	Being a foreigner does not inherently mean one's courts are in Athens.	-394	
