rule_uid,file_id,work_name,author,impact_year,polity,criteria,criterion_label,in_group,out_group,resource,resource_std,speaker,verbatim,matched_keywords,rule_category,reasoning,specificity,specificity_reasoning,confidence,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,vote,comment
tlg0199.tlg001.perseus-eng2#6,tlg0199.tlg001.perseus-eng2,Epinician Odes,Bacchylides,-480,,Age,Elderly political exclusion,Elders,,Right to physical youth/vitality for competition,Military,LESS,"[§3] It is not lawful for a man to bypass gray old age, and recover flourishing youth.",Age-based political exclusion,Age-based political exclusion,"The text states it is 'not lawful' (themis/customary law) to regain youth, effectively barring older men from resources tied to physical excellence like athletic competition or peak military service.",2,"Old age is a state eventually reached by all who survive, making this a general societal condition.",6,gemini_v18,,,,,
tlg1216.tlg001.perseus-eng1#30,tlg1216.tlg001.perseus-eng1,Epistle of Barnabas,Barnabas,36,,Age,Infant life protection,Children,,Protection from infanticide and abortion,Body integrity,MORE,"[§195] Thou shalt not procure abortion, thou shalt not commit infanticide.",Protection of children,Protection of children,"The text explicitly forbids abortion and infanticide as part of the 'Way of Light,' establishing a communal rule where infants and the unborn are granted the right to life and protection from lethal harm.",1,This rule applies to all children/infants within the community and prohibits actions by any member.,10,gemini_v18,,,,,
tlg1216.tlg001.perseus-eng1#16,tlg1216.tlg001.perseus-eng1,Epistle of Barnabas,Barnabas,36,,Ethnicity|Religion,Baptismal remission of sins,Israelites,,Access to baptism for remission of sins,Legal standing,LESS,"[§122] Concerning the water it has been written with regard to Israel that they will not receive the baptism that brings the remission of sins, but will build for themselves.",Access to judicial protection,Access to judicial protection,"The author explicitly states that the group (Israel) is barred from or fails to receive the specific civic/religious mechanism of baptism which grants the 'remission of sins' (a form of legal/spiritual pardon), contrasting them with the author's own group.",4,This rule applies to a large ethnic/religious collective (Israel) within the context of the author's theological-legal framework.,10,gemini_v18,,,,,
tlg1271.tlg002.perseus-eng1#7,tlg1271.tlg002.perseus-eng1,,Clement of Rome,88,,Gender,Gender-neutral social interaction,Men and Women,,Right to be viewed as a sexual/gendered entity,Marriage and family,LESS,"[§93] [5] And by the male with the female neither male nor female he means this, that when a brother sees a sister he should have no thought of her as female, nor she of him as male.",Family/Social restriction,Family/Social restriction,The text mandates a specific internal and social regulation where gender distinctions must be collapsed in communal interaction ('brother' and 'sister'). This removes the standard social/sexual recognition of gender categories within the group's protocol.,3,This applies to all male and female members of the religious community.,8,gemini_v18,,,,,
tlg0535.tlg001.perseus-eng2#4,tlg0535.tlg001.perseus-eng2,Speech on Twelve Years,Demades,-345,,Occupation,Counselor accountability,Politicians,,Protection from liability for policy outcomes,Legal standing,LESS,"[§35] It Is unjust therefore that an adviser should be held accountable for circumstances and for events whose outcome rested with fortune. | [§59] It seems, therefore, the harshest imaginable rule that a man should be held accountable in time of peace for his administration during war.",Legal procedure,Legal procedure,The text highlights a customary or legal practice in Athens where political leaders (advisers/statesmen) are put on trial and held legally responsible for the failure of the policies they proposed.,6,This applies specifically to those citizens who enter the 'public life' or serve as political advisers.,9,gemini_v18,,,,,
tlg0014.tlg019.perseus-eng2#50,tlg0014.tlg019.perseus-eng2,On the False Embassy,Demosthenes,-348,,Citizenship,Bribe-taking capital punishment,Citizens,,Protection from the death penalty for corruption,Body integrity,LESS,"[§265] Clerk, take this and read it.—For I would have you know that you are treating with indifference offences such as your forefathers once punished with death.",Access to judicial protection,Access to judicial protection,Demosthenes cites historical legal precedent (the judgment of the ancestors) stating that bribery and betrayal of public trust was a capital offense.,3,This rule applied broadly to any citizen involved in public affairs or diplomacy who accepted bribes.,9,gemini_v18,,,,,
tlg0014.tlg019.perseus-eng2#38,tlg0014.tlg019.perseus-eng2,On the False Embassy,Demosthenes,-348,,Occupation,Ambassadorial financial accountability,Ambassadors,,Right to submit to public scrutiny,Legal standing,MORE,"[§206] I wished to do the honest thing, and to give an account of myself twice, because I had been appointed ambassador twice; but Aeschines approached the Court of Scrutiny, taking with him a crowd of witnesses, and forbade them to summon me, on the ground that I had already submitted to scrutiny, and was no longer liable.",Access to judicial protection,Access to judicial protection,"Athenian law required officials, specifically ambassadors, to undergo a 'scrutiny' (euthunai) or accounting of their conduct. Demosthenes highlights this as a legal obligation and a right to clear one's name, which his opponent attempted to block.",8,This rule applies only to the very small number of citizens appointed to diplomatic missions.,10,gemini_v18,,,,,
tlg0029.tlg004.perseus-eng2#6,tlg0029.tlg004.perseus-eng2,Against Demosthenes,Dinarchus,-324,,Citizenship,Exile return prohibition,Exiles,,Right to set foot on Athenian soil,Freedom,LESS,"[§44] Taurosthenes whom the laws forbid to set foot on Athenian soil, providing that if he does so he shall be liable to the same penalties as an exile who returns after being sentenced by the Areopagus.",Restriction of personal freedom,Restriction of personal freedom,The text references a standing law that prohibits individuals sentenced to exile by the Areopagus from returning to Athenian territory under threat of severe penalty.,4,This applies to a specific legal class of persons (convicted exiles) rather than the general population.,10,gemini_v18,,,,,
tlg0557.tlg001.perseus-eng4#120,tlg0557.tlg001.perseus-eng4,All the works of Epictetus which are now extant,Epictetus,85,,Gender,Male depilation prohibition,Men,,Right to bodily hair preservation,Body integrity,MORE,"[§61] A woman is naturally smooth and delicate, and if hairy, is a monster, and shown among the monsters at Rome. It is the same thing in a man not to be hairy; and if he is by nature not so, he is a monster. But if he depilates himself, what shall we do with him? Where shall we show him, and how shall we advertise him? man to be seen, who would rather be a woman.",Gender-based grooming restriction,Gender-based grooming restriction,Epictetus describes a rigid social and natural rule where men must maintain body hair to avoid being classified as 'monsters' or socially scandalous figures. Voluntary depilation is presented as a violation of the male essence that leads to public shaming.,3,This is a general cultural and gendered norm applying to all free men in Roman/Greek society of the period.,9,gemini_v18,,,,,
tlg0006.tlg019.perseus-eng3#4,tlg0006.tlg019.perseus-eng3,Rhesus,Euripides,-445,,Occupation|Nobility,Royal command authority,Kings,,Right to command and mobilize the army,Political power,MORE,"[§6] Hector: I will not stay, but will this very night engage the Argive army there where their ships are hauled up. ... Aeneas: Send out the spy at once; there’s safety in your counsels now.",Access to political power,Access to political power,"As the supreme military leader/prince, Hector possesses the concrete right to order the movement of all allied troops and determine the timing of engagement, a power acknowledged by other high-ranking nobles like Aeneas.",9,This power is concentrated in a very small number of individuals at the top of the political hierarchy.,10,gemini_v18,,,,,
tlg0057.tlg010.perseus-eng2#39,tlg0057.tlg010.perseus-eng2,On the Natural Faculties,Galen,164,,Occupation|Education,Practitioner causal exclusion,Medical practitioners,,Right to investigate primary causes,Economic privileges,LESS,"[§28] This is no concern of ours, they say; we do not occupy ourselves with such causes as these; they are outside the sphere of the practitioner, and belong to that of the scientific investigator.",Professional restriction,Professional restriction,"The followers of Erasistratus, representing the 'practitioners', explicitly state that the investigation of underlying causes is not their concern/sphere, effectively limiting their professional scope to functional application rather than theoretical inquiry.",7,This applies to a specific professional group (physicians) and their internal self-definition of labor.,9,gemini_v18,,,,,
tlg1419.tlg001.perseus-eng1#120,tlg1419.tlg001.perseus-eng1,The Shepherd of Hermas,Hermas,150,,Wealth / Properties|Religion,Religious housing allocation,Wealthy believers,,Right to reside in central communal housing,Economic privileges,LESS,"[§601] And those who gave up their sticks two-thirds dry, and one-third green, these are they who were faithful, but became rich and in honour among the heathen; then they put on great haughtiness and became high-minded, and abandoned the truth, and did not cleave to the righteous, but lived together with the heathen, and this way pleased them better. [...] For these, then, who became double-minded because of their deeds there is still repentance, but their repentance must be speedy that their dwelling may be within the tower. But for those who do not repent, but remain in their pleasures, death is near.",Access to communal resources,Access to communal resources,"The text describes a specific spatial organization of the community (the tower vs outside/death). Wealthy members who prioritize their riches and social status among 'the heathen' lose their right to 'dwell in the tower' (the symbol for the community of the saved), unless they quickly repent and divest from their haughtiness.",4,This rule targets a specific socio-economic subset (the wealthy) within the religious community.,9,gemini_v18,,,,,
tlg0020.tlg002.perseus-eng2#2,tlg0020.tlg002.perseus-eng2,Works and Days,Hesiod,-740,,Freedom,Slave social exclusion,Slaves,,Right to leisure in public spaces,Freedom,LESS,"[§34] Pass by the smithy and its crowded lounge in winter time when the cold keeps men from field work,— for then an industrious man can greatly prosper his house [implicitly contrasted with slaves who must work].",Exclusion from social spaces,Exclusion from social spaces,"While free men are advised to avoid the smithy to work, the surrounding context of the 'Works' specifically commands masters to keep slaves busy during times when free men might rest, effectively denying slaves the resource of leisure in communal spaces.",3,Relates to the entire class of enslaved manual laborers.,7,gemini_v18,,,,,
tlg0627.tlg010.perseus-eng2#12,tlg0627.tlg010.perseus-eng2,The Art,Hippocrates,-465,,Age,Medical care for infants,Infants,,Corrective medical treatment for dislocations,Health,MORE,"[§29] When the dislocation takes place at birth, during adolescence the bones below the dislocation are shortened, and the flesh is wasted rather on the opposite than on the same side with the dislocation.",Access to medical care,Access to medical care,The text describes the physiological consequences of infant dislocations and the subsequent chapters detail the methods of reduction (medical correction). This implies that infants (at birth) are subjects of medical intervention and orthopedic care within this society.,3,This applies to a broad demographic (infants with injuries) and describes a standard medical practice for that age group.,10,gemini_v18,,,,,
tlg0012.tlg001.perseus-eng3#114,tlg0012.tlg001.perseus-eng3,Iliad,Homer,-750,,Age|Gender,Total war extermination,Male children,,Protection from execution in war,Body integrity,LESS,"[§94] Of them let not one escape sheer destruction and the might of our hands, nay, not the man-child whom his mother bears in her womb; let not even him escape, but let all perish together out of Ilios, unmourned and unmarked.",Denial of bodily protection,Denial of bodily protection,"Agamemnon explicitly overrides the custom of mercy/ransom to demand the systematic killing of all Trojan males, including the unborn, establishing a rule of total extermination for the enemy group.",3,This command targets an entire gender/age demographic of a specific city-state during war.,10,gemini_v18,,,,,
tlg0012.tlg001.perseus-eng3#473,tlg0012.tlg001.perseus-eng3,Iliad,Homer,-750,,Wealth / Properties,Exemption from military service,The wealthy,,Right to avoid combat through payment,Military,MORE,"[§410] The mare had Anchises' son Echepolus given to Agamemnon without price, to the end that he might not follow him to windy Ilios, but might abide at home and take his joy; for great wealth had Zeus given him, and he dwelt in spacious Sicyon.",Grant of military exemption,Grant of military exemption,The text explicitly mentions a specific instance of a wealthy man providing a high-value resource (a mare) to the supreme commander in exchange for being allowed to remain at home instead of joining the expedition to Troy.,7,This describes a rule available only to those with significant 'great wealth' to offer as a bribe or gift to a king.,9,gemini_v18,,,,,
tlg0030.tlg003.perseus-eng2#6,tlg0030.tlg003.perseus-eng2,,Hyperides,-360,,Citizenship,Metic travel restriction,Metics,,Freedom of movement during wartime,Freedom,LESS,"[§32] To prove that what I say is true the clerk will read you first the law, which forbids metics to move in war time, then the evidence of the Troezenians and also the Troezenians’ decree passed by them in honor of your city, in return for which you welcomed them and made them citizens.",Restriction of personal freedom,Restriction of personal freedom,"The text explicitly references an Athenian law that prohibits resident aliens (metics) from changing their location or leaving the city during periods of war, indicating a specific legal restriction on their liberty of movement compared to citizens.",4,"This rule applies to the entire class of resident aliens (metics) in Athens, which was a significant but distinct portion of the population.",10,gemini_v18,,,,,
tlg1443.tlg001.perseus-eng1#51,tlg1443.tlg001.perseus-eng1,Epistle of Ignatius to the Trallians,Ignatius of Antioch,70,,Gender,Widow protection mandate,Widows,,Right to communal protection and care,Legal standing,MORE,[§295] Let not the widows be neglected. Be yourself their protector after the Lord.,Access to judicial protection,Access to judicial protection,"Ignatius explicitly commands the bishop to serve as the protector of widows, ensuring they are not neglected within the social structure of the early Christian community.",4,"Widows represent a specific vulnerable demographic within the broader community, and the rule mandates a specific official (the bishop) to oversee them.",10,gemini_v18,,,,,
tlg1443.tlg001.perseus-eng1#40,tlg1443.tlg001.perseus-eng1,Epistle of Ignatius to the Trallians,Ignatius of Antioch,70,,Religion|Occupation,Deacon diplomatic appointment,Deacons,,Right to act as official diplomatic ambassador,Political power,MORE,"[§232] it is proper for you, as a Church of God, to appoint a deacon to go as the ambassador of God to it, to congratulate those who are gathered together, and to glorify the Name. [...] even as the neighbouring Churches have sent bishops, and others presbyters and deacons.",Grant of economic privilege,Grant of economic privilege,"The text describes a customary rule where deacons (and other clergy) are granted the specific legal/communal right to represent their city/church in foreign embassies ('ambassador of God'), a role carrying social prestige and travel resources.",6,This applies to a specific subset of the clergy tasked with external relations.,9,gemini_v18,,,,,
tlg0017.tlg011.perseus-eng2#5,tlg0017.tlg011.perseus-eng2,On the Estate of Hagnias,Isaeus,-384,,Wealth / Properties,Testamentary adoption right,Property owners,,Right to designate heirs by adoption,Property and inheritance,MORE,"[§1] When he was at the point of death he adopted a daughter, stipulating in his will that, if anything should happen to her, the estate should pass to Glaucon... | [§9] ...he did not leave his possessions, in case anything happened to him, to us, his nearest relatives, but adopted a niece; and if anything happened to her, he devised his property to Glaucon...",Grant of economic privilege,Grant of economic privilege,Citizens with property had the legal right to bypass 'next-of-kin' default rules by explicitly adopting an heir and creating a testamentary disposition.,3,This applies to any head of household (kyrios) wishing to control the devolution of their estate.,10,gemini_v18,,,,,
tlg0010.tlg019.perseus-eng2#21,tlg0010.tlg019.perseus-eng2,Antidosis,Isocrates,-400,,Gender,Political participation through office,Able-bodied men,,Candidacy for generalship,Political power,MORE,"[§116] For you elect as your generals men who have the most robust bodies and who have served in many campaigns with foreign armies, thinking that under their leadership you will have some success.",,,The text indicates a customary preference or rule in the Athenian assembly to elect individuals with physical strength and foreign military Experience to the office of General.,5,This affects the pool of citizen men eligible for high military office based on physical health and resume.,9,gemini_v18,,,,,
tlg0010.tlg021.perseus-eng2#24,tlg0010.tlg021.perseus-eng2,Panathenaicus,Isocrates,-400,,Lineage,Tribal magistrate selection,Tribal members,,Right to be appointed to magistracies,Political power,MORE,[§145] At the same time they appointed to the magistracies those who had been selected beforehand by the members of their respective tribes and townships,Access to political office,Access to political office,The text outlines a rule where local subgroups (tribes and demes) had the concrete right to select their own members for higher state offices.,3,This encompasses the majority of the citizen body participating in their respective local units.,9,gemini_v18,,,,,
tlg0062.tlg068.perseus-eng4#9,tlg0062.tlg068.perseus-eng4,Dialogues of the Gods,Lucian,155,,Gender,Polygamous marriage by location,Husbands,,Right to maintain multiple wives in different locations,Marriage and family,MORE,"[§37] Hermes: Because one is his wife in Lemnus and the other in Heaven. Besides, Aphrodite cares most about Ares; he is her real love; so she does not trouble her head about the blacksmith.",Access to multiple marriages,Access to multiple marriages,Literary Lucian explains Hephaestus's lack of domestic conflict despite having two wives by citing their separate locations. This reflects a social reality where maintaining separate households could facilitate or validate multiple marital-like arrangements.,5,I chose 5 because this relates to the specific marital customs and the ability of certain men to maintain separate households across different territories.,7,gemini_v18,,,,,
tlg0062.tlg066.perseus-eng3#39,tlg0062.tlg066.perseus-eng3,Dialogues of the Dead,Lucian of Samosata,155,,Occupation,Executioner liability exemption,Occupational subordinates,,Protection from responsibility for homicide,Legal standing,MORE,"[§113] MINOS Clearly the judge or the tyrant, since the actual sword can’t be blamed; for it merely serves as a tool to serve the passion of the person who is responsible in the first instance.",Protection from legal liability,Protection from legal liability,The text establishes a legal/customary principle that those acting under direct compulsion or command (like public executioners or mercenaries obeying a judge/tyrant) are not held responsible for the killings they perform; the liability lies with the superior.,4,"It applies to specific professional roles such as executioners, mercenaries, and servants acting under orders.",9,gemini_v18,,,,,
tlg0062.tlg066.perseus-eng3#28,tlg0062.tlg066.perseus-eng3,Dialogues of the Dead,Lucian of Samosata,155,,Occupation,Public mourning exclusion,Cynic philosophers,,Right to public funeral rites,Religious access,LESS,"[§81] But nobody weeps for you, Menippus; you’re the only one lying in peace. MENIPPUS Not so; soon you’ll hear the dogs howling most piteous laments over me, and the ravens flapping their wings in mourning, when they gather and perform my burial.",Social exclusion,Social exclusion,"Menippus, representing the Cynic philosopher, identifies a societal rule where those who reject social norms are excluded from formal civic and familial mourning rituals (weeping, dirges), receiving instead a 'natural' burial by animals.",7,Applies to the specific group of philosophers who lead a life of 'independence and plain speaking' outside traditional kin structures.,8,gemini_v18,,,,,
tlg0061.tlg003.perseus-eng1#7,tlg0061.tlg003.perseus-eng1,De domo,Lucian of Samosota,150,,Occupation,Military revenue allocation,Soldiers,,Access to state theatre funds for military use,Economic privileges,MORE,"[§36] He transfers the revenues from state theatre to state armament, re-creates with his navy bill a fleet disorganized to the verge of extinction.",Access to public resources,Access to public resources,The text describes a specific legal change (the 'navy bill') where public funds previously guaranteed for citizen entertainment (theoric fund) were legally redirected to military defense and the navy.,4,Affects the funding of the entire military apparatus and the redirection of funds from the general citizenry.,9,gemini_v18,,,,,
tlg0061.tlg003.perseus-eng1#3,tlg0061.tlg003.perseus-eng1,De domo,Lucian of Samosota,150,,Citizenship,Citizenship-based litigation right,Citizens,,Right to bring suit in court,Legal standing,MORE,"[§10] As for its laws and courts and festivals, its Piraeus and its colonies, the memorials set up in it of victory by land and sea, Demosthenes himself is the authority for saying that no words could do justice to them. | [§18] when you behold on this side decrees, ambassadors, speeches, laws",Access to judicial protection,Access to judicial protection,"The text highlights the 'laws and courts' of Athens as a specific resource belonging to the citizen body (represented by Demosthenes), through which they exercise political power and legal self-defense.",2,Applies to the entire active citizen body of Athens.,9,gemini_v18,,,,,
tlg0034.tlg001.perseus-eng2#8,tlg0034.tlg001.perseus-eng2,Against Leocrates,Lycurgus,-354,,Freedom,Emergency manumission,Slaves,,Freedom from enslavement,Freedom,MORE,"[§42] ...the sight which would most surely have stirred the onlooker and moved him to tears over the sorrows of Athens was to see the people vote that slaves should be released, that aliens should become Athenians and the disfranchised regain their rights...",Access to status,Access to status,"During the extreme emergency following the defeat at Chaeronea, the Athenian assembly voted for an extraordinary measure to release slaves, granting them freedom to bolster the city's defense.",3,"This was a collective grant affecting many individuals, though triggered by a specific historical crisis.",9,gemini_v18,,,,,
tlg0540.tlg012.perseus-eng2#19,tlg0540.tlg012.perseus-eng2,Against Eratosthenes,Lysias,-409,,Age,Debt-based enslavement,Children,,Protection from enslavement for petty debts,Freedom,LESS,"[§98] Of your children, as many as were here would have been foully assaulted by these men, while those in foreign parts would have been enslaved for petty debts, cut off from all possible assistance.",Restriction of personal freedom,Restriction of personal freedom,"Lysias points out a vulnerability where children of exiles or those in 'foreign parts' were susceptible to being enslaved to cover small debts, indicating a lack of legal protection for this group's freedom.",6,This refers specifically to the children of the disenfranchised or those living outside the city's protection.,7,gemini_v18,,,,,
tlg0540.tlg013.perseus-eng2#10,tlg0540.tlg013.perseus-eng2,Against Agoratus,Lysias,-409,,Gender,Adultery capital punishment,Men,,Protection from execution for adultery,Body integrity,LESS,"[§68] Then again, he attempted... to debauch and defile free-born wives of our citizens, and was taken in adultery; and for that the penalty is death.",Body integrity,Body integrity,"Lysias states that the legal penalty for a man caught in adultery with a free-born citizen wife is death, indicating a severe restriction on bodily integrity for those violating marital boundaries.",5,Applies to any man caught in the specific act of adultery.,10,gemini_v18,,,,,
tlg0031.tlg005.perseus-eng2#16,tlg0031.tlg005.perseus-eng2,,New Testament,100,,Gender,Widow social support access,Widows,,Right to receive daily food service,Economic privileges,MORE,"[§184] Now in those days, when the number of the disciples was multiplying, there arose a grumbling of the Grecian Jews against the Hebrews because their widows were neglected in the daily service.",Access to public resources,Access to public resources,"The text describes a systematic daily service or distribution of resources intended for widows within the community. The 'grumbling' arises because a specific subgroup of widows was being neglected, implies an established rule or expectation that all widows in the group are entitled to this material support.",4,This applies to a specific demographic (widows) within a growing but still defined religious community in Jerusalem.,9,gemini_v18,,,,,
tlg0525.tlg001.perseus-eng2#114,tlg0525.tlg001.perseus-eng2,Description of Greece,Pausanias,150,,Occupation,Military burial rights,Deceased soldiers,,Right to burial by relatives,Legal standing,MORE,"[§307] For Creon, who at that time ruled in Thebes as guardian of Laodamas the son of Eteocles, refused to allow the relatives to take up and bury their dead. But Adrastus having supplicated Theseus, the Athenians fought with the Boeotians, and Theseus being victorious in the fight carried the dead to the Eleusinian territory and buried them here.",Access to judicial protection,Access to judicial protection,"While the specific incident is legendary, Pausanias uses it to explain the physical graves in his own time. The conflict centers on the violation of a pan-Hellenic customary law: that fallen soldiers have a right to be recovered and buried by their kin, a rule Theseus enforces through war.",4,This applies broadly to the families of any soldiers killed in conflict.,7,gemini_v18,,,,,
tlg0525.tlg001.perseus-eng2#480,tlg0525.tlg001.perseus-eng2,Description of Greece,Pausanias,150,,Gender,Prohibited female spatial access,Women,,Freedom of movement near the Alpheius,Freedom,LESS,"[§1423] [7] It is a law of Elis to cast down it any women who are caught present at the Olympic games, or even on the other side of the Alpheius, on the days prohibited to women.",Restriction of personal freedom,Restriction of personal freedom,The law doesn't just bar women from the games themselves but restricts their physical presence in the territory beyond the Alpheius river during prohibited times.,4,Applies to half the population within a specific regional context during a recurring event.,10,gemini_v18,,,,,
tlg0033.tlg001.perseus-eng2#17,tlg0033.tlg001.perseus-eng2,Olympic Odes,Pindar,-481,,Lineage,Inheritance to strangers,Dying men without heirs,,Right to keep property within the family line,Property and inheritance,LESS,[§10] since his wealth falling into the hands of a stranger who is master of another home is the most hateful thing to a dying man.,Denial of property rights,Denial of property rights,The text describes the transfer of wealth to a 'stranger' as a hateful but real outcome for a man reaching the end of his life without a 'long-desired child' (an heir). This reflects an inheritance system where lack of direct legitimate offspring results in the loss of family estate to outsiders.,3,"This concerns any male property owner who fails to produce a legitimate heir, a significant legal contingency in Greek city-states.",9,gemini_v18,,,,,
