rule_uid	file_id	perseus_author	perseus_title	period	criteria	rule	group	resource	directionality	verbatim	reasoning	contemporary	factuality	confidence	resource_materiality	materiality_reasoning	resource_generality	generality_reasoning	resource_persistence	persistence_reasoning	group_immutability	immutability_reasoning	rule_contemporarity	contemporarity_reasoning	opinion_vs_fact	opinion_vs_fact_reasoning	tautology	tautology_reasoning	work_author_polity_cliopatria	work_polity	work_polity_reasoning	work_time_reference	work_time_start	work_time_end	work_time_reasoning	rule_polity	rule_polity_reasoning	rule_date	rule_time_reasoning	year	genre
tlg0004.tlg001.perseus-eng2::135	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Ethnicity']	Massagetae communal marriage	Massagetae	Communal access to wives	MORE	['The Massagetae, acording to Eudoxus in the first book of his Voyage round the World, have their wives in common; the Greeks have not.']	This identifies a specific social convention belonging to the Massagetae regarding the distribution of marital rights/access compared to the Greek model of private marriage.	1	1	9.0	4	Communal marriage rights affect household structure and labor.	4	Broad rule governing reproductive and social association.	5	Structural societal norm governing lifelong relations.	5	Massagetae is an immutable ethnic/tribal designation.	1	Cites Eudoxus (historical traveler) regarding a foreign tribe.	4	Reported as an ethnographic fact by a cited source.	0	Ethnic identity doesn't define marriage customs.		Greek philosophical tradition (pan-Hellenic)	The work documents the lives and doctrines of major Greek philosophical schools across various poleis.	past	-600.0	300.0	Spans from the Pre-Socratics (c. -600) to the early 3rd century CE, well before the author's likely floruit.	Scythia	The verbatim refers to the social customs of the Massagetae, a nomadic Scythian people.	-360	Diogenes cites Eudoxus' 'Voyage round the World', written c. -360.	210	
tlg0004.tlg001.perseus-eng2::46	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Citizenship']	Citizen right to colonize territory	Citizens	Right to settle in cleruchies	MORE	['He was born, according to some, in Aegina, in the house of Phidiades, the son of Thales, as Favorinus states in his Miscellaneous History, for his father had been sent along with others to Aegina to settle in the island, but returned to Athens when the Athenians were expelled by the Lacedaemonians']	Plato's father was sent to Aegina as part of a group of settlers. This refers to the practice of cleruchies, where Athenian citizens were granted land and the right to settle in conquered or allied territories.	0	1	9.0	5	Right to settle in land allotments (cleruchies) is a tangible property right.	4	Cleruchies were a major structural tool of Athenian expansion.	5	Land settlement is intended to be a permanent/lifelong property right.	4	Athenian citizenship is a structural legal birth-status.	1	Relates to the time of Plato's father (5th century BCE).	5	Reports historical settlement patterns as attested by past historians.	0	Being a citizen does not mean 'settler in Aegina' by definition.		Greek philosophical tradition (pan-Hellenic)	The work documents the lives and doctrines of major Greek philosophical schools across various poleis.	past	-600.0	300.0	Spans from the Pre-Socratics (c. -600) to the early 3rd century CE, well before the author's likely floruit.	Aegina (Athenian Cleruchy)	The rule describes the Athenian system of cleruchies (citizen settlements) on the island of Aegina.	-431	The Athenians expelled the Aeginetans and established a cleruchy at the start of the Peloponnesian War in -431.	210	
tlg0059.tlg006.perseus-eng2::6	tlg0059.tlg006.perseus-eng2	Plato	Theaetetus	Classical (500–360 BCE)	['Health']	Gymnastic preservation of the body	The healthy	Access to physical training	MORE	['Well, then, is not the bodily habit destroyed by rest and idleness, and preserved, generally speaking, by gymnastic exercises and motions?']	Plato references the established social norm and medical belief in Classical Greece that physical exercise (gymnastics) is the mechanism for preserving the 'bodily habit' or physical health, contrasting it with idleness which destroys it.	1	1	10.0	5	Physical health and bodily habit are tangible, bodily entitlements.	4	Covers the general maintenance of the human body.	3	Requires recurring effort; the 'habit' is lost through idleness.	2	Health status is episodic and changeable.	0	Reflects standard medical and social views in Plato's time.	4	Socrates cites this as a widely accepted medical/social principle.	0	Possessing a healthy body is not the definition of 'the healthy'.								Classical Athens	The gymnasium was a central institution of Athenian civic and health life during the Classical period.	-399	The dialogue's dramatic date is 399 BCE, reflecting the established role of gymnastics in Athenian life.	-393	dialogue
tlg0004.tlg001.perseus-eng2::122	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Nobility', 'Lineage']	Renunciation of hereditary kingship	Nobles	Right to hold hereditary office	MORE	['As a proof of his magnanimity Antisthenes in his Successions of Philosophers cites the fact that he renounced his claim to the kingship in favour of his brother.']	The text identifies a specific hereditary status (kingship) held by Heraclitus's family in Ephesus, which was a resource (political power/office) that could be claimed or legally transferred/renounced within the lineage.	0	1	10.0	5	Kingship involves direct control over state resources, wealth, and power.	5	Hereditary supreme office is a foundational societal axis.	5	Kingship/hereditary rank is traditionally a lifelong/structural status.	5	Noble lineage is strictly birth-fixed and immutable.	1	Refers to the historical lineage of Heraclitus in ancient Ephesus.	4	Cites a specific historical act of renunciation of a known legal right.	0	Being a noble does not strictly define one as currently holding a throne.		Greek philosophical tradition (pan-Hellenic)	The work documents the lives and doctrines of major Greek philosophical schools across various poleis.	past	-600.0	300.0	Spans from the Pre-Socratics (c. -600) to the early 3rd century CE, well before the author's likely floruit.	Archaic Ephesus	The rule concerns the hereditary office of the Basileus in Ephesus, which Heraclitus' family held.	-500	Heraclitus flourished c. -500 and famously renounced his hereditary title at this time.	210	
tlg0059.tlg024.perseus-eng2::7	tlg0059.tlg024.perseus-eng2	Plato	Meno	Classical (500–360 BCE)	['Freedom']	Exclusion of slaves from formal education	Slaves	Access to formal academic instruction	LESS	['Now, can anyone have taught him all this? You ought surely to know, especially as he was born and bred in your house. Men. Well, I know that no one has ever taught him.']	Meno's certainty that 'no one has ever taught' the slave geometry or other branches of knowledge reflects the social norm where household slaves were typically not provided with formal intellectual or academic education (like geometry), which was reserved for free citizens.	1	1	8.0	3	Formal academic instruction is a social practice with tangible career/status outcomes.	4	Education is a broad category of social development.	5	The lack of education in youth has lifelong structural effects on the individual.	4	Slavery is a hard-to-change legal and structural birth-status.	0	Reflects the contemporary Athenian exclusion of slaves from the gymnasium and academy.	4	The fact that 'no one has ever taught him' is presented as a known social reality.	0	Slavery is defined by lack of freedom, not necessarily lack of education (some slaves were literate).								Classical Athens	The assumption that a household slave would not have received a formal education in geometry reflects Athenian social stratification.	-385	Reflects the contemporary Athenian distinction between slave labor and the intellectual pursuits of free citizens.	-393	dialogue
tlg0062.tlg030.perseus-eng2::4	tlg0062.tlg030.perseus-eng2	Lucian of Samosata	The Parasite Tychiades	High Roman Empire (135–205 CE)	['Occupation']	Student vulnerability to corporal punishment	Education students	Protection from corporal punishment	LESS	['Every art has to be prefaced by study, hardships, fear and floggings, from which everyone would pray to be delivered. But this art alone, it seems, can be learned without hardships. Who ever went home from a dinner in tears, as we see some going home from their schools?']	The text contrasts the 'art' of parasitism with formal education, noting that students in traditional arts/schools are subject to 'floggings' and physical distress as part of their learning process.	1	1	9.0	5	Protection from bodily harm (flogging) is a material entitlement.	3	Recurring protection from corporal punishment in a specific setting.	3	Bounded to the life stage/period spent in education.	2	Role-bound identity (student) during a specific phase of life.	0	Describes real corporal punishment practices in schools of the time.	4	Reports school floggings as an observed, standard reality.	0	Being a student does not mean being flogged by definition.								Roman Empire	Describes the standard (and often criticized) method of discipline in schools during the Roman period.	165	Dated to Lucian's own time in the 2nd century CE, where corporal punishment in education was common.	155	dialogue
tlg0019.tlg011.perseus-eng1::1	tlg0019.tlg011.perseus-eng1	Aristophanes	Plutus	Classical (500–360 BCE)	['Freedom']	Slave exposure to corporal punishment	Slaves	Protection from corporal punishment	LESS	"['CHREMYLUS. No, but if you worry me I will take off your chaplet, and then you will only get a sounder thrashing.', ""CARIO. That's an old song! I am going to leave you no peace till you have told me who this man is; and if I ask it, 'tis entirely because of my interest in you.""]"	The dialogue establishes that masters have the legal and social right to physically beat (thrash) their slaves, and a slave's protection (like the laurel chaplet) can be removed at the master's discretion.	1	1	9.0	5	Protection from a 'thrashing' (physical assault) is a tangible bodily resource.	5	Bodily integrity is a foundational societal right.	5	Structural vulnerability throughout one's life as a slave.	4	Slave status is a structural legal state.	0	Describes contemporary social reality of master-slave relations.	4	Dialogue illustrates factual power dynamics and the commonality of threat.	0	Slavery does not definitionally include being beaten, though it permits it.								Classical Athens	The master's right to use corporal punishment on a slave was an established norm in Athenian society.	-388	The play reflects the contemporary social and legal realities of 388 BCE Athens.	-409	Old Comedy
tlg0017.tlg008.perseus-eng2::0	tlg0017.tlg008.perseus-eng2	Isaeus	On The Estate of Ciron	Classical (500–360 BCE)	['Gender', 'Lineage']	Male precedence in inheritance	Male descendants	Precedence in estate claims	MORE	"[""the nephew, the son of a brother, ought to have preference over a daughter's issue under the law which ordains that the descendants of males have precedence over those of females.""]"	The text explicitly cites a specific law ('the law which ordains...') governing Athenian inheritance, establishing that descent through a male line grants a stronger legal claim to an estate than descent through a female line.	1	1	10.0	5	Precedence in property claims involves tangible wealth and estate ownership.	5	Inheritance rights are a foundational societal axis for wealth distribution.	5	Legal priority in inheritance is a permanent structural right within the kinship system.	5	The group 'male descendants' is defined by birth-fixed biological sex and lineage.	0	The rule describes a statute in force in the author's contemporary Athens.	5	The speaker explicitly references 'the law which ordains' this priority.	0	Being a male descendant does not inherently mean having legal precedence over females in all societies.								Classical Athens	The verbatim refers to a specific Athenian law regarding inheritance through male vs. female lines.	-360	The speech 'On the Estate of Ciron' is dated for the purpose of this analysis to -360, mid-way through Isaeus's activity.	-384	
tlg0062.tlg059.perseus-eng3::1	tlg0062.tlg059.perseus-eng3	Lucian of Samosata	Harmonides	High Roman Empire (135–205 CE)	['Occupation']	Remuneration for public rhetoric	Sophists	Right to collect fees	MORE	['However I should be surprised if you were to condemn me for my present life—you knew me long ago when I was commanding the highest fees for the public practice of rhetoric, at the time when you went to see the Western Ocean and the lands of the Celts and met me: my fees were as high as those of any professor.']	Lucian describes the established practice of professional rhetoricians (sophists) receiving significant fees for their teaching and public displays, treating it as a standard economic right for that specific occupational group.	1	1	9.0	5	Fees/payment are direct material wealth.	3	Specific to a particular profession (rhetoric/teaching).	4	The ability to command fees is tied to a lifelong professional career.	3	Being a sophist is a durable identity acquired through training.	0	Relates to the author's own professional career in the 2nd century.	5	States the existence of these fees as biographical fact.	0	Sophists are not defined as 'people who get high fees'.								Roman Empire	The professional practice of the Second Sophistic (sophists traveling to Gaul/the West for high fees) is a 2nd-century CE phenomenon.	165	Lucian refers to his own professional career and the fees he commanded during the mid-2nd century CE.	155	
tlg1271.tlg001.perseus-eng1::16	tlg1271.tlg001.perseus-eng1	Clement of Rome	The First Epistle of Clement to the Corinthians	Hellenistic & Early Roman (165 BCE – 105 CE)	['Occupation']	Laity restriction to specific ordinances	Laity	Right to perform priestly ministrations	LESS	['For to the High Priest his proper ministrations are allotted, and to the priests the proper place has been appointed, and on Levites their proper services have been imposed. The layman is bound by the ordinances for the laity.']	The text explicitly limits the layman to a specific set of rules (ordinances for the laity), implying exclusion from the specific duties allotted to the high priests and Levites.	1	1	10.0	3	Access to specific 'ordinances' is a social/ritual role with minor material outcomes.	3	Tied specifically to the procedural technicalities of religious liturgy.	5	Laity is a lifelong structural identity relative to the priesthood.	4	Laity is a formal legal/social category within a religious hierarchy.	1	Refers to the historical/traditional structure of Temple worship.	5	Presents institutional boundaries as objective social facts.	1	Defining a layman as someone bound by the ordinances of the laity is tautological.								Second Temple Judea	Clement refers to the religious limitations placed upon Jewish laity in contrast to the priesthood as a historical lesson for his audience.	-450	The description pertains to the religious governance of Judea during the Second Temple period.	88	
tlg0014.tlg060.perseus-eng2::4	tlg0014.tlg060.perseus-eng2	Demosthenes	The Funeral Speech	Late Classical (354–165 BCE)	['Citizenship', 'Lineage']	State maintenance for war orphans	Minors	Public upbringing and honor	MORE	['In which the children of these men shall be reared in honor and the parents of these men shall enjoy distinction and tender care in their old age, cherishing the fame of these men as an assuagement of their sorrow.']	In the context of the funeral speech, this refers to the Athenian law where the state provided for the maintenance and 'honorable' upbringing of the children of those who fell in battle.	1	1	8.0	5	State rearing and honors involve physical maintenance/subsistence for orphans.	3	Specific recurring provision for war orphans and parents.	3	Bounded to the life stage of childhood/upbringing.	5	Orphan status arising from father's death is immutable.	0	Refers to established Athenian laws on state maintenance.	4	Reports a known institutional practice of the Athenian state.	0	Being an orphan doesn't define one as 'receiving state funding'.								Classical Athens	The Athenian state legally committed to the maintenance of war orphans (the 'orphanoi') as part of its military-civic contract.	-338	The custom was an active feature of Athenian law when the speech was delivered in 338 BCE.	-348	
tlg0014.tlg041.perseus-eng2::2	tlg0014.tlg041.perseus-eng2	Demosthenes	Against Spudias	Late Classical (354–165 BCE)	['Wealth / Properties']	Mortgagee right of property possession	Creditors	Protection from legal action by debtors	MORE	['And in this matter what stronger or more solid ground could I have in coming before you than the law which expressly ordains that, in all cases where men have given a mortgage, there shall be no right of action for them or for their heirs?']	The speaker cites a specific law protecting holders of a mortgage. Once a property is mortgaged to secure a debt, the debtor or their heirs lose the right of action against the creditor regarding that property.	1	1	10.0	5	Relates to the ownership and possession of tangible mortgaged property.	4	Broad legal protection for creditors across all mortgage types.	4	Holds as long as the mortgage exists or until the debt is settled.	3	Creditor status is based on wealth and specific financial activity.	0	Direct quote of an Athenian law then in force.	5	The author cites the 'law which expressly ordains' as fact.	1	A 'right to property' for a 'creditor' regarding a 'mortgage' is borderline definitional of being a mortgagee.								Classical Athens	The orator cites an Athenian law regarding mortgage rights (horoi) and the loss of right of action after a mortgage is established.	-361	The date reflects the period of Demosthenes' private legal practice, with this speech dated to circa 361 BCE.	-348	
tlg0007.tlg109.perseus-eng2::0	tlg0007.tlg109.perseus-eng2	Plutarch	A Discourse Concerning Socrates's Daemon	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	Metic exclusion from Boeotian interests	Metics	Freedom of political association	LESS	['Suppose us to be of this sort, and give us an account of the whole design, how from the very beginning it was carried on, what company you kept, and what particular discourse you had that day;—a thing so much desired, that I protest I would willingly go to Thebes to be informed, did not the Athenians already suspect me to lean too much to the Boeotian interest.']	The speaker Archidamus, an Athenian, expresses that his political movements and interests are restricted by the suspicion of his fellow citizens regarding his 'Boeotian interest'. This reflects a norm where citizens of one polis are restricted from acting in the political interest of another, essentially limiting their freedom of political choice and association based on their primary citizenship.	1	0	7.0	4	Restricting political movement and interest affects direct freedom of choice.	3	Specifically concerns interest in a rival polis (Boeotia) vs home city.	4	Citizenship-based loyalty expectations are lifelong/long-term.	4	Athenian citizenship is a structural birth-status.	1	Plutarch is writing a historical dialogue set in the 4th century BCE.	4	Describes a social suspicion and normative constraint as a factual reality for the speaker.	0	Being Athenian does not by definition preclude interest in Boeotia.	Roman Empire;(Roman Empire)	Classical Thebes	A dialogue set during the liberation of Thebes in 379 BCE, discussing Socrates's 'daemon'.	past	-399.0	-379.0	The dialogue is set in -379 but centers on the legacy of Socrates (died -399).	Classical Athens	The speaker is an Athenian describing the political suspicion he faces from his fellow citizens for his Boeotian interests.	-379	The dialogue is set in -379 BCE during the liberation of Thebes from Spartan control.	75	
