rule_uid,file_id,work_name,author,impact_year,polity,criteria,sampled_for,is_contemporary,verbatim_type,factuality,criterion_label,in_group,out_group,resource,resource_std,speaker,verbatim,matched_keywords,rule_category,reasoning,group_generality,generality_reasoning,resource_materiality,materiality_reasoning,resource_generality,resource_generality_reasoning,resource_persistence,persistence_reasoning,group_immutability,immutability_reasoning,tautological,tautology_reasoning,confidence,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,vote,comment
tlg0086.tlg010.perseus-eng2#66,tlg0086.tlg010.perseus-eng2,Nicomachean Ethics,Aristotle,-348,,Education,Education,1,fact,3,Gymnasium access for refined touch,Educated citizens,,Access to the gymnasium and physical training,,MORE,"[§434] We do not refer to the most refined of the pleasures of touch, such as the enjoyment of friction and warm baths in the gymnasia; the tactual pleasures of the profligate have to do with certain parts only, not with the whole of the body.",Gymnasium access for refined touch,,"The text distinguishes between 'bestial' pleasures and 'refined' pleasures of touch found in the gymnasium. Historically and contextually within the passage, these 'refined' social resources (gymnasia) were the preserve of the free, educated male citizen class, distinguishing them from those who pursue 'bestial' instincts.",4,Broad societal group; Aristotle refers to contemporary social practices and institutions like gymnasia.,3,Access to gymnasium is a social practice that produces tangible health and social outcomes.,2,Access to the gymnasium is tied to a particular institution and setting.,4,"Access to the gymnasium is a long-term social privilege for educated citizens, but can be revoked.",4,"Educated citizens refers to a status acquired through training, often tied to birth status.",0,"Access to the gymnasium is a social privilege, not inherent in the definition of an educated citizen.",7.0,gemini_v19_batch4,,,,up,
tlg0086.tlg035.perseus-eng2#215,tlg0086.tlg035.perseus-eng2,Politics,Aristotle,-348,,Education,Education,1,opinion,3,Constitutional education for citizens,Citizens,,Access to the gymnasium and physical training,,MORE,"[§126] for there is no use in the most valuable laws, ratified by the unanimous judgement of the whole body of citizens, if these are not trained and educated in the constitution, popularly if the laws are popular, oligarchically if they are oligarchical",Constitutional education for citizens,,Aristotle identifies specific civic education as a resource/requirement provided by the state to its citizens to ensure the stability of the existing political order.,5,The group 'Citizens' is a canonical societal group; Aristotle describes contemporary civic education.,3,Access to gymnasium is access to a social practice with tangible outcomes.,2,Access to a specific institution (gymnasium) is narrowly scoped.,3,Access to education and training is typically bounded to a life stage (youth/adulthood).,4,"Citizenship is a legal/structural birth-status, very hard to change.",0,"Access to gymnasium is a specific civic provision, not inherent in the definition of 'citizens'.",8.0,gemini_v19_batch4,,,,up,
tlg0719.tlg001.perseus-eng2#14,tlg0719.tlg001.perseus-eng2,On the causes and signs of acute and chronic diseases,Aretaeus of Cappadocia,135,,Ethnicity,Ethnicity,1,fact,3,Regional susceptibility to Syrian ulcers,Egyptians and Syrians,,Protection from pestilential throat ulcers,,LESS,"[§6] The land of Egypt especially engenders it, the air thereof being dry for respiration, and the food diversified... Syria also, and more especially Cœlosyria, engenders these diseases, and hence they have been named Egyptian and Syrian ulcers.",Regional susceptibility to Syrian ulcers,,"The text links specific geographic lineages/ethnicities to a higher prevalence of these fatal ulcers based on climate and diet, characterizing the disease by these group names.",5,Canonical societal group (ethnicity/region); the author describes a contemporary medical observation.,3,"Protection from pestilential throat ulcers directly impacts health and survival, a tangible outcome.",1,Protection from pestilential throat ulcers is hyper-specific to one condition.,5,Regional susceptibility is a lifelong characteristic based on origin and environment.,5,"Egyptians and Syrians are defined by ethnicity/origin, a birth-fixed trait.",0,Regional susceptibility to ulcers is not inherent in the definition of 'Egyptians and Syrians'.,8.0,gemini_v19_batch4,,,,down,"But this talks about something else, another region"
tlg0086.tlg035.perseus-eng2#288,tlg0086.tlg035.perseus-eng2,Politics,Aristotle,-348,,Ethnicity,Ethnicity,1,fact,3,Ethnic restriction on agricultural labor,Foreigners,,Right to personal liberty,,LESS,"[§168] ...it is also manifest that the properties must belong to these classes, inasmuch as it is necessary for the tillers of the soil to be slaves, or serfs of alien race.",Ethnic restriction on agricultural labor,,"The author establishes that those performing agricultural labor (tillers) should be either slaves or 'serfs of alien race,' linking ethnicity (non-Greeks/aliens) to a lack of freedom.",5,A canonical societal group based on ethnicity; describes a contemporary societal norm.,5,"Personal liberty, especially protection from serfdom/slavery, is a fundamental bodily entitlement.",5,"Personal liberty is a foundational societal good, encompassing freedom from enslavement.",5,"Personal liberty, or lack thereof (slavery), is a lifelong status.",4,"Alien race is a birth-fixed status, very hard to change.",0,Being a foreigner does not inherently mean one lacks personal liberty; this is a specific social/legal subjugation.,9.0,gemini_v19_batch4,,,,up,
tlg0086.tlg035.perseus-eng2#179,tlg0086.tlg035.perseus-eng2,Politics,Aristotle,-348,,Ethnicity,Ethnicity,1,fact,3,Foreigner access to specific courts,Metics / Foreigners,,Right to legal redress,,MORE,[§105] ...and (7) that which hears alien suits (of courts of homicide there are four kinds... and of the aliens’ court one branch hears suits of aliens against aliens and another of aliens against citizens),Foreigner access to specific courts,,"The text explicitly mentions specialized courts provided for aliens to resolve legal disputes, ensuring they have access to specific judicial resources.",5,Canonical societal group based on ethnicity/legal status; Aristotle describes contemporary legal systems.,4,Right to legal redress is a concrete legal right with direct material effect.,4,Right to legal redress is a broad category of legal standing.,4,"The right to legal redress is a long-term status for foreigners, but can be revoked.",4,Foreign residency (metic) is changeable with effort but durable.,0,"The right to legal redress is a legal right, not inherent in the definition of 'metics/foreigners'.",10.0,gemini_v19_batch4,,,,up,
tlg0031.tlg005.perseus-eng2#23,tlg0031.tlg005.perseus-eng2,,New Testament,100,,Ethnicity,Ethnicity,1,fact,3,Jewish restriction on foreign association,Jews,,Right to associate with foreigners,,LESS,"[§373] He said to them, ""You yourselves know how it is an unlawful thing for a man who is a Jew to join himself or come to one of another nation, but God has shown me that I shouldn't call any man unholy or unclean.""",Jewish restriction on foreign association,,The text explicitly states that contemporary Jewish law or custom prohibited Jews from associating with or visiting people of other nations (Gentiles). Peter refers to this as a known 'unlawful thing' before explaining his new vision.,5,Canonical societal group; the rule describes a contemporary Jewish custom.,3,Right to associate affects social roles and practices with tangible outcomes.,4,The right to associate with foreigners is a broad social and cultural freedom.,4,"The right to associate with foreigners is a long-term social custom, revocable by individual choice or new doctrine.",5,"Jewish identity is primarily based on birth/lineage, making it strictly immutable.",0,Being Jewish does not inherently mean one cannot associate with foreigners; this is a specific religious custom.,10.0,gemini_v19_batch4,,,,up,
tlg0031.tlg005.perseus-eng2#53,tlg0031.tlg005.perseus-eng2,,New Testament,100,,Ethnicity,Ethnicity,1,fact,3,Gentile exclusion from Temple,Greeks,,Access to the Temple,,LESS,"[§788] crying out, 'Men of Israel, help! This is the man who teaches all men everywhere against the people, and the law, and this place. Moreover, he also brought Greeks into the temple, and has defiled this holy place!'",Gentile exclusion from Temple,,"The text describes an uproar based on the accusation that a non-Jew (Greek) was brought into the Temple, which is stated to have 'defiled' the holy place, establishing a clear rule of exclusion for that group from that specific location.",5,Canonical societal group; the rule describes a contemporary exclusion from a sacred space.,3,Access to a sacred space like the Temple is a social practice with significant cultural and religious outcomes.,2,Access to the Temple is tied to a particular institution and setting.,4,"Access to the Temple is a long-term, though potentially revocable, status for Greeks.",5,"Being Greek is an ethnic/national origin, a birth-fixed trait that cannot be changed by choice.",0,"Access to the Temple is a specific religious rule, not inherent in the definition of 'Greeks'.",10.0,gemini_v19_batch4,,,,up,
tlg0028.tlg005.perseus-eng2#3,tlg0028.tlg005.perseus-eng2,On the Murder of Herodes,Antiphon,-500,,Freedom,Freedom,1,fact,4,Slave manumission through purchase,Slaves,,Right to purchase freedom,,MORE,"[§20] I sailed from Mytilene, gentlemen, as a passenger on the same boat as this Herodes whom, we are told, I murdered. We were bound for Aenus, I to visit my father, who happened to be there just then, and Herodes to release some slaves to certain Thracians. The slaves whom he was to release were also passengers, as were the Thracians who were to purchase their freedom.",Slave manumission through purchase,,"The passage describes a commercial and legal transaction where slaves are traveling specifically to have their freedom purchased by third parties (Thracians), indicating a rule that slaves can be manumitted through a resource (money/purchase).",5,Canonical societal group; the author describes a contemporary legal transaction.,5,The right to purchase freedom is a fundamental bodily entitlement and freedom.,4,Right to purchase freedom is a major recognizable right.,5,"The right to purchase freedom, once exercised, results in a lifelong change of status from slave to free.",4,"Slave status is a legal/structural birth-status, very hard to change.",0,Being a slave does not inherently mean the right to purchase freedom; this is a specific legal/social mechanism.,8.0,gemini_v19_batch4,,,,up,
tlg0019.tlg003.perseus-eng2#0,tlg0019.tlg003.perseus-eng2,The Clouds,Aristophanes,-409,,Freedom,Freedom,1,fact,3,Master's right to corporal punishment,Slaves,,Protection from corporal punishment,,LESS,"[§1] My domestics are snoring; but they would not have done so heretofore! May you perish then, O war! For many reasons; because I may not even punish my domestics.",Master's right to corporal punishment,,"Strepsiades complains that because of the war, he is unable to punish his slaves (domestics). This implies that under normal social rules, a master possesses the right to physically punish his slaves, and the current inability to do so is an aberration caused by the war.",5,"The group is a canonical societal category, and the rule describes a contemporary social norm.",5,"Protection from corporal punishment is a bodily entitlement, strongly material.",5,Protection from corporal punishment is a foundational aspect of bodily integrity.,5,"Protection from corporal punishment is a lifelong status, defining the condition of slavery.",4,"Slavery is a legal status, very hard to change (requires manumission).",0,"Protection from corporal punishment is a specific right, not inherent to the definition of 'slaves'.",9.0,gemini_v19_batch4,,,,up,
tlg0019.tlg003.perseus-eng2#50,tlg0019.tlg003.perseus-eng2,The Clouds,Aristophanes,-409,,Freedom,Freedom,1,fact,3,Free status protection from blows,Citizens,,Protection from corporal punishment,,MORE,[§50] Phidippides. For why ought your body to be exempt from blows and mine not? And yet I too was born free.,Free status protection from blows,,"The character argues that being 'born free' (a citizen) should inherently grant a body exemption from blows, contrasting the physical treatment of free men with those who are not free.",5,The group 'Citizens' is a canonical societal group; the author describes contemporary rights related to freedom.,5,Protection from corporal punishment is a fundamental bodily entitlement.,4,Protection from corporal punishment is a major recognizable right spanning many situations.,5,"Protection from corporal punishment based on 'freeborn' status is a lifelong, structural right.",4,"Free status is a legal birth-status, very hard to change.",0,"Protection from corporal punishment is a legal right, not inherent to being a citizen.",9.0,gemini_v19_batch4,,,,up,
tlg0086.tlg035.perseus-eng2#14,tlg0086.tlg035.perseus-eng2,Politics,Aristotle,-348,,Freedom,Freedom,1,fact,3,Slave exclusion from citizenship,Slaves,,Right to participate in citizenship,,LESS,"[§7] The intention of nature therefore is to make the bodies also of freemen and of slaves different—the latter strong for necessary service, the former erect and unserviceable for such occupations, but serviceable for a life of citizenship.",Slave exclusion from citizenship,,"The text establishes that the purpose and bodily capacity of slaves is for manual labor, explicitly contrasting them with free men who have access to the 'life of citizenship'.",5,Canonical societal group; Aristotle describes a contemporary norm regarding slave exclusion from citizenship.,4,Participation in citizenship grants concrete legal rights and access to public resources.,5,Participation in citizenship is a fundamental aspect of political power.,5,"Exclusion from citizenship is a lifelong, structural condition for slaves.",4,"Slavery is a legal/structural status, very hard to change, often birth-fixed or by conquest.",0,"Citizenship is a legal status, not inherent in the definition of 'slave'.",9.0,gemini_v19_batch4,,,,up,
tlg1216.tlg001.perseus-eng1#26,tlg1216.tlg001.perseus-eng1,Epistle of Barnabas,Barnabas,36,,Freedom,Freedom,1,fact,3,Protection from harsh command,Slaves,,Protection from verbal abuse or bitterness,,MORE,"[§197] thou shalt not command in bitterness thy slave or handmaid who hope on the same God, lest they cease to fear the God who is over you both",Protection from harsh command,,"While in a subordinate position, the slave is granted a degree of protection from 'bitter' treatment based on shared religious status.",5,Canonical societal group; the author describes a contemporary social interaction.,4,Protection from verbal abuse is a concrete legal/social right with direct material effect on well-being.,3,Protection from verbal abuse is a specific but broadly applicable protection.,4,"Protection from abuse is a long-term right, lasting as long as the condition of servitude.",4,"Slave status is a legal/structural birth-status, very hard to change.",0,Protection from verbal abuse is not inherent in the definition of a slave; it's a specific right.,9.0,gemini_v19_batch4,,,,up,
tlg0026.tlg001.perseus-eng2#25,tlg0026.tlg001.perseus-eng2,Against Timarchus,Aeschines,-354,,Gender,Gender,1,fact,4,Heiress resource consumption by husband,Women,,Right to retain dowry/inheritance,,LESS,"[§95] Hegesandrus, who kept Timarchus, had married an heiress. So long as her inheritance held out... they lived in all luxury and lewdness. But when these resources had been wasted and gambled away and eaten up...",Heiress resource consumption by husband,,"The passage shows that a husband (Hegesandrus) had the power to spend and waste the inheritance of his wife (an epikleros/heiress), leaving her without those resources.",5,Women are a canonical societal group; the rule describes a contemporary practice regarding a husband's control over a wife's inheritance.,5,Right to retain dowry/inheritance is a tangible property entitlement.,5,The right to retain dowry/inheritance is a foundational aspect of wealth/property.,4,The right to retain dowry/inheritance lasts as long as the marriage and the resources themselves endure.,5,Being a 'woman' is a sex-defined group; membership is biologically fixed.,0,"The right to retain dowry/inheritance is a specific legal right, not inherent in being a 'woman'.",8.0,gemini_v19_batch4,,,,up,
tlg0719.tlg001.perseus-eng2#35,tlg0719.tlg001.perseus-eng2,On the causes and signs of acute and chronic diseases,Aretaeus of Cappadocia,135,,Gender,Gender,1,fact,3,Male exclusion from hysterical suffocation,men,,Protection from womb-related suffocation,,MORE,"[§19] Wherefore this suffocation from the womb accompanies females alone. | [§20] and neither also are men subject to suffocation from the womb, because men have not an uterus.",Male exclusion from hysterical suffocation,,"The author explicitly states that the condition known as 'suffocation from the womb' is restricted to women, effectively exempting men from this specific category of medical suffering due to their biological group.",5,Canonical societal group based on gender; the author describes contemporary medical observations.,5,Protection from a specific physical ailment directly impacts bodily integrity.,1,Protection from a specific medical condition (womb-related suffocation) is hyper-specific.,5,Protection from womb-related suffocation is a lifelong biological characteristic for men.,5,Sex (men) is a biologically fixed trait; one cannot choose to not be male.,0,"Protection from a womb-related condition is a biological fact, not a definitional tautology for 'men'.",10.0,gemini_v19_batch4,,,,down,tautology
tlg0057.tlg010.perseus-eng2#46,tlg0057.tlg010.perseus-eng2,On the Natural Faculties,Galen,164,,Gender,Gender,1,fact,3,Gestational retention of embryos,Women,,Capacity for fetal maturation,,MORE,"[§29-PART 3] For, as we know, it takes nine months in most women for the foetus to attain maturity in the womb, this organ having its neck quite closed, and entirely surrounding the embryo together with the chorion.",Gestational retention of embryos,,The author identifies a specific biological and legal reality of his time regarding the nine-month period of gestation in women and the physical mechanism of the uterus that allows for the maturation of the resource (the embryo).,5,Canonical societal group; the author describes a contemporary biological and legal reality.,5,Capacity for fetal maturation is a fundamental biological process with direct bodily implications.,3,"Fetal maturation is a specific biological process, but recurring for pregnant women.",3,The capacity for fetal maturation is bounded to the nine-month gestational period.,5,Women is a sex-defined group; membership is biologically fixed.,0,"The capacity for fetal maturation is a biological function, not the definition of 'Women'.",10.0,gemini_v19_batch4,,,,down,tautology
tlg1419.tlg001.perseus-eng1#43,tlg1419.tlg001.perseus-eng1,The Shepherd of Hermas,Hermas,150,,Gender,Gender,1,fact,3,Divorced husband remarriage prohibition,Men,,Right to remarry,,LESS,"[§213] [6] Let him put her away, he said, and let the husband remain by himself. But if he put his wife away and marry another he also commits adultery himself. ... [§215] [8] Therefore, for the sake of repentance the husband ought not to marry.",Divorced husband remarriage prohibition,,"While a husband is required to put away an adulterous wife, he is expressly forbidden from remarrying so as to leave open the possibility of her repentance and return.",5,Canonical societal group; the rule describes a contemporary religious prohibition for men.,4,Right to remarry has direct material effects on household and social status.,3,Right to remarry is a specific but broadly applicable legal/social protection.,4,The prohibition on remarriage lasts as long as the possibility of the wife's return exists.,5,Men is a sex-defined group; membership is biologically fixed.,0,"The right to remarry is a specific legal/social provision, not inherent in the definition of 'Men'.",10.0,gemini_v19_batch4,,,,up,
tlg0017.tlg003.perseus-eng2#9,tlg0017.tlg003.perseus-eng2,On the Estate of Pyrrhos,Isaeus,-384,,Gender,Gender,1,fact,4,Public defense of heiresses,Women,,Access to legal protection,,MORE,"[§47] And did you fail to bring a denunciation in the archon's court for injury to the heiress thus maltreated by the adopted son and despoiled of her paternal inheritance, especially as this is the only class of public actions which involves no risk to the party who brings it, and anyone who wishes is allowed to defend the rights of heiresses?",Public defense of heiresses,,Athenian law provides a special 'risk-free' legal mechanism (eisangelia to the Archon) for any citizen to defend the interests of an orphaned heiress (epikleros).,5,Canonical societal group; the author describes a contemporary legal mechanism for protection.,4,Access to legal protection is a concrete legal right with direct material effect.,4,"Access to legal protection is a major recognizable right, a broad category.",4,"Access to legal protection for heiresses is a long-term right, available as needed.",5,Women is a sex-defined group; membership is biologically fixed.,0,"Access to a specific legal mechanism is a procedural right, not inherent to being a woman.",10.0,gemini_v19_batch4,,,,up,
tlg0627.tlg010.perseus-eng2#17,tlg0627.tlg010.perseus-eng2,The Art,Hippocrates,-465,,Health,Health,1,fact,3,Reduced fertility in spinal patients,young people,,Ability to generate offspring,,LESS,"[§41] when the gibbosity is seated higher up; but the whole spine is more elongated in them than in those who have the gibbosity seated higher up, the hair of the pubes and chin is of slower growth and less developed, and they are less capable of generation than those who have the gibbosity higher up.",Reduced fertility in spinal patients,,"The passage links a specific physical condition (spinal gibbosity occurring in youth below the diaphragm) to a reduction in reproductive capacity and secondary sexual characteristics, effectively identifying a group with less access to the resource of 'generation'.",5,The group 'young people' is a canonical age-based societal group; the author describes contemporary medical observations.,5,Ability to generate offspring is a fundamental bodily entitlement and reproductive capacity.,3,Ability to generate offspring is a specific but broadly applicable life outcome.,5,Reduced fertility due to a physical condition is a lifelong impact on reproductive capacity.,5,"Young people are defined by age, a strictly immutable biological trait.",0,"Reduced fertility is a biological consequence, not the definition of being a young person.",8.0,gemini_v19_batch4,,,,down,This is a specific condition
