rule_uid,file_id,work_name,author,impact_year,polity,criteria,sampled_for,is_contemporary,verbatim_type,factuality,criterion_label,in_group,out_group,resource,resource_std,speaker,verbatim,matched_keywords,rule_category,reasoning,group_generality,generality_reasoning,resource_materiality,materiality_reasoning,resource_generality,resource_generality_reasoning,resource_persistence,persistence_reasoning,group_immutability,immutability_reasoning,tautological,tautology_reasoning,confidence,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,vote,comment
tlg0007.tlg063.perseus-eng2::26,tlg0007.tlg063.perseus-eng2,Aratus,Plutarch,75,,Nobility,gemini_v20_sample30_round3,1,fact,5,Courtier immunity from summary punishment,Royal courtiers,,Protection from arbitrary execution,,LESS,"At this Philip was enraged, and for the nonce fined them twenty talents; afterwards, however, regarding them as a noxious and confusing element in his affairs, he put them to death.",,,"The text demonstrates that even high-ranking courtiers (Apelles, Megaleas) served at the pleasure of the king and could be executed for 'wantonness' or for becoming a 'noxious element,' showing they lacked secure protection from capital punishment.",,,5,Protection from execution is a matter of physical life.,3,Specific to the legal immunity of a particular political class.,4,Protection lasts as long as the status or favor lasts.,3,Courtier status is an appointed social role.,0,Courtiers are not defined by their susceptibility to execution.,9.0,gemini_v20_core_v1_random20,,,,down,
tlg0062.tlg019.perseus-eng2::11,tlg0062.tlg019.perseus-eng2,"The Dream, or the Cock",Lucian of Samosata,155,,Wealth / Properties,gemini_v20_sample30_round3,0,fact,4,Silencing of the wealthy in assembly,The rich,,Right to address the assembly,,LESS,"Besides, it is they who toil that you may have baths and shows and everything else to your heart’s content, while you investigate and scrutinize them harshly like a master, sometimes without even letting them say a word for themselves; and if you choose you shower them generously with stones or confiscate their properties.",,,,,,4,The right to speak determines legal and political outcomes.,5,General right of legal personhood and political participation.,2,Pertains to single sessions or instances of the assembly.,3,Wealth bracket is a durable social status.,0,Wealth is not defined by silence in an assembly.,,gemini_v20_core_v1_random20,,,,down,
tlg0017.tlg006.perseus-eng2::5,tlg0017.tlg006.perseus-eng2,On the Estate of Philoctemon,Isaeus,-384,,Gender|Citizenship,gemini_v20_sample30_round3,0,fact,5,Legitimate son exclusion of epikleros,Daughters,,Right to inherit as heiress,,LESS,"For obviously, if Euctemon had a legitimate son, his daughter could not be heiress or the estate adjudicable.",,,"In Athenian law, a daughter only becomes an 'epikleros' (heiress) if there are no legitimate biological or adopted sons; the presence of a son legally bars her from this status.",,,5,Being an heiress (epikleros) determines the transfer of a whole estate.,4,Part of the foundational societal axis of property and gender status.,5,The status of heiress (or lack thereof) is a permanent life-trajectory event.,5,Daughter-hood is a biologically and birth-fixed status.,0,Being a daughter does not inherently define when one becomes an 'epikleros'.,10.0,gemini_v20_core_v1_random20,,,,up,
tlg0540.tlg019.perseus-eng2::5,tlg0540.tlg019.perseus-eng2,On the Property of Aristophanes,Lysias,-409,,Citizenship|Wealth / Properties,gemini_v20_sample30_round3,0,fact,5,Warship equipment liturgy (trierarchy),Wealthy citizens,,Exemption from public service costs,,LESS,"Aristophanes had acquired a house with land for more than five talents, had produced dramas on his own account and on his father’s at a cost of five thousand drachmae, and had spent eighty minae on equipping warships; For as many as fifty years my father performed services to the State, both with his purse and with his person. In all that time, with his reputation for ancestral wealth, he is not likely to have shunned any expense. However, I will strengthen the case for you with witnesses. . . In addition, he also joined privately in portioning daughters and sisters of certain needy citizens; there were men whom he ransomed from the enemy, and others for whose funerals he provided money.",,,"The text describes the trierarchy (equipping warships) and other liturgies as expected public services for wealthy citizens in Athens. The speaker lists specific expenditures by Aristophanes and his own father to prove their loyalty and the depletion of their estates, confirming that being a wealthy citizen entailed a obligation to fund the navy and state festivals.",,,5,"Large sums of money (talents, minae) spent on mandatory services.",4,Broad category of institutionalized public service costs.,4,Long-term obligations linked to a career of elite service.,3,Wealthy status is durable but not immutable.,0,"Public service funding is an obligation, not the definition of wealth.",10.0,gemini_v20_core_v1_random20,,,,up,
tlg0014.tlg022.perseus-eng2::1,tlg0014.tlg022.perseus-eng2,Against Androtion,Demosthenes,-348,,Health,gemini_v20_sample30_round3,0,fact,5,Prostitution disability for public speech,Men who have prostituted themselves,,Right to address the Assembly,,LESS,"This may be seen in many ways, but especially from this law, which forbids persons guilty of prostitution to make speeches or to propose measures. For he saw that the majority of you do not avail yourselves of your right to speak, so that the prohibition seemed no great hardship, and he could have laid down many harsher penalties, if his object had been the chastisement of these offenders.",,,"Demosthenes cites a law attributed to Solon that creates a legal disability for men who have engaged in prostitution, barring them from the political rights of speech and making proposals in the democracy.",,,3,Right to speak in the Assembly is a procedural/political right.,4,Assembly speaking is a foundational political axis in democracy.,5,The status of being a prostitute and the resulting disability was permanent.,3,Based on a past behavior/action that creates a durable identity.,0,Prostitution does not mean 'unable to speak in court' by definition.,10.0,gemini_v20_core_v1_random20,,,,down,
tlg0540.tlg019.perseus-eng2::3,tlg0540.tlg019.perseus-eng2,On the Property of Aristophanes,Lysias,-409,,Lineage,gemini_v20_sample30_round3,0,fact,5,Orphan maintenance by maternal family,Minors,,Right to be reared by kin,,MORE,"And the greatest hardship of all for us will be that, having taken charge of my sister and her many children, we must rear them with no means available even for ourselves, if you deprive us of what we now have.",,,"Following the death of their father and the confiscation of his estate, the law/custom mandates that the children be taken in and reared by their maternal uncle and grandfather, establishing a right to kinship support.",,,5,"Access to subsistence and physical rearing (food, shelter).",4,Broad foundational right to family support and care.,3,Bounded to the phase of childhood/minority.,5,Age status is biologically fixed at the moment described.,0,Being kin does not mean 'person who pays for rearing' by definition.,8.0,gemini_v20_core_v1_random20,,,,up,
tlg0014.tlg022.perseus-eng2::2,tlg0014.tlg022.perseus-eng2,Against Androtion,Demosthenes,-348,,Wealth / Properties,gemini_v20_sample30_round3,0,fact,5,State debtor disqualification from politics,Debtors to the state,,Right to propose resolutions,,LESS,"Again, with regard to the law which forbids him to speak or move resolutions, because his father owed money to the exchequer and has never paid it... Prove, therefore, that your father was not a defaulter, or that he left the prison, not by running away, but by paying his debts. If you cannot prove that, then you had no right to move your resolution; for the law makes you a partner in the disqualification of your father, and being disqualified you had no right either to speak or move.",,,"Athenian law imposed 'atimia' (loss of rights) on those who owed money to the public treasury, a disqualification that inherited from father to son until the debt was paid.",,,4,Political participation (proposing resolutions) is a concrete legal right with direct influence on state resources.,4,Disqualification from the Assembly affects a broad category of civic and political life.,4,"The disability lasts until a debt is paid, which can span decades or be inherited.",3,Debtor status is a financial condition that can be exited by paying the debt.,0,Being a debtor does not inherently mean one is barred from speaking; it is a specific legal penalty.,10.0,gemini_v20_core_v1_random20,,,,up,
tlg0062.tlg041.perseus-eng2::26,tlg0062.tlg041.perseus-eng2,The Goddesse of Surrye,Lucian of Samosata,155,,Age|Gender,gemini_v20_sample30_round3,0,fact,5,Pre-marital hair sacrifice,Bachelors and Maidens,,Right to keep hair before marriage,,LESS,"Men of Trosen han made ordeynaunce as touchinge the maydens and the bachelers, that thei schulle not maryen or thei lette scheren here lokkes for worschipe of Ypolite; and so thei don. That thing is don also in the Holy Cytee. The bacheleres offren of here berdes, and the children from here birthe leten holy crulles growe, the which thei scheren whan thei ben presented in the temple",,,There is a mandatory religious rule for young people to shear and dedicate their hair/beards in the temple before they are permitted to marry.,,,5,Bodily autonomy (hair/beard) and the right to marry are foundational material rights.,4,The right to marry is a foundational societal outcome.,2,Tied to a brief transition from childhood to marriageable adulthood.,5,Age-defined status (bachelors/children) is birth-fixed at that moment.,0,Neither bachelorhood nor maidenhood entails hair cutting by definition.,9.0,gemini_v20_core_v1_random20,,,,up,
tlg0007.tlg082a.perseus-eng2::6,tlg0007.tlg082a.perseus-eng2,Instituta Laconica,Plutarch,75,,Citizenship,gemini_v20_sample30_round3,1,fact,5,Foreign travel prohibition,The Spartans,,Right to travel abroad,,LESS,"It was not allowed them to go abroad, so that they should have nothing to do with foreign ways and undisciplined modes of living.",,,Spartan citizens were explicitly restricted from leaving their territory to prevent cultural contamination.,,,5,"Freedom of movement (traveling abroad) is a physical, bodily entitlement.",5,The right to travel and exit territory is a foundational societal freedom.,4,The prohibition is a permanent legal constraint during the subject's adult life.,4,Spartan citizenship was a birth-fixed status that was very hard to change.,0,Being a Spartan does not inherently define one as being unable to travel.,10.0,gemini_v20_core_v1_random20,,,,up,
tlg0086.tlg034.perseus-eng2::1,tlg0086.tlg034.perseus-eng2,Poetics,Aristotle,-348,,Occupation,gemini_v20_sample30_round3,0,fact,5,Archon grant of comic chorus,Comic poets,,Right to public financing,,MORE,"Indeed it is only quite late in its history that the archon granted a chorus for a comic poet; before that they were volunteers. In the fifth century dramatists submitted their plays to the archon in charge of the festival at which they wished them to be performed. He selected the number required by the particular festival, and to the poets thus selected granted a chorus, i.e., provided a choregus who paid the expenses of the chorus.",,,"Aristotle describes the institutional shift from comic poets being 'volunteers' (self-funded) to receiving a chorus from the state (archon), which provided a choregus to cover expenses. This is a clear administrative rule governing access to public/material resources for a specific occupational group.",,,4,Public financing for a chorus directly allocates economic resources.,3,Access to state funding for major artistic festivals is recurring and significant.,4,"Once granted, it covers the entire production of the play.",3,A comic poet is an occupation based on professional practice.,0,State funding is not part of the definition of the word 'poet'.,10.0,gemini_v20_core_v1_random20,,,,down,
tlg0007.tlg082a.perseus-eng2::5,tlg0007.tlg082a.perseus-eng2,Instituta Laconica,Plutarch,75,,Education|Citizenship,gemini_v20_sample30_round3,1,fact,5,Citizenship via discipline,Citizens,,Participation in civic rights,,LESS,Whosoever of the citizens would not submit to the discipline to which the boys were subjected had no participation in civic rights.,,,Participation in the Spartan agoge (discipline) was a prerequisite for maintaining the status and resources associated with citizenship.,,,4,Participation in civic rights is a bundle of legal and material entitlements.,5,Civic rights are a foundational societal axis.,5,Loss of participation is a permanent change in legal status.,4,Citizenship is a structural birth-status.,0,Citizens are not defined solely by the act of submitting to discipline.,10.0,gemini_v20_core_v1_random20,,,,up,
tlg0062.tlg041.perseus-eng2::7,tlg0062.tlg041.perseus-eng2,The Goddesse of Surrye,Lucian of Samosata,155,,Nobility,gemini_v20_sample30_round3,1,fact,4,Noble access to royal commissions,Nobles,,Right to lead royal expeditions,,MORE,"“For thou art noble, Daun Combabe, I love thee most of alle mine frendes, and I preyse thee gretli for thy coninge and for thy gode wille to me, that thou hast discovered beforn. And now me nedeth of grete feyth, wherfore I wole that thou folwe my wyf, for to acomplisshe the werke in my name, and to perfourme the sacrifises, and to reule the hoost; and whan thou retornest thou schalt gete highe worschipe fro me.”",,,The King selects Combabe for a high-status mission (building the temple and ruling the host) specifically citing his noble status as the primary qualification for such a role of trust.,,,4,Access to high-level administrative/military roles has huge material and power payoffs.,4,Covers a broad category of elite military and civic roles.,4,A career-level commission with long-term status implications.,4,Nobility is a structural birth-status identity.,0,Nobility does not inherently define one as a project manager.,9.0,gemini_v20_core_v1_random20,,,,up,
tlg0014.tlg035.perseus-eng2::0,tlg0014.tlg035.perseus-eng2,Against Lacritus,Demosthenes,-348,,Citizenship|Freedom,gemini_v20_sample30_round3,0,fact,5,Commercial grain transport restriction,Athenians and resident aliens,,Right to transport grain to non-Athenian ports,,LESS,"It shall be unlawful for any Athenian or any alien residing at Athens or for any person over whom they have control, to lend money on any vessel which is not going to bring to Athens grain or the other articles specifically mentioned. [...] And he shall have no right to bring action for the money which he has lent for a voyage to any other place than to Athens, and no magistrate shall bring any such suit to trial.",,,"The text explicitly cites a law prohibiting Athenians and metics (resident aliens) from financing or transporting grain to ports other than Athens, reflecting a protectionist maritime policy to ensure the city's food supply.",,,3,Regulation of grain transport is a trade restriction with tangible economic consequences.,3,The resource is specific to maritime trade and grain logistics.,4,The restriction applies to all commercial voyages undertaken while a resident/citizen.,4,Athenians and resident aliens are legal/structural status groups.,0,Citizenship/residency does not by definition include grain transport restrictions.,10.0,gemini_v20_core_v1_random20,,,,up,
tlg0014.tlg035.perseus-eng2::1,tlg0014.tlg035.perseus-eng2,Against Lacritus,Demosthenes,-348,,Lineage,gemini_v20_sample30_round3,0,fact,4,Heir liability for debts,Heirs,,Right to retain inherited property without debt liability,,LESS,"since he is the brother of Artemo and has possession of all his property, both all that he left here and all that he had at Phaselis, and is the heir to his whole estate; and since he can show no law which gives him the right to hold his brother’s property and to have administered it as he pleased, and yet to refuse to pay back money which belongs to others",,,The orator argues based on the established legal norm that taking possession of an estate (acting as heir) obligates the individual to settle the debts associated with that estate.,,,5,Debt liability directly affects the material value of an inheritance.,4,Inheritance and debt liability are broad categories of property law.,5,Inheritance and associated liabilities are lifelong transfers of wealth.,5,Heir status is determined by birth and lineage (being the brother).,0,Being an heir does not analytically mean one must pay debts; some systems allow renunciation.,9.0,gemini_v20_core_v1_random20,,,,up,
tlg0027.tlg001.perseus-eng2::25,tlg0027.tlg001.perseus-eng2,On the Mysteries,Andocides,-500,,Citizenship,gemini_v20_sample30_round3,0,fact,5,Summary execution for anti-democratic officials,Former officials under the oligarchy,,Protection from summary execution,,LESS,"Whosoever shall hold a public office after the suppression of the democracy may be slain with impunity. No taint shall rest upon his slayer, and he shall possess the goods of the slain. [§97] If anyone shall suppress the democracy at Athens or hold public office after its suppression, he shall become a public enemy and be slain with impunity; his goods shall be confiscated and a tithe given to the Goddess.",,,The text cites a specific Athenian decree (of Demophantus) establishing that those who serve in office after the democracy is overthrown lose their legal protection against being killed and forfeit their property to the state and the slayer.,,,5,Protection from summary execution and loss of goods are maximum material concern.,3,Specific to individuals holding office during anti-democratic regimes.,4,The status of 'outlaw' was effectively permanent once established.,2,Defined by the action of holding public office under an oligarchy.,0,Being an official does not inherently mean being an outlaw.,10.0,gemini_v20_core_v1_random20,,,,up,
tlg0086.tlg034.perseus-eng2::20,tlg0086.tlg034.perseus-eng2,Poetics,Aristotle,-348,,Gender|Nobility,gemini_v20_sample30_round3,0,fact,4,Female restriction on vulgar representation,Women,,Protection from vulgar representation,,LESS,That was the objection to Callippides; and modern actors are similarly criticized for representing women who are not ladies.,,,"Aristotle notes a specific social and artistic criticism regarding the portrayal of women on stage. The distinction between 'ladies' (implied noble or free women) and 'women who are not ladies' indicates that certain classes of women were expected to be represented with specific decorum, and the failure of actors to do so was a breach of contemporary norms regarding the public image and dignity of the group.",,,4,Right to public dignity and protection from vulgar/low-status portrayal.,3,Specific standard of decorum spanning theatrical performances.,5,Class-based dignity is a lifelong structural feature.,5,Defined by intersection of sex and hereditary nobility.,0,Dignity is not the definition of being a noble woman.,8.0,gemini_v20_core_v1_random20,,,,down,
tlg0007.tlg121.perseus-eng3::2,tlg0007.tlg121.perseus-eng3,The Lives of the Ten Orators,Plutarch,75,,Citizenship,gemini_v20_sample30_round3,1,fact,4,Citizen-only legislative proposal right,Metics,,Right to move decrees in the assembly,,LESS,"He also proposed decrees, several decrees moved by him are extant, e.g. I.G. ii.² 337, 338. making use of a certain Olynthian named Eucleides, who was an expert in decrees.",,,"The text notes that Lycurgus had to use an Olynthian expert to draft decrees, implying that as a non-citizen (metic), the Olynthian could not formally propose them himself in the assembly.",,,3,Proposing decrees is a procedural role within the legal system.,3,Linked to the specific legislative procedure of the assembly.,5,The inability to move decrees was a lifelong handicap for non-citizens.,4,"Foreign/metic status (e.g., Olynthian) is a stable legal identity.",0,Foreigner status does not conceptually require legislative silence.,9.0,gemini_v20_core_v1_random20,,,,up,
tlg0062.tlg041.perseus-eng2::19,tlg0062.tlg041.perseus-eng2,The Goddesse of Surrye,Lucian of Samosata,155,,Occupation|Gender,gemini_v20_sample30_round3,0,fact,5,Galli restriction on burial,Galli,,Right to standard interment,,LESS,"And Galles at here dyenge ben not enterred in lyk manere as other men, but gif a Galle dye, his felawes liften him up and carryen him in to the skirtes of the Cytee and sette doun the man himself and the fertre on the whiche thei broghte him, and easten stones aboven; and whan this is don, thei wenden hoom ayen.",,,"The text describes a specific and different burial rite for Galli compared to 'other men,' involving being left on the outskirts and covered with stones rather than standard interment.",,,3,Treatment of the corpse and type of burial is a tangible physical outcome.,3,"Funeral rites are a recurring, significant social practice.",5,Death and interment are permanent states.,4,"Membership in the Galli is a durable, structural identity.",0,Being a Galli does not by definition mean being buried in stones.,10.0,gemini_v20_core_v1_random20,,,,down,
tlg0027.tlg001.perseus-eng2::18,tlg0027.tlg001.perseus-eng2,On the Mysteries,Andocides,-500,,Occupation,gemini_v20_sample30_round3,0,fact,5,Political restriction of oligarchic soldiers,Soldiers under the Four Hundred,,Right to speak in Assembly,,LESS,"The soldiers who remained in Athens under the Four Hundred are a case in point. They enjoyed all the rights of ordinary citizens, except that they were forbidden to speak in the Assembly or become members of the Council.",,,"Following the restoration of democracy, a specific group of soldiers associated with the previous oligarchic coup (the Four Hundred) were targeted with partial disfranchisement.",,,3,Right to speak in the Assembly is a social role involving public influence.,4,The right to speak (isegoria) was a major recognizable political right.,4,The restriction lasted as long as the post-coup reconciliation decrees were in force.,3,Membership in the Four Hundred's forces was a historical/political role.,0,Being a soldier for a regime doesn't inherently mean being banned from speaking later.,9.0,gemini_v20_core_v1_random20,,,,up,
tlg0062.tlg019.perseus-eng2::2,tlg0062.tlg019.perseus-eng2,"The Dream, or the Cock",Lucian of Samosata,155,,Occupation,gemini_v20_sample30_round3,0,fact,5,Patronage provision for absent guests,Education,,Right to home delivery of resources,,MORE,"“Professor, it was very good of you to come to us, but you would not have fared any the worse if you had stayed away, for everything from first to last would have been sent you.”",,,Eucrates highlights a customary rule of high-status patronage where a respected professional (a philosopher) who is unable to attend a feast due to illness would still be sent his portion of the meal and gifts by the host.,,,5,Physical meals and gifts (portions) are tangible physical goods.,3,Specific practice within the patron-client system.,4,Part of a long-term professional relationship.,3,Professional role/academic status is a durable social identity.,0,Teaching philosophy does not inherently imply home delivery of food.,8.0,gemini_v20_core_v1_random20,,,,up,

# Accuracy by Category
category,up,down,pending,total,accuracy_pct
Citizenship,10,0,0,10,100.0
Gender,4,3,0,7,57.1
Occupation,2,3,0,5,40.0
Lineage,3,0,0,3,100.0
Freedom,3,0,0,3,100.0
Nobility,1,2,0,3,33.3
Wealth / Properties,2,1,0,3,66.7
Religion,1,1,0,2,50.0
Health,0,1,0,1,0.0
Age,1,0,0,1,100.0
Education,1,0,0,1,100.0
