work_name,author,impact_year,polity,criterion_category,criterion_label,in_group,out_group,resource,speaker,verbatim,extraction_method,comment
Against Timarchus,Aeschines,-354,Second Athenian League,PROPERTY_WEALTH,Squandering patrimony disqualifies from addressing the assembly,Those who manage wealth responsibly,Those who squander patrimony,Political speech,Aeschines,"Or the man, he says, who has squandered his patrimony or other inheritance. For he believed that the man who has mismanaged his own household will handle the affairs of the city in like manner; and to the lawgiver it did not seem possible that the same man could be a rascal in private life, and in public life a good and useful citizen.","VOCAB_EXTRACTED (1 passages, 10 pages from original 51 pages)",this is not clear
Against Leptines,Demosthenes,-348,Second Athenian League,PROPERTY_WEALTH,Exemption from public services based on wealth,Wealthy individuals,Less wealthy individuals,Exemption from public services,Demosthenes,"Now perhaps Leptines will try to divert your attention from these points and assert that at present the public services fall upon the poor, but that under his law they will be performed by the wealthiest class. At first hearing, the plea seems to have some weight; but examine it strictly and the fallacy will be exposed. For there are, as you know, among us some services that fall upon resident aliens and others that fall upon citizens, and the exemption, which Leptines would remove, has been granted in the case of both.","VOCAB_EXTRACTED (1 passages, 10 pages from original 39 pages)",good
Against Ctesiphon,Aeschines,-354,Second Athenian League,AGE,Priority in speaking at the assembly based on age,Older citizens (above 50 years),Younger citizens,Priority in assembly,Aeschines,"I could wish, indeed, fellow citizens, that the Senate of Five Hundred and the assemblies of the people were properly conducted by those who preside over them, and the laws enforced which Solon enacted to secure orderly conduct on the part of public speakers; for then it would be permitted to the oldest citizen, as the law prescribes, to come forward to the platform first, with dignity, and, uninterrupted by shouting and tumult, out of his experience to advise for the good of the state and it would then be permitted to all other citizens who wished, one by one in turn, in order of age, to express their opinion on every question; for so, I think, the state would be best governed, and least litigation would arise.","VOCAB_EXTRACTED (1 passages, 10 pages from original 68 pages)",great
The Third Tetralogy: Prosecution for Murder Of One Who Pleads That He Was Acting in Self-Defence,Antiphon,-500,Greek City-States,AGE,Older individuals presumed less likely to be aggressors,Older individuals,Younger individuals,Presumption of innocence in violent altercations,Second Speech for the Defense,"If brutal violence on the part of the young and self-control on the part of the old were as natural as seeing with the eyes and hearing with the ears, then there would be no need for you to sit in judgement; the young would stand condemned by their mere age. In fact, however, many young men are self-controlled, and many old men are violent in their cups; and so the presumption which they furnish favors the defense no less than the prosecution.","FULL_TEXT (21,267 chars ≈ 9 pages)","no, actually it seemls to say the opposite"
Seven Against Thebes,Aeschylus,-489,Greek City-States,GENDER,Men handle affairs outside the house; women are excluded from making decrees,Men,Women,"Decision-making, public affairs",Eteocles,It is for the man to take care of business outside the house; let no woman make decrees in those matters. Keep inside and do no harm! Do you hear me or not? Am I speaking to the deaf?,"VOCAB_EXTRACTED (1 passages, 10 pages from original 26 pages)",great
Politics,Aristotle,-348,Thebans,GENDER,"Men are rulers, women are subjects",Men,Women,Authority and governance,Aristotle,"Again, as between the sexes, the male is by nature superior and the female inferior, the male ruler and the female subject. And the same must also necessarily apply in the case of mankind as a whole.","VOCAB_EXTRACTED (1 passages, 10 pages from original 243 pages)",great
Libation Bearers,Aeschylus,-489,Greek City-States,FREEDOM_STATUS,Free persons vs Slaves,Free persons,Slaves,Submission to masters' wishes,Chorus,"For since the gods laid constraining doom about my city and led me from my father’s house to a slave’s lot, it is fitting for me to govern my bitter hate, even against my will, and submit to the wishes of my masters, whether just or unjust.","VOCAB_EXTRACTED (1 passages, 10 pages from original 29 pages)",great
Politics,Aristotle,-348,Thebans,FREEDOM_STATUS,Natural slaves vs. free persons,Free persons,Natural slaves,Freedom and autonomy,Aristotle,"It is manifest therefore that there are cases of people of whom some are freemen and the others slaves by nature, and for these slavery is an institution both expedient and just.","VOCAB_EXTRACTED (1 passages, 10 pages from original 243 pages)",great
Epistles,Ignatius of Antioch,70,Roman Empire;(Roman Empire),OCCUPATION,Obedience to the bishop and presbytery,Those who obey the bishop and presbytery,Those who do not obey the bishop and presbytery,Spiritual unity and communion with God,Ignatius of Antioch,"It is therefore profitable for you to be in blameless unity, in order that you may always commune with God. [...] Therefore it is fitting that you should live in harmony with the will of the bishop, as indeed you do. For your justly famous presbytery, worthy of God, is attuned to the bishop as the strings to a harp.","VOCAB_EXTRACTED (1 passages, 10 pages from original 27 pages)","this isn't a good ressource ""Spiritual unity and communion with God"", it had to be more society-related than this"
Apollodorus Against Stephanus II,Demosthenes,-348,Second Athenian League,LEGAL_STANDING,Hearsay evidence not admissible from living persons,Those providing direct testimony,Those providing hearsay evidence,Legal standing (admissibility of testimony),Apollodorus,"Hearsay evidence they do not admit from a living person, but only from one who is dead; but in the case of those who are sick or absent from the country they allow evidence to be introduced, provided it be in written form, and the absent witness and the one submitting his testimony shall alike be liable to action under the same impeachment.","FULL_TEXT (17,099 chars ≈ 7 pages)",the in-group / pout-group is too specific
Panathenaicus,Isocrates,-400,Peloponnesian League,PHYSICAL_STATUS,Strong voice and ready assurance are valued for public recognition,Individuals with a strong voice and assurance,Individuals lacking a strong voice and assurance,Public recognition and political influence,Isocrates,"For I was born more lacking in the two things which have the greatest power in Athens—a strong voice and ready assurance—than, I dare say, any of my fellow-citizens. And those who are not endowed with these are condemned to go about in greater obscurity so far as public recognition is concerned than those who owe money to the state.","VOCAB_EXTRACTED (2 passages, 10 pages from original 72 pages)",great
