work_name,author,impact_year,polity,criterion_category,criterion_label,in_group,in_group_std,out_group,out_group_std,resource,resource_std,speaker,verbatim,matched_keywords,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,vote,comment
On the Embassy,Aeschines,-354,Second Athenian League,AGE,Age requirement for military service,Citizens up to age 40,Citizens,Citizens over age 40,Elders,Military service obligation,Civic obligations,Aeschines,"But when you had passed a decree that the Phocians should hand over these posts to your general Proxenus, and that you should man fifty triremes, and that all citizens up to the age of forty years should take part in the expedition, then instead of surrendering the Posts to Proxenus, the tyrants arrested those ambassadors of their own who had offered to hand over the garrison posts to you","age, aged, citizen, citizens, citizenship, decree, govern, heir, man","HYBRID_EXTRACTED (25 passages, 8 pages from original 48 pages)",0.175905,7972,751,,
On the Therapeutics of Acute Diseases,Aretaeus of Cappadocia,135,Roman Empire;(Roman Empire),AGE,Children vs adults in medical treatment approaches,Adults,Adults,Children,Young/Minors,Different medical treatments and procedures,EXCLUDE_MEDICAL,author,"In children, then, to whom, owing to dyspepsia, or from excessive cold, the disease is familiar, vomiting, either of food, or of phlegm, or of any other humour, is beneficial. Feathers, then, dipped in the ointment of iris, excite vomiting; and the unguentum irinum is not inapplicable for smearing the tonsils with. But having first laid the child on his belly (this is the easiest position for vomiting), we must press gently on his lower belly.","child, children, father, mother, old, owner, power, prostitution, voting","HYBRID_EXTRACTED (27 passages, 8 pages from original 56 pages)",0.153015,8146,411,,
Libation Bearers,Aeschylus,-489,Greek City-States,GENDER,Women excluded from decision-making in public affairs,Men,Men,Women,Women,Decision-making power in public affairs,Political participation,Orestes,"Do not accuse him who suffered while you sat idle at home. It is a grief for women to be deprived of a husband, my child. Yes, but it is the husband's toil that supports them while they sit at home.","child, deprive, deprived, husband, woman, women","HYBRID_EXTRACTED (25 passages, 8 pages from original 29 pages)",0.157635,8124,477,,
The Discourses of Epictetus,Epictetus,85,Roman Empire;(Roman Empire),GENDER,Women excluded from philosophical education,Men,Men,Women,Women,Access to philosophical education and discourse,Cultural participation,Epictetus,"Come take a young man, bring him up according to your doctrines. The doctrines are bad, subversive of a state, pernicious to families, and not becoming to women. Dismiss them, man.","estate, family, man, statute, woman, women, young, younger","HYBRID_EXTRACTED (31 passages, 9 pages from original 331 pages)",0.157395,8258,447,,
Against Timarchus,Aeschines,-354,Second Athenian League,FREEDOM_STATUS,Slaves pay fees to masters while free citizens control their own labor,Free citizens,Free persons,Slaves,Slaves,Control over one's own labor and earnings,Property/Wealth,Aeschines,"There was a house south of the Acropolis, a suburban estate at Sphettus, another piece of land at Alopeke, and besides there were nine or ten slaves who were skilled shoemakers, each of whom paid him a fee of two obols a day, and the superintendent of the shop three obols. Masters sometimes allowed their slaves to buy their time at so much per day; this fee was called ἀποφορά. Such slaves could do business for themselves, or hire themselves out to manufacturers, contractors, etc.","allow, allowed, estate, heir, land, master, masters, slave, slaves, youth","HYBRID_EXTRACTED (25 passages, 8 pages from original 51 pages)",0.171315,7856,713,,
The Deipnosophists,Athenaeus,205,Roman Empire;(Roman Empire),FREEDOM_STATUS,Slaves subject to extreme violence from masters,Free persons/Masters,Free persons,Slaves,Slaves,Body integrity,Body integrity,author,"And ultimately he, with his whole family, perished in a disgraceful manner, being treated with the most extreme violence and insult by his own slaves.","disgrace, family, slave, slaves","HYBRID_EXTRACTED (29 passages, 9 pages from original 1370 pages)",0.172425,7715,756,,

# Accuracy by Category
category,up,down,pending,total,accuracy_pct
AGE,0,0,2,2,N/A
BIRTH_LINEAGE,0,0,3,3,N/A
CITIZENSHIP,0,0,2,2,N/A
FREEDOM_STATUS,0,0,2,2,N/A
GENDER,0,0,2,2,N/A
MORAL_CONDUCT,2,1,0,3,66.7
PROPERTY_WEALTH,0,0,2,2,N/A
