Seven Against Thebes,Aeschylus,-489,Greek City-States,Gender-based exclusion from political and military roles,Men of Thebes,Women of Thebes,Participation in defense and decision-making for the city,"Men of Cadmus’s city, he who guards from the stern the concerns of the State and guides its helm with eyes untouched by sleep must speak to the point. [...] It is for the man to take care of business outside the house; let no woman make decrees in those matters. Keep inside and do no harm!",very good
Seven Against Thebes,Aeschylus,-489,Greek City-States,Exclusion based on loyalty to the city-state,Loyal citizens of Thebes,Traitors and enemies of Thebes,Burial rights and civic honor,"But as for his brother, it is decreed that this corpse of Polyneices is to be cast out of the city unburied to be torn by dogs, since he would have been the destroyer of the land of the Cadmeans. [...] For this reason it is decreed that he will receive his reward by being buried without honor beneath the winged birds.","interesting, likely a moral conduct criteria"
Seven Against Thebes,Aeschylus,-489,Greek City-States,Exclusion based on divine favor and justice,Those favored by the gods,Those cursed or unfavored by the gods,Success and protection in battle,"If Justice, Zeus’s maiden daughter, were attending his actions and his thoughts, this might be so. But as it is, neither when he escaped the darkness of his mother’s womb, nor in childhood, nor at any point in his early manhood, nor when the beard first thickened on his cheek, did Justice acknowledge him and consider him worthy. [...] The gods, it seems, have already banished us from their care, yet they admire the grace we offer them when we perish.","No, this is not a cruteria of in group / out group for the control of ressources"
Seven Against Thebes,Aeschylus,-489,Greek City-States,Exclusion based on familial curses,Those not cursed by familial lineage,Descendants of Oedipus,Avoidance of tragic fate and ruin,"O my family sired by Oedipus, steeped in tears, driven to madness by the gods and by the gods detested! [...] Ah, the pity of fate’s omen when it makes a just man associate with the irreverent! In all things, nothing is more evil than evil partnership.","this is not good, not a criterai between in grup and out-group for the sharing of ressources"
On His Return,Andocides,-500,Greek City-States,Civic Rights and Participation,Citizens with full civic rights,"Those without civic rights, including exiles and those stripped of rights",Participation in state affairs and receiving state benefits,"for if the state is common to all who enjoy civic rights, the benefits which the state receives are likewise, I presume, common benefits. [...] I decided that I should be best advised either to have done with life or to render this city such a service as would dispose you to let me at last resume my rights as your fellow.",this is good
On His Return,Andocides,-500,Greek City-States,Political Influence and Decision-Making,Members of the Council and influential citizens,Ordinary citizens without political influence,Influence over political decisions and proposals,"when I secretly communicated to the Council a proposal which would be of the very greatest service to this city if carried into effect [...] Those five hundred are considering at leisure the proposal placed before them, and they are liable to be called to account and censured by the rest of you for any mistake which they may make","this is good, the kley thing is ""] Those five hundred are considering "" who show a hierachy for political power"
Against Alcibiades,Andocides,-500,Greek City-States,Trial and Legal Rights,Individuals who have been tried and acquitted,Individuals who are ostracized without trial,Right to a fair trial and legal defense,"Under the terms of that oath you swear to exile no one, to imprison no one, to put no one to death, without trial; whereas on this present occasion, when the person ostracized is to be cut off from his country for so long, no accusation has been made, no defence allowed, and the voting is secret.","yes htis is good, clearly there are ostracized people"
Against Alcibiades,Andocides,-500,Greek City-States,Social and Political Alliances,Individuals with political associates and confederates,Individuals without such alliances,Advantage in political decisions and influence,"Moreover, at a time like this those who have political associates and confederates have an advantage over the rest, because the judges are not appointed by lot as in courts of law: in the present decision every member of the community has a voice.",nothing here
Against Alcibiades,Andocides,-500,Greek City-States,Citizenship and Birthright,Athenians of legitimate birth,Non-Athenians or those of illegitimate birth,Participation in civic life and competitions,"The law allows the ejection of any member whatsoever of a competing chorus who is not of Athenian birth, and it is forbidden to resist any attempt at such ejection.",very good
Against Alcibiades,Andocides,-500,Greek City-States,Wealth and Influence,Wealthy individuals with resources and influence,Individuals without wealth or influence,Ability to manipulate political and social outcomes,"Thanks to his riches he can be sure of protection in plenty. [...] While those who hold office within a single city have to render account of that office, Alcibiades, whose authority extends over all our allies and who receives monies from them, is not liable to answer for any of his public acts;",very good
Against Alcibiades,Andocides,-500,Greek City-States,Gender and Marital Rights,Men with legal authority over their wives,Women lacking autonomy in marriage,Control over marital and familial decisions,"He called in his friends, and carried off his wife from the Agora by force, showing the whole world his contempt for the magistrates, the laws, and his fellow Athenians in general.",nothing really here
On the Mysteries,Andocides,-500,Greek City-States,Citizenship and Legal Rights,Citizens of Athens,"Non-citizens, including slaves and metics",Right to address the Assembly and participate in legal proceedings,"The word ἄδεια is used in two slightly different senses. (a) It is the immunity granted by the Assembly or Council to persons who have a statement to make to them, but who are debarred from addressing them without special permission. This applied to slaves, metics, and women.","very good, so this is a political rights"
On the Mysteries,Andocides,-500,Greek City-States,Religious Initiation and Participation,Initiates of the Mysteries,"Non-initiates, including slaves and non-citizens",Participation in religious rites and ceremonies,The Prytanes decided to clear the meeting of non-initiates and themselves fetch the lad indicated by Pythonicus.,not clear what ressoruces is gained
On the Mysteries,Andocides,-500,Greek City-States,Legal Autonomy and Bail,Citizens with the ability to furnish sureties,"Citizens unable to furnish sureties, non-citizens, and slaves",Ability to avoid imprisonment before trial,"The accused, if a citizen, was usually given the choice of furnishing sureties (ἐγγυηταί) or suffering imprisonment until the case came into court.",interesting
On the Choreutes,Antiphon,-500,Greek City-States,Legal Status and Judicial Exclusion,Individuals not under legal accusation,Individuals accused of murder,Participation in civic life and religious activities,"The law banishes him from his city, its temples, its games, and its sacrifices, the greatest and the most ancient of human institutions; and he must acquiesce. [...] A suspected murderer had to withdraw from intercourse with his fellows until his innocence had been established or his guilt expiated.",this is moral criteria than remove power over someine
On the Choreutes,Antiphon,-500,Greek City-States,Witness Credibility and Social Status,Free men,Slaves,Credibility and influence in legal proceedings,"Let him question the free men as befitted free men; for their own sakes and in the interests of justice, they would give a faithful account of what had occurred. [...] As to the slaves, if he considered that they were answering his questions truthfully, well and good; if he did not, I was ready to place all my own at his disposal for examination under torture.","very intersting, the ressource is clearly somethign related to ""personal body"" or the ability ti not get tortured"
On the Choreutes,Antiphon,-500,Greek City-States,Public Office and Wealth,Richer citizens,Poorer citizens,Obligation to perform public duties,"The χορηγία was one of the λητουργίαι, or public duties, imposed upon the richer citizens by the state.","intersting, richer citizens actually has to give ressources"
On the Choreutes,Antiphon,-500,Greek City-States,Judicial Process and Accusation,Judges and legal authorities,Defendants,Authority to determine legal outcomes,"The charge brought by the prosecutor is not in itself effective; whether it becomes so, depends upon you, sitting in judgement.",nothing interesting here
On the Cure of Chronic Diseases,Aretaeus of Cappadocia,135,Roman Empire;(Roman Empire),Age and Treatment Suitability,Adults,Children,Suitability of medical treatments,"Certain physicians have fallen into a mistake respecting coition; for seeing that the physical change to manhood produces a beneficial effect, they have done violence to the nature of children by unseasonable coition.","very good, it is about the right of body integrity here"
On the Cure of Chronic Diseases,Aretaeus of Cappadocia,135,Roman Empire;(Roman Empire),Cultural Practices and Treatment Acceptance,Cultures accepting certain medical practices,Cultures rejecting certain medical practices,Acceptance and use of culturally specific medical practices,"It is told, that the brain of a vulture, and the heart of a raw cormorant, and the domestic weasel, when eaten, remove the disease; but I have never tried these things.",nothing here
On the Therapeutics of Acute Diseases,Aretaeus of Cappadocia,135,Roman Empire;(Roman Empire),Access to Venesection Based on Disease Type,Patients with certain diseases like phrenitis or synanche,Patients with lethargy as a sequela of another disease,Eligibility for venesection,"If the obliviousness be the sequela of another disease, such as phrenitis, we must not open a vein, nor make a great evacuation of blood in any way,",nothing here
Economics,Aristotle,-348,Thebans,Gender-Based Division of Labor,Men,Women,Authority in household and public affairs,"Providence made man stronger and woman weaker, so that he in virtue of his manly prowess may be more ready to defend the home, and she, by reason of her timid nature, more ready to keep watch over it; and while he brings in fresh supplies from without, she may keep safe what lies within.",very very good
Economics,Aristotle,-348,Thebans,Slavery and Social Hierarchy,Free citizens,Slaves,Freedom and autonomy,"Of property, the first and most indispensable kind is that which is also best and most amenable to Housecraft; and this is the human chattel. Our first step therefore must be to procure good slaves. [...] We may apportion to our slaves (1) work, (2) chastisement, and (3) food.",very good
Economics,Aristotle,-348,Thebans,Citizenship and Political Participation,Citizens with both parents as citizens,Aliens and those with only one citizen parent,Citizenship rights and political participation,"And whereas previously the rights of citizenship were by law confined to those whose parents were both citizens, lack of funds, induced them to offer citizenship to him who had one citizen parent on payment of the sum of thirty minae.",very good
Economics,Aristotle,-348,Thebans,Economic Status and Property Ownership,Property owners and wealthy individuals,Non-property owners and the poor,Economic influence and decision-making power,The best laborers will be furnished by those races of mankind which are neither wholly spiritless nor yet overbold. [...] A homestead possessing these qualities would be longer than it is deep; and its main front would face the south.,is't it about slavery here ?
Economics,Aristotle,-348,Thebans,Occupation and Social Value,Agriculturalists,Traders and wage-earners,Social esteem and moral standing,Agriculture is the most honest of all such occupations; seeing that the wealth it brings is not derived from other men.,"this is good, lthe criterai is occupation"
Dithyrambs,Bacchylides,-480,Greek City-States,Divine Lineage and Favor,Individuals with divine parentage or favor from gods,Individuals without divine lineage or favor,"Supernatural abilities, divine intervention, and honor","Menelaus son of Pleisthenes spoke with enchanting words and voice, having conferred with the Graces with beautiful robes [...] Theseus, you see Zeus' clear gifts to me. It is your turn to leap into the loud-roaring sea. And your father lord Poseidon, son of Cronus, will grant you supreme glory throughout the well-wooded earth.",nithing that clould be applied to the society
Dithyrambs,Bacchylides,-480,Greek City-States,Heroic Valor and Martial Prowess,Individuals demonstrating exceptional bravery and combat skills,Individuals lacking martial prowess or heroic deeds,"Recognition, leadership, and influence in society","A dark-prowed ship, carrying Theseus, steadfast in the din of battle, and twice seven splendid Ionian youths [...] He is a boy in the prime of youth, intent on the playthings of Ares: war and battles of clashing bronze.","good, so this is physicakl abilioties here"
Dithyrambs,Bacchylides,-480,Greek City-States,Gender Roles and Expectations,"Men, particularly those in leadership or heroic roles","Women, who are often portrayed as passive or secondary",Active participation in decision-making and heroic endeavors,"The [wife] of godlike [Antenor], priestess of Athena [...] Poor woman, ill-fated, what a plan she devised!",nithign clear here
Eudemian Ethics,Aristotle,-348,Thebans,Intellectual Capacity and Wisdom,The wise and those capable of rational thought,"Children, the sick, the insane, and the multitude",Consideration in philosophical discussions and opinions on happiness,"For children and the sick and insane have many opinions which no sensible man would discuss, for these persons need not argument but the former time in which to grow up and alter and the latter medical or official chastisement. [...] And similarly it is also superfluous to examine the opinions of the multitude; for they talk at random about almost everything, and especially about happiness.","interstisng, this is about ""les critères d’état (être éne noble, males, age, être née esclave etc)
"""
Eudemian Ethics,Aristotle,-348,Thebans,Social and Political Engagement,Those engaged in politics for noble purposes,Those engaged in politics for money and gain,Recognition as true politicians,"But the majority of those engaged in politics are not correctly designated politicians, for they are not truly political, since the political man is one who purposely chooses noble actions for their own sake, whereas the majority embrace that mode of life for the sake of money and gain.","interesting, some moral criteria,  but this is not celar what ressources you get more than others"
The Deipnosophists,Athenaeus,205,Roman Empire;(Roman Empire),Intellectual and Scholarly Status,Men of distinguished learning and accomplishment,Those lacking scholarly achievements or recognition,Participation in elite banquets and intellectual discussions,"Laurentius is introduced, a Roman, a man of distinguished fortune, giving a banquet in his own house to men of the highest eminence for every kind of learning and accomplishment","this is not straigtforwrad that the opposite is true (beein exluded), it has to be clearer usualluy"
The Deipnosophists,Athenaeus,205,Roman Empire;(Roman Empire),Cultural and Linguistic Proficiency,Individuals well-versed in Greek and Roman literature and culture,Those lacking knowledge of Greek and Roman cultural and literary traditions,Recognition and respect within elite intellectual circles,he was no less conversant with the literature of the Greeks than with that of his own countrymen,nithing reall here
The Epistle of Barnabas,Barnabas,36,Roman Empire;(Roman Empire),Social and Ethical Behavior,Those who live by the ethical teachings of Jesus,Those who engage in behaviors contrary to these teachings,Moral integrity and community acceptance,"Thou shalt not commit fornification, thou shalt not commit adultery, thou shalt not commit sodomy. [...] Thou shalt not respect persons in the reproving of transgression.","not clear what you get out of this, in a soceity sense (so you do't do somody, do you get mroe ressources ?)"
Epinicians,Bacchylides,-480,Greek City-States,Divine Favor and Piety,"Individuals favored by the gods, such as Hieron and Croesus",Individuals not receiving divine favor or protection,"Protection, prosperity, and victory","Zeus has granted him the honor of ruling most widely over the Greeks, and he knows not to hide his towered wealth under black-cloaked darkness. [...] Croesus was protected by the god of the golden lyre, Apollo.",nothing here
Apollodorus Against Stephanus II,Demosthenes,-348,Second Athenian League,Legal Testimony Participation,Individuals present at the creation of a document or event,Individuals not present at the creation of a document or event,Right to provide valid legal testimony,"The laws, however, do not say this, but ordain that a man may testify to what he knows, or to matters at the doing of which he was present, and that his testimony must be committed to writing in order that it may not be possible to subtract anything from what is written, or to add anything to it.","no, this is not really an important right in the sense this is too specific to be comparable with other societies."
Apollodorus Against Stephanus II,Demosthenes,-348,Second Athenian League,Inheritance Rights by Birth,Lawfully born male children,Adopted citizens and females,Right to inherit property,"You have heard the law, then, which does not permit a man to dispose of his property by will, if he have male children lawfully born.",interesting
Fragments,Epictetus,85,Roman Empire;(Roman Empire),Philosophical Freedom vs. Physical Slavery,Those whose souls are unbound by vice,Those whose souls are chained by vice,True freedom,Freedom and slavery are merely names of virtue and of vice; and both these are matters of will. But neither of them belongs to things in which will has no share. For no one is a slave whose will is free.,"good, it more about the fgactbthat there is slavery"
Fragments,Epictetus,85,Roman Empire;(Roman Empire),Moral Instruction and Social Cohesion,Those willing to be instructed and virtuous,Those unwilling to learn and sinful,Social inclusion and harmony,"If you would live tranquil and contented, endeavor that all who live with you may be good. And you can have them good by instructing the willing and dismissing the unwilling.","nithing reallyu ""legal"" here"
On the Crown,Demosthenes,-348,Second Athenian League,Citizenship and Political Participation,Athenian citizens,"Non-citizens, foreigners, and those not participating in the political process",Access to political participation and decision-making,"Let me begin, men of Athens, by beseeching all the Powers of Heaven that on this trial I may find in Athenian hearts such benevolence towards me as I have ever cherished for the city and the people of Athens.",nithing really that shows a resosurces only got by the lmen of athens
On the Crown,Demosthenes,-348,Second Athenian League,Judicial and Legal Rights,Those sworn by the judicial oath,Those not participating in the judicial process or lacking legal standing,Right to a fair trial and legal standing,"but by the laws and by the judicial oath, by whose terms among other obligations you are sworn to give to both sides an impartial hearing.",this is  way too specific
On the Crown,Demosthenes,-348,Second Athenian League,Public Reputation and Social Standing,Individuals with a good public reputation and social standing,Individuals with a poor reputation or accused of misconduct,Social acceptance and credibility,"If then you know my character to be such as he alleges, do not tolerate my voice, even if all my public conduct has been beyond praise, but rise and condemn me incontinently.",too specific
The Discourses of Epictetus,Epictetus,85,Roman Empire;(Roman Empire),Kinship with the Divine vs. Earthly Concerns,Those who recognize their kinship with God,Those who focus on earthly and bodily concerns,"Freedom from fear and sorrow, alignment with divine will","If a man should be able to assent to this doctrine as he ought, that we are all sprung from God in an especial manner, and that God is the father both of men and of gods, I suppose that he would never have any ignoble or mean thoughts about himself.",not celar enough
