rule_uid	file_id	perseus_author	perseus_title	period	criteria	rule	group	resource	directionality	verbatim	reasoning	contemporary	factuality	confidence	resource_materiality	materiality_reasoning	resource_generality	generality_reasoning	resource_persistence	persistence_reasoning	group_immutability	immutability_reasoning	rule_contemporarity	contemporarity_reasoning	opinion_vs_fact	opinion_vs_fact_reasoning	tautology	tautology_reasoning
tlg0014.tlg059.perseus-eng2::1	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	['Wealth / Properties']	Liturgy and war tax obligation	The wealthy	Exemption from state military financing	LESS	['For the laws prescribed that, when there was war, the funds remaining over from state expenditures should be devoted to military purposes, and Apollodorus believed that the people ought to have power to do what they pleased with their own.']	The text explains the legal requirement that state surplus (theoric funds) be diverted to military needs during war, which directly relates to how the wealthy/state managed financial resources for public defense.	1	1.0	9	5	Allocation of state funds to military vs. spectacles is highly material.	4	Covers a broad category of state financial and military policy.	3	The application of this fiscal rule is triggered by periods of war.	3	The wealthy are defined by a changeable (though durable) wealth bracket.	0	Demosthenes refers to current Athenian laws on theoric funds.	5	States 'the laws prescribed' the fund allocation as a fact.	0	Being wealthy does not define the legislative allocation of state surpluses.
tlg0014.tlg059.perseus-eng2::2	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	['Citizenship']	Disfranchisement for state debt	State debtors	Possession of civic rights	LESS	['He would not listen to us, but fixed the fine at fifteen talents in order to deprive Apollodorus and his children of their civic rights, and to bring my sister and all of us into extremest distress and utter destitution. For the property of Apollodorus did not amount to as much as three talents to enable him to pay in full a fine of such magnitude, yet if it were not paid by the ninth prytany the fine would have been doubled and Apollodorus would have been inscribed as owing thirty talents to the treasury, all the property that he has would have been scheduled as belonging to the state.']	Under Athenian law, a person who owed a debt to the treasury was stripped of their 'atimia' (civic rights) and their property was liable for confiscation. This is a clear legal rule where the resource of civic standing is lost based on the criterion of debt status.	1	1.0	10	4	Loss of civic rights (atimia) excludes one from all legal protections.	5	Civic rights are a foundational societal axis.	4	Atimia lasts until the debt is paid, often effectively permanent.	2	State debtors is a status acquired through a specific legal event (fine).	0	Describes the active legal situation of the speaker's opponent.	5	States the legal consequences of debt (atimia, confiscation) as plain fact.	0	Debt does not conceptually mean 'loss of rights' in all societies.
tlg0014.tlg059.perseus-eng2::3	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	['Citizenship', 'Gender']	Illegal marriage of aliens	Aliens	Right to marry Athenian citizens	LESS	['If an alien shall live as husband with an Athenian woman in any way or manner whatsoever, he may be indicted before the Thesmothetae by anyone who chooses to do so from among the Athenians having the right to bring charges. And if he be convicted, he shall be sold, himself and his property, and the third part shall belong to the one securing his conviction. The same principle shall hold also if an alien woman shall live as wife with an Athenian, and the Athenian who lives as husband with the alien woman so convicted shall be fined one thousand drachmae.']	The verbatim explicitly cites the statute (The Law) forbidding 'sunoikein' (living as husband/wife) between aliens and citizens, providing for the enslavement of the alien and a fine for the citizen.	1	1.0	10	5	Penalties include enslavement and property confiscation.	4	Affects the broad right to form legal families and retain property.	5	Enslavement or confiscation are lifelong/structural consequences.	4	Alien status is a legal birth-status.	0	Directly quotes an Athenian statute in force at the time.	5	Verbatim is a pure citation of a statute.	0	Being an alien does not define the specific penalty for marriage.
tlg0014.tlg059.perseus-eng2::4	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	['Citizenship', 'Gender', 'Freedom']	Slave status of children	Slaves	Right to personal freedom	LESS	['There were these seven girls who were purchased while they were small children by Nicaretê, who was the freedwoman of Charisius the Elean and the wife of his cook Hippias. ... She called them by the name of daughters in order that, by giving out that they were free women, she might exact the largest fees from those who wished to enjoy them. When she had reaped the profit of the youthful prime of each, she sold them, all seven, without omitting one']	The text establishes that individuals born or purchased into slavery (the girls) are treated as property (chattel) and have no right to freedom or self-determination, contrasted with the 'lie' of being free daughters.	1	1.0	9	5	Total loss of freedom (enslavement) is the ultimate material deprivation.	5	Freedom vs. enslavement is a foundational societal axis.	5	Slave status is lifelong and hereditary.	4	Enslavement is a rigid legal/structural status.	0	Refers to the contemporary treatment of slaves in 4th c. BCE Athens.	5	Describes the purchase and sale of individuals as plain factual behavior.	1	Slaves lacking freedom is the definition of slavery.
tlg0014.tlg059.perseus-eng2::5	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	['Citizenship']	Requirement for alien patron	Aliens	Right to legal personhood	LESS	['as she was eager to live at Athens, but was afraid of Phrynion because she had wronged him and he was bitter against her, and she knew he was a man of violent and reckless temper, she took Stephanus here for her patron.']	Aliens in Athens (Metics) were legally required to have a 'prostates' (citizen patron) to act on their behalf in legal matters, demonstrating that non-citizens did not have independent access to judicial resources.	1	1.0	9	4	Independent legal personhood is a prerequisite for material security.	4	Covers all legal and judicial interactions for a person.	5	The requirement for a patron lasts as long as the alien resides in the city.	4	Alien/Metic status is a legal birth-status.	0	Describes the practical legal constraints on the defendant in the trial.	5	Discusses the legal necessity of a patron as a given fact of Athenian life.	0	Alien status does not conceptually necessitate a patron system.
tlg0014.tlg059.perseus-eng2::6	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	['Citizenship', 'Wealth / Properties']	Protection from unlawful citizen claims	Freedom claimants	Protection from arbitrary enslavement	MORE	['When Stephanus took her away from him, as the law allowed, declaring her to be a free woman, Phrynion required her to post bonds with the polemarch. ... the sureties of Neaera were Stephanus of Eroeadae, Glaucetes of Cephisia, and Aristocrates of Phalerum.']	The law of 'aphairesis eis eleutherian' allowed a citizen to assert that someone was free; the claimant then had to post bond with the polemarch. This provided a legal resource to protect individuals from being seized as slaves without trial.	1	1.0	10	5	Protection from physical enslavement is a concrete bodily entitlement.	5	Privacy and bodily integrity are foundational axes.	5	Asserting freedom in court results in lifelong change of status.	2	Claimants of freedom are individuals in a specific legal proceeding.	0	Refers to the specific Athenian 'aphairesis' law of the time.	5	Verbatim cites the law as the basis for the action taken.	0	Claiming freedom does not inherently define the procedure for posting bond.
tlg0014.tlg059.perseus-eng2::7	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	['Gender']	Dowry return upon divorce	Wives	Right to return of dowry	MORE	['in accordance with the law which enacts that, if a man puts away his wife, he must pay back the marriage portion or else pay interest on it at the rate of nine obols a month for each mina; and that on the woman’s behalf her guardian may sue him for alimony in the Odeum.']	This is a standard civil law in Athens: a husband who divorces his wife must return her dowry to her guardian (kurios) or pay a high interest rate, protecting the woman's family's assets.	1	1.0	10	5	Return of the dowry is a direct transfer of major wealth/property.	4	Marriage property rights are broad categories of legal protection.	5	Dowry return provides lifelong subsistence for the divorced woman.	3	Marital status (wives) is a durable identity but changeable.	0	Quotes a statute currently in force in Athenian civil law.	5	Cite 'the law which enacts' as pure legal fact.	0	Being a wife does not define the rules of divorce settlement.
tlg0014.tlg059.perseus-eng2::8	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	['Citizenship', 'Lineage']	Fraudulent marriage of aliens	Aliens	Access to citizen marriage	LESS	['If anyone shall give an alien woman in marriage to an Athenian man, representing her as being related to himself, he shall lose his civic rights and his property shall be confiscated, and a third part of it shall belong to the one who secures his conviction. And anyone entitled to do so may indict such a person before the Thesmothetae.']	This specific law serves to protect the purity of the citizen body by heavily penalizing anyone who attempts to introduce an alien woman into a citizen marriage under false pretenses of lineage.	1	1.0	10	5	Citizen marriage rights affect inheritance, children's status, and property.	4	Regulates the fundamental social unit of the household/citizenship.	5	Exclusion from marriage results in permanent lack of citizen children.	4	Alien status is a legal birth-status.	0	Quotes an Athenian statute active at the time of the speech.	5	Pure citation of the statute including specific penalties.	0	Being an alien does not define the penalty for a specific type of fraud.
tlg0014.tlg059.perseus-eng2::9	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	['Nobility', 'Citizenship', 'Gender']	Queenly requirement for Athenian birth	Wife of the King-Archon	Eligibility for priestly office (Basilissa)	MORE	['they established a law that his wife should be of Athenian birth, and that he should marry a virgin who had never known another man, to the end that after the custom of our fathers the sacred rites that none may name may be celebrated on the city’s behalf']	The most sacred religious rites performed by the Basilissa (wife of the King-Archon) were strictly reserved for women who were both citizens by birth and virgins at marriage.	1	1.0	10	3	Highest priestly office provides elite social status and material benefits.	2	Tied to a very specific institutional role (Basilissa).	4	The eligibility for and duration of priesthood was structural.	4	A wife of a specific official; citizenship is birth-fixed.	0	Describes current requirements for Athenian sacred rites.	5	States the established law and custom as a fact.	0	Being a 'wife' or 'citizen' does not define priestly qualifications.
tlg0014.tlg059.perseus-eng2::10	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	['Gender']	Exclusion of adulteresses from sacrifice	Adulterous women	Access to public sacrifices	LESS	['it shall not be lawful for the woman who is taken in adultery to attend public sacrifices; and if she does attend them, she may be made to suffer any punishment whatsoever, short of death, and that with impunity.']	The law explicitly strips women convicted of adultery of the right to attend public religious festivals, even allowing for summary physical punishment if they violate the ban.	1	1.0	10	2	Religious sacrifice access is a role-based status with minor material payoff.	2	Specific to participation in public sacrifices.	4	Exclusion for adultery was generally a permanent status loss.	2	Group defined by a specific action (adultery).	0	Quotes a law currently in effect in Athens.	5	Verbatim cites the law 'it shall not be lawful' as fact.	0	Adultery does not conceptually mean 'exclusion from religion' in all cultures.
tlg0014.tlg059.perseus-eng2::11	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	['Citizenship', 'Lineage']	Restricted office for new citizens	Naturalized citizens	Eligibility for archonship and priesthoods	LESS	['For in the case of all those whom the Athenian people may make citizens, the law expressly forbids that they should be eligible to the office of the nine archons or to hold any priesthood; but their descendants are allowed by the people to share in all civic rights, though the proviso is added: if they are born from an Athenian woman who was betrothed according to the law.']	Even when citizenship is granted by decree (naturalization), the first-generation recipient is legally barred from high magistracies and priesthoods, which are reserved for those of citizen lineage.	1	1.0	10	4	Eligibility for the nine archons and priesthoods involves high-status legal/political roles with direct influence and material perks.	4	High office and priesthoods are broad categories of civic and religious power in Athens.	5	The restriction is lifelong for the naturalized citizen, ending only with the next generation.	4	Naturalized citizen status is a legal birth-state that cannot be retroactively changed to 'native born'.	0	Demosthenes refers to a statute in force in the Athenian courts during his time.	5	Verbatim cites the law as an express prohibition within the legal code.	0	Being a citizen does not inherently define which specific offices one can hold.
tlg0014.tlg059.perseus-eng2::12	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	['Freedom']	Judicial torture of slaves	Slaves	Protection from corporal torture	LESS	['I proposed that he should deliver up for the torture the women-servants, Thratta and Coccalinê... Apollodorus is ready to receive for examination by the torture the women-servants of Neaera... if the women had been injured in any way as a result of the torture, to pay for the injuries sustained.']	The 'basanos' rule in Athenian law allowed (and often required) slaves to be tortured as a method of extracting legal testimony, demonstrating that slaves lacked protection from physical violence in judicial contexts.	1	1.0	10	5	Protection from torture is a core bodily entitlement and physical protection.	3	Specifically concerns the judicial process of 'basanos' (evidence gathering).	5	The status of being subject to torture is a lifelong condition of being a slave.	4	Slave status is a fixed legal status requiring the rare act of manumission to change.	0	The text describes contemporary legal practice regarding slave testimony (basanos).	5	The verbatim describes a formal legal proposal made according to established Athenian procedure.	0	Slave status involves ownership, but not necessarily the specific method of judicial torture.
tlg0032.tlg015.perseus-eng1::0	tlg0032.tlg015.perseus-eng1	Xenophon	Constitution of the Athenians	Classical (500–360 BCE)	['Citizenship', 'Wealth / Properties']	Universal access to magistracies	The poor	Eligibility for the archonship	MORE	['This being the case, it seems only just that offices of state should be thrown open to every one both in the ballot and the show of hands, and that the right of speech should belong to any one who likes, without restriction. For, observe, there are many of these offices which, according according as they are in good or in bad hands, are a source of safety or of danger to the People, and in these the People prudently abstains from sharing; as, for instance, it does not think it incumbent on itself to share in the functions of the general or of the commander of cavalry. The sovereign People recognises the fact that in forgoing the personal exercise of these offices, and leaving them to the control of the more powerful citizens, it secures the balance of advantage to itself.']	The author describes the Athenian democratic practice where even the 'baser sort' or poor citizens have the right to hold offices determined by lot or election, though they choose to leave high-risk military roles to the wealthy.	1	1.0	10	4	Magistracies carry legal power and often significant material influence or compensation.	4	Eligibility for state offices covers a broad category of political and legal rights.	4	Eligibility is a stable right during one's tenure as a citizen.	3	Wealth brackets (the poor) are changeable but represent a durable social identity.	0	Pseudo-Xenophon is describing the functioning of the contemporary Athenian democracy.	4	The author reports a factual democratic practice despite his critical tone.	0	Being poor does not by definition exclude or include one in the archonship.
tlg0032.tlg015.perseus-eng1::1	tlg0032.tlg015.perseus-eng1	Xenophon	Constitution of the Athenians	Classical (500–360 BCE)	['Citizenship']	Universal right of speech	The poor	Right of speech in assembly	MORE	['The objection may be raised that it was a mistake to allow the universal right of speech and a seat in council. These should have been reserved for the cleverest, the flower of the community. But here, again, it will be found that they are acting with wise deliberation in granting to even the baser sort the right of speech, for supposing only the better people might speak, or sit in council, blessings would fall to the lot of those like themselves, but to the commonalty the reverse of blessings.']	The text explicitly confirms that the 'baser sort' (poor citizens) possess the right to speak and sit in the council, a key immaterial resource in Athenian democracy.	1	1.0	10	3	Speech is a legal practice with material outcomes (voting, legislation), but is conceptually communicative.	5	Speech in the assembly is a foundational societal axis for the Athenian citizen.	5	The right of speech is a lifelong attribute of the citizen's standing.	3	Class ('the baser sort') is a social identity that is moderately durable.	0	Describes the active 'Isegoria' of contemporary Athens.	4	Reports a known institutional right of the Demos.	0	Being poor is defined by wealth, not by the right to speak in a council.
tlg0032.tlg015.perseus-eng1::2	tlg0032.tlg015.perseus-eng1	Xenophon	Constitution of the Athenians	Classical (500–360 BCE)	['Freedom']	Slave protection from assault	Slaves	Protection from corporal punishment	MORE	['Another point is the extraordinary amount of license granted to slaves and resident aliens at Athens, where a blow is illegal, and a slave will not step aside to let you pass him in the street. I will explain the reason of this peculiar custom. Supposing it were legal for a slave to be beaten by a free citizen, or for a resident alien or freedman to be beaten by a citizen, it would frequently happen that an Athenian might be mistaken for a slave or an alien and receive a beating.']	The author notes a specific Athenian legal norm where it is illegal for a citizen to strike a slave, providing them a level of physical security not found in other Greek states like Lacedaemon.	1	1.0	9	5	Protection from physical assault (being beaten) is a fundamental material protection of the body.	4	Protection from assault applies broadly across all public and street interactions.	5	This protection (or lack thereof) is a permanent structural feature of slave life in Athens.	4	Slave status is a hard-to-change legal and social condition.	0	Refers to a specific 'peculiar custom' and legal norm in contemporary Athens.	4	Reports the illegality of striking a slave as a factual observation of Athenian life.	0	Slavery usually entails vulnerability to violence; the rule granting protection is non-tautological.
tlg0032.tlg015.perseus-eng1::3	tlg0032.tlg015.perseus-eng1	Xenophon	Constitution of the Athenians	Classical (500–360 BCE)	['Citizenship']	Metic protection from assault	Resident aliens	Protection from corporal punishment	MORE	['Supposing it were legal for a slave to be beaten by a free citizen, or for a resident alien or freedman to be beaten by a citizen, it would frequently happen that an Athenian might be mistaken for a slave or an alien and receive a beating; since the Athenian People is no better clothed than the slave or alien, nor in personal appearance is there any superiority.']	The text states that resident aliens (meticians) are protected from being beaten by citizens, effectively establishing a right to bodily integrity.	1	1.0	9	5	Protection from physical assault is a direct bodily entitlement.	4	Protection from assault is a broad legal right in public spaces.	4	Holds as long as the person maintains their status as a resident alien.	3	Being a resident alien is a durable social and legal identity, though technically changeable.	0	Describes the contemporary social conditions of Athens.	4	Reports a factual legal condition used to explain Athenian street behavior.	0	Being a resident alien does not inherently define physical immunity from citizens.
tlg0032.tlg015.perseus-eng1::4	tlg0032.tlg015.perseus-eng1	Xenophon	Constitution of the Athenians	Classical (500–360 BCE)	['Wealth / Properties']	Liturgy obligation for the wealthy	The wealthy	Right to retain own earnings	LESS	['On the same principle, in the case of the coregia, the gymnasiarchy, and the trierarchy, the fact is recognised that it is the rich man who trains the chorus, and the People for whom the chorus is trained; it is the rich man who is trierarch or gymnasiarch, and the People that profits by their labours. In fact, what the People looks upon as its right is to pocket the money. To sing and run and dance and man the vessels is well enough, but only in order that the People may be the gainer, while the rich are made poorer.']	The author describes the system of liturgies (choregia, trierarchy) where wealthy individuals are compelled to fund public services, which he characterizes as a transfer of wealth from the rich to the people.	1	1.0	9	5	The obligation to fund liturgies is a direct and significant wealth transfer/cost.	4	Wealthy obligations like the trierarchy represent a broad category of fiscal burden.	4	These duties recur throughout a wealthy person's career/life stage.	3	The 'rich' are a social bracket defined by wealth, which can fluctuate.	0	Describes active fiscal systems in contemporary Athens.	5	Liturgies were established, factual legal obligations for the Athenian elite.	0	Being rich does not strictly mean one is legally required to fund state theatre or ships.
tlg0032.tlg015.perseus-eng1::5	tlg0032.tlg015.perseus-eng1	Xenophon	Constitution of the Athenians	Classical (500–360 BCE)	['Nobility', 'Wealth / Properties']	Elite disenfranchisement in allied cities	The wealthy in allied cities	Right to retain property	LESS	['This explains why the better people are punished with infamy, robbed of their money, driven from their homes, and put to death, while the baser sort are promoted to honour. On the other hand, the better Athenians throw their aegis over the better class in the allied cities. And why? Because they recognise that it is to the interest of their own class at all times to protect the best element in the cities.']	The author describes a systematic policy where Athens targets the 'better' (wealthy/noble) classes in subject cities of the empire, stripping them of wealth and rights to preserve democratic control.	1	1.0	8	5	Property rights, exile, and death are high-stakes material outcomes.	5	Covers property, residency, and life itself—foundational societal axes.	5	Loss of property or life is permanent and structural.	3	Elite social status (the 'better people') is a durable but potentially changeable identity.	0	Refers to the contemporary administration of the Athenian empire.	3	A mix of factual reporting on imperial policy and biased rhetorical framing ('robbed').	0	Wealth/nobility does not inherently define the loss of rights.
