rule_uid	file_id	perseus_author	perseus_title	period	criteria	rule	group	resource	directionality	verbatim	reasoning	contemporary	factuality	confidence	resource_materiality	materiality_reasoning	resource_generality	generality_reasoning	resource_persistence	persistence_reasoning	group_immutability	immutability_reasoning	rule_contemporarity	contemporarity_reasoning	opinion_vs_fact	opinion_vs_fact_reasoning	tautology	tautology_reasoning
tlg0004.tlg001.perseus-eng2::10	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Citizenship', 'Lineage']	Arbitration by mother-city	Colonists	Right to resolve disputes internally	LESS	['In process of time certain people of Lebedus, having purchased a catch of fish thereabouts, obtained possession of the tripod, and, quarrelling with the fishermen about it, put in to Cos, and, when they could not settle the dispute, reported the fact to Miletus, their mother-city. The Milesians, when their embassies were disregarded, made war upon Cos']	The text describes a rule or established norm where colonial settlements (Lebedus) refer unresolved legal or diplomatic disputes to their 'mother-city' (Miletus) for resolution or intervention, indicating a lack of total judicial autonomy for the sub-group.	0	1	7.0	4	Judicial/legal dispute resolution has direct effects on property (fish, tripods).	3	Right to resolve disputes is a specific recurring legal procedure.	4	The colonial relationship and subordination of justice hold while the colony exists.	3	Residency in a colony (Lebedus) is a durable identity but changeable through relocation.	1	Historical account of the archaic relations between Miletus and its colonies.	4	Narrative of an actual historical diplomatic conflict and legal custom.	0	Being a colonist doesn't conceptually mean you cannot settle fish disputes locally.
tlg0004.tlg001.perseus-eng2::11	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Citizenship', 'Freedom']	Debt bondage and property ransom	Citizens	Protection from debt slavery	MORE	['Solon, the son of Execestides, was born at Salamis. His first achievement was the σεισάχθεια or Law of Release, which he introduced at Athens; its effect was to ransom persons and property. For men used to borrow money on personal security, and many were forced from poverty to become serfs or daylabourers.']	The text describes Solon's historical Law of Release (Seisachtheia) which specifically prevented citizens from being forced into serfdom due to debt and restored their property.	0	1	10.0	5	Protection from slavery and retention of property are foundational material protections.	5	Freedom vs. enslavement is a foundational structural axis.	5	Freedom from debt-slavery is a lifelong legal standing for the citizen body.	4	Citizenship is a structural legal birth-status.	1	Discusses Solon's laws (6th century BCE) from a historical distance.	5	Reports the 'Law of Release' as a specific, well-known historical statute.	0	Being a citizen does not naturally include immunity from debt slavery without this law.
tlg0004.tlg001.perseus-eng2::12	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Citizenship']	Death penalty for anti-war proposals	Citizens	Right to propose legislation	LESS	['Megara and Athens laid rival claims to his birthplace Salamis, and after many defeats the Athenians passed a decree punishing with death any man who should propose a renewal of the Salaminian war.']	The passage describes a specific decree in Athens that criminalized the political act of proposing a new war, removing the right of citizens to speak on this specific policy under threat of death.	0	1	10.0	4	Proposing war affects state resources, lives, and individual political standing.	2	Tied to a single hyper-specific policy scenario (the Salaminian war).	1	A one-time decree governing a specific historical conflict.	4	Citizenship is hard to change and legally fixed.	1	Refers to the archaic Athenian legal response to war with Megara.	5	Verbatim reports a specific legal decree as a historical event.	0	Citizenship usually allows speech; silencing them on war is a specific rule.
tlg0004.tlg001.perseus-eng2::13	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Wealth / Properties']	Property tax for public funding	Citizens	Right to retain total earnings	LESS	['Every citizen pays a tithe of his property, not to me but to a fund for defraying the cost of the public sacrifices or any other charges on the State or the expenditure on any war which may come upon us.']	Pisistratus's letter outlines a rule where citizens must pay 10% of their property to the state, reducing their total material resources to fund public needs.	0	1	9.0	5	A 'tithe' is a direct 10% reduction in tangible property/wealth.	4	Taxation is a broad category of state-citizen material relation.	4	Tax obligations are a long-term/recurring state of being a property-owning citizen.	4	Citizenship is structural and difficult to change.	1	Refers to the tyranny of Pisistratus in the 6th century BCE.	5	The letter reports the tax as a plain factual obligation of citizenship.	0	Paying 10% is not the definition of being a citizen.
tlg0004.tlg001.perseus-eng2::14	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Ethical Behavior']	Disfranchisement for parental neglect	Children	Political rights	LESS	['He seems to have enacted some admirable laws; for instance, if any man neglects to provide for his parents, he shall be disfranchised; moreover there is a similar penalty for the spendthrift who runs through his patrimony.']	Solon's laws tied the retention of citizenship rights to specific domestic obligations toward parents and estate management.	0	1	9.0	4	Disfranchisement (loss of rights) is a legal status removal with major material effects.	4	Political rights cover a broad range of life outcomes.	4	Loss of citizenship rights is typically a permanent or long-term structural change.	5	Being a 'child' (offspring) of parents is an immutable biological fact of lineage.	1	Cites the historical laws of Solon.	5	Reports specific statutes regarding parental care and spendthrifts.	0	Being a child does not define one as being a provider for parents.
tlg0004.tlg001.perseus-eng2::15	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Occupation']	Compulsory settled occupation	Citizens	Freedom of choice in activity	LESS	['Again, not to have a settled occupation is made a crime for which any one may, if he pleases, impeach the offender.']	The law made a lack of specific occupation a criminal offense, effectively mandating economic activity for members of the group.	0	1	9.0	3	Participating in an occupation has material outcomes, but here it's more about the role requirement.	4	Covers the broad requirement for economic activity/labor across all citizens.	4	The requirement for a 'settled occupation' applies across a person's entire adult life.	4	The 'anyone' (citizens) is a structural legal status.	1	Discusses Solonian/draconian laws from centuries past.	5	Describes the existence of a specific law and the right of impeachment for it.	0	Citizenship does not conceptually require having a 'settled occupation'.
tlg0004.tlg001.perseus-eng2::16	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Ethical Behavior']	Public speaker exclusion for profligates	Citizens	Right to speak in the Assembly	LESS	['Lysias, however, in his speech against Nicias ascribes this law to Draco, and to Solon another depriving open profligates of the right to speak in the Assembly.']	Specific moral conduct (defined as profligacy) led to the removal of the immaterial resource of political participation in the Assembly.	0	1	9.0	3	Speaking in the Assembly is a political/social practice with material consequences.	3	Specific to the recurring procedure of speaking in the sovereign body.	4	The deprivation of rights is a long-term or permanent legal state once enacted.	4	Refers to Citizens, a stable structural legal status.	1	Reports laws attributed to Draco and Solon.	5	Factual reporting of a statute as cited by Lysias.	0	Citizenship and morality (not being profligate) are not analytically linked.
tlg0004.tlg001.perseus-eng2::17	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Lineage', 'Gender']	Guardian marriage restriction	Guardians	Right to marry certain women	LESS	['Excellent, too, is his provision that the guardian of an orphan should not marry the mother of his ward, and that the next heir who would succeed on the death of the orphans should be disqualified from acting as their guardian.']	Solonian law restricted the marital choices of guardians and the eligibility for guardianship based on inheritance interests to protect the orphan's resources.	0	1	9.0	4	Restricting marriage has direct effects on kinship, inheritance, and social status.	3	Right to marry certain people is a specific legal/social boundary.	4	Guardianship is a long-term role during a ward's minority.	2	Being a 'Guardian' is a role-bound legal appointment, not an immutable trait.	1	Cites historical Solonian legislation.	5	Describes the terms of a specific and 'excellent' historical provision.	0	The role of guardian does not inherently include marital restrictions.
tlg0004.tlg001.perseus-eng2::18	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Occupation']	Seal impression retention ban	Engravers	Right to retain work copies	LESS	['Furthermore, that no engraver of seals should be allowed to retain an impression of the ring which he has sold']	This is a specific professional regulation for engravers that limits what they can keep from their labor.	0	1	10.0	5	Retaining a physical impression/copy of a product is a tangible property right.	1	Hyper-specific professional technicality regarding ring impressions.	1	Governs a momentary transaction (the sale of one specific ring).	3	Occupation (engraver) is a durable identity acquired through training.	1	Historical Athenian professional regulation.	5	Cites a specific legal prohibition on professional conduct.	0	Being an engraver does not conceptually require hand over of impressions.
tlg0004.tlg001.perseus-eng2::19	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Occupation']	Death penalty for intoxicated magistrates	Magistrates	Protection from execution	LESS	['That the magistrate found intoxicated should be punished with death.']	A law specifically targeting those in holding a certain occupational status (magistrates) with an extreme penalty for a specific behavior.	0	1	10.0	5	Execution (the death penalty) is the ultimate physical/bodily deprivation.	1	Hyper-specific: limited to the scenario of intoxication while in office.	1	A one-time penalty for a single specific episode of conduct.	2	Magistrate is a temporary role-bound office during a term.	1	Cites a historical Solonian law from ancient Athens.	5	Succinct reporting of a specific historical statute.	0	The definition of a magistrate does not involve the threat of execution for drinking.
tlg0004.tlg001.perseus-eng2::20	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Nobility']	Royal lineage privileges	Kings	Political power	MORE	['That is, I resume the privileges which the Athenians swore to confer upon Codrus and his family, although later they took them away... I arrogate to myself no undue share of reputation and honour, but merely such stated privileges as belonged to the kings in former times.']	The text identifies specific political and honorific resources linked to the lineage of Codrus.	0	1	8.0	4	Royal privileges include concrete legal exemptions and political authority.	4	Political power is a broad category of societal influence.	5	Lineage-based royal privileges are lifelong and hereditary.	5	Kingship/royal lineage is biologically fixed by birth.	1	Refers to the era of Codrus and 'former times', long before the author.	4	Describes historical privileges as a recognized (though past) legal reality.	0	Being a descendant of Codrus does not automatically define legal 'privilege'.
tlg0004.tlg001.perseus-eng2::21	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Nobility']	Status-based marital matching	Upper-class Citizens	Freedom of marital choice	LESS	['Old sire, two offers of marriage are made to me; the one bride is in wealth and birth my equal; The other is my superior... See there, yonder boys will tell you the whole tale... they were saying, Keep to your own sphere.']	The text presents a social norm (expressed through a sage's advice) that individuals should marry within their own social rank/sphere rather than marry up.	0	0	7.0	4	Marriage rights have direct effects on property and social standing.	5	The right to marry is a foundational societal axis.	4	Marriage status is long-term, though legally dissolvable.	3	Wealth and social rank are somewhat changeable with effort.	0	The social norm of marrying within one's sphere was active in the author's world.	3	Presented as a sage's advice ('Keep to your own sphere') rather than a statute.	0	Marital choice is not part of the definition of 'Upper-class'.
tlg0004.tlg001.perseus-eng2::22	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Citizenship']	Citizen pre-eminence death penalty	Citizens	Protection from arbitrary execution	LESS	['And this is what you must do if you want to strengthen your absolute rule: put to death those among the citizens who are pre-eminent, whether they are hostile to you or not. For to an absolute ruler even a friend is an object of suspicion.']	This is presented as a political maxim or rule of thumb for tyrants in the Greek world, specifically attributed to Thrasybulus's advice to Periander, suggesting that under absolute rule, distinguished status (pre-eminence) among citizens stripped them of their right to life.	0	0	9.0	5	Protection from death concerns bodily integrity and the right to life.	5	The right to life is a foundational societal axis.	5	The loss of the right to life (execution) is permanent and lifelong.	4	Citizen status is a structural birth-status; 'pre-eminent' is a social standing.	1	Describes advice given by Thrasybulus to Periander in the archaic past.	3	Described as a 'maxim' or advice for tyrants, framing a political behavior.	0	Being 'pre-eminent' does not inherently mean 'to be executed'.
tlg0004.tlg001.perseus-eng2::23	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Citizenship']	Countrymen priority in guest entertainment	Foreigners	Right to be entertained as guest	LESS	['The servant delivered his message and was ordered by Solon to tell him that men as a rule choose their guests from among their own countrymen.']	Solon explicitly states a general rule of Greek social practice (xenia) where the status of being a fellow countryman/citizen is a prerequisite for being chosen as a guest, thereby excluding foreigners like Anacharsis by default.	0	1	10.0	3	Xenia (guest-friendship) provides tangible board, lodging, and protection.	3	Specific to the institutional practice of guest entertainment.	2	Guest-entertainment is usually bounded to a single visit or episode.	4	Foreigner status is a legal birth-status.	1	Recounts an exchange involving Solon in the 6th century BCE.	5	Solon states the social rule as a plain observed fact of Greek life.	0	Being a foreigner does not definitionally exclude one from hospitality.
tlg0004.tlg001.perseus-eng2::24	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Citizenship']	Foreigner exclusion from land ownership	Foreigners	Right to own land	LESS	['At any rate he was seen in Lacedaemon laughing to himself in a lonely spot; and when some one suddenly appeared and asked him why he laughed when no one was near, he replied, That is just the reason. And Aristoxenus says that the reason why he remained obscure was that he belonged to no city but to a village and that an unimportant one.']	The text notes that Myson's obscurity was caused by his lack of citizenship in a 'city' (polis), belonging only to a 'village'. In the Greek context, legal standing and fame were tied to being a member (citizen) of a recognized city-state.	0	1	7.0	5	Land ownership is the ultimate tangible property entitlement.	5	Land ownership is a foundational societal axis.	5	Land ownership is typically a lifelong structural resource.	4	Foreigner/stateless status is a structural legal condition.	1	Describes the life of the early philosopher Myson.	4	Reports the lack of civic standing as the factual cause of obscurity.	0	Being a foreigner does not define one as specifically landless in all contexts.
tlg0004.tlg001.perseus-eng2::25	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Freedom']	Citizen protection from enslavement	Citizens	Protection from enslavement	MORE	['For if Pisistratus had attacked the Athenians while they were still serfs and before they had good laws, he would have secured power in perpetuity by the enslavement of the citizens. But, as it is, he is reducing to subjection men who are no cowards... for it is hard to contrive that men brought up as free men under the best laws should be slaves.']	The text contrasts a past state where Athenians were serfs with a current state where 'good laws' and 'free' status protect citizens from being legally or practically treated as slaves, even under a tyrant.	0	0	9.0	5	Freedom from enslavement is a fundamental material protection of the body.	5	Freedom vs. slavery is a foundational societal axis.	5	Free status is a lifelong structural condition.	4	Citizenship is a hard-to-change legal birth-status.	1	Refers to the tyranny of Pisistratus in the 6th century BCE.	4	Describes the factual legal protections of free citizens versus serfs.	0	Citizen does not automatically mean 'free' (e.g., debt bondage could exist).
tlg0004.tlg001.perseus-eng2::26	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Nobility', 'Wealth / Properties']	Noble access to magistracies	The wealthy and noble	Eligibility for the archonship	MORE	['He was eminent for wealth and noble birth... He began to study philosophy at Athens in the archonship of Callias i.e. 456 b.c. when he was twenty; Demetrius of Phalerum states this in his list of archons; and at Athens they say he remained for thirty years.']	The text links the period of Anaxagoras's study to the 'archonship of Callias'. In the context of 5th-century Athens described, the office of Archon was reserved for those of specific wealth and lineage (Pentakosiomedimnoi/Hippeis), implying that the criteria of wealth and nobility granted access to high political office.	0	1	8.0	4	Holding the archonship provided direct political power and financial control.	4	Access to high public office is a broad category of power.	3	The archonship was an annual, recurring office.	3	Wealth/noble status in Athens was durable but could be lost/gained.	1	Refers to the 5th century BCE (archonship of Callias).	5	Verbatim cites a historical list of archons as plain fact.	0	Being wealthy/noble does not definitionally include being an archon.
tlg0004.tlg001.perseus-eng2::27	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Religion']	Impiety trial for celestial theories	Philosophers	Protection from legal prosecution for beliefs	LESS	['Sotion in his Succession of the Philosophers says that he was indicted by Cleon on a charge of impiety, because he declared the sun to be a mass of red-hot metal; that his pupil Pericles defended him, and he was fined five talents and banished.']	The text describes a specific legal rule where expressing certain physical theories about the cosmos (the sun as a red-hot metal) was categorized as 'impiety' (asebeia), leading to criminal indictment, fines, and banishment.	0	1	10.0	4	Banishment and heavy fines are direct material/physical penalties.	4	Protection from legal prosecution is a broad societal right.	4	Banishment and fines have permanent or long-term life effects.	3	Identity as a 'philosopher' is a practiced social role.	1	Refers to the 5th century BCE trial of Anaxagoras.	5	Verbatim reports the indictment and sentence as an attested historical event.	0	Being a philosopher does not definitionally mean being prosecuted for impiety.
tlg0004.tlg001.perseus-eng2::28	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Lineage']	Right to inherit patrimony	Relations	Right to inherit property directly	MORE	['He was eminent for wealth and noble birth, and furthermore for magnanimity, in that he gave up his patrimony to his relations. For, when they accused him of neglecting it, he replied, Why then do you not look after it?']	The passage shows that 'relations' (kin) had a recognized claim or interest in the 'patrimony' (family estate). Anaxagoras's act of giving it up to them demonstrates that lineage determined who had the right to possess and manage ancestral property.	0	1	9.0	5	Patrimony refers to tangible family land and wealth.	5	Inheritance is a foundational axis of property distribution.	5	Inheritance of land creates a lifelong structural economic base.	5	Relations/kinship are biologically fixed by birth.	1	Refers to the historical life of Anaxagoras.	5	Describes the legal claim of kin to patrimony as a factual norm.	0	Being a 'relation' does not definitionally include the right to management.
tlg0004.tlg001.perseus-eng2::29	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Age']	Annual holiday for schoolboys	Minors	Right to annual holiday	MORE	['At length he retired to Lampsacus and there died. And when the magistrates of the city asked if there was anything he would like done for him, he replied that he would like them to grant an annual holiday to the boys in the month in which he died; and the custom is kept up to this day.']	The author notes that the city of Lampsacus established a rule (custom) based on Anaxagoras's request, granting a specific group (schoolboys) a recurring resource (a holiday). The author confirms this rule is still 'kept up to this day'.	1	1	10.0	3	A holiday is a tangible relief from labor/study.	2	Narrowly scoped to a particular time (month) and activity.	3	The holiday is a recurring annual event.	5	Age (being a boy) is biologically fixed at that moment in time.	0	The author notes the custom 'is kept up to this day'.	5	The author confirms the practice as an existing observed custom.	0	Being a boy does not definitionally include having a specific holiday.
tlg0004.tlg001.perseus-eng2::30	tlg0004.tlg001.perseus-eng2	Diogenes Laertius	Lives of Eminent Philosophers		['Occupation']	Philosopher ban on teaching rhetoric	Philosophers	Right to teach rhetoric	LESS	['He was formidable in public speaking, according to Idomeneus; moreover, as Xenophon tells us, the Thirty forbade him to teach the art of words.']	The text records a specific legal prohibition issued by the governing body (The Thirty) against Socrates in his capacity as a teacher/philosopher, restricting his professional activity by forbidding the teaching of 'the art of words'.	0	1	9.0	3	Teaching rhetoric is a professional practice that produces income/status.	2	Narrowly scoped to a specific professional activity ('art of words').	4	A ban by government decree is typically durable while the regime lasts.	3	The group is defined by professional activity/vocation.	1	Refers to the regime of the Thirty Tyrants (404 BCE).	5	Cites a specific historical decree of the Thirty.	0	Being a philosopher/Socrates does not definitionally forbid rhetoric.
