rule_uid	criteria	rule	group	resource	directionality	verbatim	reasoning	confidence	rule_polity	rule_polity_reasoning	rule_time_reference	rule_date	rule_time_reasoning	contemporary	factuality	is_historical	group_specificity	group_immutability	resource_materiality	resource_generality	resource_persistence	tautological	author	cliopatria_polity	impact_year	impact_date	occupations	description	work_title	perseus_title	wikidata_work_label	period	genre	form_of_creative_work	main_language	pub_date	n_words	file_id	wikidata_id
tlg1443.tlg001.perseus-eng1#31	Citizenship	Christian traveler refreshment requirement	Foreigners	Right to hospitality and support	MORE	[§199] [2] Concerning those who have preceded me from Syria to Rome to the glory of God... it is right for you to refresh them in every way.	The text establishes a rule of conduct for the Roman church to provide 'refreshment' (support/hospitality) to foreign travelers ('those who have preceded me from Syria') on the basis of their shared religious identity.	8.0	Early Christian communities (Roman Empire)	Ignatius of Antioch, a Christian author in the Roman Empire, instructs the Trallians to provide hospitality to Christian travelers from Syria.	contemporary	70 to 110	The rule reflects the contemporary practice of hospitality and mutual support among Christian communities during Ignatius's floruit (c. 70-110 CE).	1	1	0	5	3	3	3	2	0	Ignatius of Antioch	Roman Empire;(Roman Empire)	70	70.0	theologian; presbyter	late 1st/early 2nd century Christian author and Patriarch of Antioch	Epistle of Ignatius to the Trallians	Epistles	Epistle of Ignatius to the Trallians	Hellenistic & Early Roman (165 BCE – 105 CE)	epistle		English	1912	12356	tlg1443.tlg001.perseus-eng1	Q44170
tlg0086.tlg010.perseus-eng2#182	Health	Limited steadfastness for the unrestrained	Unrestrained people	Capacity for steadfast conduct	LESS	[§983] Both Self-restraint and Unrestraint are a matter of extremes as compared with the character of the mass of mankind; the restrained man shows more and the unrestrained man less steadfastness than most men are capable of.	Aristotle identifies the 'unrestrained' as a specific group characterized by a psychological/dispositional state (Health/Constitution) and notes they possess less of the resource of steadfastness compared to the general population.	9.0	Classical Athens	Aristotle's ethical treatise discusses human character traits, which are observations made within his contemporary society, Classical Athens.	contemporary	-348	The rule reflects contemporary ethical considerations in Aristotle's time, around his floruit of -348 BCE.	1	1	0	4	1	1	4	4	1	Aristotle	Thebans	-348	-348.0	philosopher	4th-century BCE Classical Greek philosopher and polymath	Nicomachean Ethics	Nicomachean Ethics	Nicomachean Ethics	Late Classical (354–165 BCE)	treatise		English	1926	104386	tlg0086.tlg010.perseus-eng2	Q868
tlg0031.tlg005.perseus-eng2#9	Religion	Prophetic non-adherence punishment	Religious dissenters	Protection from capital destruction	LESS	[§99] It will be, that every soul that will not listen to that prophet will be utterly destroyed from among the people.	The text cites a religious law (attributed to Moses) stating that individuals who do not follow the designated religious authority lose the right to exist within the community.	9.0	Early Christian Community	The rule describes a prophetic warning and its consequences within the early Christian community as documented in the New Testament.	past	30 to 60	The New Testament (Acts) was compiled around 100 CE, but this rule describes a prophetic warning relevant to the early Christian community (c. 30-60 CE).	1	0	1	4	3	5	5	5	0	New Testament		100	100.0				Acts		Hellenistic & Early Roman (165 BCE – 105 CE)			English	2000-2024	23247	tlg0031.tlg005.perseus-eng2	Anonymous
tlg0019.tlg003.perseus-eng2#20	Occupation	Scholarly exclusion from hygiene norms	Educated men (Philosophers)	Access to public baths	LESS	[§22] Strepsiades: Speak words of good omen, and say nothing bad of clever men and wise; of whom, through frugality, none ever shaved or anointed himself, or went to a bath to wash himself; while you squander my property in bathing, as if I were already dead.	The 'wise men' or philosophers are defined by a social norm/rule of frugality that excludes them from the common resource of public baths and grooming.	9.0	Classical Athens	Aristophanes, a Classical Athenian playwright, satirizes the hygiene practices of scholars in Athens.	contemporary	-423	The rule is contemporary to Aristophanes, as 'The Clouds' was first performed in -423 BCE.	1	1	0	3	3	1	2	4	0	Aristophanes		-409	-409.0	comedy writer; playwright; writer; poet	Classical Athenian comic playwright (c. 446 – c. 386 BC)	The Clouds	Clouds	The Clouds	Classical (500–360 BCE)	Old Comedy	play	English	1853	15432	tlg0019.tlg003.perseus-eng2	Q43353
tlg0026.tlg001.perseus-eng2#14	Freedom	Protection of free youth	Young people	Protection from corruption	MORE	[§43] Misgolas and Phaedrus threatened the foreigners and ordered them to follow straight to the lock-up for having corrupted a free youth.	The text describes an incident where individuals use the law/arrest to protect a 'free youth' from corruption, indicating a societal rule protecting free-born minors/young men.	8.0	Second Athenian League	Aeschines, an Athenian orator, describes a legal action taken in his contemporary Athenian society.	contemporary	-354	The rule is described by Aeschines as a contemporary legal action in Athens, dating to his floruit year.	1	1	0	4	5	5	4	3	0	Aeschines	Second Athenian League	-354	-354.0	orator; diplomat; writer; politician	Greek orator and statesman (4th century BCE)	Against Timarchus	Against Timarchus	Against Timarchus	Late Classical (354–165 BCE)			English	1919	23085	tlg0026.tlg001.perseus-eng2	Q317089
tlg0014.tlg019.perseus-eng2#49	Wealth / Properties	Wealthy citizen liturgy obligations	Wealthy citizens	Exemption from public service financing	LESS	[§277] Has the state ever had to thank any one of them in the whole course of his life for so much as a horse, or a war-galley, or a military expedition, or a chorus, or any public service, assessed contribution, or free gift...?	The text lists the various material contributions (liturgies) expected of those with means, such as providing war-galleys (trierarchy) or choruses.	9.0	Second Athenian League	Demosthenes discusses the expected liturgy obligations of wealthy citizens in his contemporary Athenian society.	contemporary	-348	The rule reflects contemporary Athenian practices and expectations for wealthy citizens during Demosthenes' floruit in -348.	1	1	0	4	3	4	4	4	0	Demosthenes	Second Athenian League	-348	-348.0	orator; diplomat; writer; politician	classical Athenian statesman and orator (384–322 BC)	On the False Embassy	On the Embassy	On the False Embassy	Late Classical (354–165 BCE)			English	1926	33333	tlg0014.tlg019.perseus-eng2	Q117253
tlg0031.tlg005.perseus-eng2#47	Citizenship	Citizen assembly dispute resolution	Citizens	Right to settle matters in assembly	MORE	[§718] But if you seek anything about other matters, it will be settled in the regular assembly.	The text specifies that for general matters outside of private litigation, the 'regular assembly' (the ekklesia of citizens) is the proper legal venue for resolution.	9.0	Roman Empire	The rule describes the function of a citizen assembly in a Roman provincial city for dispute resolution.	past	40 to 60	The events in Acts are set in the mid-1st century CE, reflecting the civic practices of Roman provincial administration during that period.	1	1	0	5	4	3	3	3	0	New Testament		100	100.0				Acts		Hellenistic & Early Roman (165 BCE – 105 CE)			English	2000-2024	23247	tlg0031.tlg005.perseus-eng2	Anonymous
tlg0086.tlg035.perseus-eng2#95	Occupation	Handicrafstmen exclusion from office	manual laborers	Eligibility for the archonship	LESS	[§57] Hence in some states manual laborers were not admitted to office in old times, before the development of extreme democracy.	The text explicitly states that manual laborers were historically barred from holding political office based on their occupation.	10.0	Classical Athens	Aristotle, writing in 4th-century BCE Athens, discusses the historical exclusion of manual laborers from office, which reflects past and contemporary Athenian political developments.	mixed	-350 to -340|-500 to -400	The rule discusses historical practices ('in old times') but is framed from Aristotle's contemporary perspective, reflecting both past and present Athenian political norms around his floruit and earlier periods.	0	1	0	3	3	3	4	5	0	Aristotle	Thebans	-348	-348.0	philosopher	4th-century BCE Classical Greek philosopher and polymath	Politics	Politics	Politics	Late Classical (354–165 BCE)	treatise		English	1944	106476	tlg0086.tlg035.perseus-eng2	Q868
tlg0057.tlg010.perseus-eng2#20	Education	Exemption from menial tasks	unintelligent or uneducated people	Protection from menial labor	MORE	And there are some of them, who, even if they meet with more than one teacher, are yet so unintelligent and slow-witted that even by the time they have reached old age they are still incapable of understanding the steps of an argument.... In the old days such people used to be set to menial tasks.... [§15]	Galen contrasts the current state of society with the past, noting that people who are 'slow-witted' or unable to understand logic—who would have previously been relegated to menial labor—are now able to exist in higher social or intellectual roles.	8.0	Roman Empire	Galen describes how unintelligent individuals were assigned menial tasks in 'the old days,' contrasting with his contemporary observations.	mixed	164|-100 to 100	The rule references both Galen's contemporary observations (164 CE) and a past practice ('in the old days'), likely referring to a period before his time, perhaps the preceding century or two.	1	1	1	4	5	4	4	5	0	Galen	Roman Empire;(Roman Empire)	164	164.0	physician; philosopher; physician writer; neuroscientist; surgeon; biologist	1st-century Greek physician, surgeon and philosopher	On the Natural Faculties	On the Natural Faculties.	On the Natural Faculties	High Roman Empire (135–205 CE)			English	1916	48788	tlg0057.tlg010.perseus-eng2	Q8778
tlg0014.tlg019.perseus-eng2#8	Lineage	Peace treaty extension to posterity	male heirs	Security through inherited peace treaties	MORE	[§48] You observe, men of Athens, how full the decree is of compliments and fine phrases; that it provides that the peace, and also the alliance, made with Philip shall be extended to his posterity;	The decree mentioned explicitly extends the legal protections and benefits of a peace treaty and alliance to the group of 'posterity' (descendants), demonstrating that lineage determines the inheritance of international legal status.	9.0	Second Athenian League	Demosthenes discusses a decree concerning a peace treaty with Philip, a contemporary political event involving Athens.	contemporary	-348	Demosthenes refers to a contemporary peace treaty and decree involving Athens at his floruit (-348).	1	1	0	4	5	5	4	5	0	Demosthenes	Second Athenian League	-348	-348.0	orator; diplomat; writer; politician	classical Athenian statesman and orator (384–322 BC)	On the False Embassy	On the Embassy	On the False Embassy	Late Classical (354–165 BCE)			English	1926	33333	tlg0014.tlg019.perseus-eng2	Q117253
tlg1443.tlg001.perseus-eng1#37	Occupation	Bishop's role in communal reconciliation	Bishops	Authority over communal repentance	MORE	[§226] The Lord then forgives all who repent, if their repentance lead to the unity of God and the council of the bishop.	The text establishes that divine forgiveness is conditionally linked to the 'council of the bishop,' granting the person in this office the immaterial resource of spiritual and communal gatekeeping during the process of repentance.	9.0	Early Christian communities in the Roman Empire	Ignatius of Antioch, a Christian author, is writing to the Christian community in Tralles, within the Roman Empire, documenting their contemporary ecclesiastical norms.	contemporary	70 to 110	The rule is stated by Ignatius of Antioch, whose floruit is around 70-110 CE, and reflects the contemporary practices of the early Christian church.	1	1	0	3	3	3	3	4	0	Ignatius of Antioch	Roman Empire;(Roman Empire)	70	70.0	theologian; presbyter	late 1st/early 2nd century Christian author and Patriarch of Antioch	Epistle of Ignatius to the Trallians	Epistles	Epistle of Ignatius to the Trallians	Hellenistic & Early Roman (165 BCE – 105 CE)	epistle		English	1912	12356	tlg1443.tlg001.perseus-eng1	Q44170
tlg0026.tlg001.perseus-eng2#7	Age	Priority of speech for elders	men above fifty	Priority in assembly debate	MORE	[§23] The herald then asks, Who of those above fifty years of age wishes to address the assembly? When all these have spoken, he then invites any other Athenian to speak who wishes.	The procedural rules of the Athenian assembly give priority of speech to citizens over the age of fifty before opening the floor to younger men.	10.0	Classical Athens	Aeschines, an Athenian orator, is discussing laws in force in Athens during his time.	contemporary	-346	Aeschines delivered 'Against Timarchus' in -346, detailing contemporary Athenian laws.	1	1	0	4	5	3	3	3	0	Aeschines	Second Athenian League	-354	-354.0	orator; diplomat; writer; politician	Greek orator and statesman (4th century BCE)	Against Timarchus	Against Timarchus	Against Timarchus	Late Classical (354–165 BCE)			English	1919	23085	tlg0026.tlg001.perseus-eng2	Q317089
tlg1419.tlg001.perseus-eng1#3	Age	Parental obligation to correct children	Parents	Right to exercise moral correction	MORE	[§17] But it is not for this that God is angry with you, but in order that you should convert your family, which has sinned against the Lord, and against you, their parents. But you are indulgent, and do not correct your family, but have allowed them to become corrupt. ... Do not cease, then, correcting your children, for I know that if they repent with all their heart, they will be inscribed in the books of life with the saints.	The text establishes a social and religious rule where parents are responsible for the moral conduct of their children and describes the failure to provide 'correction' as a cause for divine anger.	9.0	Early Christian communities in the Roman Empire	Hermas, a 2nd-century Roman freedman, documents the norms of early Christian communities within the Roman Empire.	contemporary	150	The rule is stated by Hermas at his floruit in 150 CE, reflecting contemporary Christian teachings and social norms.	1	1	0	4	3	3	4	3	0	Hermas	Roman Empire;(Roman Empire)	150	150.0	writer	2nd century Roman freedman and writer	The Shepherd of Hermas	The Shepherd of Hermas	The Shepherd of Hermas	High Roman Empire (135–205 CE)			English	1913	38367	tlg1419.tlg001.perseus-eng1	Q1799472
tlg0031.tlg005.perseus-eng2#16	Age	Circumcision of male infants	Infants	Bodily integrity	LESS	[§208] He gave him the covenant of circumcision. So Abraham became the father of Isaac, and circumcised him the eighth day.	The text describes a religious rule where infants are subjected to a specific physical procedure (circumcision) upon reaching the eighth day of life as part of a covenantal requirement.	8.0	Ancient Israel	The rule refers to the covenant of circumcision established with Abraham, a foundational practice of ancient Israel.	past	-1800	The rule refers to the time of Abraham, which is significantly in the past relative to the New Testament's composition.	0	1	1	5	5	5	1	5	0	New Testament		100	100.0				Acts		Hellenistic & Early Roman (165 BCE – 105 CE)			English	2000-2024	23247	tlg0031.tlg005.perseus-eng2	Anonymous
tlg0086.tlg035.perseus-eng2#69	Lineage	Cretan Cosmos clan restriction	Specific clans	Eligibility for the Cosmos office	MORE	[§44] At Sparta, as the election is made from all the citizens, the common people sharing in the highest office desire the maintenance of the constitution, but in Crete they do not elect the Cosmi from all the citizens but from certain clans.	Eligibility for the high office of 'Cosmos' in Crete is restricted to members of specific lineages or clans rather than the general citizenry.	9.0	Crete	Aristotle explicitly contrasts the Cretan system with the Spartan one.	past	-600 to -348	Aristotle describes the Cretan system, which would have been contemporary to or prior to his floruit (-348).	1	1	0	2	5	3	3	4	0	Aristotle	Thebans	-348	-348.0	philosopher	4th-century BCE Classical Greek philosopher and polymath	Politics	Politics	Politics	Late Classical (354–165 BCE)	treatise		English	1944	106476	tlg0086.tlg035.perseus-eng2	Q868
tlg0719.tlg003.perseus-eng2#5	Health	Lethargic environmental stimulation	Lethargics (The sick)	Right to quiet and darkness	LESS	[§2] Lethargics are to be laid in the light, and exposed to the rays of the sun... Everything to prevent sleep—the reverse of that which is proper for phrenitics.	Patients diagnosed with lethargy are systematically denied the resource of a quiet, dark environment (granted to phrenitics) and are instead subjected to forced stimulation and light as a rule of their treatment.	10.0	Roman Empire	Aretaeus of Cappadocia was a Greek physician writing within the Roman Empire, and his medical advice reflects contemporary Roman medical practices.	contemporary	135	The rule is stated by Aretaeus at his floruit (135 CE) and describes contemporary medical treatment for lethargics.	1	1	0	3	2	3	3	2	0	Aretaeus of Cappadocia	Roman Empire;(Roman Empire)	135	135.0	physician	2nd century Greek physician	On the causes and signs of acute and chronic diseases	On the Therapeutics of Acute Diseases	On the causes and signs of acute and chronic diseases	High Roman Empire (135–205 CE)			English	1856	24761	tlg0719.tlg003.perseus-eng2	Q505931
tlg0031.tlg005.perseus-eng2#0	Gender	Apostolic witness eligibility	Women	Eligibility for the apostleship	LESS	[§22] Of the men therefore who have accompanied us all the time that the Lord Jesus went in and went out among us, [§23] beginning from the baptism of John, to the day that he was received up from us, of these one must become a witness with us of his resurrection.	When selecting a replacement for Judas, Peter explicitly limits the pool of candidates to 'the men' (andrown) who had been with them, thereby excluding the women mentioned in paragraph 15 from being considered for the official office of witness/apostle.	9.0	Early Christian Community	The rule describes the criteria for apostleship within the nascent Christian community as documented in the New Testament.	past	30 to 60	The New Testament (Acts) was compiled around 100 CE, but this rule describes events and criteria from the early days of Christianity, shortly after Jesus's death and resurrection (c. 30-60 CE).	1	1	0	5	5	3	2	5	0	New Testament		100	100.0				Acts		Hellenistic & Early Roman (165 BCE – 105 CE)			English	2000-2024	23247	tlg0031.tlg005.perseus-eng2	Anonymous
tlg0086.tlg035.perseus-eng2#62	Gender	Female exclusion from legal regulation	Women	Protection/Instruction by legal code	LESS	[§39] so that in all constitutions in which the position of the women is badly regulated one half of the state must be deemed to have been neglected in framing the law. And this has taken place in the state under consideration,for the lawgiver wishing the whole city to be of strong character displays his intention clearly in relation to the men, but in the case of the women has entirely neglected the matter.	The author notes that the Spartan legislator deliberately left women outside the scope of the laws that governed the conduct and character of male citizens.	9.0	Sparta	Aristotle is discussing the constitution of Sparta in this section of the Politics.	past	-600 to -348	Aristotle describes a practice in Sparta, which would have been contemporary to or prior to his floruit (-348).	1	1	0	5	5	3	4	5	0	Aristotle	Thebans	-348	-348.0	philosopher	4th-century BCE Classical Greek philosopher and polymath	Politics	Politics	Politics	Late Classical (354–165 BCE)	treatise		English	1944	106476	tlg0086.tlg035.perseus-eng2	Q868
tlg0031.tlg005.perseus-eng2#53	Ethnicity	Gentile exclusion from Temple	Greeks	Access to the Temple	LESS	[§788] crying out, 'Men of Israel, help! This is the man who teaches all men everywhere against the people, and the law, and this place. Moreover, he also brought Greeks into the temple, and has defiled this holy place!'	The text describes an uproar based on the accusation that a non-Jew (Greek) was brought into the Temple, which is stated to have 'defiled' the holy place, establishing a clear rule of exclusion for that group from that specific location.	10.0	Second Temple Judaism	The rule describes the exclusion of Gentiles from the Temple in Jerusalem, a practice rooted in Jewish religious law and custom.	past	-19 to 70	The event described in Acts refers to the Second Temple in Jerusalem, which was destroyed in 70 CE, and the rule reflects practices from its operational period.	1	1	0	5	5	3	2	4	0	New Testament		100	100.0				Acts		Hellenistic & Early Roman (165 BCE – 105 CE)			English	2000-2024	23247	tlg0031.tlg005.perseus-eng2	Anonymous
tlg0086.tlg010.perseus-eng2#95	Freedom	Servile status and insult endurance	Slaves	Protection of personal honor	LESS	[§577] It is thought that they do not feel or resent an injury, and that if a man is never angry he will not stand up for him self; and it is considered servile to put up with an insult to oneself or suffer one’s friends to be insulted.	Aristotle notes that failing to resent an insult is considered 'servile' (characteristic of a slave). This implies that in Greek society, the social expectation for slaves was to endure insults without redress, unlike free men who were expected to stand up for themselves.	8.0	Classical Greece	Aristotle's philosophical work on ethics reflects general societal values and norms prevalent in the Greek world during his time, including the status of slaves.	contemporary	-348	This rule reflects contemporary social perceptions of slaves and their expected endurance of insults in Greek society, as articulated by Aristotle around his floruit.	1	0	0	5	4	1	5	5	1	Aristotle	Thebans	-348	-348.0	philosopher	4th-century BCE Classical Greek philosopher and polymath	Nicomachean Ethics	Nicomachean Ethics	Nicomachean Ethics	Late Classical (354–165 BCE)	treatise		English	1926	104386	tlg0086.tlg010.perseus-eng2	Q868
tlg0026.tlg001.perseus-eng2#40	Education	Teacher accountability for pupil actions	Sophists	Protection from state execution	LESS	[§173] Did you put to death Socrates the sophist, fellow citizens, because he was shown to have been the teacher of Critias, one of the Thirty who put down the democracy...?	The author cites the historical legal precedent where a teacher (Socrates) was held liable/punished for the political actions of his student (Critias), indicating a lack of protection for educators based on their pupils' conduct.	9.0	Second Athenian League	Aeschines, an Athenian orator, refers to a past Athenian legal event and its implications for teacher accountability.	past	-399	The rule refers to the trial and execution of Socrates in -399, a past event for Aeschines.	0	1	0	3	3	5	5	4	0	Aeschines	Second Athenian League	-354	-354.0	orator; diplomat; writer; politician	Greek orator and statesman (4th century BCE)	Against Timarchus	Against Timarchus	Against Timarchus	Late Classical (354–165 BCE)			English	1919	23085	tlg0026.tlg001.perseus-eng2	Q317089
