work_name,author,impact_year,polity,criteria,criterion_label,in_group,out_group,resource,resource_std,speaker,verbatim,matched_keywords,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,rule_uid,file_id,rule_category,reasoning,specificity,specificity_reasoning,confidence
Nicomachean Ethics,Aristotle,-348,,Age|Gender|Lineage,Judicial excuse for patriarchy,Adult sons,,Right to claim hereditary impulse in assault,Legal standing,MORE,"[§950] But anger and bad temper are more natural than desire for excessive and unnecessary pleasures; witness the man who was had up for beating his father and who said in his defence, “Well, my father used to beat his father, and he used to beat his, and (pointing to his little boy) so will my son here beat me when he grows up; it runs in our family”",Legal defense privilege,gemini_v18,,,,tlg0086.tlg010.perseus-eng2#214,tlg0086.tlg010.perseus-eng2,Legal defense privilege,"The text describes a specific legal context ('the man who was had up') where an individual uses the 'natural' or 'hereditary' quality of anger as a legitimate or at least recognized line of defense for physical assault against a parent. This suggests a societal rule where certain familial violence is mitigated by being perceived as a natural, inherited disposition.",4,"This applies specifically to those in a domestic conflict involving paternal assault, a subset of the population.",7
Nicomachean Ethics,Aristotle,-348,,Lineage|Gender,Paternal slavery of sons,Sons,,Freedom from enslavement by father,Freedom,LESS,"[§1084] Among the Persians paternal rule is tyrannical, for the Persians use their sons as slaves.",Restriction of personal freedom,gemini_v18,,,,tlg0086.tlg010.perseus-eng2#256,tlg0086.tlg010.perseus-eng2,Restriction of personal freedom,"Aristotle identifies a specific cultural rule among the Persians where sons are treated as the property of the father, effectively removing their status as free persons within the household.",4,This rule applies to a specific subset of the population (sons) within a specific civilization (Persians) mentioned in the text.,10
Epinician Odes,Bacchylides,-480,,Lineage|Gender,Dynastic succession rights,Legitimate sons,,Right to rule,Political power,MORE,"[§1] And in the tenth month the bride with beautiful hair bore Euxantius, to be ruler over the glorious island daughters city cut deep by the sun's rays. From his (Euxantius'?) family descended Argeius.",Access to political succession,gemini_v18,,,,tlg0199.tlg001.perseus-eng2#1,tlg0199.tlg001.perseus-eng2,Access to political succession,"The text identifies the birth of a son to a specific union (Minos and Dexithea) as the designated ruler, establishing that lineage and birth within the ruling family grant the resource of political power.",8,Political succession rules apply only to a very small number of elite individuals.,10
Epistle of Barnabas,Barnabas,36,,Age,Infant life protection,Children,,Protection from infanticide and abortion,Body integrity,MORE,"[§195] Thou shalt not procure abortion, thou shalt not commit infanticide.",Protection of children,gemini_v18,,,,tlg1216.tlg001.perseus-eng1#30,tlg1216.tlg001.perseus-eng1,Protection of children,"The text explicitly forbids abortion and infanticide as part of the 'Way of Light,' establishing a communal rule where infants and the unborn are granted the right to life and protection from lethal harm.",1,This rule applies to all children/infants within the community and prohibits actions by any member.,10
Against Meidias,Demosthenes,-348,,Wealth / Properties|Citizenship,Liturgical expenditure exemptions,Wealthy citizens,,Exemption from subsequent public services,Economic privileges,MORE,[§155] After this the State provides the crews and furnishes the tackle; so that some of them succeed in really spending nothing at all and by pretending to have performed one public service enjoy exemption from the rest.,Grant of economic privilege,gemini_v18,,,,tlg0014.tlg021.perseus-eng2#33,tlg0014.tlg021.perseus-eng2,Grant of economic privilege,Demosthenes describes a loophole or rule where performing one 'trierarchy' (public service) allows a citizen to claim exemption from other financial burdens imposed by the state.,3,"This rule applies to the 'Twelve Hundred', the wealthiest tier of Athenian citizens responsible for funding the navy.",9
Against Demosthenes,Dinarchus,-324,,Citizenship,Athenian citizenship by birth,Foreigners,,Right to Athenian citizenship,Citizenship,LESS,"[§95] This man is a juggler, Athenians, and a blackguard, not entitled to be a citizen of Athens, either by virtue of his birth or of his political record.",Access to citizenship,gemini_v18,,,,tlg0029.tlg004.perseus-eng2#20,tlg0029.tlg004.perseus-eng2,Access to citizenship,"Dinarchus argues that certain individuals are ineligible for the rights of citizenship based on 'birth', implying a genealogical requirement for full civic status in Athens.",3,Citizenship rules apply to a large portion of the population (the entire non-citizen resident and foreign population).,9
All the works of Epictetus which are now extant,Epictetus,85,,Occupation|Legal Standing,Judicial power of imprisonment,Judges,,Authority to imprison or corporal punish,Political power,MORE,[§68] But I can throw whom I please into a prison. [...] But I can beat whom I will too.,Access to judicial protection,gemini_v18,,,,tlg0557.tlg001.perseus-eng4#138,tlg0557.tlg001.perseus-eng4,Access to judicial protection,"The text explicitly states the legal powers held by a Judge of the Greeks, including the power to imprison and inflict corporal punishment on others.",9,This is a specific power held only by high-ranking legal officials.,10
Helen,Euripides,-445,,Nobility|Freedom,Barbarian absolute autocracy,Non-royal subjects,,Status as free persons,Freedom,LESS,"[§9] Next, the gods have removed me from my native country to barbarian habits, and bereft of friends I have become a slave although I am free by birth; for among barbarians all are slaves except one.",Political exclusion,gemini_v18,,,,tlg0006.tlg014.perseus-eng2#5,tlg0006.tlg014.perseus-eng2,Political exclusion,Helen describes the political structure of 'barbarian' (non-Greek) societies as one where the lack of civic rights effectively renders every subject a slave to the single ruler.,2,This describes the entire population of non-Greek states under a single monarch.,9
On the Natural Faculties,Galen,164,,Occupation|Education,Scientific investigator's causal inquiry,Scientific investigators,,Right to investigate primary causes,Economic privileges,MORE,"[§28] This is no concern of ours, they say; we do not occupy ourselves with such causes as these; they are outside the sphere of the practitioner, and belong to that of the scientific investigator.",Access to intellectual labor,gemini_v18,,,,tlg0057.tlg010.perseus-eng2#38,tlg0057.tlg010.perseus-eng2,Access to intellectual labor,The text distinguishes between the 'practitioner' (physician) and the 'scientific investigator' regarding the study of primary causes. The investigator is granted the professional right and social expectation to pursue high-level causal knowledge that practitioners claim is outside their own sphere.,8,This refers to a specific elite subset of the intellectual class defined by their academic or theoretical focus.,9
On the Natural Faculties,Galen,164,,Education,Intellectual sector exclusion,Unsystematic thinkers,,Right to be recognized in philosophical debate,Legal standing,LESS,"[§13] I speak, of course, of such of them as know what they are talking about, and who realize the logical sequence of their hypotheses, and stand by them; as for those who cannot understand even this, but who simply talk any nonsense that comes to their tongues, and who do not remain definitely attached either to one sect or the other — such people are not even worth mentioning.",Exclusion from intellectual discourse,gemini_v18,,,,tlg0057.tlg010.perseus-eng2#9,tlg0057.tlg010.perseus-eng2,Exclusion from intellectual discourse,"Galen explicitly excludes a specific group of people from the 'sects' of medicine and philosophy based on their lack of logical consistency and adherence to a defined school of thought, effectively stripping them of professional or intellectual standing in his society.",4,This rule applies to a specific sub-set of the educated class (physicians and philosophers) who fail to meet the standards of systematic thought.,9
On the Natural Faculties,Galen,164,,Education,Slave labor for unintelligent students,Unintelligent students,,Freedom from menial tasks,Freedom,LESS,"[§15] And there are some of them, who, even if they meet with more than one teacher, are yet so unintelligent and slow-witted that even by the time they have reached old age they are still incapable of understanding the steps of an argument.... In the old days such people used to be set to menial tasks.... What will be the end of it God knows!",Obligation of menial labor,gemini_v18,,,,tlg0057.tlg010.perseus-eng2#15,tlg0057.tlg010.perseus-eng2,Obligation of menial labor,"Galen notes that historically, individuals lacking the cognitive capacity for philosophy or medicine (the 'slow-witted') were relegated to menial labor rather than being allowed to claim professional status, implying a customary loss of professional freedom based on perceived intellectual disability.",4,The rule targets a specific sub-section of the population (those failing intellectual training) but Galen suggests it was a standard social practice in the 'old days'.,7
On the Natural Faculties,Galen,164,,Occupation|Education,Sophist intellectual exclusion,Sophists,,Right to be heard in scientific debate,Legal standing,LESS,"[§3] Others (such as Anaxagoras) will have it that the qualities do exist in it, but that they are unchangeable and immutable from eternity to eternity, and that these apparent alterations are brought about by separation and combination. Now, if I were to go out of my way to confute these people, my subsidiary task would be greater than my main one. [...] We shall then, as I said, renounce our controversy with them, since those who wish may get a good grasp of the views of the ancients from our own personal investigations into these matters.",Exclusion from scientific discourse,gemini_v18,,,,tlg0057.tlg010.perseus-eng2#5,tlg0057.tlg010.perseus-eng2,Exclusion from scientific discourse,"Galen explicitly refuses to engage with or 'confute' the Sophists and those who deny material alteration, effectively excluding them from the valid circle of medical and natural-philosophical discourse.",5,Applies to a specific school of thinkers/rhetoricians characterized by their professional-intellectual claims.,8
The Shepherd of Hermas,Hermas,150,,Age|Gender,Maiden building site residency,Maidens,,Freedom of movement from the workplace,Freedom,LESS,"[§653] [1] And the six men commanded all the builders to retire a little and rest, but they commanded the maidens not to go away from the tower.",Mandatory site presence,gemini_v18,,,,tlg1419.tlg001.perseus-eng1#133,tlg1419.tlg001.perseus-eng1,Mandatory site presence,"While the builders (men) are granted the right to retire and rest away from the site, the maidens are legally commanded to remain at the tower, restricting their freedom of movement.",5,"This rule distinguishes between two different groups of workers on the same site, granting one freedom while denying it to the other.",9
The Shepherd of Hermas,Hermas,150,,Age|Gender,Maiden labor in construction,Maidens,,Right to perform masonry and construction labor,Economic privileges,MORE,"[§677] Then he looked at those which were rotten and he took and hewed many of them and commanded the maidens to take them and put them into the building, and the maidens took them and put them into the building in the middle of the tower. ... Then he began to look at those which had stains, and of these a very few were turned black, and were rejected with the rest, but most of them were found to be bright and sound, and these were fitted by the maidens into the building, but they were put on the outside because of their strength.",Access to labor roles,gemini_v18,,,,tlg1419.tlg001.perseus-eng1#136,tlg1419.tlg001.perseus-eng1,Access to labor roles,"The text depicts a group of maidens as the primary workforce responsible for the physical assembly and placement of stones in the tower under the shepherd's direction, indicating a customary role for women in this specific labor context.",4,This describes a specific group of women (maidens) performing a specialized task within the narrative's social structure.,9
Theogony,Hesiod,-740,,Lineage,Intestate inheritance secondary,Kinsfolk,,Right to inherit over direct heirs,Property and inheritance,MORE,"[§1] ...whoever avoids marriage and the sorrows that women cause, and will not wed, reaches deadly old age without anyone to tend his years, and though he at least has no lack of livelihood while he lives, yet, when he is dead, his kinsfolk divide his possessions amongst them.",Exclusion from inheritance,gemini_v18,,,,tlg0020.tlg001.perseus-eng2#3,tlg0020.tlg001.perseus-eng2,Exclusion from inheritance,"The text outlines the legal consequence of remaining unmarried and childless: the individual's property is not passed to a direct heir (son) but is fragmented and divided among collateral kinsfolk, establishing the priority of lineage in property retention.",4,"This applies to the kin-groups of unmarried, childless men.",10
The Art,Hippocrates,-465,,Occupation,Physician ethical restraint,Physicians,,Right to use elaborate or 'popular' methods for gain,Legal standing,LESS,"[§78] The prime object of the physician in the whole art of medicine should be to cure that which is diseased; and if this can be accomplished in various ways, the least troublesome should be selected; for this is more becoming a good man, and one well skilled in the art, who does not covet popular coin of base alloy.",Professional conduct,gemini_v18,,,,tlg0627.tlg010.perseus-eng2#43,tlg0627.tlg010.perseus-eng2,Professional conduct,The text establishes a professional and ethical rule that physicians must avoid unnecessarily complex or showy treatments intended merely to impress the public ('popular coin'). They are restricted to the 'least troublesome' effective methods.,7,The rule is directed specifically at the behavior and methods of those identified as 'physicians' or 'skilled in the art'.,9
The Art,Hippocrates,-465,,Health,Medical treatment for contusions,Surgical patients,,Right to bloodletting and pharmaceutical care,Economic privileges,MORE,"[§50] they should be bled in the arm, speak as little as possible, should have the contused part bound round with folded compresses, plenty of bandages, broader than the contusion, and which should be smeared with cerate; ... It is better also to open the bowels with some gentle medicine, so as just to produce an evacuation of the food",Access to medical care,gemini_v18,,,,tlg0627.tlg010.perseus-eng2#27,tlg0627.tlg010.perseus-eng2,Access to medical care,"The text prescribes a specific set of medical interventions (bloodletting, pharmaceuticals, bandaging) that the society’s practitioners were expected to provide to those with specific physical injuries.",3,Applies to any individual suffering from a specific class of physical trauma.,10
The Art,Hippocrates,-465,,Health,Surgical safety requirement,Patients,,Protection from nerve damage during cautery,Body integrity,MORE,"[§11] The glands, then, are not to be taken hold of, nor the parts internal to the glands; for this would be attended with great danger, as they are adjacent to the most important nerves. But the greater part of the substances external to the glands are to be grasped, for there is no danger from them.",Protection from medical harm,gemini_v18,,,,tlg0627.tlg010.perseus-eng2#7,tlg0627.tlg010.perseus-eng2,Protection from medical harm,"The author establishes a strict procedural rule for physicians to avoid specific anatomical structures (glands and internal nerves) during cauterization to prevent permanent harm, constituting a rule of safe medical practice for the patient's protection.",5,Applies specifically to patients undergoing a particular surgical procedure (cautery for dislocation).,10
The Art,Hippocrates,-465,,Health,Dietary restriction for recovery,Sick and injured,,Right to full dietary rations,Economic privileges,LESS,"[§33] He is to be kept on a spare diet for ten days, and then nourished without delay.",Restriction of personal freedom,gemini_v18,,,,tlg0627.tlg010.perseus-eng2#14,tlg0627.tlg010.perseus-eng2,Restriction of personal freedom,The text establishes a medical rule that patients with fractured jaws must be denied full nourishment ('spare diet') for a specific duration as part of the healing protocol.,4,The rule applies specifically to those with a particular injury (fractured jaw) during a specific recovery window.,10
Odyssey,Homer,-750,,Freedom|Gender|Occupation,Slave labor for transport,Slave women,,Freedom of movement,Freedom,LESS,"[§163] And Arete sent with him slave women, one bearing a newly washed cloak and a tunic, and another again she bade follow to bear the strong chest, and yet another bore bread and red wine.",Labor control,gemini_v18,,,,tlg0012.tlg002.perseus-eng3#234,tlg0012.tlg002.perseus-eng3,Labor control,"The text shows slave women being commanded to perform manual porter labor (carrying heavy chests and supplies) to the shore at the queen's bidding, illustrating their lack of autonomy over their labor and movement.",4,It applies specifically to the female household slaves of a royal estate.,10
Odyssey,Homer,-750,,Occupation,Blind minstrel support,Minstrels,,Right to public honor and physical assistance,Economic privileges,MORE,"[§87] For among all men that are upon the earth minstrels win honor and reverence, for that the Muse has taught them the paths of song, and loves the tribe of minstrels. | [§87] For him Pontonous, the herald, set a silver-studded chair in the midst of the banqueters, leaning it against a tall pillar... and beside him he placed a basket and a beautiful table, and a cup of wine.",Grant of economic privilege,gemini_v18,,,,tlg0012.tlg002.perseus-eng3#131,tlg0012.tlg002.perseus-eng3,Grant of economic privilege,"Minstrels are explicitly identified as a 'tribe' that receives unique honors, including assigned seating, specific food portions, and heralds to guide them, regardless of physical disabilities (blindness).",8,"Minstrels are a very small, specialized professional group.",9
Epistle of Ignatius to the Trallians,Ignatius of Antioch,70,,Occupation|Religion,Clerical authority over assembly,Bishops,,Right to absolute command in assembly,Political power,MORE,"[§1] Therefore it is clear that we must regard the bishop as the Lord himself. | [§1] And the more anyone sees that the bishop is silent, the more let him fear him. For every one whom the master of the house sends to do his business ought we to receive as him who sent him.",Access to political power,gemini_v18,,,,tlg1443.tlg001.perseus-eng1#4,tlg1443.tlg001.perseus-eng1,Access to political power,"The text grants the bishop total representative authority over the community, equating his will to the divine 'Lord's' will, which translates to absolute executive control over the congregation's activities.",9,The rule applies only to a single individual within each local community (the bishop).,10
Epistle of Ignatius to the Trallians,Ignatius of Antioch,70,,Religion,Common meeting participation,Christians,,Right to attend common meetings,Religious access,MORE,"[§43] Seek, then, to come together more frequently to give thanks and glory to God. | [§68] [2] especially if the Lord reveal to me that you all severally join in the common meeting in grace from his name, in one faith and in Jesus Christ",Access to religious assembly,gemini_v18,,,,tlg1443.tlg001.perseus-eng1#11,tlg1443.tlg001.perseus-eng1,Access to religious assembly,"The author exhorts all members of the faith to participate in frequent communal gatherings, framing it as a standard expectation for those in the 'one faith'.",3,This applies to the entire group of 'the faithful' within the author's social context.,9
Epistle of Ignatius to the Trallians,Ignatius of Antioch,70,,Religion,Instructional exclusion of heretics,Heretics,,Right to be heard in assembly,Legal standing,LESS,"[§21] Indeed Onesimus himself gives great praise to your good order in God, for you all live according to truth, and no heresy dwells among you; nay, you do not even listen to any unless he speak concerning Jesus Christ in truth. | [§25] For there are some who make a practice of carrying about the Name with wicked guile, and do certain other things unworthy of God; these you must shun as wild beasts, for they are ravening dogs, who bite secretly, and you must be upon your guard against them, for they are scarcely to be cured.",Denial of social hearing,gemini_v18,,,,tlg1443.tlg001.perseus-eng1#7,tlg1443.tlg001.perseus-eng1,Denial of social hearing,The community is commanded to 'shun' and 'not even listen' to those deemed heretical or speakers of 'evil doctrine.' This is a social and communicative exclusion rule within the society of the early church.,5,This targets a specific sub-group defined by their theological deviation from the bishop's doctrine.,9
On the Estate of Philoctemones,Isaeus,-384,,Wealth / Properties|Citizenship,Wealth-based military funding,Wealthy citizens,,Retention of personal wealth,Economic privileges,LESS,"[§61] Both of them have paid all the special war-taxes, being numbered among the three hundred. Formerly only these two members of the family contributed, but now the younger son here is choregus in the tragic competitions and has been enrolled among the three hundred and pays the war-tax.",Obligation of public duty,gemini_v18,,,,tlg0017.tlg006.perseus-eng2#12,tlg0017.tlg006.perseus-eng2,Obligation of public duty,"The wealthiest 300 citizens (the Three Hundred) were legally compelled to fund the city's war efforts and festivals (liturgies), representing a systematic drain on their private resources for public benefit.",5,This specifically targets the top tier of the wealth hierarchy in Athens.,9
Panathenaicus,Isocrates,-400,,Citizenship|Wealth / Properties,Allied financial levies,Allied city-states,,Retention of local tax revenue and land,Property and inheritance,LESS,"[§116] when the Athenians should compel the Hellenes, to whom they had previously given lands and cities, to pay contributions and tribute to Athens in order that she might have the means to pay the kind of men whom I mentioned a moment ago.",Extraction of wealth,gemini_v18,,,,tlg0010.tlg021.perseus-eng2#19,tlg0010.tlg021.perseus-eng2,Extraction of wealth,"As Athens transitioned to a maritime power, it established a rule of compulsory tribute (phoros) from its allies to fund its navy.",4,This applied to all members of the Delian League/Athenian Empire.,9
Dialogues of the Gods,Lucian,155,,Gender,Sacrificial meat allocation,Men,,Right to high-quality meat portions,Property and inheritance,MORE,"[§1] I need not remind you how you overreached me about the meat-offerings; my portion, bones disguised in fat: yours, all the good.",Access to public resources,gemini_v18,,,,tlg0062.tlg068.perseus-eng4#3,tlg0062.tlg068.perseus-eng4,Access to public resources,The text references the standard Greek sacrificial practice (mythologically attributed to Prometheus's trick) where humans retain the 'good' meat while the gods receive bones and fat. This defines the material distribution of food resources in religious ritual.,2,"This rule governs the distribution of meat in sacrifices, affecting all Greek practitioners.",10
Dialogues of the Gods,Lucian,155,,Gender,Rural marriage status devaluation,Rural women,,Recognition of marital status and dignity,Marriage and family,LESS,"[§50] Hermes: I believe there is a wife, as it were; a good enough sort of girl—a native of those parts—but sadly countrified! I fancy he does not care very much about her.",Denial of marital prestige,gemini_v18,,,,tlg0062.tlg068.perseus-eng4#18,tlg0062.tlg068.perseus-eng4,Denial of marital prestige,"Hermes' description 'a wife, as it were' and 'sadly countrified' indicates that the marriage of a rural woman to a man of higher lineage (Paris, though a herdsman, is of royal blood) is not fully respected or seen as a bind of high social consequence compared to urban or more 'civilized' unions.",5,This applies specifically to women of a certain geographic and economic class ('countrified' natives).,7
Dialogues of the Dead,Lucian of Samosata,155,,Occupation|Nobility,Diplomatic integrity rule,Kings,,Adherence to oaths and promises,Legal standing,MORE,"[§48] I never went back on an oath or a promise, or broke faith to gain a victory, and, though I took over most of the Greeks without bloodshed, perhaps you’ve heard how I punished the Thebans.",Access to diplomatic trust,gemini_v18,,,,tlg0062.tlg066.perseus-eng3#14,tlg0062.tlg066.perseus-eng3,Access to diplomatic trust,"Alexander cites his adherence to oaths and promises as a hallmark of his legitimate conduct as a leader, implying a societal rule that rulers must maintain faith in treaties and diplomatic agreements rather than relying on 'bribery and treachery.'",7,This rule applies to political and military leaders who act on behalf of the state in diplomatic matters.,8
Against Leocrates,Lycurgus,-354,,Wealth / Properties|Citizenship,Public service credit,Wealthy citizens,,Right to judicial leniency through liturgies,Legal standing,MORE,"[§140] Some of them indeed are no longer using arguments to try to deceive you; they will even cite their own public services in favor of the defendants. ... To earn your gratitude he must, instead, have been distinguished as a trierarch, or built walls to protect his city, or subscribed generously from his own property for the public safety. These are services to the state",Grant of economic privilege,gemini_v18,,,,tlg0034.tlg001.perseus-eng2#33,tlg0034.tlg001.perseus-eng2,Grant of economic privilege,"The text confirms the Athenian custom of the 'charis' (gratitude), where wealthy citizens who performed expensive public services (liturgies like trierarchy) could use these contributions as a legal resource to gain leniency or favor for themselves or friends in court.",3,This applies to the elite class of citizens capable of performing such expensive services.,9
Funeral Oration,Lysias,-409,,Age,Military age exemption,Elders,,Exemption from active military service,Military,MORE,"[§50] But the Athenians, though their men were away and the enemy close at hand, would not deign to summon anyone. Trusting in their own spirit, and despising the invaders, the elderly and those below the age of service thought fit to take the risk upon themselves alone",Age-based military exclusion,gemini_v18,,,,tlg0540.tlg002.perseus-eng2#5,tlg0540.tlg002.perseus-eng2,Age-based military exclusion,The text identifies the 'elderly' as a group normally outside the 'age of service' (men of serviceable age being absent elsewhere). This indicates a formal societal rule where men of a certain advanced age are no longer required to serve in the active field army.,3,"This rule applies to all male citizens who reach a specific age threshold, a significant but defined portion of the population.",10
Against Eratosthenes,Lysias,-409,,Occupation,Right of political speech,Orators,,Freedom to oppose legislation in Assembly,Political power,LESS,"[§72] ...they called the Assembly to a debate on the constitution, when no orator could either oppose them or awe them with threats...",Exclusion from political speech,gemini_v18,,,,tlg0540.tlg012.perseus-eng2#13,tlg0540.tlg012.perseus-eng2,Exclusion from political speech,"Lysias notes that during the oligarchy, the usual right of orators to speak in opposition to proposals or to use their rhetorical influence was suppressed by force and threats.",6,This refers to the subset of citizens who actively practiced public speaking and political leadership.,9
Against Eratosthenes,Lysias,-409,,Age,Debt-based enslavement,Children,,Protection from enslavement for petty debts,Freedom,LESS,"[§98] Of your children, as many as were here would have been foully assaulted by these men, while those in foreign parts would have been enslaved for petty debts, cut off from all possible assistance.",Restriction of personal freedom,gemini_v18,,,,tlg0540.tlg012.perseus-eng2#19,tlg0540.tlg012.perseus-eng2,Restriction of personal freedom,"Lysias points out a vulnerability where children of exiles or those in 'foreign parts' were susceptible to being enslaved to cover small debts, indicating a lack of legal protection for this group's freedom.",6,This refers specifically to the children of the disenfranchised or those living outside the city's protection.,7
