work_name,author,impact_year,polity,criterion_category,criterion_label,in_group,out_group,resource,speaker,verbatim,file_path,extraction_method,matched_keywords,extraction_cost_usd,prompt_tokens,completion_tokens,in_group_std,out_group_std,resource_std
Against Timarchus,Aeschines,-354,Second Athenian League,AGE,Citizens over fifty have priority in addressing the assembly,Citizens above fifty years of age,Citizens under fifty years of age,Priority in speaking at the assembly,Aeschines,"After the purifying sacrifice has been carried round and the herald has offered the traditional prayers, the presiding officers are commanded to declare to be next in order the discussion of matters pertaining to the national religion, the reception of heralds and ambassadors, and the discussion of secular matters. The herald then asks, Who of those above fifty years of age wishes to address the assembly? When all these have spoken, he then invites any other Athenian to speak who wishes (provided such privileges belongs to him).",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0026/tlg001/tlg0026.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (25 passages, 8 pages from original 51 pages)","age, aged, assembly, athenian, athenians, herald, masters, mother, office, older, privilege",0.171315,7856,713,Elders,Young/Minors,Political participation
Against Timarchus,Aeschines,-354,Second Athenian League,FREEDOM_STATUS,Slaves pay fees to masters while free citizens control their own labor,Free citizens,Slaves,Control over one's own labor and earnings,Aeschines,"There was a house south of the Acropolis, a suburban estate at Sphettus, another piece of land at Alopeke, and besides there were nine or ten slaves who were skilled shoemakers, each of whom paid him a fee of two obols a day, and the superintendent of the shop three obols. Masters sometimes allowed their slaves to buy their time at so much per day; this fee was called ἀποφορά. Such slaves could do business for themselves, or hire themselves out to manufacturers, contractors, etc.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0026/tlg001/tlg0026.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (25 passages, 8 pages from original 51 pages)","allow, allowed, estate, heir, land, master, masters, slave, slaves, youth",0.171315,7856,713,Free persons,Slaves,Property/Wealth
Seven Against Thebes,Aeschylus,-489,Greek City-States,GENDER,Men control public decision-making; women excluded from political authority,Men,Women,Political authority and governance,Chorus,"Again, as between the sexes, the male is by nature superior and the female inferior, the male ruler and the female subject.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0085/tlg004/tlg0085.tlg004.perseus-eng2.txt,"HYBRID_EXTRACTED (22 passages, 8 pages from original 26 pages)","female, male, mature, naturalized, rule, sex",0.157605,7917,518,Men,Women,Political participation
Seven Against Thebes,Aeschylus,-489,Greek City-States,FREEDOM_STATUS,Free persons maintain freedom; slaves subject to bondage,Free persons,Slaves,Personal freedom and legal autonomy,Messenger,"Take heart, you daughters who were nurtured by your mother. Our city has escaped the yoke of slavery; the boasts of the powerful men have fallen to the ground.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0085/tlg004/tlg0085.tlg004.perseus-eng2.txt,"HYBRID_EXTRACTED (22 passages, 8 pages from original 26 pages)","daughter, men, mother, power, slave, slavery",0.157605,7917,518,Free persons,Slaves,Freedom
Seven Against Thebes,Aeschylus,-489,Greek City-States,CITIZENSHIP,Citizens receive honorable burial; enemies of the state denied burial rights,Citizens loyal to the city,Those who attack the city,Right to burial and funeral honors,Herald,"It is decreed, first, that Eteocles here, on account of his goodwill towards the city, is to be buried in a kindly grave in its soil; for hating the enemy he chose death in the city and driven by piety towards his ancestral shrines, he died without reproach where it is an honor for the young to die. This is how I was commanded to speak regarding him. But as for his brother, it is decreed that this corpse of Polyneices is to be cast out of the city unburied to be torn by dogs, since he would have been the destroyer of the land of the Cadmeans, if one of the gods had not used his brother's spear to prevent him.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0085/tlg004/tlg0085.tlg004.perseus-eng2.txt,"HYBRID_EXTRACTED (22 passages, 8 pages from original 26 pages)","ancestor, decree, denied, land, young, younger",0.157605,7917,518,Citizens,Exiles,Burial rights
On His Return,Andocides,-500,Greek City-States,CITIZENSHIP,Civic rights reserved for citizens,Citizens,Slaves and foreigners,Civic rights and monetary grants,Andocides,"I often see you bestowing civic rights and substantial grants of money upon both slaves and foreigners from every part of the world, if they prove to have done you some service. And you are acting wisely in making such gifts; they engender the greatest possible willingness to serve you.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0027/tlg002/tlg0027.tlg002.perseus-eng2.txt,"FULL_TEXT (16,263 chars ≈ 7 pages)","foreigner, foreigners, gender, right, rights, servile, slave, slaves",0.11142,6578,170,Citizens,Slaves,Citizenship
Against Ctesiphon,Aeschines,-354,Second Athenian League,AGE,Priority in speaking at the assembly based on age,Older citizens,Younger citizens,Priority in speaking at the assembly,Aeschines,"I could wish, indeed, fellow citizens, that the Senate of Five Hundred and the assemblies of the people were properly conducted by those who preside over them, and the laws enforced which Solon enacted to secure orderly conduct on the part of public speakers; for then it would be permitted to the oldest citizen, as the law prescribes, to come forward to the platform first, with dignity, and, uninterrupted by shouting and tumult, out of his experience to advise for the good of the state and it would then be permitted to all other citizens who wished, one by one in turn, in order of age, to express their opinion on every question; for so, I think, the state would be best governed, and least litigation would arise.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0026/tlg003/tlg0026.tlg003.perseus-eng2.txt,"HYBRID_EXTRACTED (25 passages, 8 pages from original 68 pages)","age, aged, assembly, citizen, citizens, citizenship, enactment, estate, govern, heir, law, laws, misconduct, mother, older, permit, permitted, property, resident, senate, statute",0.196545,7928,1035,Elders,Young/Minors,Political participation
Against Ctesiphon,Aeschines,-354,Second Athenian League,MORAL_CONDUCT,Loss of civic rights for herald who disobeys proclamation laws,Heralds who obey the law,Heralds who disobey proclamation laws,Civic rights,Aeschines,"He expressly forbids the manumission of a slave in the theater, or the proclamation of a crown by the tribe or deme, or by any one else, he says, and the herald who disobeys shall lose his civic rights.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0026/tlg003/tlg0026.tlg003.perseus-eng2.txt,"HYBRID_EXTRACTED (25 passages, 8 pages from original 68 pages)","forbid, herald, manumission, right, rights, slave, slavery, slaves, tribute",0.196545,7928,1035,Morally upright,Morally condemned,Citizenship
Against Ctesiphon,Aeschines,-354,Second Athenian League,FREEDOM_STATUS,Participation in defense of sacred land,Free men,Slaves,Right to participate in civic/religious defense,Aeschines,"As it was already late in the day, the herald came forward and made proclamation that all the men of Delphi who were of full age, slaves and free men alike, should come at daybreak on the morrow with shovels and mattocks to the place that is there called the Thyteion.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0026/tlg003/tlg0026.tlg003.perseus-eng2.txt,"HYBRID_EXTRACTED (25 passages, 8 pages from original 68 pages)","age, aged, alien, free, freed, herald, maiden, men, slave, slaves",0.196545,7928,1035,Free persons,Slaves,Legal standing
Against Ctesiphon,Aeschines,-354,Second Athenian League,CITIZENSHIP,Citizenship restricted to those with Athenian parents,Those with pure Athenian blood through both parents,Those with foreign parent(s),Citizenship and ability to bear legitimate children,Aeschines,"This wife bore him two daughters, whom he sent hither with plenty of money. One he married to a man whom I will not name—for I do not care to incur the enmity of many persons,—the other, in contempt of the laws of the city, In 451/0 Pericles carried a measure which excluded from citizenship all who could not show pure Athenian blood through both parents. By the close of the Peloponnesian war this restriction had fallen into neglect, and in 403 the restored democracy passed an enactment excluding from citizenship children born of a foreign mother after that date. If Demosthenes' mother was born of a Thracian mother and after 403 (neither fact is certain), she could not bear legitimate children to her Athenian husband.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0026/tlg003/tlg0026.tlg003.perseus-eng2.txt,"HYBRID_EXTRACTED (25 passages, 8 pages from original 68 pages)","athenian, athenians, bar, blood, born, children, citizens, citizenship, daughter, enactment, exclude, excluded, foreigner, foreigners, husband, illegitimate, law, laws, legitimate, man, mother, restrict, restricted, senate, wife",0.196545,7928,1035,Nobles,Non-citizens/Foreigners,Citizenship
Against Ctesiphon,Aeschines,-354,Second Athenian League,MORAL_CONDUCT,Disfranchisement for receiving bribes,Citizens who do not receive bribes,Those convicted of receiving bribes,Franchise (voting rights and civic participation),Aeschines,"And—strangest of all—in the same court-rooms do you disfranchise those who are convicted of receiving bribes, and then yourselves propose to crown a man who, to your own knowledge, has always been in politics for pay?",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0026/tlg003/tlg0026.tlg003.perseus-eng2.txt,"HYBRID_EXTRACTED (25 passages, 8 pages from original 68 pages)","court, franchise, man, shame, stranger, strangers",0.196545,7928,1035,Morally upright,Morally condemned,Political participation
The Second Tetralogy: Prosecution for Accidental Homicide,Antiphon,-500,Greek City-States,AGE,Adults vs children in legal proceedings,Adults,Children/minors,Legal standing to appear in court and defend oneself,defendant,"I myself, who, unless I am sorely mistaken, am very far from finding or wanting to find such a task congenial, have today been forced by sheer misfortune to depart from my habits and appear as defendant in a case in which I found it hard enough to arrive at the exact truth, but which leaves me still more perplexed when I consider how I should present it to you. I am driven by pitiless necessity: and I, like my opponents, gentlemen of the jury, seek refuge in your sympathy.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0028/tlg003/tlg0028.tlg003.perseus-eng2.txt,"FULL_TEXT (24,117 chars ≈ 10 pages)","fortune, resident, slaves",0.15066,8909,227,Adults,Young/Minors,Legal standing
Against Alcibiades,Andocides,-500,Greek City-States,CITIZENSHIP,Voting rights in ostracism reserved for citizens,Citizens,Non-citizens,Voting rights in political decisions (ostracism),Andocides,"Moreover, at a time like this those who have political associates and confederates have an advantage over the rest, because the judges are not appointed by lot as in courts of law: in the present decision every member of the community has a voice.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0027/tlg004/tlg0027.tlg004.perseus-eng2.txt,"HYBRID_EXTRACTED (11 passages, 8 pages from original 12 pages)","court, govern, judge, law, laws, priest, resident, vice",0.173685,7859,744,Citizens,Non-citizens/Foreigners,Political participation
Against Alcibiades,Andocides,-500,Greek City-States,FREEDOM_STATUS,Free persons cannot be imprisoned without legal process,Free persons,Slaves,Freedom from arbitrary imprisonment,Andocides,"In our treaties with other states we make it a condition that no free man shall be imprisoned or placed in durance, and a heavy fine is prescribed as the penalty for so doing. Yet when Alcibiades behaved as he did, no one sought satisfaction, whether for himself or for the state.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0027/tlg004/tlg0027.tlg004.perseus-eng2.txt,"HYBRID_EXTRACTED (11 passages, 8 pages from original 12 pages)","estate, free, freed, man, mother, statute",0.173685,7859,744,Free persons,Slaves,Freedom
Against Alcibiades,Andocides,-500,Greek City-States,CITIZENSHIP,Only citizens can compete in choruses,Citizens,Non-citizens,Right to participate in public competitions,Andocides,"The law allows the ejection of any member whatsoever of a competing chorus who is not of Athenian birth, and it is forbidden to resist any attempt at such ejection.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0027/tlg004/tlg0027.tlg004.perseus-eng2.txt,"HYBRID_EXTRACTED (11 passages, 8 pages from original 12 pages)","allow, allowed, athenian, athenians, birth, forbid, forbidden, law, laws",0.173685,7859,744,Citizens,Non-citizens/Foreigners,Cultural participation
Against Alcibiades,Andocides,-500,Greek City-States,FREEDOM_STATUS,Enslavement transforms free citizens into property,Free persons,Slaves,Personal freedom and citizenship rights,Andocides,"That is why the young spend their days in the courts instead of in the gymnasia; that is why our old men fight our battles, while our young men make speeches— they take Alcibiades as their model, Alcibiades who carries his villainy to such unheard-of lengths that, after recommending that the people of Melos be sold into slavery, he purchased a woman from among the prisoners and has since had a son by her, a child whose birth was more unnatural than that of Aegisthus, since he is sprung from parents who are each other's deadliest enemies, and of his nearest kin the one has committed and the other has suffered the most terrible of wrongs. Indeed it would be well to make such shamelessness still plainer. He got himself a child by the very woman whom he had turned from a free citizen into a slave, whose father and kinsfolk he had put to death and whose city he had made a waste.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0027/tlg004/tlg0027.tlg004.perseus-eng2.txt,"HYBRID_EXTRACTED (11 passages, 8 pages from original 12 pages)","birth, child, citizen, citizens, court, father, free, freed, heir, maiden, men, mother, old, right, slave, slavery, slaves, son, woman, women, young, younger",0.173685,7859,744,Free persons,Slaves,Freedom
On the Choreutes,Antiphon,-500,Greek City-States,FREEDOM_STATUS,Free men vs slaves in legal testimony procedures,Free men,Slaves,Freedom from torture during legal testimony,author,"Let him question the free men as befitted free men; for their own sakes and in the interests of justice, they would give a faithful account of what had occurred. As to the slaves, if he considered that they were answering his questions truthfully, well and good; if he did not, I was ready to place all my own at his disposal for examination under torture",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0028/tlg006/tlg0028.tlg006.perseus-eng2.txt,"HYBRID_EXTRACTED (11 passages, 8 pages from original 14 pages)","free, freed, heir, men, slave, slaves",0.143955,7567,406,Free persons,Slaves,Body integrity
On the Choreutes,Antiphon,-500,Greek City-States,PROPERTY_WEALTH,Wealthy citizens obligated to perform public liturgies,Wealthy citizens,Less wealthy citizens,Obligation to perform public duties (liturgies),author,"When I was appointed Choregus for the Thargelia, The χορηγία was one of the λητουργίαι, or public duties, imposed upon the richer citizens by the state. A Choregus had to equip and train a chorus for one of the annual festivals, in this case the Thargelia, held in honor of Apollo and celebrated on the 7th of Thargelion (May 1st) by a competition between choirs of boys selected from the ten tribes, which were grouped in pairs for the purpose.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0028/tlg006/tlg0028.tlg006.perseus-eng2.txt,"HYBRID_EXTRACTED (11 passages, 8 pages from original 14 pages)","boy, boys, citizen, citizens, citizenship, estate, herald, rich, statute",0.143955,7567,406,Property owners,Poor/Non-property owners,Civic obligations
The Third Tetralogy: Prosecution for Murder Of One Who Pleads That He Was Acting in Self-Defence,Antiphon,-500,Greek City-States,AGE,Young men presumed more likely to be aggressors than old men,Old men,Young men,Presumption of innocence in legal proceedings,Prosecutor,"To begin with, he said that even if the man did die as a result of the blows, he did not kill him: because it is the aggressor who is to blame for what happens: it is he whom the law condemns; and the aggressor was the dead man. First, let me tell you that young men are more likely to be the aggressors and make a drunken assault than old. The young are incited by their natural arrogance, their full vigor, and the unaccustomed effects of wine to give free play to anger: whereas old men are sobered by their experience of drunken excesses, by the weakness of age, and by their fear of the strength of the young.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0028/tlg004/tlg0028.tlg004.perseus-eng2.txt,"FULL_TEXT (21,267 chars ≈ 9 pages)","age, aged, free, freed, heir, law, laws, man, men, naturalized, old, young, younger",0.14052,8018,270,Men,Young/Minors,Legal standing
On the Therapeutics of Acute Diseases,Aretaeus of Cappadocia,135,Roman Empire;(Roman Empire),AGE,Children vs adults in medical treatment approaches,Adults,Children,Different medical treatments and procedures,author,"In children, then, to whom, owing to dyspepsia, or from excessive cold, the disease is familiar, vomiting, either of food, or of phlegm, or of any other humour, is beneficial. Feathers, then, dipped in the ointment of iris, excite vomiting; and the unguentum irinum is not inapplicable for smearing the tonsils with. But having first laid the child on his belly (this is the easiest position for vomiting), we must press gently on his lower belly.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0719/tlg003/tlg0719.tlg003.perseus-eng2.txt,"HYBRID_EXTRACTED (27 passages, 8 pages from original 56 pages)","child, children, father, mother, old, owner, power, prostitution, voting",0.153015,8146,411,Adults,Young/Minors,EXCLUDE_MEDICAL
On the Therapeutics of Acute Diseases,Aretaeus of Cappadocia,135,Roman Empire;(Roman Empire),GENDER,Women requiring different medical treatment for suffocation,Men,Women,Standard medical treatment procedures,author,"Should the patient partially recover, she is to be seated in a decoction of aromatics, and fumigated from below with fragrant perfumes. Also before a meal, she is to drink of castor, and a little quantity of the hiera with the castor. And if relieved, she is to bathe, and at the proper season is to return to her accustomed habits; and we must look to the woman that her menstrual discharges flow freely.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0719/tlg003/tlg0719.tlg003.perseus-eng2.txt,"HYBRID_EXTRACTED (27 passages, 8 pages from original 56 pages)","free, property, senate, woman, women",0.153015,8146,411,Men,Women,EXCLUDE_MEDICAL
On the Causes and Symptoms of Acute Diseases,Aretaeus of Cappadocia,135,Roman Empire;(Roman Empire),AGE,Children less liable to fatal pleurisy than adults,Children,Adults and elderly,Better survival rates from pleurisy,author,"Children are least of all liable to pleurisy, and in their case it is less frequently fatal; for their bodies are rare, secretions copious, perspiration and exhalation abundant; hence neither is a great inflammation formed. This is the felicity of their period of life in the present affection.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0719/tlg001/tlg0719.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (24 passages, 8 pages from original 32 pages)","children, heir, resident",0.181665,7906,841,Minors,Elders,EXCLUDE_MEDICAL
On the Causes and Symptoms of Acute Diseases,Aretaeus of Cappadocia,135,Roman Empire;(Roman Empire),AGE,Children more readily escape from intestinal inflammation,Children,Old persons,Better recovery from intestinal diseases,author,"This affection is customary with children, who are subject to indigestion, and they more readily escape from the mischief, owing to their habits and the humidity of their intestines, for they are loose. Old persons do not readily suffer from the complaint, but rarely recover.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0719/tlg001/tlg0719.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (24 passages, 8 pages from original 32 pages)","children, heir, old",0.181665,7906,841,Minors,Elders,EXCLUDE_MEDICAL
On the Causes and Symptoms of Acute Diseases,Aretaeus of Cappadocia,135,Roman Empire;(Roman Empire),AGE,Infants most free from danger of liver diseases,Infants,Adults and elderly,Protection from fatal liver diseases,author,"Winter and autumn bring on these diseases. As to age, manhood, but still more old age. The other seasons and periods of life do not generally produce the diseases, and they very rarely prove fatal. Of all others, infants are most free from danger.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0719/tlg001/tlg0719.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (24 passages, 8 pages from original 32 pages)","age, aged, free, freed, mother, old",0.181665,7906,841,Minors,Elders,EXCLUDE_MEDICAL
On the Causes and Symptoms of Acute Diseases,Aretaeus of Cappadocia,135,Roman Empire;(Roman Empire),GENDER,Only women suffer from hysterical suffocation,Men,Women,Freedom from uterine diseases,author,"For this reason the affection occurs in young women, but not in old. For in those in whom the age, mode of life, and understanding is more mobile, the uterus also is of a wandering nature; but in those more advanced in life, the age, mode of living, understanding, and the uterus are of a steady character. Wherefore this suffocation from the womb accompanies females alone.",/Users/charlesdedampierre/Desktop/Rsearch Folder/human_rights/greek-pilot/perseus/data/full_text/tlg0719/tlg001/tlg0719.tlg001.perseus-eng2.txt,"HYBRID_EXTRACTED (24 passages, 8 pages from original 32 pages)","age, aged, female, mature, naturalized, old, woman, women, young, younger",0.181665,7906,841,Men,Women,EXCLUDE_MEDICAL
