work_name,author,impact_year,polity,criteria,sampled_for,is_contemporary,verbatim_type,criterion_label,in_group,out_group,resource,resource_std,speaker,verbatim,matched_keywords,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,rule_uid,file_id,rule_category,reasoning,specificity,specificity_reasoning,confidence,factuality
Nicomachean Ethics,Aristotle,-348,,Education,Education,1,fact,Artistic production through rational study,Artisans,,Access to creative production,,MORE,"[§820] All Art deals with bringing some thing into existence; and to pursue an art means to study how to bring into existence a thing which may either exist or not, and the efficient cause of which lies in the maker and not in the thing made",Artistic production through rational study,gemini_v19,,,,tlg0086.tlg010.perseus-eng2#155,tlg0086.tlg010.perseus-eng2,,"Aristotle defines 'Art' as a specific rational quality concerned with making. He identifies a group ('the maker' or those who 'pursue an art') who, through study, gain the capacity (resource) to bring things into existence that nature does not produce.",,,8.0,1
Politics,Aristotle,-348,,Education,Education,1,fact,Education-based office eligibility,Educated citizens,,Right to hold office,,MORE,"[§91] people customarily give the name of constitutional government only to those among such mixed constitutions that incline towards democracy, and entitle those that incline more towards oligarchy aristocracies, because education and good birth go more with the wealthier classes.",Education-based office eligibility,gemini_v19,,,,tlg0086.tlg035.perseus-eng2#152,tlg0086.tlg035.perseus-eng2,,"The text explicitly links the resource of high office (aristocracy) to the criteria of education and nobility, which are associated with the wealthier classes in certain regimes.",,,8.0,1
Laws,Plato,-393,,Education,Education,1,fact,Educational criteria for high office,educated men,,Eligibility for high offices,,MORE,"[§113] ...the stuff of the warp must be of better quality—for it is strong and is made firm by its twistings, whereas the woof is softer and shows a due degree of flexibility—from this we may see that in some such way we must mark out those who are to hold high offices in the State and those who are to hold low offices, after applying in each case an adequate educational test.",Educational criteria for high office,gemini_v19,,,,tlg0059.tlg034.perseus-eng2#133,tlg0059.tlg034.perseus-eng2,,Plato asserts that the state must use educational tests to distinguish between those qualified for superior 'warp' (high) offices and inferior 'woof' (low) offices.,,,9.0,1
Laws,Plato,-393,,Education,Education,1,fact,Magistracy contingent on theological knowledge,wardens,,Eligibility for the archonship,,LESS,"[§336] ...one must exclude from office those who are eligible for wardenship, unless they labor to grasp all the proofs there are about the existence of gods? Such exclusion from office consists in refusing ever to choose as a Law-warden, or to number among those approved for excellence, a man who is not divine himself, nor has spent any labor over things divine.",Magistracy contingent on theological knowledge,gemini_v19,,,,tlg0059.tlg034.perseus-eng2#453,tlg0059.tlg034.perseus-eng2,,The author outlines a specific exclusionary rule where individuals otherwise eligible for high office are barred if they lack specific theological education and proof-based knowledge of the divine.,,,10.0,1
Laws,Plato,-393,,Education,Education,1,fact,Merit-based assembly membership,uneducated people,,Eligibility for the nocturnal synod,,LESS,"[§331] The ten senior members, at the moment, of the body of Law-wardens shall form the synod, in company with all who have won the award of merit... after undergoing a searching test, be deemed worthy to take part in the synod?",Merit-based assembly membership,gemini_v19,,,,tlg0059.tlg034.perseus-eng2#450,tlg0059.tlg034.perseus-eng2,,"Membership in the highest governing body is reserved for those who have won awards of merit and passed 'searching tests', excluding those without the requisite training or proven civic excellence.",,,9.0,1
On the Natural Faculties,Galen,164,,Ethnicity,Ethnicity,1,fact,Regional bladder game customs,Ionians,,Access to specific cultural games (bladder distension),,MORE,"[§8] Children take the bladders of pigs, fill them with air, and then rub them on ashes near the fire... This is a common game in the district of Ionia, and among not a few other nations.",Regional bladder game customs,gemini_v19,,,,tlg0057.tlg010.perseus-eng2#9,tlg0057.tlg010.perseus-eng2,,"The author identifies a specific social/recreational practice (a game) that is characteristic of certain ethnic/regional groups, specifically Ionians.",,,8.0,1
Dialogues of the Dead,Lucian of Samosata,155,,Ethnicity,Ethnicity,1,fact,Barbarian exclusion from equestrian status,Metics / Foreigners,,Right to ride in transit,,LESS,"[§104] However, Arsaces was annoyed at having no more honour than the rest, and wanted to come down on horseback. | [§105] Oroetes had very tender feet, and couldn’t even stand on the ground, much less walk. All Medes are just like that, once they’re off their horses; like men walking on thistles, they go on tiptoe and can hardly move.",Barbarian exclusion from equestrian status,gemini_v19,,,,tlg0062.tlg066.perseus-eng3#33,tlg0062.tlg066.perseus-eng3,,"The text highlights a distinction where 'barbarian' elites (Medes/Persians) are stripped of their usual mode of transport (horses) upon entering the Greek-conceived underworld, reducing them to the same status as common pedestrians.",,,7.0,1
Against Agoratus,Lysias,-409,,Ethnicity,Ethnicity,1,fact,Alien birth status trial,Metics / Foreigners,,Exemption from trial on count of birth,,LESS,"[§59] Some, indeed, desired that Aristophanes should be put to the torture, as one who was not of pure Athenian stock. [§60] Well, after that the persons who then had control of affairs came to Aristophanes and appealed to him to save himself by a denunciation, and not to run the risk of the extreme penalty by standing his trial on the count of alien birth.",Alien birth status trial,gemini_v19,,,,tlg0540.tlg013.perseus-eng2#4,tlg0540.tlg013.perseus-eng2,,The text describes a specific legal vulnerability (standing trial for alien birth) and a severe penalty for those who are found not to be of 'pure Athenian stock' yet participating in civic life.,,,9.0,1
,New Testament,100,,Ethnicity,Ethnicity,1,fact,Hebrew priority in charitable distribution,Grecian Jews,,Equal access to daily food service,,LESS,"[§184] Now in those days, when the number of the disciples was multiplying, there arose a grumbling of the Grecian Jews against the Hebrews because their widows were neglected in the daily service.",Hebrew priority in charitable distribution,gemini_v19,,,,tlg0031.tlg005.perseus-eng2#15,tlg0031.tlg005.perseus-eng2,,"The text identifies a systemic discrepancy in the distribution of resources based on the linguistic/cultural background (Grecian vs. Hebrew) of the recipients, where the minority group received less.",,,10.0,1
,New Testament,100,,Ethnicity,Ethnicity,1,fact,Gentile exemption from Jewish law,Gentiles,,Exemption from circumcision and Mosaic law,,MORE,"[§561] For it seemed good to the Holy Spirit, and to us, to lay no greater burden on you than these necessary things: [§562] that you abstain from things sacrificed to idols, from blood, from things strangled, and from sexual immorality, from which if you keep yourselves, it will be well with you.",Gentile exemption from Jewish law,gemini_v19,,,,tlg0031.tlg005.perseus-eng2#39,tlg0031.tlg005.perseus-eng2,,"The text explicitly establishes a formal decree from the leadership in Jerusalem that non-Jewish converts (Gentiles) are not required to follow the full Mosaic law (circumcision), only a specific set of moral and dietary prohibitions.",,,10.0,1
Nicomachean Ethics,Aristotle,-348,,Freedom,Freedom,1,fact,Involuntary combat duty,Slaves,,Freedom from corporal punishment,,LESS,"[§401] Their masters compel them to be brave, after Hector’s fashion: Let me see any skulking off the field— He shall not save his carcase from the dogs! [§402] The same is done by commanders who draw up their troops in front of them and beat them if they give ground... all these are using compulsion.",Involuntary combat duty,gemini_v19,,,,tlg0086.tlg010.perseus-eng2#63,tlg0086.tlg010.perseus-eng2,,"The text refers to 'masters' (despotai) compelling those under them to fight through physical force and threats of death/mutilation, indicating that those in a state of bondage or absolute subjection lack protection from corporal punishment for failing to show bravery.",,,9.0,1
The Shepherd of Hermas,Hermas,150,,Freedom,Freedom,1,fact,Slave eligibility for inheritance,Slaves,,Right to inherit property,,MORE,"[§442] And he said to them: I promised this servant his freedom if he kept the orders which I gave him. Now he has kept my orders, and has added good work in the vineyard, and greatly pleased me. So in reward for this work which he has done I wish to make him joint heir with my son.",Slave eligibility for inheritance,gemini_v19,,,,tlg1419.tlg001.perseus-eng1#85,tlg1419.tlg001.perseus-eng1,,"The master rewards the servant's exceptional initiative (exceeding orders) by elevating him to the status of a joint heir alongside the biological son, showing that a freed or favored slave could be granted inheritance rights.",,,9.0,1
Pythian Odes,Pindar,-481,,Freedom,Freedom,1,fact,Slave exclusion from boy-chorus themes,Slaves,,Representation in celebratory songs,,LESS,"Phalaris, with his pitiless mind, who burned his victims in a bronze bull, is surrounded on all sides by a hateful reputation; lyres that resound beneath the roof do not welcome him as a theme in gentle partnership with the voices of boys. [§1]",Slave exclusion from boy-chorus themes,gemini_v19,,,,tlg0033.tlg002.perseus-eng3#2,tlg0033.tlg002.perseus-eng3,,"While Phalaris was a tyrant, the context of 'voices of boys' and household lyres refers to the cultural education and celebration of free-born youth; those who violate social norms (like Phalaris) or lack status are excluded from this immaterial resource of honor.",,,7.0,1
Laws,Plato,-393,,Freedom,Freedom,1,fact,Manumission for reporting elder abuse,Slaves,,Right to freedom (manumission),,MORE,"[§303] If a slave gives information [of parent maltreatment] he shall be set free: he shall be set free by the Board of Magistrates if he be a slave of either the injured party or the injurers; but if he belong to any other citizen, the State Treasury shall pay his owner a price for him.",Manumission for reporting elder abuse,gemini_v19,,,,tlg0059.tlg034.perseus-eng2#407,tlg0059.tlg034.perseus-eng2,,Slaves are granted the specific legal resource of freedom as a reward for acting as informants in cases of parental neglect.,,,10.0,1
Laws,Plato,-393,,Freedom,Freedom,1,fact,Legal protection for slaves,Slaves,,Protection from legal interference,,MORE,"[§325] If any man forcibly prevent any person from appearing at an action at law—whether it be the person himself or his witnesses,—in case that person be a slave of his own or of another man, the action shall be null and void.",Legal protection for slaves,gemini_v19,,,,tlg0059.tlg034.perseus-eng2#441,tlg0059.tlg034.perseus-eng2,,"Specific legal protections are granted to slaves to ensure they can appear as witnesses or parties in court; if they are forcibly prevented from doing so, the entire legal action is invalidated.",,,8.0,1
On the causes and signs of acute and chronic diseases,Aretaeus of Cappadocia,135,,Gender,Gender,1,fact,Female recovery from tetanus,Women,,Right to medical recovery,,MORE,"[§6] Women are more disposed to tetanus than men, because they are of a cold temperament; but they more readily recover, because they are of a humid.",Female recovery from tetanus,gemini_v19,,,,tlg0719.tlg001.perseus-eng2#3,tlg0719.tlg001.perseus-eng2,,"While more frequently attacked, women are described as having a higher capacity for recovery (a positive resource) compared to men based on their gendered 'temperament'.",,,9.0,1
Politics,Aristotle,-348,,Gender,Gender,1,fact,Spartan female land ownership,Women,,Right to inherit and own land,,MORE,"[§20] And also nearly two-fifths of the whole area of the country is owned by women, because of the number of women who inherit estates and the practice of giving large dowries.",Spartan female land ownership,gemini_v19,,,,tlg0086.tlg035.perseus-eng2#31,tlg0086.tlg035.perseus-eng2,,Aristotle identifies a specific trend in Spartan society where the law allows women to accumulate a significant portion of land through inheritance and dowries.,,,9.0,1
Epidemics,Hippocrates,-465,,Gender,Gender,1,fact,Management of maternal complications,Women,,Protection from postpartum complications,,LESS,"[§76] CASE XIV In Cyzicus a woman gave birth with difficult labour to twin daughters, and the lochial discharge was far from good. First day. Acute fever with shivering; painful heaviness of head and neck.",Management of maternal complications,gemini_v19,,,,tlg0627.tlg006.perseus-eng4#56,tlg0627.tlg006.perseus-eng4,,"The passage highlights a specific risk and lack of protection (less resource of health/safety) associated with the gender-specific event of childbirth, particularly in cases of 'difficult labour'.",,,9.0,1
On the Estate of Pyrrhos,Isaeus,-384,,Gender,Gender,1,fact,Mandatory daughter inclusion in wills,Women,,Right to inherit property directly,,LESS,"[§69] [68] The law states explicitly that, in the absence of legitimate male issue, a man can dispose of his property as he pleases, but that, if he has daughters, the legatees must take them as well. Thus a man may bequeath and dispose of his property with his daughters, but he may not either adopt a son or leave any of his possessions to anyone without also disposing of his legitimate daughters.",Mandatory daughter inclusion in wills,gemini_v19,,,,tlg0017.tlg003.perseus-eng2#14,tlg0017.tlg003.perseus-eng2,,"The text describes a legal restriction where daughters (epikleroi) cannot inherit property independently; rather, the property follows them, and any heir must take the daughter as a wife to access the estate.",,,10.0,1
Laws,Plato,-393,,Gender,Gender,1,fact,Female court standing,Women,,Right to bring an action in court,,LESS,"[§283] A free woman... if she have no husband, she shall be allowed to bring an action; but if she have a husband alive, she shall only be allowed to give evidence.",Female court standing,gemini_v19,,,,tlg0059.tlg034.perseus-eng2#377,tlg0059.tlg034.perseus-eng2,,"Married women are restricted from initiating legal actions, a right they only possess if single or widowed.",,,10.0,1
Nicomachean Ethics,Aristotle,-348,,Health,Health,1,fact,Blind physical movement restriction,The blind,,Safety in movement,,LESS,"For even children and wild animals possess the natural dispositions, yet without Intelligence these may manifestly be harmful. This at all events appears to be a matter of observation, that just as a man of powerful frame who has lost his sight meets with heavy falls when he moves about, because he cannot see, so it also happens in the moral sphere.",Blind physical movement restriction,gemini_v19,,,,tlg0086.tlg010.perseus-eng2#151,tlg0086.tlg010.perseus-eng2,,The author uses the natural restriction of a blind person's ability to navigate safely as a baseline fact to illustrate his point about moral intelligence.,,,8.0,1
The Shepherd of Hermas,Hermas,150,,Health,Health,1,fact,Sick person physical support,Health,,Access to seating support,,MORE,"[§140] Why, then, I should like to know, did she sit in a chair, sir? Because every sick person sits in a chair because of his sickness, that the weakness of the body may find support.",Sick person physical support,gemini_v19,,,,tlg1419.tlg001.perseus-eng1#26,tlg1419.tlg001.perseus-eng1,,The author cites a general societal norm or rule: that being sick (the criterion) entitles or necessitates an individual to have the resource of physical support (a chair).,,,9.0,1
The Art,Hippocrates,-465,,Health,Health,0,opinion,Maimed infant sedentary labor restriction,young people,,Right to choose physical labor,,LESS,"[§53] Some tell a story how the Amazonian women dislocate the joints of their male children while mere infants, some at the knee, and others at the hip-joint, that they may be maimed [...] and that they use them as artisans to perform any sedentary work, such as that of a shoemaker or brazier.",Maimed infant sedentary labor restriction,gemini_v19,,,,tlg0627.tlg010.perseus-eng2#27,tlg0627.tlg010.perseus-eng2,,"The text describes a practice where male children with physical impairments (dislocated joints) are restricted to sedentary occupations like shoemaking or brazing, rather than having the freedom to pursue more physically active labor.",,,7.0,0
,New Testament,100,,Health,Health,1,fact,Infirm exclusion from physical labor,The physically disabled,,Right to walk and physical mobility,,LESS,"[§512] At Lystra a certain man sat, impotent in his feet, a cripple from his mother's womb, who never had walked.",Infirm exclusion from physical labor,gemini_v19,,,,tlg0031.tlg005.perseus-eng2#36,tlg0031.tlg005.perseus-eng2,,The passage identifies a specific group defined by health (congenital disability) as lacking the basic human resource of mobility/walking from birth.,,,9.0,1
Laws,Plato,-393,,Health,Health,1,fact,Penal reform for curable injustice,Curable wrongdoers,,Right to rehabilitative instruction,,MORE,"[§234] As regards unjust injuries and gains, in case one man causes another to gain by acting unjustly towards him, all such cases as are curable we must cure, regarding them as diseases of the soul. [...] In this,—that whenever any man commits any unjust act, great or small, the law shall instruct him and absolutely compel him for the future either never willingly to dare to do such a deed, or else to do it ever so much less often, in addition to paying for the injury.",Penal reform for curable injustice,gemini_v19,,,,tlg0059.tlg034.perseus-eng2#308,tlg0059.tlg034.perseus-eng2,,Plato distinguishes between curable and incurable wrongdoers based on their 'soul's health'. Those deemed curable are granted the resource of instruction and corrective discipline rather than simple elimination.,,,9.0,1
Against Timarchus,Aeschines,-354,,Lineage,Lineage,1,fact,Legislative presiding by tribe,Citizens,,Right to preside over assembly,,MORE,"[§33] By the new law, for every meeting of the assembly one tribe is to be chosen by lot to have charge of the speaker’ s platform, and to preside. And what did the proposer of the law prescribe? That the members of the tribe should sit as defenders of the laws and of the democracy.",Legislative presiding by tribe,gemini_v19,,,,tlg0026.tlg001.perseus-eng2#13,tlg0026.tlg001.perseus-eng2,,A contemporary law assigned the power to manage and defend the platform to a specific tribe chosen by lot for each meeting.,,,9.0,1
Enchiridion of Epictetus,Epictetus,85,,Lineage,Lineage,1,fact,Filial obedience and care,Sons,,Right to personal autonomy,,LESS,"[§30] Is a certain man your father? In this are implied, taking care of him; submitting to him in all things; patiently receiving his reproaches, his correction. But he is a bad father. Is your natural tie, then, to a good father? No, but to a father.",Filial obedience and care,gemini_v19,,,,tlg0557.tlg002.perseus-eng4#5,tlg0557.tlg002.perseus-eng4,,"The text defines the role of a son based on the lineage relationship ('father'), prescribing total submission and care as a duty regardless of the father's moral quality.",,,9.0,1
Iphigenia in Aulis,Euripides,-445,,Lineage,Lineage,1,fact,Paternal authority over child's life,Kings,,Total authority over offspring's life,,MORE,"[§34] It is not Menelaus who has enslaved me to him, child, nor have I followed his wish; no, it is Hellas, for whom I must sacrifice you whether I will or not; to this necessity I bow my head | [§34] Ah! my child, he that begot you has slain you himself, he and no one else, nor was it by another’s hand",Paternal authority over child's life,gemini_v19,,,,tlg0006.tlg018.perseus-eng2#38,tlg0006.tlg018.perseus-eng2,,The passage describes a societal structure where the father (specifically the king/head of lineage) has the ultimate right to decide the life or death of his children for the sake of political or religious necessity.,,,10.0,1
Iphigenia in Aulis,Euripides,-445,,Lineage,Lineage,1,fact,Leader accountability to the mob,Kings,,Freedom from public compulsion,,LESS,"[§15] The whole Achaean army here assembled. ... Don’t you think, then, he [Odysseus] will arise among the Argives and tell them the oracles ... Then, when he has carried the army away with him, he will bid the Argives slay us and sacrifice the girl.",Leader accountability to the mob,gemini_v19,,,,tlg0006.tlg018.perseus-eng2#16,tlg0006.tlg018.perseus-eng2,,"Agamemnon explains that despite his royal status, he is compelled by the 'mob' (the army) and cannot simply release his daughter, showing that the ruler lacks the resource of independent action when faced with collective military will.",,,9.0,1
De domo,Lucian of Samosota,150,,Lineage,Lineage,0,fact,Archias' arrest of exiles,Exiles,,Right to personal liberty and safety,,LESS,"[§28] In case any of my younger hearers should not know the fact already, this Archias had been charged with the arrest of all exiles. In particular, he was to get Demosthenes from Calauria into Antipater’s presence, but rather by persuasion than by force.",Archias' arrest of exiles,gemini_v19,,,,tlg0061.tlg003.perseus-eng1#6,tlg0061.tlg003.perseus-eng1,,The text identifies a specific legal status (exile) which stripped individuals of the resource of protection from arrest/detention by Macedonian agents.,,,9.0,1
Epistle of Barnabas,Barnabas,36,,Nobility,Nobility,1,fact,Noble obligation to provide aid,Kings (those in high positions),,Freedom from social obligations,,LESS,"[§208] I beseech those who are in high positions, if you will receive any counsel of my goodwill, have among yourselves those to whom you may do good; fail not.",Noble obligation to provide aid,gemini_v19,,,,tlg1216.tlg001.perseus-eng1#29,tlg1216.tlg001.perseus-eng1,,"The author explicitly directs a rule toward those in high social/political positions, obligating them to provide aid to others.",,,8.0,1
Iphigenia in Aulis,Euripides,-445,,Nobility,Nobility,1,opinion,High-born restricted emotional expression,High-born men,,Freedom of emotional expression,,LESS,"[§15] What an advantage humble birth possesses! for it is easy for her sons to weep and tell out all their sorrows; while to the high-born man come these same sorrows, but we have dignity throned over our life and are the people’s slaves.",High-born restricted emotional expression,gemini_v19,,,,tlg0006.tlg018.perseus-eng2#12,tlg0006.tlg018.perseus-eng2,,"Agamemnon contrasts the 'humble born' with the 'high-born,' noting that social status and 'dignity' prevent leaders from openly weeping or expressing grief, effectively making them slaves to public expectation.",,,9.0,0
The Shepherd of Hermas,Hermas,150,,Nobility,Nobility,1,opinion,Human dominion over creation,Man,,Power to master all things under heaven,,MORE,"[§371] [2] ...do you not understand the glory of God, how great and mighty and wonderful it is, because he created the world for man’s sake, and subdued all his creation to man, and gave him all power, to master all things under heaven?",Human dominion over creation,gemini_v19,,,,tlg1419.tlg001.perseus-eng1#72,tlg1419.tlg001.perseus-eng1,,"The author defines 'Man' as a group based on their ontological status (Lineage from God/Creation), granting them the resource of political/physical dominion over the natural world.",,,8.0,0
,New Testament,100,,Nobility,Nobility,1,fact,Elite female political influence,Women,,Influence over city magistrates,,MORE,"[§501] But the Jews urged on the devout women of honorable estate, and the chief men of the city, and stirred up a persecution against Paul and Barnabas, and threw them out of their borders.",Elite female political influence,gemini_v19,,,,tlg0031.tlg005.perseus-eng2#34,tlg0031.tlg005.perseus-eng2,,"The text highlights a specific sub-group of women (those of 'honorable estate' or high status) who, alongside the 'chief men,' possessed the social power to incite official legal action (persecution and expulsion) from the city.",,,9.0,1
Laws,Plato,-393,,Nobility,Nobility,1,fact,Noble rule over ignoble,Nobles,,Right to exercise authority,,MORE,"[§68] And next to this, the right of the noble to rule over the ignoble;",Noble rule over ignoble,gemini_v19,,,,tlg0059.tlg034.perseus-eng2#78,tlg0059.tlg034.perseus-eng2,,The text explicitly lists the social hierarchy of nobility as a recognized basis for the right to rule others.,,,10.0,1
On the Natural Faculties,Galen,164,,Occupation,Occupation,1,fact,Butcher observation of anatomy,Butchers,,Access to anatomical knowledge,,MORE,"[§14] That these are organs for secreting [separating out] the urine, was the belief not only of Hippocrates, Diocles, Erasistratus, Praxagoras, and all other physicians of eminence, but practically every butcher is aware of this, from the fact that he daily observes both the position of the kidneys and the duct (termed the ureter) which runs from each kidney into the bladder, and from this arrangement he infers their characteristic use and faculty.",Butcher observation of anatomy,gemini_v19,,,,tlg0057.tlg010.perseus-eng2#14,tlg0057.tlg010.perseus-eng2,,"Galen identifies butchers as a specific occupational group that, through their daily work, possesses empirical knowledge of internal anatomy (the function of kidneys and ureters) comparable to that of eminent physicians.",,,10.0,1
On the Natural Faculties,Galen,164,,Occupation,Occupation,0,fact,Physician identification of elementary qualities,physicians,,Right to define physical reality,,MORE,"[§3] In fact, all those known to us who have been both physicians and philosophers Hippocrates was the first who took in hand to demonstrate that there are, in all, four mutually interacting qualities, and that to the operation of these is due the genesis and destruction of all things that come into and pass out of being.",Physician identification of elementary qualities,gemini_v19,,,,tlg0057.tlg010.perseus-eng2#5,tlg0057.tlg010.perseus-eng2,,"Galen identifies a specific group (physician-philosophers, exemplified by Hippocrates) as the authoritative source for the fundamental scientific rule governing the genesis and destruction of all things, contrasting their established empirical demonstrations against the 'illusions' of the Sophists.",,,9.0,1
The Shepherd of Hermas,Hermas,150,,Occupation,Occupation,1,fact,Ministerial accountability for resources,priests,,Right to retain ecclesiastical earnings,,LESS,"[§617] From the ninth mountain, which was desert... are such believers as these: Those with spots are ministers who ministered amiss, and devoured the living of widows and orphans, and made gain for themselves from the ministry which they had received to administer. If then they remain in the same covetousness they are dead and they have no hope of life.",Ministerial accountability for resources,gemini_v19,,,,tlg1419.tlg001.perseus-eng1#121,tlg1419.tlg001.perseus-eng1,,"The text identifies a specific professional group (ministers/deacons) and restricts their right to profit from their office, specifically regarding the property of vulnerable groups like widows.",,,9.0,1
