work_name,author,impact_year,polity,criteria,sampled_for,is_contemporary,verbatim_type,criterion_label,in_group,out_group,resource,resource_std,speaker,verbatim,matched_keywords,extraction_method,extraction_cost_usd,prompt_tokens,completion_tokens,rule_uid,file_id,rule_category,reasoning,group_generality,generality_reasoning,confidence,factuality,resource_materiality,materiality_reasoning,resource_generality,resource_generality_reasoning,resource_persistence,persistence_reasoning,group_immutability,immutability_reasoning,tautological,tautology_reasoning
Nicomachean Ethics,Aristotle,-348,,Education,Education,1,fact,Regulated citizen education,Citizens,,Right to choose own education,,LESS,"[§14] for it is this [the science of Politics] that ordains which of the sciences are to exist in states, and what branches of knowledge the different classes of the citizens are to learn, and up to what point;",Regulated citizen education,gemini_v19_batch3,,,,tlg0086.tlg010.perseus-eng2#4,tlg0086.tlg010.perseus-eng2,,"Aristotle describes politics as the master science that actively regulates and limits the education of different classes of citizens within the state, meaning the state (politics) determines what is learned rather than the individuals having total freedom of choice.",5,Canonical societal group; Aristotle describes a contemporary political function.,9.0,3,3,Right to choose education is access to a social practice with tangible outcomes.,5,Right to choose own education is a high-level societal good.,3,"The right to choose education is bounded by state regulation, which can change over time or life stages.",4,"Citizenship is a legal/structural birth-status, very hard to change.",0,Being a citizen does not inherently mean a lack of choice in education; this is a state-imposed regulation.
Nicomachean Ethics,Aristotle,-348,,Education,Education,1,opinion,Philosopher payment exemption,Great philosophers,,Right to fixed monetary wages,,LESS,"[§1134] This is the principle on which it would seem that payment ought to be made to those who have imparted instruction in philosophy; for the value of their service is not measurable in money, and no honor paid them could be an equivalent, but no doubt all that can be expected is that to them... we should make such return as is in our Power.",Philosopher payment exemption,gemini_v19_batch3,,,,tlg0086.tlg010.perseus-eng2#252,tlg0086.tlg010.perseus-eng2,,"Instruction in philosophy is treated as a service for which a legal or fixed market wage cannot be demanded (LESS access to standardized material compensation), replaced instead by discretionary 'honor' akin to what is given to gods.",3,Specific profession; author describes a contemporary norm.,8.0,3,4,Exemption from fixed monetary wages directly impacts financial compensation and material well-being.,3,Right to fixed monetary wages is a specific but broadly applicable legal protection.,4,"The exemption from fixed monetary wages is a long-term professional status, potentially revocable.",3,"Philosophers are defined by their profession, requiring training and intellectual pursuit.",0,"The right to fixed monetary wages is an economic concept, not inherent in being a 'great philosopher'."
Epistle of Barnabas,Barnabas,36,,Education,Education,1,opinion,Knowledge-based salvation eligibility,Educated Christians,,Right to life and salvation,,LESS,"[§43] This means that a man deserves to perish who has a knowledge of the way of righteousness, but turns aside into the way of darkness.",Knowledge-based salvation eligibility,gemini_v19_batch3,,,,tlg1216.tlg001.perseus-eng1#6,tlg1216.tlg001.perseus-eng1,,"The text establishes that possessing knowledge of religious 'righteousness' creates a specific liability; if those who are educated in the faith fail to follow it, they lose the right to salvation and deserve to perish.",4,"The group 'Educated Christians' is a broad, compound group; the author describes a contemporary religious liability.",8.0,3,1,Right to life and salvation in this context is a spiritual and abstract resource.,5,Right to life and salvation is a high-level societal good.,5,"The right to life and salvation is a lifelong, structural status, contingent on adherence to faith.",3,"Being 'educated' is an acquired status, changeable with effort, but durable.",0,"Knowledge-based salvation eligibility is a specific theological condition, not inherent in being 'educated Christian'."
Antidosis,Isocrates,-400,,Education,Education,1,opinion,Royal educational obligation,Monarchs,,Access to advanced education,,LESS,[§71] Now in the introduction and in the opening words of that discourse I reproach monarchs because they who more than others ought to cultivate their understanding are less educated than men in private station.,Royal educational obligation,gemini_v19_batch3,,,,tlg0010.tlg019.perseus-eng2#13,tlg0010.tlg019.perseus-eng2,,"Isocrates notes a societal discrepancy where kings, despite their status, often possess less education than private citizens, framing it as a failure to access a resource they ought to prioritize.",3,The group is a specific role; the author describes a contemporary societal expectation.,7.0,4,3,Access to advanced education is a social practice that produces tangible outcomes.,5,Access to advanced education is a high-level societal good.,3,Access to education is a resource typically associated with a life stage or period of learning.,4,Monarchs are defined by a birth-status or legal/structural position.,0,"Access to advanced education is a societal opportunity, not inherent in being a 'monarch'."
Antidosis,Isocrates,-400,,Education,Education,1,opinion,Philosopher's right to wisdom,educated men,,Right to the title of philosopher,,MORE,"[§271] I hold that man to be wise who is able by his powers of conjecture to arrive generally at the best course, and I hold that man to be a philosopher who occupies himself with the studies from which he will most quickly gain that kind of insight.",Philosopher's right to wisdom,gemini_v19_batch3,,,,tlg0010.tlg019.perseus-eng2#39,tlg0010.tlg019.perseus-eng2,,"Isocrates defines the group of 'philosophers' specifically by their pursuit of practical insight and legislative wisdom, granting them the immaterial resource of the title 'wise' based on their specific educational focus.",3,The group is defined by a specific educational pursuit; the author defines a contemporary title.,8.0,4,1,"The title of philosopher and wisdom are abstract, trait-based resources.",3,"Right to a title is specific but recurring, tied to a role.",5,The title of philosopher and wisdom are lifelong attributes once attained.,3,"Educated men/philosophers is an occupation/pursuit, changeable with effort.",1,The definition of 'philosopher' is directly tied to the pursuit of wisdom and insight.
Politics,Aristotle,-348,,Ethnicity,Ethnicity,1,fact,Barbarian reliance on barter,Barbarians,,Access to currency for trade,,LESS,"[§12] ...according to their needs for which they were forced to make their interchanges by way of barter, as also many barbarian tribes do still; for such tribes do not go beyond exchanging actual commodities for actual commodities, for example giving and taking wine for corn, and so with the various other things of the sort.",Barbarian reliance on barter,gemini_v19_batch3,,,,tlg0086.tlg035.perseus-eng2#20,tlg0086.tlg035.perseus-eng2,,"Aristotle identifies 'barbarians' as a group that, in his view/time, lacks the resource of monetary systems and is restricted to the simpler, 'natural' method of commodity barter.",5,Canonical societal group; Aristotle describes a contemporary practice of barbarian tribes.,8.0,3,3,"Access to currency facilitates trade and economic activity, producing tangible outcomes.",3,Access to currency for trade is specific but broadly applicable.,5,"Reliance on barter is a structural, long-term condition for barbarian tribes.",5,Being 'Barbarian' is a birth-fixed trait based on lineage/ethnicity.,0,"Access to currency is a technological/economic condition, not inherent in the definition of 'barbarian'."
Politics,Aristotle,-348,,Ethnicity,Ethnicity,1,opinion,Barbarian submission to despotism,Barbarians,,Protection from despotic rule,,LESS,"[§72] The power possessed by all of these resembles that of tyrannies, but they govern according to law and are hereditary;for because the barbarians are more servile in their nature than the Greeks, and the Asiatics than the Europeans, they endure despotic rule without any resentment.",Barbarian submission to despotism,gemini_v19_batch3,,,,tlg0086.tlg035.perseus-eng2#120,tlg0086.tlg035.perseus-eng2,,"The author asserts that 'barbarians' (non-Greeks) lack the same resistance to absolute rule as Greeks, effectively living under more restrictive political resources due to their nature.",5,Canonical societal group; the author describes a contemporary cultural observation.,9.0,3,4,Protection from despotic rule is a concrete legal right with direct material effect on freedom.,5,Protection from despotic rule relates to bodily integrity and freedom.,5,Protection from despotic rule is a structural condition based on perceived nature.,5,"Barbarians are defined by ethnicity/origin, a birth-fixed trait.",1,"The rule states barbarians are 'more servile in their nature', implying they lack protection from despotic rule."
,New Testament,100,,Ethnicity,Ethnicity,1,fact,Roman refusal of Jewish religious litigation,Jews,,Right to prosecute internal religious matters,,LESS,"[§664] But when Paul was about to open his mouth, Gallio said to the Jews, ""If indeed it were a matter of wrong or of wicked crime, Jews, it would be reasonable that I should bear with you; [§665] but if they are questions about words and names and your own law, look to it yourselves. For I don't want to be a judge of these matters.""",Roman refusal of Jewish religious litigation,gemini_v19_batch3,,,,tlg0031.tlg005.perseus-eng2#44,tlg0031.tlg005.perseus-eng2,,"The Roman proconsul Gallio establishes a jurisdictional rule: the Roman state provides legal resources for crimes and civil wrongs, but denies those resources to Jews seeking to adjudicate matters of their own religious law.",5,Canonical societal group; the rule describes a contemporary Roman legal policy.,9.0,3,4,Right to prosecute internal religious matters is a concrete legal right with direct material effect.,4,The right to prosecute internal religious matters is a broad category of legal and religious autonomy.,4,"The right to prosecute internal religious matters is a long-term legal standing, revocable by changes in jurisdiction.",5,"Jewish identity is primarily based on birth/lineage, making it strictly immutable.",0,Being Jewish does not inherently mean one cannot prosecute internal religious matters; this is a specific jurisdictional ruling.
,New Testament,100,,Ethnicity,Ethnicity,1,fact,Gentile exemption from Mosaic law,Gentiles,,Exemption from circumcision and Mosaic Law,,MORE,"[§552] Therefore my judgment is that we don't trouble those from among the Gentiles who turn to God, [§553] but that we write to them that they abstain from the pollution of idols, from sexual immorality, from what is strangled, and from blood.",Gentile exemption from Mosaic law,gemini_v19_batch3,,,,tlg0031.tlg005.perseus-eng2#35,tlg0031.tlg005.perseus-eng2,,"The text describes a formal council decision where Gentile converts are explicitly exempted from the 'yoke' of the full Mosaic law (circumcision), requiring only a limited set of prohibitions instead.",5,Canonical societal group; the rule describes a contemporary religious exemption.,10.0,3,4,Exemption from Mosaic Law is a concrete legal/religious right with direct material effect.,4,Exemption from circumcision and Mosaic Law is a broad category of religious freedom and legal standing.,4,"Exemption from Mosaic Law is a long-term religious status, revocable by community decision or individual choice.",5,"Gentiles are defined by birth/ethnicity, a strictly immutable characteristic.",0,Being a Gentile does not inherently mean one is exempt from circumcision; this is a specific religious decree.
,New Testament,100,,Ethnicity,Ethnicity,1,opinion,Universal religious admissibility,Gentiles,,Right of divine acceptance,,MORE,"[§379] Peter opened his mouth and said, ""Truly I perceive that God doesn't show favoritism; [§380] but in every nation he who fears him and works righteousness is acceptable to him.""",Universal religious admissibility,gemini_v19_batch3,,,,tlg0031.tlg005.perseus-eng2#25,tlg0031.tlg005.perseus-eng2,,"Peter defines a new rule of practice where the 'resource' of being acceptable to God (and by extension the community) is extended to all nations, whereas it was previously restricted to the children of Israel.",5,Canonical societal group; the rule describes a contemporary religious principle.,9.0,3,1,Divine acceptance is a spiritual and abstract resource.,5,"Divine acceptance is a foundational societal good, impacting spiritual and social standing.",4,"Divine acceptance is a long-term spiritual status, potentially revocable by actions or beliefs.",5,"Gentiles are defined by birth/ethnicity, a strictly immutable characteristic.",0,"Being a Gentile does not inherently mean one is acceptable to God; this is a theological statement, not a definition."
Nicomachean Ethics,Aristotle,-348,,Freedom,Freedom,1,fact,Slave interest subordination,Slaves,,Right to be governed for own benefit,,LESS,"[§1084] The relation of master to slaves is also tyrannic, since in it the master’s interest is aimed at.",Slave interest subordination,gemini_v19_batch3,,,,tlg0086.tlg010.perseus-eng2#220,tlg0086.tlg010.perseus-eng2,,"The text explicitly defines the relationship between master and slave as one where the resource of 'governance for one's own benefit' is absent, as the master's interest is the sole aim.",5,Slaves are a canonical societal group; Aristotle describes the contemporary master-slave relationship.,10.0,3,4,Being governed for one's own benefit has direct material effects on a slave's life.,4,Being governed for one's own benefit is a broad category of rights and protections.,5,The lack of right to be governed for one's own benefit is a lifelong condition for a slave.,4,"Slave status is a legal/structural birth-status, very hard to change.",1,"Slavery is defined by the master's interest, so lacking governance for one's own benefit is tautological."
Politics,Aristotle,-348,,Freedom,Freedom,1,fact,Slave exclusion from noble instruction,Slaves,,Protection from menial duties,,LESS,"[§160] there is nothing specially dignified in employing a slave, as a slave, for giving orders about menial duties has in it nothing of nobility; yet to think that all government is exercising the authority of a master is a mistake, for there is as wide a difference between ruling free men and ruling slaves",Slave exclusion from noble instruction,gemini_v19_batch3,,,,tlg0086.tlg035.perseus-eng2#276,tlg0086.tlg035.perseus-eng2,,"The text establishes a rule of societal organization where slaves are specifically designated for menial duties, contrasting their treatment with that of free men who are ruled differently.",5,Canonical societal group; Aristotle describes a fundamental social distinction of his time.,9.0,3,4,Protection from menial duties is a concrete legal right with direct material effect on labor.,3,Protection from menial duties is a specific but broadly applicable protection.,5,"Protection from menial duties is a structural aspect of being a free person, lifelong for slaves.",4,"Slavery is a legal/structural birth-status, very hard to change.",0,"Protection from menial duties is a social status, not part of the definition of being a slave."
Against Agoratus,Lysias,-409,,Freedom,Freedom,1,fact,Torture of non-citizens,Metics / Foreigners,,Protection from torture during legal proceedings,,LESS,"[§59] Some, indeed, desired that Aristophanes should be put to the torture, as one who was not of pure Athenian stock, and they prevailed on the people to pass the following decree.",Torture of non-citizens,gemini_v19_batch3,,,,tlg0540.tlg013.perseus-eng2#6,tlg0540.tlg013.perseus-eng2,,"The text establishes that the lack of 'pure Athenian stock' (non-citizen status) made an individual eligible for torture by decree, a treatment not applied to citizens.",4,Broad societal group; the rule describes contemporary Athenian legal practices for non-citizens.,9.0,4,5,Protection from torture is a fundamental bodily entitlement.,3,Protection from torture is a specific but broadly applicable legal protection.,5,Protection from torture based on citizenship is a lifelong legal standing.,4,"Non-Athenian stock is a birth-fixed legal status, very hard to change.",0,"Protection from torture is a distinct legal right, not part of the non-citizen definition, even if correlated."
Against Agoratus,Lysias,-409,,Freedom,Freedom,1,fact,Protection from torture during proceedings,Athenians,,Protection from corporal punishment,,MORE,"[§27] Nay, indeed, you were not in nearly so good a case as your friends: in the first place, they were Athenians, and so were not in fear of being tortured; and in the second, they were ready to resign their own native land and go on the voyage with you.",Protection from torture during proceedings,gemini_v19_batch3,,,,tlg0540.tlg013.perseus-eng2#0,tlg0540.tlg013.perseus-eng2,,"The text explicitly contrasts the status of Athenian citizens with that of Agoratus (born a slave), noting that the Athenians did not fear torture, implying a legal protection based on their status as free citizens.",5,Canonical societal group; Lysias describes contemporary legal protections for Athenians.,10.0,4,5,Protection from corporal punishment is a fundamental bodily entitlement.,5,Protection from corporal punishment is a foundational aspect of bodily integrity.,5,"Protection from corporal punishment is a lifelong, structural right based on citizenship status.",4,"Athenians are defined by citizenship, a legal status very hard to change.",0,"Protection from corporal punishment is a legal right, not inherent in the definition of 'Athenians'."
Against Agoratus,Lysias,-409,,Freedom,Freedom,1,fact,Slave vulnerability to judicial torture,Slaves,,Protection from corporal punishment,,LESS,"[§25] they argued that if he were brought up before the Council he would be put to the torture, and would perhaps be compelled to give the names of such Athenians as might be suggested by those who were bent on working some mischief in the city. [...] [§27] But you, first of all, were in danger of being tortured if you stayed where you were; and secondly, you would not have been parting from your own native land.",Slave vulnerability to judicial torture,gemini_v19_batch3,,,,tlg0540.tlg013.perseus-eng2#1,tlg0540.tlg013.perseus-eng2,,"Agoratus is identified as having been born a slave. The text indicates that unlike the citizens, he faced the immediate threat of torture by the Council, demonstrating that slaves or those of slave origin lacked the right to protection from corporal punishment in legal inquiries.",5,Canonical societal group; Lysias describes contemporary legal vulnerability for slaves.,10.0,4,5,Vulnerability to judicial torture is a direct threat to bodily entitlement.,5,Protection from corporal punishment is a foundational aspect of bodily integrity.,5,"Vulnerability to judicial torture is a lifelong, structural condition based on slave status.",4,"Being a 'slave' is a legal status, very hard to change, requiring manumission.",0,"Protection from corporal punishment is a legal right, not inherent in the definition of 'Slaves'."
On the causes and signs of acute and chronic diseases,Aretaeus of Cappadocia,135,,Gender,Gender,1,fact,Female exclusion from Hysterical Suffocation,old women,,Freedom from hysterical suffocation,,MORE,"[§8] For this reason the affection occurs in young women, but not in old. For in those in whom the age, mode of life, and understanding is more mobile, the uterus also is of a wandering nature; but in those more advanced in life... the uterus are of a steady character.",Female exclusion from Hysterical Suffocation,gemini_v19_batch3,,,,tlg0719.tlg001.perseus-eng2#21,tlg0719.tlg001.perseus-eng2,,"The text creates a distinction within the group of women based on age, where older women have more protection from a specific disability (suffocation/wandering womb) than young women.",4,Broad societal group (age and gender); the author describes a contemporary medical observation.,9.0,3,3,"Freedom from hysterical suffocation impacts bodily function and well-being, a tangible outcome.",1,Freedom from hysterical suffocation is hyper-specific to one condition.,3,Freedom from a condition is tied to the life stage of being an old woman.,5,"Old women are defined by age and sex, both biologically fixed traits.",0,Freedom from hysterical suffocation is not inherent in the definition of 'old women'.
On the causes and signs of acute and chronic diseases,Aretaeus of Cappadocia,135,,Gender,Gender,1,fact,Physical restraint during hysterical convulsion,Women,,Freedom from bodily restraint,,LESS,"[§23] Should you fortunately arrive in time and ascertain that it is inflammation, you must open a vein, especially the one at the ankle, and pursue the other means which prove remedial in suffocation without inflammation: ligatures of the hands and feet so tight as to induce torpor",Physical restraint during hysterical convulsion,gemini_v19_batch3,,,,tlg0719.tlg003.perseus-eng2#47,tlg0719.tlg003.perseus-eng2,,"In cases of hysterical convulsion (a gendered diagnosis based on the uterus), the medical rule dictates that women be subjected to tight ligatures of the extremities, which is a loss of freedom from bodily restraint.",5,The group 'Women' is a canonical societal group; the author describes contemporary medical treatment.,9.0,3,5,Freedom from bodily restraint is a fundamental bodily entitlement.,5,Freedom from bodily restraint is a foundational societal good.,2,Freedom from bodily restraint is lost for the duration of a specific medical procedure or episode.,5,Women is a sex-defined group; membership is biologically fixed.,0,"Bodily restraint is a specific medical intervention, not inherent in the definition of 'women'."
Nicomachean Ethics,Aristotle,-348,,Gender,Gender,1,opinion,Female reliance on communal mourning,Women,,Right to emotional self-sufficiency,,LESS,"[§1217] Hence manly natures shrink from making their friends share their pain, and unless a man is excessively insensitive, he cannot bear the pain that his pain gives to them; and he will not suffer others to lament with him, because he is not given to lamentation himself. But weak women and womanish men like those who mourn with them, and love them as true friends and sympathizers.",Female reliance on communal mourning,gemini_v19_batch3,,,,tlg0086.tlg010.perseus-eng2#268,tlg0086.tlg010.perseus-eng2,,"Aristotle distinguishes between groups based on gender, asserting that women seek and value shared lamentation as a mark of friendship, whereas 'manly natures' (the in-group) are expected to avoid burdening others with their pain. This implies a lack of the 'noble' resource of emotional independence/self-governance for women.",5,Canonical societal group; the author describes a contemporary norm for women.,9.0,3,1,"Emotional self-sufficiency is an abstract, internal trait, not a tangible resource.",3,Emotional self-sufficiency is a specific but recurring psychological state.,3,Emotional self-sufficiency is a character trait that can be developed or lost over time.,5,Women is a sex-defined group; membership is biologically fixed.,0,"The rule describes a social expectation for women, not a definitional lack of emotional self-sufficiency."
Nicomachean Ethics,Aristotle,-348,,Gender,Gender,1,fact,Domestic justice for wives,Women,,Access to political justice,,LESS,"[§726] Hence Justice exists in a fuller degree between husband and wife than between father and children, or master and slaves; in fact, justice between husband and wife is Domestic Justice in the real sense, though this too is different from Political Justice.",Domestic justice for wives,gemini_v19_batch3,,,,tlg0086.tlg010.perseus-eng2#134,tlg0086.tlg010.perseus-eng2,,"While wives have a higher status than slaves or children, Aristotle explicitly distinguishes 'Domestic Justice' (regulations within the household) from 'Political Justice' (regulations among citizens), effectively excluding women from the full scope of political legal standing.",5,Canonical societal group; the rule describes a contemporary legal distinction.,8.0,3,4,Exclusion from political justice denies concrete legal rights and protections.,5,Access to political justice is a high-level societal good related to legal standing.,4,"Access to domestic justice is tied to the duration of the marriage, which is long-term but revocable.",5,Women is a sex-defined group; membership is biologically fixed.,0,"Access to political justice is a specific legal distinction, not inherent in the definition of 'women'."
