file_id	author	title	pages	author_impact_date	group	group_category	resource	resource_category	rule_category	direction	rule_name	confidence	specificity
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Infants	Age	Right to sex-based status recognition	Citizenship	Access to lineage status	MORE	Male offspring recognition	8	4
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Maidens	Gender	Right to domestic medical supervision	Legal standing	Access to judicial protection	MORE	Family-based medical care	9	3
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Wealthy residents	Wealth	Right to be identified by private property	Property and inheritance	Grant of economic privilege	MORE	Property-based medical identification	9	2
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Women	Gender	Protection from lethal postpartum complications	Body integrity	Protection of body integrity	LESS	Post-miscarriage medical vulnerability	9	3
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Youths	Age	Protection from fatal physical exhaustion	Body integrity	Protection of body integrity	LESS	Youth labor physical safety	8	4
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Women	Gender	Protection from fatal childbirth complications	Body integrity	Protection of body integrity	LESS	Post-childbirth health security	9	3
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Maidens	Gender	Right to verbal communication and interaction	Legal standing	Legal standing	LESS	Maiden social silence	6	5
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Elders	Age	Protection from fatal infection	Body integrity	Age-based health vulnerability	LESS	Age-based mortality risk	9	4
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Children	Age	Protection from fatal bowel disease	Body integrity	Age-based health vulnerability	LESS	Childhood mortality risk	10	4
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Phlegmatic persons	Health	Protection from tenesmus	Body integrity	Health-based social stratification	LESS	Constitution-based disease susceptibility	9	5
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Terminally ill patients	Health	Right to receive medical treatment	Legal standing	Medical resource allocation	LESS	High-risk patient selection	8	6
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Elders	Age	Protection from complications of minor injury	Body integrity	Protection from bodily harm	LESS	Age-based medical vulnerability protection	9	4
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Children	Age	Protection from fatal bowel disease	Body integrity	Survival entitlement	LESS	Juvenile bowel disease mortality	9	3
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Persons of melancholic complexion	Health	Protection from ardent fevers and phrenitis	Body integrity	Health-based stratification	LESS	Complexion-based disease susceptibility	8	5
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Fever patients	Health	Right to specific dietary management	Economic privileges	Access to resources	MORE	Patient dietary autonomy	7	4
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Physicians	Occupation	Right to select and treat patients	Political power	Professional privilege	MORE	Physician clinical judgment authority	10	8
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Mothers	Gender	Access to clinical monitoring and medical reporting	Legal standing	Access to healthcare	MORE	Postpartum medical attention	9	4
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Adult men	Gender	Access to surgical intervention (bloodletting)	Body integrity	Access to medical treatment	MORE	Phlebotomy eligibility	10	2
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Maidens	Age	Recognition of adult female biological status (menarche)	Citizenship	Social status tracking	MORE	Maidenhood transition recognition	9	3
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Foreign residents	Origin	Access to civic medical recording and topography	Citizenship	Access to judicial/social recognition	MORE	Resident medical inclusion	8	5
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Women	Gender	Medical monitoring after childbirth	Health	Access to medical care	MORE	Postpartum medical care	9	4
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Adults	Age	Right to receive surgical intervention	Health	Access to medical treatment	MORE	Therapeutic bloodletting access	10	5
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Maidens	Age	Medical monitoring during menarche	Health	Access to medical care	MORE	Medical care for maidens	9	6
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Foreigners	Origin	Right to professional medical recording	Health	Access to medical care	MORE	Clinical status of foreigners	8	5
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Sick persons	Health	Access to bedside attendants	Economic privileges	Access to medical care	MORE	Medical attendant assistance	9	3
tlg0627.tlg006.perseus-eng4	Hippocrates	Epidemics I and III	68	-465	Postpartum women	Gender	Right to medical monitoring	Health	Access to healthcare	MORE	Postpartum medical observation	10	4
tlg0030.tlg004.perseus-eng2	Hyperides	In Defence of Euxenippus	17	-360	Metics	Citizenship	Right to set market prices for services	Economic privileges	Economic regulation	LESS	Metic price ceiling restriction	9	4
tlg0030.tlg004.perseus-eng2	Hyperides	In Defence of Euxenippus	17	-360	Ordinary citizens	Citizenship	Protection from impeachment (eisangelia) for general speech	Legal standing	Legal procedure protection	MORE	Impeachment restricted to orators	10	2
tlg0030.tlg004.perseus-eng2	Hyperides	In Defence of Euxenippus	17	-360	Private citizens	Citizenship	Right to summon advocates (synegoroi)	Legal standing	Access to judicial protection	MORE	Right to advocacy	10	2
tlg0030.tlg004.perseus-eng2	Hyperides	In Defence of Euxenippus	17	-360	Elders	Age	Right to legal assistance from friends/relatives	Legal standing	Access to judicial protection	MORE	Elderly legal assistance	8	3
tlg0030.tlg004.perseus-eng2	Hyperides	In Defence of Euxenippus	17	-360	Citizens	Citizenship	Right to burial in Attica	Body integrity	Protection of after-death rights	MORE	Citizen burial rights	9	2
tlg0030.tlg004.perseus-eng2	Hyperides	In Defence of Euxenippus	17	-360	Defendants	Legal standing	Right to challenge validity of indictment	Legal standing	Legal standing	MORE	Prosecutorial immunity check	9	4
tlg0030.tlg004.perseus-eng2	Hyperides	In Defence of Euxenippus	17	-360	Defendants	Legal status	Right to refute specific charges	Legal standing	Access to judicial protection	MORE	Litigant right of refutation	9	5
tlg0030.tlg004.perseus-eng2	Hyperides	In Defence of Euxenippus	17	-360	Mine-workers	Occupation	Protection of mining estates from seizure	Property and inheritance	Grant of economic privilege	MORE	Miner property security	10	8
tlg0030.tlg004.perseus-eng2	Hyperides	In Defence of Euxenippus	17	-360	Accusers	Legal status	Protection from disenfranchisement and fines	Legal standing	Restriction of judicial power	LESS	Accuser penalty for failure	10	6
tlg0030.tlg004.perseus-eng2	Hyperides	In Defence of Euxenippus	17	-360	Defendants	Legal status	Right to summon character witnesses	Legal standing	Access to judicial protection	MORE	Defendant's right to support	9	5
tlg0030.tlg004.perseus-eng2	Hyperides	In Defence of Euxenippus	17	-360	The wealthy	Wealth	Protection from irrelevant wealth-based prejudice	Legal standing	Denial of judicial protection	LESS	Wealth-based legal Targeting	8	4
tlg0017.tlg011.perseus-eng2	Isaeus	On the Estate of Hagnias	23	-384	Male relatives (paternal)	Lineage	Right of first-priority inheritance	Property and inheritance	Access to political succession	MORE	Agnatic inheritance priority	10	4
tlg0017.tlg011.perseus-eng2	Isaeus	On the Estate of Hagnias	23	-384	Women	Gender	Priority in inheritance claims	Property and inheritance	Denial of property rights	LESS	Male preference in inheritance	10	3
tlg0017.tlg011.perseus-eng2	Isaeus	On the Estate of Hagnias	23	-384	Maternal relatives	Lineage	Direct right of succession	Property and inheritance	Denial of property rights	LESS	Paternal lineage preference	10	4
tlg0017.tlg011.perseus-eng2	Isaeus	On the Estate of Hagnias	23	-384	Children of first cousins	Lineage	Right to inherit as next-of-kin	Property and inheritance	Exclusion from inheritance	LESS	Inheritance limit for descendants	9	6
tlg0017.tlg011.perseus-eng2	Isaeus	On the Estate of Hagnias	23	-384	Litigants	Legal status	Right to have a claim settled in court	Legal standing	Access to judicial protection	MORE	Legal deposit requirement	9	2
tlg0017.tlg011.perseus-eng2	Isaeus	On the Estate of Hagnias	23	-384	Property owners	Wealth	Right to designate heirs by adoption	Property and inheritance	Grant of economic privilege	MORE	Testamentary adoption right	10	3
tlg0017.tlg011.perseus-eng2	Isaeus	On the Estate of Hagnias	23	-384	Legal claimants	Citizenship	Right to individual suit for estate shares	Legal standing	Access to judicial protection	MORE	Litigation for inheritance shares	10	4
tlg0017.tlg011.perseus-eng2	Isaeus	On the Estate of Hagnias	23	-384	Citizens	Citizenship	Right to make a claim on an estate	Legal standing	Access to judicial protection	MORE	Universal right to claim	9	2
tlg0017.tlg011.perseus-eng2	Isaeus	On the Estate of Hagnias	23	-384	Orphans	Age	Right to bring private suits against guardians	Legal standing	Legal protection of minors	MORE	Guardian prosecution rights	9	7
tlg0017.tlg011.perseus-eng2	Isaeus	On the Estate of Hagnias	23	-384	Mothers	Gender	Right to inherit from a deceased child	Property and inheritance	Access to property	MORE	Maternal inheritance rights	9	5
tlg0017.tlg011.perseus-eng2	Isaeus	On the Estate of Hagnias	23	-384	Orphans	Age	Right to have estate included in official lease	Economic privileges	Economic protection of minors	MORE	Orphan estate leasing	10	8
tlg0017.tlg011.perseus-eng2	Isaeus	On the Estate of Hagnias	23	-384	Inheritance litigants	Citizenship	Right to a retrial upon conviction of perjury	Legal standing	Legal procedure	MORE	Inheritance trial renewal	10	6
tlg0017.tlg011.perseus-eng2	Isaeus	On the Estate of Hagnias	23	-384	Citizens with small fortunes	Wealth	Exemption from public service (liturgies)	Economic privileges	Economic privilege	MORE	Public service exemption	9	4
tlg0017.tlg011.perseus-eng2	Isaeus	On the Estate of Hagnias	23	-384	Sisters	Lineage	Right to inherit ancestral estate	Property and inheritance	Access to inheritance	MORE	Female collateral inheritance	10	4
tlg0017.tlg011.perseus-eng2	Isaeus	On the Estate of Hagnias	23	-384	Legitimate sons	Age, Lineage	Right to be adopted into a deceased relative's house	Marriage and family	Succession management	MORE	Posthumous family adoption	9	5
tlg0017.tlg011.perseus-eng2	Isaeus	On the Estate of Hagnias	23	-384	Wealthy citizens	Wealth, Citizenship	Exemption from war contributions and state duties	Economic privileges	Obligation of public duty	LESS	Wealth-based public service obligation	10	3
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Citizens	Citizens	Freedom of movement outside the city	Freedom	Restriction of personal freedom	LESS	Emergency travel ban	10	4
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Residents	Citizens	Right to choose personal safety over military service	Military	Obligation of public duty	LESS	Compulsory defense duty	10	3
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Deserters	Citizens	Right to share in public sacrifices	Religious access	Access to religious ritual	LESS	Sacrificial participation right	8	6
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Witnesses	Occupation	Right to testify without coercion	Legal standing	Legal standing restriction	LESS	Judicial torture of witnesses	7	2
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Citizens	Citizens	Right to relocate ancestral religious property	Property and inheritance	Restriction of property movement	LESS	Expatriation of family gods	8	5
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Citizens	Citizens	Right to export grain to foreign ports	Economic privileges	Economic regulation	LESS	Grain export restriction	10	4
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Slaves	Freedom status	Right to testify without torture	Legal standing	Legal standing	LESS	Slave judicial torture	10	3
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Elders	Age	Exemption from field service	Military	Military service obligation	MORE	Senior military exemption	9	4
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Slaves	Freedom status	Freedom from enslavement	Freedom	Access to status	MORE	Emergency manumission	9	3
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Foreigners	Citizenship	Citizenship status	Citizenship	Access to citizenship	MORE	Emergency naturalization	9	4
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Disfranchised citizens	Legal status	Political and legal rights (Atimia reversal)	Legal standing	Legal status restoration	MORE	Restoration of rights	9	5
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Deserters	Citizenship	Protection from execution without trial	Body integrity	Capital punishment	LESS	Treason-based execution	8	6
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Merchants	Occupation	Right to depart without public oversight	Freedom	Freedom of movement	LESS	Merchant travel procedure	7	6
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Merchants	Occupation	Right to pursue trade during wartime	Military	Obligation of military service	LESS	Merchant naval enlistment obligation	9	4
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Citizens	Citizenship	Protection from capital punishment for minor theft	Body integrity	Access to judicial life	LESS	Death penalty for theft	10	2
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Slaves	Freedom status	Right to equal judicial vengeance for life	Legal standing	Access to judicial protection	MORE	Equal punishment for homicide	9	3
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Ephebi	Age	Right to remain in the city during war	Military	Obligation of public duty	LESS	Ephebic military oath	10	4
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Jurymen	Occupation	Exemption from divine vengeance for verdicts	Legal standing	Obligation of public duty	LESS	Juryman/Official religious bond	8	5
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Foreign benefactors	Origin	Right to maintenance in the Prytaneum	Economic privileges	Grant of economic privilege	MORE	Grant of permanent maintenance	10	7
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Kings	Lineage	Right to a share in the country after death	Property and inheritance	Access to burial rights	MORE	Posthumous land share	9	8
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Condemned criminals	Legal standing	Protection from execution at religious altars	Body integrity	Access to judicial protection	LESS	Judicial sanctuary limitation	9	4
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Homer	Occupation	Exclusive right to public recitation at Panathenaea	Economic privileges	Cultural monopoly	MORE	Recitation exclusivity	10	9
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Athenians	Origin	Right to command foreign (Spartan) armies	Political power	Access to political command	MORE	Military leadership requisition	8	6
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Soldiers	Occupation	Right to communal military education	Military	Mandatory cultural participation	MORE	Soldier mandatory choral assembly	9	4
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Traitors	Citizenship	Right to burial in native soil	Property and inheritance	Denial of funerary rights	LESS	Traitor burial prohibition	10	8
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Legal defenders of traitors	Citizenship	Protection from vicarious punishment	Legal standing	Legal restriction	LESS	Traitor advocate liability	9	9
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Traitors	Citizenship	Right to maintain public memorials	Property and inheritance	Property confiscation	LESS	Treason-based asset destruction	9	7
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Adult male citizens	Citizenship	Freedom of movement within the state	Freedom	Restriction of personal freedom	LESS	Wartime movement restriction	10	5
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Tyrannical conspirators	Political power	Protection from extrajudicial execution	Body integrity	Protection from bodily harm	LESS	Summary execution for tyranny	10	6
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Spartan soldiers	Occupation	Right to life after retreat	Body integrity	Capital punishment	LESS	Spartan cowardice death penalty	9	4
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Exiles for treason	Exiles	Right to reside as an alien	Citizenship	Restriction of personal freedom	LESS	Foreign residency exclusion	9	4
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Defendants	Legal status	Right to have family present in court	Legal standing	Access to judicial protection	LESS	Judicial presence of family	10	2
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Deserters	Citizenship	Access to cults, markets, and laws	Citizenship	Denial of citizenship rights	LESS	Civic resource access	9	3
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Wealthy citizens	Wealth	Right to judicial leniency through liturgies	Legal standing	Grant of economic privilege	MORE	Public service credit	9	3
tlg0034.tlg001.perseus-eng2	Lycurgus	Against Leocrates	68	-354	Deserters	Citizenship	Right to maintain ancestral memorials and rites	Religious access	Denial of property rights	LESS	Ancestral burial rights	8	4
tlg0627.tlg004.perseus-eng2	Hippocrates	On Regimen in Acute Diseases	66	-465	Patients	Health	Protection from pain during medical operations	Body integrity	Protection from bodily harm	MORE	Treatment without pain	9	2
tlg0627.tlg004.perseus-eng2	Hippocrates	On Regimen in Acute Diseases	66	-465	The sick	Health	Right to individualized dietary regimen	Economic privileges	Access to medical care	MORE	Calibrated nutritional intake	10	3
tlg0627.tlg004.perseus-eng2	Hippocrates	On Regimen in Acute Diseases	66	-465	The sick	Health	Preservation of customary meal frequency	Economic privileges	Access to medical care	MORE	Scheduled meal frequency	10	3
tlg0627.tlg004.perseus-eng2	Hippocrates	On Regimen in Acute Diseases	66	-465	The sick	Health	Continued medicinal nutrition after crisis	Economic privileges	Access to medical care	MORE	Post-crisis nutritional extension	9	4
tlg0627.tlg004.perseus-eng2	Hippocrates	On Regimen in Acute Diseases	66	-465	Adults	Age	Right to invasive bowel evacuation	Legal standing	Access to medical care	MORE	Age-based medical intervention	8	4
tlg0627.tlg004.perseus-eng2	Hippocrates	On Regimen in Acute Diseases	66	-465	Patients	Health	Right to receive venesection	Economic privileges	Access to medical care	MORE	Medical access to venesection	10	4
tlg0627.tlg004.perseus-eng2	Hippocrates	On Regimen in Acute Diseases	66	-465	Patients	Health	Access to efficacious pharmaceutical treatment	Economic privileges	Access to medical care	MORE	Procedural right to purgatives	10	4
tlg0627.tlg004.perseus-eng2	Hippocrates	On Regimen in Acute Diseases	66	-465	Patients	Health	Right to consume draughts (medicinal drinks)	Economic privileges	Restriction of resource access	LESS	Dietary restriction during purging	10	5
tlg0627.tlg004.perseus-eng2	Hippocrates	On Regimen in Acute Diseases	66	-465	Patients	Health	Right to regular nutrition (ptisans and drinks)	Economic privileges	Denial of nutrition	LESS	Pre-treatment starvation custom	9	4
tlg0627.tlg004.perseus-eng2	Hippocrates	On Regimen in Acute Diseases	66	-465	Pituitous persons	Health	Protection from the negative effects of fasting	Body integrity	Access to medical care	MORE	Constitutional dietary accommodation	7	6
tlg0627.tlg004.perseus-eng2	Hippocrates	On Regimen in Acute Diseases	66	-465	Patients	Health	Right to competent medical treatment	Legal standing	Access to judicial protection	MORE	Standardized medical care	9	2
tlg0627.tlg004.perseus-eng2	Hippocrates	On Regimen in Acute Diseases	66	-465	Physicians	Occupation	Protection from public ridicule	Legal standing	Access to judicial protection	LESS	Protection from medical derision	8	6
tlg0627.tlg004.perseus-eng2	Hippocrates	On Regimen in Acute Diseases	66	-465	The wounded	Health	Freedom of movement	Freedom	Restriction of personal freedom	LESS	Wounded limb immobilization	9	5
tlg0627.tlg004.perseus-eng2	Hippocrates	On Regimen in Acute Diseases	66	-465	Patients	Health	Right to choose food and drink	Freedom	Restriction of personal freedom	LESS	Patient dietary restriction	10	3
tlg0627.tlg004.perseus-eng2	Hippocrates	On Regimen in Acute Diseases	66	-465	Women	Gender	Access to vinegar-based medical drinks	Economic privileges	Denial of medical treatment	LESS	Uterine protection from vinegar	10	2
tlg0627.tlg004.perseus-eng2	Hippocrates	On Regimen in Acute Diseases	66	-465	The poor	Wealth	Right to proper medical bathing	Economic privileges	Access to public resources	LESS	Class-based bathing access	9	4
tlg0627.tlg004.perseus-eng2	Hippocrates	On Regimen in Acute Diseases	66	-465	The sick	Health	Right to self-managed physical movement	Freedom	Restriction of personal freedom	LESS	Patient autonomy in bathing	8	3
