rule_uid	file_id	perseus_author	perseus_title	period	criteria	rule	group	resource	directionality	verbatim	reasoning	contemporary	factuality	confidence	resource_materiality	materiality_reasoning	resource_generality	generality_reasoning	resource_persistence	persistence_reasoning	group_immutability	immutability_reasoning	rule_contemporarity	contemporarity_reasoning	opinion_vs_fact	opinion_vs_fact_reasoning	tautology	tautology_reasoning
tlg0007.tlg063.perseus-eng2::6	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Wealth / Properties']	State-funded prisoner ransoming	The poor	Protection from enslavement	MORE	['And there came to him also a gift of money from the king of Egypt, five-and-twenty talents. These Aratus accepted, but gave them at once to his fellow-citizens, who were in want of money, especially for the ransoming of such as had been taken prisoners.']	This describes a societal practice where public funds (or donated diplomatic wealth) are allocated specifically to the resource of freedom for citizens who have been captured in war and cannot afford their own ransom.	0	1	8.0	5	Protection from enslavement (ransom) is a direct entitlement to bodily freedom.	4	Covers the broad right to be free from capture/slavery in war.	5	Freedom from slavery is a lifelong structural status.	3	Being 'poor' / 'in want of money' is a changeable wealth bracket.	1	Describes a historical act of philanthropy in Hellenistic Sicyon.	5	Reports the specific expenditure of identifying money for this purpose.	0	Poverty does not define one as a prisoner needing ransom.
tlg0007.tlg063.perseus-eng2::7	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	Independent arbitration for property disputes	Citizens	Right to property settlement	MORE	['For when he was appointed independent arbiter, with absolute powers for settling the money affairs of the exiles, he would not accept the office alone, but associated with himself fifteen of his fellow-citizens, by whose aid, after much toil and great trouble, he established peace and friendship among his fellow-citizens.']	The Sicyonians established a rule/mechanism of using an independent arbiter with absolute powers to resolve internal property and financial conflicts between returning exiles and current residents to avoid civil strife.	0	1	9.0	4	Settlement of money affairs and property disputes has direct material effects.	4	Covers a broad category of property and financial adjudication.	5	Property settlements establish permanent, lifelong ownership status.	4	Being a 'citizen' is a structural legal status.	1	Describes a specific historical commission in Sicyon.	5	Describes the appointment and the committee's actions as factual events.	0	Citizenship does not entail having one's property arbitrated by a specific commission.
tlg0007.tlg063.perseus-eng2::8	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Gender']	Wife's limited control of ornaments	Women	Right to retain dowry upon divorce	LESS	['he took most of his plate and his wife’s golden ornaments and deposited them with Aegias as security for the money. For he was so exalted in spirit and had so great a passion for noble deeds that, knowing as he did that Phocion and Epaminondas were reputed to have been the justest and best of Greeks because they spurned great gifts and would not betray their honour for money, he elected to expend his own substance secretly, as an advance, on an enterprise in which he alone was risking his life for the whole body of citizens, who did not even know what was going on.']	The text describes Aratus taking his wife's personal golden ornaments to use as collateral for a military loan without her involvement or knowledge being mentioned as necessary. This implies a lack of independent property rights or protection of the woman's personal assets against her husband's strategic expenditures.	0	1	7.0	5	Golden ornaments and plate are tangible wealth/property.	3	Specific to personal assets like dowry or ornaments.	4	Loss of these items represents a long-term loss of capital/security.	5	Gender is immutable.	1	Account of Aratus' personal life and property management.	5	Narrates the physical movement of goods as security for a loan.	0	Being a woman does not by definition mean having no control over ornaments.
tlg0007.tlg063.perseus-eng2::9	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	Citizen right to gate keys	Citizens	Political power	MORE	['he summoned his strength and in behalf of the Achaeans made a speech which befitted their exploit, and persuaded the Corinthians to join the Achaean League. He also gave them back the keys to their gates, of which they then became possessed for the first time since the time of Philip of Macedon.']	Plutarch notes that the restoration of physical keys to the local population (the Corinthians) was a restoration of their autonomous political power and control over their own city-state, contrasting this with their status under foreign Macedonian occupation.	0	1	9.0	4	Possession of gate keys represents tangible control over urban infrastructure/defense.	4	Key possession signifies broad political autonomy and civic sovereignty.	5	Control over one's city is a structural, long-term status.	4	Citizenship (Corinthians) is a stable, structural identity.	1	Describes the liberation of Corinth in 243 BCE.	5	Reports the physical return of keys as a historical event.	0	Being a citizen does not naturally mean possessing physical gate keys.
tlg0007.tlg063.perseus-eng2::10	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	Citizen prisoner ransom exemption	Athenian citizens	Right to be released without ransom	MORE	['But the freemen among his prisoners he sent back to the Athenians without ransom, thus laying a foundation for their revolt from Antigonus.']	The text demonstrates a specific legal/political exception where free Athenian citizens, when captured as prisoners of war, were granted the resource of freedom without the usual requirement of ransom, distinguishing them from other categories of captives.	0	1	9.0	5	Release without ransom is a direct entitlement to bodily freedom.	3	Specific to the scenario of prisoner-of-war release.	5	Return of the status of 'freeman' is lifelong/structural.	4	Athenian citizenship is a birth-fixed structural status.	1	Refers to Aratus' diplomatic strategy toward Athens.	5	Reports the action of sending prisoners back as a factual historical event.	0	Athenians are not defined as being exempt from ransom.
tlg0007.tlg063.perseus-eng2::11	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	Generalship eligibility frequency	Achaean citizens	Annual eligibility for the generalship	LESS	['And he was so influential among the Achaeans that, since it was not permissible every year, they chose him general every other year, though, in fact, his wisdom made him their leader all the time.']	The text describes a constitutional rule of the Achaean League that prevented any individual from holding the highest office (the generalship) in consecutive years, limiting the frequency of their political power.	0	1	10.0	4	Eligibility for generalship gives access to the highest political/military power.	3	Restricted to the frequency of holding a specific, single office.	3	Office eligibility cycles annually/biennially.	4	Achaean citizenship is a legal structural status.	1	Describes the constitution of the Achaean League (3rd c. BCE).	5	Explicitly cites the legal permissibility ('not permissible every year').	0	Citizenship does not define how often one can be a general.
tlg0007.tlg063.perseus-eng2::12	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Freedom']	Weapon possession prohibition for subjects	Argive subjects under tyranny	Right to possess weapons	LESS	['Accordingly, men were found to dare the deed, of whom Aeschylus and Charimenes the seer were the chief. They had no swords, however, the tyrant having prohibited the possession of them under heavy penalties.']	The tyrant Aristomachus established a rule for his subjects in Argos prohibiting the possession of swords, enforced by heavy penalties, effectively removing the resource of self-armament.	0	1	10.0	5	Possession of swords is a material resource for force and protection.	3	Specific right to possess a particular class of weapons.	4	Prohibition holds as long as the regime (tyranny) lasts.	4	Subjects of Argos are defined by civic/territorial status.	1	Historical description of Aristomachus' tyranny in Argos.	5	Cites a specific prohibition backed by heavy penalties.	0	Being a subject/citizen does not by definition mean being disarmed.
tlg0007.tlg063.perseus-eng2::13	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Occupation']	Sacred games safe-conduct	Athletic contestants	Protection from capture and enslavement	MORE	['But the games were also celebrated at Argos, and then for the first time the privilege of asylum and safe-conduct which had been granted to contestants in the games was violated, since the Achaeans treated as enemies and sold into slavery all contestants in the games at Argos whom they caught travelling through their territory.']	The text identifies a long-standing Panhellenic rule (norm/convention) providing safe-conduct and asylum to specific groups (contestants in the games), protecting them from being treated as enemies or enslaved during travel. Aratus's violation of this proves the existence of the rule.	0	1	10.0	5	Safe-conduct provides direct protection from enslavement and bodily harm.	3	Specific to protection during athletic travel/competitions.	3	Bounded to the duration of the games and related travel.	3	Contestant status is a professional/role-bound identity for a period.	1	Refers to Panhellenic sacred truces of the 3rd century BCE.	5	Identifies the privilege as a 'granted' right that was then 'violated'.	0	An athlete is not defined as being untestable or un-enslavable by definition.
tlg0007.tlg063.perseus-eng2::14	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Freedom', 'Gender']	Capture of women as booty	Women	Protection from abduction in war	LESS	['For as soon as they had entered the city, the common soldiers had scattered themselves among the houses, jostling and fighting with one another over the booty, while the leaders and captains were going about and seizing the wives and daughters of the Pellenians, on whose heads they put their own helmets, that no one else might seize them, but that the helmet might show to whom each woman belonged.']	The text describes a standard military practice of the time where women of a captured city were treated as material booty (chattel) and marked for ownership by victorious soldiers, indicating a total lack of legal protection for their personhood or freedom during conquest.	0	1	10.0	5	Protection from abduction and slavery concerns bodily integrity and freedom.	4	Covers a broad category of wartime vulnerability for a gender.	5	Enslavement and abduction represent a lifelong shift in status.	5	Women/daughters are immutable gendered groups.	1	Narrates the sack of Pellene during the Hellenistic wars.	4	Describes the practice of taking booty as an observed military behavior.	0	Womankind is not defined as 'that which is looted in war'.
tlg0007.tlg063.perseus-eng2::15	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	Alien resident grant of citizenship	Metics	Full citizenship rights	MORE	['But he escaped alive and rallied his soldiers, and then was not content to come off safely, but making the best use of his opportunity, when no one expected or had any idea of what was to happen, he suddenly made an assault upon Mantineia, which was in alliance with Cleomenes; and having taken the city, he set a garrison there, and made its alien residents full citizens, thus acquiring single-handed for the conquered Achaeans what they could not easily have obtained as conquerors.']	Aratus uses his authority as a conqueror to alter the legal status of the 'alien residents' (metics) in Mantineia, granting them the resource of full citizenship to secure the city's loyalty to the Achaean League.	0	1	9.0	4	Full citizenship rights involve comprehensive legal and political status.	5	Citizenship is a foundational societal axis.	5	Once granted, citizenship is generally a permanent, lifelong status.	3	Metic (alien resident) status is changeable via naturalization.	1	Historical event concerning the city of Mantineia.	5	Describes the legal act of enfranchisement as a factual political move.	0	Metics are defined by lack of citizenship; the rule describes their transition out of that group.
tlg0007.tlg063.perseus-eng2::16	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Occupation']	Public funding for mercenaries	Generals	Public financing for military forces	LESS	['Aratus was severely blamed for this, being thought to have betrayed Lydiades; and when the Achaeans left the field in anger, they forced him to accompany them to Aegium. Here they held an assembly, and voted not to give him money and not to maintain mercenaries for him; if he wanted to wage war, he must provide the means himself.']	The Achaean assembly's vote demonstrates that the right of a general to receive state funds for hiring and maintaining mercenary troops was a resource that could be revoked by the political body as a form of censure.	0	1	9.0	5	Public funding for military forces consists of tangible wealth and money for subsistence.	3	Specifically tied to the professional resource allocation for a military campaign.	2	The resource is tied to a specific term of command or a single assembly vote.	3	Generalship is an elective or appointed professional role, not an immutable trait.	1	Plutarch is writing about Aratus, who lived roughly 300 years before him.	5	Verbatim records a specific legal vote and its direct financial consequence.	0	Being a general does not inherently define one as receiving state (vs private) funds.
tlg0007.tlg063.perseus-eng2::17	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship']	Resident alien advancement to citizenship	Resident aliens	Right to citizenship	MORE	['but after he had killed the ephors, divided up the land, advanced many resident aliens to the citizenship, and thus got an irresponsible power, he immediately pressed the Achaeans hard, and demanded the supreme leadership for himself.']	The text describes Cleomenes' specific political reforms in Sparta where he elevated the status of resident aliens by granting them citizenship to consolidate his power.	0	1	10.0	4	Citizenship provides a bundle of concrete legal rights and material standing.	5	Citizenship is a foundational societal axis for all life outcomes.	5	Citizenship is a lifelong legal standing once granted.	3	Resident alien (metic) status is a durable identity but can be changed via decree.	1	Refers to the historical reforms of Cleomenes III in the 3rd century BCE.	5	Reports a specific historical political act and legal change.	0	Resident aliens are by definition not citizens; the rule describes the transition.
tlg0007.tlg063.perseus-eng2::18	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Wealth / Properties']	Liturgy and property redistribution	Landowners	Right to retain land	LESS	['but after he had killed the ephors, divided up the land, advanced many resident aliens to the citizenship, and thus got an irresponsible power, he immediately pressed the Achaeans hard, and demanded the supreme leadership for himself.']	Cleomenes implemented a radical land redistribution policy, which involved the state seizing land from existing owners to reallocate it, effectively removing the right to retain property.	0	1	9.0	5	The right to retain land involves tangible property and wealth.	5	Property rights are a foundational societal axis.	5	Land redistribution represents a permanent structural loss of status and assets.	3	Landowner status is based on wealth/assets, which is changeable.	1	Describes historical land reforms in Sparta centuries before Plutarch.	5	Describes a historical event of seizure and redistribution as fact.	0	Being a landowner does not logically necessitate the right to keep land under revolution.
tlg0007.tlg063.perseus-eng2::19	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship', 'Lineage']	Spartan eligibility for Greek leadership	Spartans	Eligibility for supreme leadership	MORE	['And if Cleomenes was, as must be granted, lawless and arbitrary, still, Heracleidae were his ancestors, and Sparta was his native land, the meanest citizen of which was more worthy than the foremost Macedonian to be made their leader by those who had any regard for Greek nobility of birth.']	The author reflects a contemporary Greek norm/opinion that Spartan lineage and citizenship granted a superior right to lead Greek leagues compared to foreign Macedonians.	1	0	8.0	4	Eligibility for supreme leadership is access to the highest political office.	4	Covers the broad right to hold hegemony or high command.	5	Eligibility based on birth/lineage is a lifelong attribute.	5	Spartan identity and Heracleidae lineage are immutable birth-fixed traits.	1	Refers to ancestral claims and historical leadership of the 3rd century BCE.	2	The verbatim is highly rhetorical ('more worthy than the foremost Macedonian').	0	Being Spartan does not per se define one as the naturally eligible leader of all Greeks.
tlg0007.tlg063.perseus-eng2::20	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Occupation']	General absolute power for punishment	Generals	Right to exercise summary execution	MORE	['For the punishment of these men Aratus was clothed with absolute power, and seizing those in Sicyon who were thus corrupted he put them to death; but when he tried to seek out and chastise those in Corinth, he roused the resentment of the populace there']	During times of civil unrest and suspected treason, the Achaean League granted Aratus absolute power (autokrator), which legally allowed him to execute citizens suspected of siding with the enemy.	0	1	9.0	5	Power of summary execution involves the physical life and death of subjects.	3	A specific legal power tied to a state of emergency (autokrator).	2	Limited to the duration of the crisis or the specific 'absolute power' grant.	3	The role of General is a professional achievement/appointment.	1	Refers to the historical career of Aratus.	5	Reports the legal vesting of power and the resulting executions as fact.	0	Being a general does not inherently grant the right to execute citizens without trial.
tlg0007.tlg063.perseus-eng2::21	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Lineage', 'Occupation']	Confiscation of tyrant property	Tyrants	Right to retain property	LESS	['and Aratus, having been chosen general by the Argives, persuaded them to make a present to Antigonus of the property of the tyrants and of the traitors.']	It was a standard political and legal rule in the Achaean League that the property of deposed tyrants or those labeled as traitors was confiscated by the state (and in this case, gifted to an ally).	0	1	10.0	5	Property of tyrants involves tangible land and physical assets.	4	The right to retain any/all property is a broad category.	5	Confiscation results in a permanent loss of the family's material base.	3	Tyrant is a political role, though often associated with a lineage (house).	1	Historical event during the Achaean League era.	4	Reports a specific act of persuasion and legal gifting of property.	0	Tyranny is a mode of rule; it does not analytically contain the loss of property rights.
tlg0007.tlg063.perseus-eng2::22	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Citizenship', 'Freedom']	POW enslavement during war	Mantineians	Protection from enslavement	LESS	['For after mastering that city with the aid of Antigonus, they put to death the leading and most noted citizens, and of the rest, some they sold into slavery, while others they sent off into Macedonia in chains, and made slaves of their wives and children, dividing a third of the money thus raised among themselves, and giving the remaining two-thirds to the Macedonians. It is true that this came under the law of reprisal; for though it is a terrible thing to treat men of the same race and blood in this way, out of anger, still in dire stress even cruelty is sweet, as Simonides says']	The text describes a specific legal or quasi-legal 'law of reprisal' exercised by the Achaeans against the inhabitants of Mantineia, where defeat in war resulted in the systematic loss of freedom and the selling of non-combatants (wives and children) into slavery.	0	1	10.0	5	Protection from enslavement is a matter of bodily freedom and non-property status.	5	Freedom vs. slavery is a foundational societal axis.	5	Slavery was typically a lifelong status for those sold.	5	Mantineians are defined by their birth/origin in a specific city.	1	Historical account of the fall of Mantineia (223 BCE).	5	Describes the 'law of reprisal' and the actual enslavement as attested facts.	0	Being a citizen of a city does not mean one is defined as 'one who is enslaved'.
tlg0007.tlg063.perseus-eng2::23	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Freedom']	Distribution of slave sale proceeds	Soldiers	Right to retain war booty	MORE	['they put to death the leading and most noted citizens, and of the rest, some they sold into slavery, while others they sent off into Macedonia in chains, and made slaves of their wives and children, dividing a third of the money thus raised among themselves, and giving the remaining two-thirds to the Macedonians.']	The passage details the rule of distribution for the proceeds of the sale of enslaved people after the fall of Mantineia, establishing how material resources (money from slave sales) were divided between the allied forces (Achaeans and Macedonians).	0	1	9.0	5	War booty here is phrased as the cash ('money') from selling people.	2	Specific to the distribution of proceeds from a single capture/sale event.	1	A one-time payout following a specific military success.	2	Soldiering is an episodic role during war.	1	Historical account of 3rd-century BCE military practices.	5	Cites specific distribution ratios (one-third/two-thirds) as fact.	0	Soldiers are not defined by the specific ratio of booty they receive.
tlg0007.tlg063.perseus-eng2::24	tlg0007.tlg063.perseus-eng2	Plutarch	Aratus	Hellenistic & Early Roman (165 BCE – 105 CE)	['Nobility', 'Occupation']	General's authority to rename cities	Generals	Power to name settlements	MORE	['Aratus himself was chosen to be the founder of the new settlement, and being then general, got a decree passed that the city should no longer be called Mantineia, but Antigoneia, and this is its name down to the present time.']	As the elected general and designated founder, Aratus possessed the political power to issue decrees altering the identity and name of a city, which is a significant immaterial resource involving political influence.	1	1	8.0	2	Naming a city is an honorific and political right with minor material effect.	1	Extremely narrow power related to a single nomenclature event.	5	The naming of a city is a durable, long-term change (down to the present).	3	Generalship is an elective/appointed office.	1	Plutarch notes the city's name 'down to the present time,' but the act is historical.	5	Reports a specific decree and nomenclature change as fact.	0	The definition of a General does not include the power to rename cities.
