group	rule_polity	c_sex	c_age	c_ownership_status	c_ancestry	c_residence	c_wealth	c_kinship_role	c_occupation	requires_rights_definition	emic_label	criterion_reasoning
Priests	Late Period Egypt	male	adult	free	native	resident	high	unspecified	priest	False	hem-netjer	Occupational/religious vocation involving temple service; in Egypt, this was often a hereditary lineage role independent of Greek legal categories.
The King Archon	Classical Athens	male	adult	free	native	resident	any	unspecified	magistrate	True	archōn basileus	One of the nine archons; an office-holder defined by legal selection and jurisdiction over religious matters.
Citizens	Classical Greece	male	adult	free	native	resident	any	unspecified	none	False	politēs	Adult free males of native descent; the group can be identified by descent and status without enumerating their specific voting rights.
Rulers	Classical Athens	male	adult	free	native	resident	any	unspecified	magistrate	True	archontes	Defined by the holding of political power/office; selection is a legal/rights-based process.
The rich	Classical Greece	any	adult	free	unspecified	unspecified	high	unspecified	any	False	plousioi	Posited on material economic possession/surplus rather than legal status.
Generals	Classical Athens	male	adult	free	native	resident	any	unspecified	soldier	True	stratēgoi	Elected military commanders; office-holding is inherently tied to the polity's legal system of selection.
Judges	Classical Athens	male	adult	free	native	resident	any	unspecified	juror	True	dikastai	Participants in the legal system defined by their empowerment to judge; the role exists only within the legal structure.
Magistrates	Archaic Athens (Solonic)	male	adult	free	native	resident	high	unspecified	magistrate	True	archontes	Solonic magistrates were chosen based on specific wealth classes, but the holding of office itself is a legal definition.
Citizens	Scythia	male	adult	free	native	resident	any	unspecified	any	False		In a Scythian context, refers to the free-born native population, likely members of the tribal community/warrior class.
Citizens	Archaic Athens (Solonic)	male	adult	free	native	resident	any	unspecified	any	False	politēs	Solonic reforms redefined the populus, but the core identity remains free adult native males.
Women	Classical Athens	female	any	any	unspecified	resident	any	unspecified	unspecified	False	gynaikes	Biological/social sex category; identifiable independent of legal standing.
Soldiers	Classical Athens	male	adult	free	unspecified	unspecified	any	unspecified	soldier	False	stratiōtai	Occupational category defined by the act of military service/bearing arms.
The poor	Archaic Athens (Pre-Solonic)	any	adult	free	native	resident	low	unspecified	any	False	penētes	Defined by lack of material resources and subsistence labor.
The wealthy and noble	Archaic Athens (Pre-Solonic)	male	adult	free	native	resident	high	unspecified	any	False	eupatridai	Descent-based aristocracy ('well-born') typically possessing significant land/wealth.
Owners of military equipment	Archaic Athens (Draconian)	male	adult	free	native	resident	middle	unspecified	soldier	False	zeugitai	Identified by physical possession of heavy armor (hoplite panoply), implying a specific wealth threshold.
Wealthy property owners	Archaic Athens (Draconian)	male	adult	free	native	resident	high	unspecified	any	False	pentakosiomedimnoi	Material possession of land/produce (the '500-bushel men') as a criterion of economic capacity.
Men over thirty	Classical Athens	male	adult	free	native	resident	any	unspecified	any	False		A demographic subgroup defined by chronological age and biological sex.
Citizens	Classical Athens (Solonic)	male	adult	free	native	resident	any	unspecified	any	False	politēs	In the Solonic context, free native males of any of the four wealth classes.
Thetes	Classical Athens	male	adult	free	native	resident	low	unspecified	none	False	thētes	The lowest economic class of citizens, defined by manual labor for hire or lack of land yield.
Pentacosiomedimni	Classical Athens	male	adult	free	native	resident	high	unspecified	unspecified	False	pentakosiomedimnoi	Highest Solonic wealth class, defined by land yield of 500+ medimnoi; a material productive capacity independent of legal standing.
Eupatridae	Archaic Athens	male	adult	free	native	resident	high	unspecified	unspecified	False	eupatridai	The 'well-born' nobility; defined by genealogical descent from traditional aristocratic clans, not by specific statutory rights.
Those not of pure descent	Archaic Athens	any	any	free	mixed	resident	any	unspecified	any	False		Persons of non-Athenian or mixed parentage; a genealogical and biological fact about ancestry.
The poor	Archaic Athens (Peisistratid)	any	any	free	unspecified	resident	low	unspecified	any	False	apori	Defined by lack of material resources/wealth; a socioeconomic status independent of the legal/political system.
Rural citizens	Archaic Athens (Peisistratid)	male	adult	free	native	resident	any	unspecified	farmer	False	agroikoi	Free native males residing in the rural demes (chora) rather than the city; defined by physical residence and occupation.
Athenians of 'polluted' lineage	Archaic Athens	any	any	free	native	resident	any	unspecified	any	False	enageis	Members of families (e.g., Alcmaeonids) considered religiously impure due to ancestral sacrilege; a genealogical/religious distinction.
Citizens	Classical Athens (Cleisthenic)	male	adult	free	native	resident	any	unspecified	any	False	politai	Free adult males of native Attic ancestry registered in a deme; criteria are demographic/genealogical.
Influential citizens	Classical Athens	male	adult	free	native	resident	high	unspecified	any	False	gnorimoi	Citizens with high social standing, wealth, or 'notoriety'; defined by informal social capital and material status.
Ostracized citizens	Classical Athens	male	adult	free	native	non_resident	any	unspecified	any	True	ostrakisthentes	Persons expelled via a specific legal procedure; defined by the legal act of ostracism, though the group is adult native males.
Citizens in public service	Classical Athens	male	adult	free	native	resident	any	unspecified	public servant	True	en tei dēmousiai	Citizens currently performing state duties (jury, assembly, office); defined by active legal/political roles.
Zeugitae	Classical Athens	male	adult	free	native	resident	middle	unspecified	farmer	False	zeugitai	Middle wealth class (200-300 medimnoi) able to maintain hoplite equipment; defined by material/productive capacity.
Persons of mixed parentage	Classical Athens	any	any	free	mixed	resident	any	unspecified	any	False	metroxenoi	Individuals with only one Athenian parent; a biological and genealogical fact about lineage.
Jurors	Classical Athens	male	elder	free	native	resident	any	unspecified	juror	True	dikastai	Court participants; the role is a legal office/function (must be a citizen over 30).
Magistrates	Classical Athens (the Four Hundred)	male	adult	free	native	resident	high	unspecified	magistrate	True	archontes	Office-holders under oligarchy; group defined by possession of specific governing powers.
The Five Thousand	Classical Athens (the Five Thousand)	male	adult	free	native	resident	middle	unspecified	any	True	hoi pentakischilioi	A legally designated body of 5,000 citizens based on wealth/equipment; defined by a political decree.
Minors	Classical Athens (the Four Hundred)	any	minor	free	unspecified	resident	any	child	none	False	paides	Persons below the age of physical/social maturity; a developmental stage.
The poor	Classical Athens (the Five Thousand)	any	any	free	unspecified	resident	low	unspecified	any	False	thētes	Individuals with low or no land-based wealth; defined by material precarity.
Women	Classical Athens (the Thirty Tyrants)	female	any	free	any	resident	any	unspecified	any	False	gynaikes	Biological/socially assigned females; a biological fact independent of the political regime.
The wealthy	Classical Athens (the Thirty Tyrants)	any	adult	free	unspecified	resident	high	unspecified	any	False	plousioi	Possessors of significant material assets; defined by economic capacity.
Citizens	Classical Athens (the Thirty Tyrants)	male	adult	free	native	resident	any	unspecified	any	False	politai	Free adult native males; though rights were curtailed by the Thirty, the demographic cell remains consistent.
Citizens	Classical Athens (Eleusis)	male	adult	free	native	resident	any	unspecified	none	False	politēs	Free adult male of Attic ancestry; identified by genealogy and physical maturity independent of their specific legal powers.
Minors	Classical Athens	any	minor	free	native	resident	unspecified	child	none	False	pais	Individuals below the biological/developmental age of majority (18 for registration in demes).
The infirm poor	Classical Athens	male	adult	free	native	resident	low	unspecified	none	False	adunatoi	Free adult males with physical disabilities and negligible wealth/property preventing self-support.
60-year-old men	Classical Athens	male	elder	free	native	resident	any	unspecified	none	False	diaitētai	Native free males who have reached the 60th year of life; chronological age is the primary criterion.
Magistrates	Classical Athens	male	adult	free	native	resident	any	unspecified	magistrate	True	archōn	Holders of state offices; category is defined by the right to exercise public authority/administration.
Metics	Classical Athens	any	adult	free	foreign	resident	any	unspecified	any	False	metoikos	Free permanent residents lacking Attic ancestry; identified by foreign descent and residency.
Defendants	Classical Athens	any	adult	free	unspecified	unspecified	any	unspecified	none	True	pheugōn	Individuals against whom a legal action is brought; the category is intrinsically defined by the legal proceedings.
Thetes	Archaic Athens (Solonic)	male	adult	free	native	resident	low	unspecified	laborer	False	thēs	Lowest wealth class in the Solonic system; defined by low agricultural yield (under 200 medimnoi) or manual labor status.
The Zeugites	Classical Athens	male	adult	free	native	resident	middle	unspecified	farmer	False	zeugitēs	Middling wealth class; traditionally defined by possessing a team of oxen or having a specific agricultural yield.
Heiresses	Classical Athens	female	any	free	native	resident	high	child	none	False	epiklēros	Daughter of a deceased man with no male heirs; biological female/offspring status within a specific family structure.
Men aged fifty-nine	Classical Athens	male	elder	free	native	resident	any	unspecified	none	False	diaitetai	Men in the year preceding their 60th birthday; chronological age in the final year of military obligation.
Barbarians	Classical Athens	any	any	any	foreign	unspecified	any	unspecified	any	False	barbaros	Non-Greek speaking foreigners; defined by linguistic and genealogical non-Greel origin.
Foreigners	Classical Athens	any	any	free	foreign	unspecified	any	unspecified	any	False	xenos	Persons not originating from the local polity; ancestry/birth outside the territory.
Wealth / Properties	Classical Athens	any	any	any	any	any	any	unspecified	any	False	ousia	Material possessions/economic resources; an inanimate category of material objects, not a human group.
Guardians	Classical Athens (Platonic Republic)	any	adult	free	native	resident	unspecified	unspecified	soldier	True	phylakes	The ruling class in Plato's Republic; defined by their function and education for state governance.
Citizens	Sparta	male	adult	free	native	resident	high	unspecified	soldier	False	homoios	Male Spartan of Dorian descent, educated in the agoge and meeting financial messes (syssitia) requirements.
Slaves	Crete	any	any	enslaved	any	resident	low	unspecified	any	False	doulos	Persons owned/controlled by another individual or the community in Crete.
Guardians	Sparta	male	elder	free	native	resident	any	unspecified	none	True	gerousia	Elders over 60 in the Spartan council; an office-holding class defined by political function.
The common people	Sparta	male	adult	free	native	resident	low	unspecified	any	False	damos	The mass of Spartan citizens distinct from the aristocracy or specific magistrates.
The rich	Classical Greece (Oligarchical)	any	adult	free	unspecified	resident	high	unspecified	any	False	plousioi	Individuals with high material wealth or land ownership in an oligarchical context.
The poor	Classical Greece (Oligarchical)	any	adult	free	unspecified	resident	low	unspecified	any	False	aporoi	Defined by low material-economic position; in oligarchical contexts, this identifies those below the census requirement for full participation.
Citizens	Locri (Epizephyrian)	male	adult	free	native	resident	any	unspecified	any	False	politēs	Adult free males of native ancestry; Locri specifically emphasized the 'Hundred Houses' but 'citizen' generally denotes the native male group.
Children of those who died in war	Classical Athens	any	minor	free	native	resident	unspecified	child	none	False	orphanoi	Minor children of native male citizens who died in military service; defined by kinship role and age.
Defendants in murder trials	Cyme	any	adult	free	unspecified	resident	any	unspecified	any	True	pheugōn	A procedural role in the legal system; the group cannot be identified without reference to the act of being accused in the rights-governed court.
Serf class	Crete	any	any	enslaved	native	resident	low	unspecified	farmer	False	mnoia	Unfree agricultural laborers tied to the land; unlike chattel slaves, they were often native to the territory.
Women	Sparta	female	adult	free	native	resident	any	unspecified	any	False	Spartiatis	Free adult females of Spartan descent; their status is fixed by sex and birth.
Minors	Sparta	any	minor	free	native	resident	unspecified	child	none	False	paides	Individuals under the age of adulthood (at Sparta, those in the agoge system); defined by life-stage.
The poor	Sparta	male	adult	free	native	resident	low	unspecified	any	False	hypomeiones	Spartan-born males who lost economic standing (unable to contribute to syssitia); defined by material wealth deficit.
Nobility	Sparta	male	adult	free	native	resident	high	unspecified	any	False	homoioi	Full-status Spartan males meeting wealth requirements; 'nobility' here implies the founding lineage (Spartiates).
Citizens	Crete	male	adult	free	native	resident	any	unspecified	any	False	eleutheroi	Free native males in Crete; primarily distinguished from the unfree (mnoia) and resident foreigners.
Common people	Crete	any	adult	free	native	resident	middle	unspecified	any	False	damos	The non-aristocratic native free population; defined by lack of high-wealth/noble lineage within the native group.
Citizens	Carthage	male	adult	free	native	resident	any	unspecified	any	False	m' rtm	Free Punic males of Carthaginian descent; defined by ancestry and resident status.
The poor	Carthage	any	adult	free	unspecified	resident	low	unspecified	any	False	dlt	Carthage residents with minimal material assets; defined by low productive capacity/wealth.
The poor	Archaic Athens (Solonic)	male	adult	free	native	resident	low	unspecified	any	False	thētes	Free native males with the lowest harvest yield (less than 200 medimnoi); defines the 'poor' in the Solonic system.
Old men	Classical Athens	male	elder	free	native	resident	any	unspecified	any	False	gerontes	Males of advanced age (usually over 60); defined purely by chronological life-stage.
Women	Chalcidice	female	any	free	native	resident	any	unspecified	any	False	gunaikes	Individuals of female sex; biological/socially assigned sex independent of legal standing.
Children of one non-citizen parent	Classical Athens	any	any	free	mixed	resident	unspecified	child	unspecified	False	nothoi	Free residents with one non-citizen parent; genealogical fact of mixed ancestry.
Artisans	Classical Athens	any	adult	free	unspecified	resident	middle	unspecified	artisan	False	banausoi	Free individuals engaged in manual crafts or trades; defined by vocational/productive role.
Hired laborers	Classical Athens	any	adult	free	unspecified	resident	low	unspecified	hired laborer	False	misthōtoi	Free persons who work for a wage; defined by their economic dependency/method of income.
Traders	Thebes	any	adult	free	unspecified	any	middle	unspecified	merchant	False	emporoi	Individuals engaged in commerce and trade; defined by vocational activity regardless of citizenship.
Children of one citizen parent	Classical Athens	any	any	free	mixed	resident	unspecified	child	none	False	nothos	Persons with only one citizen parent; after Pericles' Law (451 BCE), this genealogical fact usually meant exclusion from full politēs status, regardless of legal rights.
The rich	Classical Athens	any	adult	free	unspecified	resident	high	unspecified	any	False	plousioi	Adults possessing significant material assets or land; wealth here is a material fact of productive capacity rather than a legal privilege.
The free	Classical Athens	any	any	free	any	resident	any	unspecified	any	False	eleutheroi	Individuals who are not the property of another person; the status of 'free' is defined by the absence of the master-slave ownership relation.
Free men	Classical Athens	male	adult	free	any	resident	any	unspecified	any	False	eleutheroi	Adult biological males who are not property; the group is defined by sex and the absence of a servitude relation.
Wealthy or noble citizens	Classical Athens	male	adult	free	native	resident	high	unspecified	none	False	gnōrimoi	Adult native males with high material wealth or distinguished lineage; identifies elite social and economic standing among the native population.
Kings	Non-Greek states	male	adult	free	unspecified	resident	high	unspecified	king	True	basileis	Sovereign office-holders; the role is intrinsically tied to the legal/constitutional structure of the polity, though the occupants are adult free males.
The multitude (freemen)	Classical Athens	male	adult	free	native	resident	low	unspecified	any	False	plēthos	The mass of free native males, typically those of lower economic status (thētes); identified by population scale and freedom from ownership.
The wealthy	Classical Greece	any	adult	free	unspecified	resident	high	unspecified	any	False	euporoi	Individuals with high material-economic accumulation; wealth is treated as an independent variable of productive resources.
The well-to-do	Classical Greece	any	adult	free	unspecified	resident	middle	unspecified	any	False	mesoi	Persons with sufficient material resources to maintain themselves without manual labor for others, but below the extreme elite.
The free-born	Classical Athens	any	any	free	any	resident	any	unspecified	any	False	eleutheroi	Persons born into freedom, never having been enslaved; distinguishes status by birth condition rather than specific legal rights.
Noble families	Classical Greece	any	any	free	native	resident	high	unspecified	none	False	eupatridai	Lineages claiming descent from founding or divine ancestors; a genealogical fact independent of current legal office.
The poor	Classical Greece	any	adult	free	any	resident	low	unspecified	any	False	tapinoi	Persons with little to no material property, often reliant on daily manual labor; wealth status as a material reality.
Citizens of non-citizen parentage	Classical Athens	male	adult	free	mixed	resident	any	unspecified	none	False	nothoi	Adult males of mixed ancestry (one parent not a citizen) who might be granted or claim status; ancestry is the independent genealogical criterion.
Heirs of magistrates	Classical Greece	any	any	free	native	resident	unspecified	heir	none	True		Successors to legal office-holders; while kinship is a biological fact, 'magistrate' is a legal category, making the group rights-dependent.
Middle class	Classical Greece	any	adult	free	any	resident	middle	unspecified	any	False	mesoi	Persons of moderate material wealth; distinct from the very rich and those in poverty, based on productive assets.
The poor	Classical Sparta	any	adult	free	native	resident	low	unspecified	any	False	hypomeiones	Spartan-descended individuals who lost economic standing (usually unable to contribute to syssitia); based on material wealth.
The middle class	Classical Athens	any	adult	free	native	resident	middle	unspecified	any	False	zeugitai	Native residents with middle-tier material wealth (e.g., capable of yoking oxen); economic position independent of legal rights.
The rich	Classical Sicily (under Charondas' laws)	any	adult	free	any	resident	high	unspecified	any	False	plousioi	Individuals in Sicilian polities with high material assets; wealth categorized by surplus resources/land.
The low-born	Classical Athens	any	any	free	native	resident	low	unspecified	any	False	dysgeneis	Persons lacking distinguished or elite ancestry; a genealogical fact about descent relative to the polity's social hierarchy.
Rich women	Classical Athens	female	adult	free	unspecified	resident	high	unspecified	any	False		Adult biological females with significant material resources or from wealthy households; defined by sex and material status.
Nobles	Classical Athens	any	any	free	native	resident	high	unspecified	none	False	eupatridai	Descent from historically prominent or well-born families; social standing based on lineage and inherited land wealth.
Nobility	Classical Athens	any	any	free	native	resident	high	unspecified	none	False	genē	The collective group of well-born families (genē) characterized by ancestral landholding and genealogical prestige.
Notables	Classical Athens	male	adult	free	native	resident	high	unspecified	unspecified	False	gnōrimoi	Socially prominent or 'notable' males distinguished by high wealth and public reputation.
The poor	Ambracia	any	any	free	unspecified	resident	low	unspecified	any	False	penētes	Persons with low material-economic position, typically those who must labor for a living; socio-economic status independent of rights.
Metics	Thurii	any	any	free	foreign	resident	any	unspecified	any	False	metoikos	Free residents of non-local ancestry; identified by physical residence in a polity they were not born into.
Women	Mytilene	female	any	any	unspecified	resident	any	unspecified	unspecified	False	gynaikes	Biological/socially-assigned females within the population.
Notables	Megara	male	adult	free	native	resident	high	unspecified	unspecified	False	gnōrimoi	Socially prominent males of high wealth, often competing with the 'multitude' for influence in Megarian politics.
Younger brothers	Classical Athens	male	any	free	native	resident	any	sibling	unspecified	False		Male siblings of a primary heir; defined by kinship role and birth order within the family unit.
The poor	Thurii	any	any	free	unspecified	resident	low	unspecified	any	False	penētes	The demographic segment with minimal material assets or income; economic status is the primary classifier.
Generals	Thurii	male	adult	free	native	resident	any	unspecified	soldier	True	stratēgos	Military commanders; an office-holding role attained via selection/election, making it intrinsically legal/political.
The distinguished	Classical Athens	male	adult	free	native	resident	high	unspecified	unspecified	False	gnōrimoi	Equivalent to the 'notables'; individuals distinguished by public reputation, lineage, or material wealth.
The multitude	Classical Athens	any	adult	free	native	resident	low	unspecified	any	False	plēthos	The mass of the population, generally excluding the wealthy 'notables'; identified as the demographic majority.
The notables	Archaic Corinth	male	adult	free	native	resident	high	unspecified	unspecified	False	gnōrimoi	High-standing males in Corinth, often associated with oligarchy or the Bacchiad legacy (though period is Late Classical).
Owners of estates	Classical Athens	any	adult	free	unspecified	resident	high	unspecified	landowner	False	geōmoroi	Individuals possessing significant physical land assets; defined by material wealth and productive capacity in land.
Noble women	Archaic Macedon	female	adult	free	native	resident	high	unspecified	none	False		Women belonging to the dynastic or upper-tier noble families of Macedon; identified by lineage and wealth.
Citizens	Mytilene	male	adult	free	native	resident	any	unspecified	unspecified	False	politēs	Free adult native males; the term is legal but the criteria (sex, age, ancestry) are law-independent facts.
Subjects	Archaic Athens	any	any	free	native	resident	low	unspecified	any	True		Defined by being ruled over; in Archaic terms often refers to the non-noble population under aristocrats.
The wealthy	Classical Syracuse	any	any	free	unspecified	resident	high	unspecified	any	False	plousioi	Individuals at the top of the economic hierarchy in Syracuse (e.g., the Gamoroi or their successors).
Artisans	Classical Thebes	any	adult	free	any	resident	middle	unspecified	artisan	False	banausos	Identified by vocational role/manual labor in manufacturing or trade; economic capacity is the primary classifier.
Metics	Classical Greece	any	any	free	foreign	resident	any	unspecified	any	False	metoikos	Foreign-born resident within a Greek city-state; status is a function of non-native ancestry and physical residency.
Common sailors	Classical Greece	male	adult	any	unspecified	resident	low	unspecified	sailor	False	nautai	Occupational role focused on naval service; typically free poor (thetes) but can include others; sex is male in a military context.
Frontier landowners	Classical Greece	male	adult	free	native	resident	middle	unspecified	farmer	False		Occupation and location based: males farming land located at the polity's territorial boundaries.
Farmers	Thessaly	any	adult	any	unspecified	resident	any	unspecified	farmer	False	geōrgoi	Defined by the vocational act of cultivating land, spanning various social strata in Thessaly (including penestai).
Health-impaired infants	Classical Greece	any	minor	unspecified	unspecified	resident	unspecified	child	none	False		Biological developmental stage (infant) combined with physical health impairment; independent of legal status.
Freemen	Classical Athens	any	any	free	any	any	any	unspecified	any	False	eleutheroi	The negative of the ownership relation; persons who are not the property of another.
Mechanics and laborers	Classical Athens	any	adult	any	any	resident	low	unspecified	artisan/laborer	False	banausoi	Defined by manual occupation and socio-economic position; includes those performing 'illiberal' physical work.
Metics	Athens (The Thirty Tyrants)	any	any	free	foreign	resident	any	unspecified	any	False	metoikos	Free residents of foreign ancestry; specifically targeted during the rule of the Thirty regardless of specific rights.
Daughters of citizens	Classical Athens	female	any	free	native	resident	any	child	none	False	astē	Kinship role (daughter) and genealogical fact (offspring of citizen-stratum parents).
Citizens	Athens (The Thirty Tyrants)	male	adult	free	native	resident	high	unspecified	none	True	Hoi Triskhilioi	Under the Thirty Tyrants, 'citizenship' was a restricted list (The Three Thousand); eligibility was defined by the junta's legal decree.
Roman governors	Roman Republic	male	adult	free	native	non_resident	high	unspecified	magistrate	True	propraetor/proconsul	Occupational/office role (provincial governor) which is legally constituted; requires prior status in the Roman rights system.
Minors	Roman Republic	any	minor	any	unspecified	any	unspecified	unspecified	none	False	impuberes/minores	Biological age/developmental stage below the threshold of adulthood.
Romans	Roman Republic	any	any	free	native	any	any	unspecified	any	False	Romani	Descent from the Roman founding/citizen lineage; genealogical/ethnic fact independent of specific civil rights.
Macedonian kings	Macedonian Empire	male	adult	free	native	any	high	unspecified	monarch	True	basileus	A political office/rank (King) defined by the sovereign rights/powers it confers; requires the legal structure of the monarchy.
Aristocrats	Sicyon	any	any	free	native	resident	high	unspecified	none	False	aristoi	High material-economic position and hereditary social standing; picked out by wealth and lineage.
Slaves	Hellenistic Greece	any	any	enslaved	any	resident	low	unspecified	any	False	doulos	A person owned as property by another; defined by the relational fact of coercion and saleability.
Citizens	Sicyon	male	adult	free	native	resident	any	unspecified	any	False	polites	Free adult males of Sicyonian ancestry; can be identified by descent and residence without listing specific rights.
Foreigners	Sicyon	any	any	free	foreign	resident	any	unspecified	any	False	xenoi	Non-native ancestry, regardless of their legal standing or length of residence in Sicyon.
Greeks	Hellenistic Greece	any	any	any	native	any	any	unspecified	any	False	Hellēnes	Ethno-cultural and linguistic lineage (ancestry) common to the Greek world.
The poor	Sicyon	any	any	free	any	resident	low	unspecified	any	False	penetes	Low material-economic position/income; defined by lack of productive capacity/assets.
Women	Hellenistic Greece	female	any	any	any	any	any	unspecified	any	False	gynaikes	Biological/socially-assigned female sex; independent of any legal status.
Citizens	Corinth	male	adult	free	native	resident	any	unspecified	none	False	politēs	Free adult male of Corinthian descent; criteria are genealogical and biological, though the term itself carries legal implications.
Athenian citizens	Hellenistic Macedon	male	adult	free	foreign	any	any	unspecified	none	False	Athēnaios	Free adult males of Athenian ancestry residing within the Macedonian sphere; foreign ancestry relative to Macedon.
Achaean citizens	Achaean League	male	adult	free	native	resident	any	unspecified	any	False	Achaioi	Sub-population defined by descent from constituent Achaean poleis; free adult males within the federal territory.
Argive subjects under tyranny	Argos	any	any	free	native	resident	any	unspecified	any	False	Argeioi	The general population of Argos (free residents) living under an autocratic ruler; defined by residence and lack of sovereign status.
Athletic contestants	Ancient Greece	male	any	free	native	any	any	unspecified	athlete	False	athlētai	Free Greek males engaged in physical competition; vocational/physical role independent of specific civic rights.
Metics	Mantineia	any	adult	free	foreign	resident	any	unspecified	any	False	metoikos	Free permanent residents of non-local ancestry; defined by residence and lack of native lineage.
Generals	Achaean League	male	adult	free	native	resident	high	unspecified	general	True	stratēgos	Elected military leaders; the role is an office created by the Achaean League's legal framework.
Resident aliens	Sparta	any	any	free	foreign	resident	any	unspecified	any	False	xenos	Non-Spartiate free persons residing in Laconian territory; defined by lack of Spartan lineage.
Landowners	Sparta	any	adult	free	unspecified	resident	high	unspecified	any	False		Individuals holding significant land (klēroi); defined by wealth/material control, though property is a legal construct.
Tyrants	Argos	male	adult	free	native	resident	high	unspecified	tyrant	True	tyrannos	An individual holding extra-legal autocratic power; the role is defined by its relation to the constitutional order.
Mantineians	Mantineia	any	any	free	native	resident	any	unspecified	any	False	Mantineis	General population belonging to the polis of Mantineia by birth and residency.
Wives	Hellenistic Macedon	female	adult	free	unspecified	any	any	spouse	none	False	gynē	Adult females in a socially recognized reproductive/domestic union.
Royal courtiers	Hellenistic Macedon	any	adult	free	unspecified	resident	high	none	courtier	False	philoi	Individuals physically present in the king's inner circle; social/vocational proximity to the monarch.
The young men	Sparta	male	minor	free	native	resident	any	none	trainee	False	neanioi	Young males of Spartan descent, typically in the phase of the agoge; biological and life-stage definition.
The Spartans	Sparta	any	any	free	native	resident	any	unspecified	any	False	Spartiatai	The ethno-civic group of Spartan descent; includes men, women, and children of the native free population.
Men	Sparta	male	adult	free	native	resident	any	unspecified	soldier	False	anēr	Adult free males of Spartan lineage; biological and gender criteria.
Young men	Sparta	male	minor	free	native	resident	any	unspecified	none	False	eirēnes	Specific life-stage of Spartan males (late teens/early 20s); developmental stage criteria.
Foreigners	Sparta	any	any	free	foreign	any	any	unspecified	any	False	xenoi	Individuals of non-Laconian descent; genealogical criterion independent of legal status.
Helots	Sparta	any	any	enslaved	native	resident	low	unspecified	farmer	False	heilōtes	State-owned servile population of native Laconian/Messenian descent; defined by unfree status and lineage.
