spec	cell_sig	groups	via_flip_from	resources	n_resources	period3
3	*/*/Free/Foreign/Resident/*	Resident aliens		Protection from corporal punishment	1	P1: Classical Greek (500–360 BCE)
3	*/Minor/Free/*/Resident/*	Education		Access to the gymnasium	1	P1: Classical Greek (500–360 BCE)
3	*/Adult/Free/*/*/High	The rich		Eligibility for public office	1	P1: Classical Greek (500–360 BCE)
3	Male/Adult/Free/*/*/*	Fathers		Right to citizenship	1	P1: Classical Greek (500–360 BCE)
3	Male/*/Free/Native/*/*	Male descendants		Right to inherit property	1	P1: Classical Greek (500–360 BCE)
4	*/Adult/Free/Native/Resident/*	Priests	Metics; Minors	Access to religious rites; Eligibility for public office; Exemption from taxes; Protection from capital punishment; Right to address the assembly; Right to bodily autonomy; Right to freedom of movement	7	P1: Classical Greek (500–360 BCE)
4	*/Adult/Free/*/Resident/High	Property owners; The wealthy; Wealthy		Access to the gymnasium; Political power; Protection from capital punishment; Right to citizenship; Right to retain property	5	P1: Classical Greek (500–360 BCE)
4	Male/Adult/Free/*/Resident/*	Childless men; Free men; Husbands		Exemption from manual labor; Political power; Protection from corporal punishment; Right to dispose of property	4	P1: Classical Greek (500–360 BCE)
4	Female/*/Free/Native/Resident/*	Daughters; Daughters of citizens; Daughters without brothers		Right to a dowry; Right to bodily autonomy; Right to inherit property	3	P1: Classical Greek (500–360 BCE)
4	*/Minor/Free/Native/Resident/*	Minors		Protection from capital punishment; Protection from corporal punishment	2	P1: Classical Greek (500–360 BCE)
4	Male/*/Free/Native/Resident/*	Legitimate sons; Sons of citizens	Daughters	Right to inherit property	1	P1: Classical Greek (500–360 BCE)
4	*/Adult/Free/Foreign/Resident/*	Resident aliens		Right to dispose of property	1	P1: Classical Greek (500–360 BCE)
4	Male/Elder/Free/*/Resident/*	Older men		Political power	1	P1: Classical Greek (500–360 BCE)
4	*/Adult/Free/*/Resident/Middle	Merchants		Exemption from military service	1	P1: Classical Greek (500–360 BCE)
4	*/*/Enslaved/Foreign/Resident/Low	Prisoners of war		Right to a legal trial	1	P1: Classical Greek (500–360 BCE)
4	Female/Adult/Free/*/Resident/*	Wives		Right to retain property	1	P1: Classical Greek (500–360 BCE)
5	Male/Adult/Free/Native/Resident/*	Athenian citizens; Citizens; Orators and lawyers; Private citizens		Access to public honors; Access to the gymnasium; Eligibility for public office; Exemption from manual labor; Political power; Protection from arbitrary banishment; Protection from capital punishment; Protection from corporal punishment; Protection from legal prosecution; Protection from public libel; Right to a legal trial; Right to address the assembly; Right to adopt; Right to bodily autonomy; Right to citizenship; Right to dispose of property; Right to free speech; Right to inherit property; Right to remuneration for office; Right to reside in the city; Right to retain property; Right to vote in the Ekklesia	22	P1: Classical Greek (500–360 BCE)
5	Male/Adult/Free/*/Resident/Middle	Sophists		Right to retain own earnings; Right to valid professional opinion	2	P1: Classical Greek (500–360 BCE)
5	Male/Minor/Free/Native/Resident/*	Boys		Access to public honors	1	P1: Classical Greek (500–360 BCE)
5	Male/Adult/Free/*/Resident/Low	Rhapsodes		Access to religious rites	1	P1: Classical Greek (500–360 BCE)
6	Male/Adult/Free/Native/Resident/High	Noble men; Priests; The elite; The powerful; Wealthy citizens		Eligibility for public office; Exemption from military service; Protection from public libel	3	P1: Classical Greek (500–360 BCE)
6	Male/Adult/Enslaved/Foreign/Resident/Low	Scythian archers		Political power	1	P1: Classical Greek (500–360 BCE)
6	Male/Adult/Free/Foreign/Resident/Middle	Mercenaries		Right to retain own earnings	1	P1: Classical Greek (500–360 BCE)
1	*/*/*/Native/*/*		Barbarians; Non-citizens	Protection from enslavement; Right to inherit property	2	P2: Late Classical (354–165 BCE)
1	*/*/Free/*/*/*	Freemen		Exemption from manual labor	1	P2: Late Classical (354–165 BCE)
1	*/*/*/*/Resident/*		Non-residents	Right to a legal trial	1	P2: Late Classical (354–165 BCE)
1	*/Elder/*/*/*/*	Elders		Right to speak first in assembly	1	P2: Late Classical (354–165 BCE)
1	*/*/*/Foreign/*/*	Non-citizens		Protection from enslavement	1	P2: Late Classical (354–165 BCE)
2	Male/*/*/*/Resident/*		Women	Political power; Protection from public libel; Right to a legal trial; Right to bodily autonomy; Right to inherit property	5	P2: Late Classical (354–165 BCE)
2	*/*/Free/Foreign/*/*	Foreigners		Access to public honors; Exemption from taxes; Right to a legal trial; Right to retain own earnings; Right to vote in the Ekklesia	5	P2: Late Classical (354–165 BCE)
2	Female/Adult/*/*/*/*		Men	Access to religious rites; Eligibility for public office; Political power; Right to address the assembly; Right to citizenship	5	P2: Late Classical (354–165 BCE)
2	Female/*/*/*/Resident/*	Women		Right to a dowry; Right to bodily autonomy; Right to own property	3	P2: Late Classical (354–165 BCE)
2	*/*/Free/*/Resident/*	Heirs; The free; The free-born		Political power; Right to a legal trial; Right to vote in the Ekklesia	3	P2: Late Classical (354–165 BCE)
2	*/*/*/Foreign/Resident/*	Slaves and Aliens		Access to the gymnasium	1	P2: Late Classical (354–165 BCE)
2	Male/Adult/*/*/*/*	Men		Exemption from legal audit	1	P2: Late Classical (354–165 BCE)
3	*/*/Free/*/Resident/Low	The poor	Slaves	Eligibility for public office; Exemption from compulsory public financing; Exemption from public service financing; Political power; Protection from corporal punishment; Protection from enslavement; Right to bear arms; Right to bodily autonomy; Right to free speech; Right to own land; Right to own property; Right to remuneration for office; Right to retain own earnings; Right to valid professional opinion; Right to vote in the Ekklesia	15	P2: Late Classical (354–165 BCE)
3	*/*/Free/Native/Resident/*	Athenians	Aliens; Free non-citizens; Metics; Resident aliens	Eligibility for public office; Exemption from taxes; Protection from enslavement; Right to a legal trial; Right to citizenship; Right to marry; Right to reside in the city	7	P2: Late Classical (354–165 BCE)
3	*/*/Enslaved/*/Resident/Low	Slaves		Protection from capital punishment; Protection from corporal punishment; Right to a legal trial; Right to retain own earnings	4	P2: Late Classical (354–165 BCE)
3	*/Adult/Free/*/*/High	Shipowners; The rich		Eligibility for public office; Exemption from manual labor; Right to a legal trial	3	P2: Late Classical (354–165 BCE)
3	*/*/Free/Native/Non resident/*	Exiles		Protection from arbitrary banishment; Protection from capital punishment; Protection from enslavement	3	P2: Late Classical (354–165 BCE)
3	*/*/Free/*/Resident/High	Wealthy		Right to inherit property; Right to remuneration for office	2	P2: Late Classical (354–165 BCE)
3	*/Adult/Free/*/*/Middle	Property owners; Slave owners		Right to own property; Right to retain property	2	P2: Late Classical (354–165 BCE)
3	*/Adult/Free/*/Resident/*		Minors	Eligibility for public office	1	P2: Late Classical (354–165 BCE)
3	Male/*/Free/*/Resident/*		Women	Right to dispose of property	1	P2: Late Classical (354–165 BCE)
3	*/Adult/*/*/Resident/Low	Mechanics and laborers		Access to religious rites	1	P2: Late Classical (354–165 BCE)
4	*/Adult/Free/Native/Resident/*		Metics; Minors	Access to public honors; Eligibility for public office; Political power; Protection from corporal punishment; Right to a legal trial; Right to bodily autonomy; Right to own land	7	P2: Late Classical (354–165 BCE)
4	*/Adult/Free/*/Resident/High	Owners of estates; The rich; The wealthy		Access to public honors; Eligibility for public office; Exemption from compulsory public financing; Exemption from manual labor; Political power; Protection from capital punishment; Right to retain property	7	P2: Late Classical (354–165 BCE)
4	*/Minor/Free/Native/Resident/*	Children of those who died in war; Minors; Orphans		Access to public honors; Access to the gymnasium; Exemption from taxes; Protection from legal prosecution; Right to citizenship	5	P2: Late Classical (354–165 BCE)
4	Male/Adult/Free/*/Resident/*	Adult sons of widowed mothers; Free men; Poets		Eligibility for public office; Protection from public libel; Right to retain property; Right to valid professional opinion	4	P2: Late Classical (354–165 BCE)
4	*/*/Free/Native/Resident/High	Nobility; Noble families; Nobles		Access to public honors; Eligibility for public office; Political power	3	P2: Late Classical (354–165 BCE)
4	*/Adult/Free/Foreign/Resident/*	Metics		Protection from capital punishment; Right to a legal trial	2	P2: Late Classical (354–165 BCE)
4	*/Adult/Free/*/Resident/Middle	Merchants; Middle class; The well-to-do		Eligibility for public office; Right to a legal trial	2	P2: Late Classical (354–165 BCE)
4	Female/Adult/Free/*/Resident/*	Wives		Right to a dowry	1	P2: Late Classical (354–165 BCE)
4	Female/*/Free/Native/Resident/*	Women		Right to inherit property	1	P2: Late Classical (354–165 BCE)
4	*/*/Free/Native/Resident/Low	The low-born		Eligibility for public office	1	P2: Late Classical (354–165 BCE)
4	Male/*/Free/Native/Resident/*		Women	Access to religious rites	1	P2: Late Classical (354–165 BCE)
5	Male/Adult/Free/Native/Resident/*	Citizens; Comic poets; Men over thirty; Orators; Rural citizens		Access to public honors; Access to religious rites; Eligibility for public office; Exemption from compulsory public financing; Exemption from legal audit; Political power; Protection from arbitrary banishment; Protection from capital punishment; Protection from corporal punishment; Protection from enslavement; Right to a legal trial; Right to address the assembly; Right to bear arms; Right to burial; Right to citizenship; Right to free speech; Right to freedom of movement; Right to inherit property; Right to own property; Right to remuneration for office; Right to reside in the city; Right to retain property; Right to vote in the Ekklesia	23	P2: Late Classical (354–165 BCE)
5	*/Adult/Free/Native/Resident/Low	The poor		Access to religious rites; Access to the gymnasium; Political power	3	P2: Late Classical (354–165 BCE)
5	Female/Adult/Free/Native/Resident/*	Women		Right to bodily autonomy; Right to inherit property	2	P2: Late Classical (354–165 BCE)
5	Female/*/Free/Native/Resident/High	Heiresses		Right to a legal trial	1	P2: Late Classical (354–165 BCE)
5	*/Adult/Free/Native/Resident/Middle	The middle class		Political power	1	P2: Late Classical (354–165 BCE)
5	Female/Adult/Free/*/Resident/High	Rich women		Right to bodily autonomy	1	P2: Late Classical (354–165 BCE)
5	*/Minor/Free/Native/Resident/Low	Orphans of fallen soldiers		Right to bear arms	1	P2: Late Classical (354–165 BCE)
6	Male/Adult/Free/Native/Resident/High	Citizens; Eupatridae; Nobility; Nobles; Pentacosiomedimni; The distinguished; The wealthy and noble; Wealthy property owners		Access to public honors; Access to the gymnasium; Eligibility for public office; Exemption from legal audit; Right to own property	5	P2: Late Classical (354–165 BCE)
6	Male/Adult/Free/Native/Resident/Middle	Owners of military equipment; The Zeugites; Zeugitae		Eligibility for public office; Right to vote in the Ekklesia	2	P2: Late Classical (354–165 BCE)
6	Male/Adult/Free/Native/Resident/Low	Disabled paupers; The common people; The infirm poor; The multitude (freemen)		Eligibility for public office; Right to remuneration for office	2	P2: Late Classical (354–165 BCE)
6	Female/Adult/Free/Native/Resident/High	Noble women		Right to marry	1	P2: Late Classical (354–165 BCE)
0	*/*/*/*/*/*	Christians; Uneducated individuals		Right to citizenship; Right to inherit divine covenant	2	P3: Hellenistic & Roman (165 BCE – 205 CE)
1	Male/*/*/*/*/*	Men	Women	Access to religious rites; Protection from enslavement; Right to bodily autonomy; Right to freedom of movement; Right to retain property	5	P3: Hellenistic & Roman (165 BCE – 205 CE)
1	*/*/*/Foreign/*/*	Foreigners	Greeks; Syrians	Access to religious rites; Political power; Right to citizenship; Right to drink wine	4	P3: Hellenistic & Roman (165 BCE – 205 CE)
1	*/Minor/*/*/*/*	Minors; The young	Religious initiates	Access to education; Access to religious rites; Access to the gymnasium; Right to citizenship	4	P3: Hellenistic & Roman (165 BCE – 205 CE)
1	*/*/*/Native/*/*		Greeks; Outsiders; Tarentines	Political power; Protection from enslavement; Right to a legal trial	3	P3: Hellenistic & Roman (165 BCE – 205 CE)
1	*/*/Enslaved/*/*/*		Education	Exemption from compulsory public financing; Protection from legal prosecution	2	P3: Hellenistic & Roman (165 BCE – 205 CE)
1	*/*/Free/*/*/*	Education; Private individuals		Protection from public libel; Right to retain own earnings	2	P3: Hellenistic & Roman (165 BCE – 205 CE)
1	*/Adult/*/*/*/*		Minors	Eligibility for public office	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
1	*/*/*/*/*/Low	The poor		Right to vote in the Ekklesia	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
1	*/Elder/*/*/*/*	The elderly		Access to public honors	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
1	*/*/*/*/Resident/*		Non-residents	Protection from corporal punishment	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
1	Female/*/*/*/*/*	Women		Right to own property	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
2	Male/Adult/*/*/*/*	Young men	Women	Access to public honors; Political power; Right to citizenship	3	P3: Hellenistic & Roman (165 BCE – 205 CE)
2	*/*/*/Native/Resident/*	People of Delphi; Syracusans; Tarsians		Access to religious rites; Exemption from taxes; Right to free speech	3	P3: Hellenistic & Roman (165 BCE – 205 CE)
2	*/*/Free/Native/*/*	Lineage	Foreigners	Right to inherit property; Right to reside in the city	2	P3: Hellenistic & Roman (165 BCE – 205 CE)
2	Male/*/*/*/Resident/*		Women	Access to the gymnasium	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
2	*/*/Free/*/Resident/*	Free-born individuals		Protection from enslavement	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
2	*/*/*/Foreign/Resident/*	Sicilian Greeks		Right to own land	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
2	*/*/Free/*/*/High	The wealthy		Right to a dowry	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
2	Female/*/*/*/Resident/*	Women		Right to retain property	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
2	*/Adult/*/*/Resident/*	Actors and musicians		Access to public honors	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
2	*/*/*/*/Resident/Low	Dancers		Right to professional judgement	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
2	*/Adult/*/*/*/Low	Laborers		Right to retain own earnings	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
3	*/*/Free/Native/Resident/*	Ancient family members; Athenians; Descendants of state benefactors; Patricians	Foreigners	Access to public honors; Access to religious rites; Eligibility for public office; Right to a legal trial; Right to bear arms; Right to own land; Right to remuneration for office; Right to retain property	8	P3: Hellenistic & Roman (165 BCE – 205 CE)
3	*/*/Free/*/Resident/Low	The poor	Slaves	Access to religious rites; Protection from corporal punishment; Protection from enslavement; Right to drink wine; Right to own land; Right to retain own earnings	6	P3: Hellenistic & Roman (165 BCE – 205 CE)
3	Male/Adult/Free/*/*/*	Free men; Soldiers	Wives; Women	Access to religious rites; Access to the gymnasium; Protection from enslavement; Right to bodily autonomy; Right to retain own earnings	5	P3: Hellenistic & Roman (165 BCE – 205 CE)
3	*/*/Enslaved/*/Resident/Low	Slaves		Right to bear arms; Right to bodily autonomy; Right to retain own earnings	3	P3: Hellenistic & Roman (165 BCE – 205 CE)
3	*/Adult/Free/*/Resident/*	Artists; The educated	Orphans	Access to public honors; Right to a legal trial; Right to retain property	3	P3: Hellenistic & Roman (165 BCE – 205 CE)
3	*/*/Free/Foreign/Resident/*	Foreigners; Resident aliens		Eligibility for public office; Right to citizenship	2	P3: Hellenistic & Roman (165 BCE – 205 CE)
3	Male/*/Free/*/Resident/*		Women	Access to public honors; Right to drink wine	2	P3: Hellenistic & Roman (165 BCE – 205 CE)
3	Male/*/Free/Native/*/*	Athletic contestants		Protection from enslavement	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
4	Male/Adult/Free/*/Resident/*	Free men; Servants of Cronus; Soldiers; Teachers	Wives	Political power; Protection from corporal punishment; Right to a legal trial; Right to freedom of movement; Right to inherit property; Right to reside in the city	6	P3: Hellenistic & Roman (165 BCE – 205 CE)
4	*/Adult/Free/Native/Resident/*		Metics	Eligibility for public office; Exemption from taxes; Political power; Right to address the assembly	4	P3: Hellenistic & Roman (165 BCE – 205 CE)
4	*/*/Free/Native/Resident/High	Aristocrats; Nobles; Patricians		Eligibility for public office; Political power; Right to dispose of property	3	P3: Hellenistic & Roman (165 BCE – 205 CE)
4	Female/*/Free/Native/Resident/*	Daughters of public benefactors; Women		Access to the gymnasium; Political power; Right to a dowry	3	P3: Hellenistic & Roman (165 BCE – 205 CE)
4	Male/*/Free/Native/Resident/*	Spartans	Women	Exemption from manual labor; Right to bodily autonomy; Right to freedom of movement	3	P3: Hellenistic & Roman (165 BCE – 205 CE)
4	*/Adult/Free/Native/*/High	Nobles		Eligibility for public office; Protection from corporal punishment	2	P3: Hellenistic & Roman (165 BCE – 205 CE)
4	Male/Adult/Free/Mixed/*/*	Citizens		Right to inherit property; Right to vote in the Ekklesia	2	P3: Hellenistic & Roman (165 BCE – 205 CE)
4	*/Adult/Free/*/Resident/Low	Farmers; Parasites		Eligibility for public office; Protection from legal prosecution	2	P3: Hellenistic & Roman (165 BCE – 205 CE)
4	*/Adult/Free/*/Resident/High	The wealthy		Eligibility for public office; Right to retain property	2	P3: Hellenistic & Roman (165 BCE – 205 CE)
4	Male/Adult/Free/Foreign/*/*	Athenian citizens		Protection from enslavement	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
4	*/Adult/Free/Foreign/Resident/*	Metics		Right to citizenship	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
4	*/Minor/Free/Native/Resident/*	Maidens and youths		Access to religious rites	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
4	*/*/Enslaved/Native/Resident/Low	Helots		Right to retain own earnings	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
4	*/*/Enslaved/Foreign/Resident/Low	Prisoners of war		Protection from enslavement	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
4	*/*/Free/Native/Resident/Low		Slaves	Protection from corporal punishment	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
5	Male/Adult/Free/Native/Resident/*	Citizens; Citizens of Greek city-states; Levites; Male citizens; Married sons		Access to religious rites; Access to the gymnasium; Eligibility for public office; Political power; Protection from corporal punishment; Protection from enslavement; Right to a legal trial; Right to own land; Right to remuneration for office; Right to retain property; Right to vote in the Ekklesia	11	P3: Hellenistic & Roman (165 BCE – 205 CE)
5	*/Adult/Free/Native/Resident/Low	The multitude		Eligibility for public office; Right to vote in the Ekklesia	2	P3: Hellenistic & Roman (165 BCE – 205 CE)
5	Female/Adult/Free/Native/Resident/*		Men	Right to citizenship	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
5	*/Adult/Free/Native/Resident/High	Nobles		Eligibility for public office	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
5	Male/Adult/Free/Native/Non resident/*	Colonial citizens		Right to military protection	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
5	Male/*/Free/Native/Resident/High	Agiads and Eurypontids; Eurypontidae		Eligibility for public office	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
5	Male/Adult/Free/Native/*/High	Young men of good family		Right to bodily autonomy	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
5	Male/Adult/Free/Foreign/Resident/*	Liberated Greek allies		Right to vote in the Ekklesia	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
5	Male/Elder/Free/Native/Resident/*	Elderly fathers		Right to retain property	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
5	Male/Adult/Free/*/Resident/Middle	Sophists		Right to retain own earnings	1	P3: Hellenistic & Roman (165 BCE – 205 CE)
6	Male/Adult/Free/Native/Resident/High	Citizens; High-born men; Nobles		Access to public honors; Exemption from manual labor; Political power	3	P3: Hellenistic & Roman (165 BCE – 205 CE)
6	Male/Adult/Free/Native/Resident/Middle	Spartan citizens		Access to public honors; Protection from legal prosecution	2	P3: Hellenistic & Roman (165 BCE – 205 CE)
