perseus_id	perseus_author	author_impact_date	wikidata_work_label	perseus_title	genre	form_of_creative_work	instance_of	factuality	factuality_reason
tlg0014.tlg009	Demosthenes	-348	Third Philippic	Third Philippic			literary work, oration	4	Demosthenes' 'Third Philippic' is a political oration, directly invoking contemporary laws and procedures.
tlg0014.tlg036	Demosthenes	-348	For Phormion	For Phormio			literary work, oration	4	Demosthenes' 'For Phormion' is a legal oration, directly invoking contemporary laws and procedures.
tlg0014.tlg031	Demosthenes	-348	Against Onetor I	Against Onetor II			literary work, oration	4	Demosthenes' 'Against Onetor I' is a legal oration, directly invoking contemporary laws and procedures.
tlg0014.tlg038	Demosthenes	-348	Against Nausimachus and Xenopeithes	Against Nausimachus and Xenopeithes			literary work, oration	4	Demosthenes' 'Against Nausimachus and Xenopeithes' is a legal oration, directly invoking contemporary laws and procedures.
tlg0014.tlg063	Demosthenes	-348	Letters	Letters			correspondence, written work	2	Demosthenes' 'Letters' are personal essays where contemporary norms might be mentioned in passing.
tlg0014.tlg055	Demosthenes	-348	Against Callicles	Against Callicles			literary work, oration	4	Demosthenes' 'Against Callicles' is a legal oration, directly invoking contemporary laws and procedures.
tlg0014.tlg039	Demosthenes	-348	Against Boeotus	Against Boeotus I			group of literary works	4	Demosthenes' 'Against Boeotus' is a legal oration, directly invoking contemporary laws and procedures.
tlg0014.tlg006	Demosthenes	-348	Philippic	Second Philippic	apologia, philippic		group of literary works	4	Demosthenes' 'Philippic' is a political oration, directly invoking contemporary laws and procedures.
tlg0014.tlg030	Demosthenes	-348	Against Onetor I	Against Onetor I			literary work, oration	4	Demosthenes' 'Against Onetor I' is a legal oration, directly invoking contemporary laws and procedures.
tlg0014.tlg008	Demosthenes	-348	On the Chersonese	On the Chersonese			literary work, oration	4	Demosthenes' 'On the Chersonese' is a political oration, directly invoking contemporary laws and procedures.
tlg0014.tlg037	Demosthenes	-348	Against Pantaenetus	Against Pantaenetus			literary work, oration	4	Demosthenes' 'Against Pantaenetus' is a legal oration, directly invoking contemporary laws and procedures.
tlg0014.tlg024	Demosthenes	-348	Against Timocrates	Against Timocrates			literary work, oration	4	Demosthenes' 'Against Timocrates' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg023	Demosthenes	-348	Against Aristocrates	Against Aristocrates			literary work, oration	4	Demosthenes' 'Against Aristocrates' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg048	Demosthenes	-348	Against Olympiodorus	Against Olympiodorus			literary work, oration	4	Demosthenes' 'Against Olympiodorus' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg041	Demosthenes	-348	Against Spudias	Against Spudias			oration, literary work	4	Demosthenes' 'Against Spudias' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg022	Demosthenes	-348	Against Androtion	Against Androtion			oration, literary work	4	Demosthenes' 'Against Androtion' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg025	Demosthenes	-348	Against Aristogeiton	Against Aristogeiton I			group of literary works	4	Demosthenes' 'Against Aristogeiton' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg014	Demosthenes	-348	On the Navy	On the Navy-Boards			literary work, oration	4	Demosthenes' 'On the Navy' is a political oration that discusses contemporary policies and legal frameworks.
tlg0014.tlg040	Demosthenes	-348	Against Boeotus	Against Boeotus II			group of literary works	4	Demosthenes' 'Against Boeotus' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg049	Demosthenes	-348	Against Timotheus	Apollodorus Against Timotheus			oration, literary work	4	Demosthenes' 'Against Timotheus' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg032	Demosthenes	-348	Against Zenothemis	Against Zenothemis			literary work, oration	4	Demosthenes' 'Against Zenothemis' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg035	Demosthenes	-348	Against Lacritus	Against Lacritus			literary work, oration	4	Demosthenes' 'Against Lacritus' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg004	Demosthenes	-348	Philippic	First Philippic	apologia, philippic		group of literary works	4	Demosthenes' 'Philippic' orations are political speeches that address contemporary issues and legal implications.
tlg0014.tlg050	Demosthenes	-348	Against Polycles	Apollodorus Against Polycles			oration, literary work	4	Demosthenes' 'Against Polycles' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg057	Demosthenes	-348	Against Eubulides	Against Eubulides			literary work, oration	4	Demosthenes' 'Against Eubulides' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg005	Demosthenes	-348	On the Peace	On the Peace			literary work, oration	4	Demosthenes' 'On the Peace' is a political oration that discusses contemporary policies and legal frameworks.
tlg0014.tlg034	Demosthenes	-348	Against Phormio	Against Phormio			literary work, oration	4	Demosthenes' 'Against Phormio' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg058	Demosthenes	-348	Against Theocrines	Against Theocrines			literary work, oration	4	Demosthenes' 'Against Theocrines' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg056	Demosthenes	-348	Against Dionysodorus	Against Dionysodorus			literary work, oration	4	Demosthenes' 'Against Dionysodorus' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg051	Demosthenes	-348	On the Trierarchic Crown	On The Trierarchic Crown			literary work, oration	4	Demosthenes' 'On the Trierarchic Crown' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg029	Demosthenes	-348	Against Aphobus I	Against Aphobus III			oration, literary work	4	Demosthenes' 'Against Aphobus I' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg020	Demosthenes	-348	Against Leptines	Against Leptines			literary work, oration	4	Demosthenes' 'Against Leptines' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg027	Demosthenes	-348	Against Aphobus I	Against Aphobus I			oration, literary work	4	Demosthenes' 'Against Aphobus I' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg018	Demosthenes	-348	On the Crown	On the Crown			literary work, oration	4	Demosthenes' 'On the Crown' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg044	Demosthenes	-348	Against Leochares	Against Leochares			literary work, oration	4	Demosthenes' 'Against Leochares' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg043	Demosthenes	-348	Against Macartatus	Against Macartatus			literary work, oration	4	Demosthenes' 'Against Macartatus' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg026	Demosthenes	-348	Against Aristogeiton	Against Aristogeiton II			group of literary works	4	Demosthenes' 'Against Aristogeiton' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg021	Demosthenes	-348	Against Meidias	Against Meidias			literary work, oration	4	Demosthenes' 'Against Meidias' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg028	Demosthenes	-348	Against Aphobus I	Against Aphobus II			oration, literary work	4	Demosthenes' 'Against Aphobus I' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg010	Demosthenes	-348	Philippic	Fourth Philippic	apologia, philippic		group of literary works	4	Demosthenes' 'Philippic' speeches are political orations that invoke specific contemporary laws or political procedures.
tlg0014.tlg052	Demosthenes	-348	Against Callippus	Apollodorus Against Callipus			oration, literary work	4	Demosthenes' 'Against Callippus' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg015	Demosthenes	-348	On the Liberty of the Rhodians	For the Liberty of the Rhodians			literary work, oration	4	Demosthenes' 'On the Liberty of the Rhodians' is a political oration that invokes specific contemporary laws or political procedures.
tlg0014.tlg047	Demosthenes	-348	Against Euergus and Mnesibulus	Against Evergus And Mnesibulus			literary work, oration	4	Demosthenes' 'Against Euergus and Mnesibulus' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg033	Demosthenes	-348	Against Apatourius	Against Apaturius			literary work, oration	4	Demosthenes' 'Against Apatourius' is a legal oration that invokes specific contemporary laws and legal procedures.
tlg0014.tlg001	Demosthenes	-348	Olynthiacs	First Olynthiac			group of literary works	4	Demosthenes' 'Olynthiacs' are political orations that invoke specific contemporary laws or political procedures.
tlg0014.tlg046	Demosthenes	-348	Against Stephanos	Apollodorus Against Stephanus II			group of literary works	4	Demosthenes' 'Against Stephanos' speeches are legal orations that invoke specific contemporary laws and legal procedures.
tlg0014.tlg003	Demosthenes	-348	Olynthiacs	Third Olynthiac			group of literary works	4	Demosthenes' 'Olynthiacs' are political orations that invoke specific contemporary laws or political procedures.
tlg0014.tlg002	Demosthenes	-348	Olynthiacs	Second Olynthiac			group of literary works	4	Demosthenes' 'Olynthiacs' are political orations that invoke specific contemporary laws or political procedures.
tlg0014.tlg045	Demosthenes	-348	Against Stephanos	Apollodorus Against Stephanus I			group of literary works	4	Demosthenes' 'Against Stephanos' speeches are legal orations that invoke specific contemporary laws and legal procedures.
tlg0014.tlg012	Demosthenes	-348	Letters	Philip’s Letter			correspondence, written work	2	Demosthenes' 'Letters' are personal essays where contemporary norms might be mentioned in passing, making them indirect contemporary inference.
tlg0014.tlg011	Demosthenes	-348	Letters	Answer to Philip’s Letter			correspondence, written work	2	Demosthenes' 'Letters' are personal essays where contemporary norms might be mentioned in passing, making them indirect contemporary inference.
tlg0014.tlg061	Demosthenes	-348	Erotic Essay	The Erotic Essay			oration, literary work	3	Demosthenes' 'Erotic Essay' is a prose piece that would likely discuss contemporary social norms related to love and relationships.
tlg0014.tlg019	Demosthenes	-348	On the False Embassy	On the Embassy			oration, literary work	4	Demosthenes' 'On the False Embassy' is a political oration that invokes specific contemporary laws or political procedures.
tlg0014.tlg013	Demosthenes	-348	On Organization	On Organization			oration, literary work	4	Demosthenes' 'On Organization' is a political oration that invokes specific contemporary laws or political procedures.
tlg0014.tlg042	Demosthenes	-348	Against Stephanos	Against Phaenippus			group of literary works	4	Demosthenes' 'Against Stephanos' speeches are legal orations that invoke specific contemporary laws and legal procedures.
tlg0014.tlg059	Demosthenes	-348	Against Onetor	Apollodorus Against Neaera			group of literary works	4	Demosthenes' 'Against Onetor' speeches are legal orations that invoke specific contemporary laws and legal procedures.
tlg0014.tlg017	Demosthenes	-348	On the Peace	On the Treaty with Alexander			literary work, oration	4	Demosthenes' 'On the Peace' is a political oration that invokes specific contemporary laws or political procedures.
tlg0014.tlg016	Demosthenes	-348	For the Megalopolitans	For the People of Megalopolis			oration, literary work	4	Demosthenes' 'For the Megalopolitans' is a political oration that invokes specific contemporary laws or political procedures.
tlg0014.tlg060	Demosthenes	-348	Demosthenes' Funeral Oration	The Funeral Speech			literary work, oration	4	Demosthenes' 'Funeral Oration' is a political oration that would reflect contemporary social and political values.
tlg0014.tlg007	Demosthenes	-348	On the Navy	On Halonnesus			literary work, oration	4	Demosthenes' 'On the Navy' is a political oration that invokes specific contemporary laws or political procedures related to naval policy.
tlg0017.tlg006	Isaeus	-384	On the Estate of Philoctemones	On the Estate of Philoctemon			literary work, oration	4	Isaeus' 'On the Estate of Philoctemones' is a legal oration that invokes specific contemporary laws and legal procedures concerning inheritance.
tlg0017.tlg008	Isaeus	-384	On the Estate of Ciron	On The Estate of Ciron			oration, literary work	4	Isaeus was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.
tlg0017.tlg005	Isaeus	-384	On the Estate of Dicaeogenes	On the Estate of Dicaeogenes			literary work, oration	4	Isaeus was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.
tlg0017.tlg002	Isaeus	-384	On the Estate of Menecles	On the Estate of Menecles			oration, literary work	4	Isaeus was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.
tlg0017.tlg011	Isaeus	-384	On the Estate of Hagnias	On the Estate of Hagnias			literary work, oration	4	Isaeus was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.
tlg0017.tlg007	Isaeus	-384	On the Estate of Apollodoros	On The Estate of Apollodorus			literary work, oration	4	Isaeus was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.
tlg0017.tlg010	Isaeus	-384	On the Estate of Aristarchos	On The Estate of Aristarchus			literary work, oration	4	Isaeus was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.
tlg0017.tlg009	Isaeus	-384	On the Estate of Astyphilos	On the Estate of Astyphilus			literary work, oration	4	Isaeus was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.
tlg0017.tlg001	Isaeus	-384	On the Estate of Cleonymos	On The Estate of Cleonymus			literary work, oration	4	Isaeus was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.
tlg0017.tlg003	Isaeus	-384	On the Estate of Pyrrhos	On The Estate Of Pyrrhus			oration, literary work	4	Isaeus was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.
tlg0017.tlg004	Isaeus	-384	On the Estate of Ciron	On the Estate of Nicostratus			oration, literary work	4	Isaeus was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.
tlg0017.tlg012	Isaeus	-384	For Euphiletos	On Behalf of Euphiletus			literary work, oration	4	Isaeus was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.
tlg0019.tlg006	Aristophanes	-409	The Birds	Birds	Old Comedy	play	dramatic work	3	Aristophanes' comedies satirize living Athenians and contemporary society, providing contemporary documentation of social rules.
tlg0019.tlg003	Aristophanes	-409	The Clouds	Clouds	Old Comedy	play	dramatic work	3	Aristophanes' comedies satirize living Athenians and contemporary society, providing contemporary documentation of social rules.
tlg0020.tlg001	Hesiod	-740	Theogony	Theogony	narrative poetry		literary work	1	Hesiod's Theogony is a mythographic compilation, detailing the origins and genealogies of the Greek gods.
tlg0020.tlg002	Hesiod	-740	Works and Days	Works and Days	poetry, didactic poetry	poem	literary work	1	Hesiod's Works and Days is a didactic poem that, while offering practical advice, is rooted in a mythic worldview and does not provide direct evidence of codified laws.
tlg0020.tlg003	Hesiod	-740	Shield of Heracles	Shield of Heracles	epic poem	poem	literary work	1	Hesiod's Shield of Heracles is an epic poem that invokes myth, placing it in the mythic/speculative category.
tlg0026.tlg001	Aeschines	-354	Against Timarchus	Against Timarchus			oration, literary work	4	Aeschines was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.
tlg0026.tlg003	Aeschines	-354	Against Ctesiphon	Against Ctesiphon			literary work, oration	4	Aeschines was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.
tlg0026.tlg002	Aeschines	-354	On the Embassy	On the Embassy			literary work, oration	4	Aeschines was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.
tlg0027.tlg001	Andocides	-500	On the Mysteries	On the Mysteries			literary work, oration	4	Andocides was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.
tlg0027.tlg003	Andocides	-500	On the Peace with Sparta	On the Peace with Sparta			literary work, oration	4	Andocides was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.
tlg0027.tlg002	Andocides	-500	On His Return	On His Return			version, edition or translation	4	Andocides was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.
tlg0027.tlg004	Andocides	-500		Against Alcibiades				4	Andocides was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.
tlg0028.tlg006	Antiphon	-500	On the Choreutes	On the Choreutes			oration, literary work	4	Antiphon was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.
tlg0028.tlg003	Antiphon	-500	Second Tetralogy	The Second Tetralogy: Prosecution for Accidental Homicide			literary work, oration	4	Antiphon was a forensic orator, and his works are legal orations that invoke specific contemporary laws or legal procedures.
tlg0028.tlg004	Antiphon	-500	Third Tetralogy	The Third Tetralogy: Prosecution for Murder Of One Who Pleads That He Was Acting in Self-Defence			oration, literary work	4	Antiphon's 'Third Tetralogy' is a legal oration, providing insight into contemporary legal procedures and norms.
tlg0028.tlg005	Antiphon	-500	On the Murder of Herodes	On the Murder of Herodes			literary work, oration	4	Antiphon's 'On the Murder of Herodes' is a legal oration, reflecting contemporary legal practices and social rules.
tlg0028.tlg002	Antiphon	-500	First Tetralogy	The First Tetralogy: Anonymous Prosecution for Murder			literary work, oration	4	Antiphon's 'First Tetralogy' is a legal oration, offering evidence of legal arguments and social expectations of the time.
tlg0028.tlg001	Antiphon	-500	Against the Stepmother for Poisoning	Prosecution Of The Stepmother For Poisoning			literary work, oration	4	Antiphon's 'Against the Stepmother for Poisoning' is a legal oration, detailing legal procedures and social attitudes towards crime.
tlg0029.tlg006	Dinarchus	-324	Against Philocles	Against Philocles			literary work, oration	4	Dinarchus' 'Against Philocles' is a legal oration, providing direct evidence of legal and political norms.
