file_id	perseus_id	perseus_author	perseus_title	wikidata_work_id	wikidata_work_label	author_wikidata_id	author_impact_date	cliopatria_polity	genre	form_of_creative_work	instance_of	mentioned_polities_in_work	mentioned_polity_reasoning	mentioned_time_reference	mentioned_time_start_in_work	mentioned_time_end_in_work	mentioned_time_reasoning	main_language	editors	pub_date	n_words	n_characters	n_pages	file_path	selected_english_translation	historian	author_code	languages	wikidata_author_in_db	confidence	description	occupations	birthdate	deathdate	impact_date_precision
tlg0007.tlg064.perseus-eng2	tlg0007.tlg064	Plutarch	Artaxerxes	Q87209968	Life of Artaxerxes II	Q41523	75	Roman Empire;(Roman Empire)	biography		literary work	Achaemenid Empire	Documents the life of the Persian King Artaxerxes II.	past	-436	-358	Covers the lifetime of Artaxerxes II from approximately -436 to -358.	English	Bernadotte Perrin	1926	11301	62663	45	tlg0007/tlg064/tlg0007.tlg064.perseus-eng2.xml	1	1	tlg0007	eng	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg001.perseus-eng3	tlg0007.tlg001	Plutarch	Theseus	Q87207955	Life of Theseus	Q41523	75	Roman Empire;(Roman Empire)	biography		literary work	Mythological Athens	Documents the legendary life and exploits of the Athenian hero Theseus.	past	-1300	-1200	Uses the traditional chronological anchor for the heroic age and the Trojan War era (c. -1300 to -1200).	English	Bernadotte Perrin	1914	11789	67665	47	tlg0007/tlg001/tlg0007.tlg001.perseus-eng3.xml	1	1	tlg0007	eng; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg039.perseus-eng2	tlg0007.tlg039	Plutarch	Crassus	Q100449983	Comparison of Crassus with Nicias	Q41523	75	Roman Empire;(Roman Empire)			version, edition or translation	Late Roman Republic	Documents the life of Marcus Licinius Crassus, member of the First Triumvirate.	past	-115	-53	Covers the lifetime of Crassus from approximately -115 to his death at Carrhae in -53.	English	Bernadotte Perrin	1916	15939	90397	64	tlg0007/tlg039/tlg0007.tlg039.perseus-eng2.xml	1	1	tlg0007	eng; lat	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg006.perseus-eng2	tlg0007.tlg006	Plutarch	Comparison of Lycurgus and Numa	Q135447093	Numa	Q41523	75	Roman Empire;(Roman Empire)	historical fiction, biographical novel	novel, prose	literary work, translated work	Classical Sparta; Early Roman Kingdom	Compares the Spartan lawgiver Lycurgus with the second Roman king, Numa Pompilius.	past	-900	-673	Spans from the traditional Lycurgan horizon (c. -900) to the death of Numa Pompilius in -673.	English	Bernadotte Perrin	1914	2400	14489	10	tlg0007/tlg006/tlg0007.tlg006.perseus-eng2.xml	1	1	tlg0007	eng; lat; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg030.perseus-eng2	tlg0007.tlg030	Plutarch	Pyrrhus	Q110502333	Parallel lives of Pyrrhus and Marius	Q41523	75	Roman Empire;(Roman Empire)			literary work	Epirus; Hellenistic Mediterranean; Roman Republic	Documents the life of Pyrrhus of Epirus and his conflicts with Rome and Carthage.	past	-319	-272	Covers the lifetime of Pyrrhus from -319 to -272.	English	Bernadotte Perrin	1920	16884	95521	68	tlg0007/tlg030/tlg0007.tlg030.perseus-eng2.xml	1	1	tlg0007	eng; grc; fre	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg008.perseus-eng2	tlg0007.tlg008	Plutarch	Publicola	Q110502325	Parallel lives of Solon and Publicola	Q41523	75	Roman Empire;(Roman Empire)			literary work	Early Roman Republic	The work documents the life of Publius Valerius Publicola, a key figure in the founding of the Roman Republic.	past	-560	-503	Covers the lifetime of Publicola, from his early years to his death in -503 BCE.	English	Bernadotte Perrin	1914	9162	52235	37	tlg0007/tlg008/tlg0007.tlg008.perseus-eng2.xml	1	1	tlg0007	eng; lat	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg037.perseus-eng2	tlg0007.tlg037	Plutarch	Comparison of Lucullus and Cimon	Q87778873	Comparison of Cimon and Lucullus	Q41523	75	Roman Empire;(Roman Empire)			literary work	Late Roman Republic; Classical Athens	Compares the Roman general Lucullus with the Athenian statesman Cimon.	past	-510	-56	Spans from Cimon's birth (~-510) to Lucullus's death in -56 BCE.	English	Bernadotte Perrin	1914	1399	8050	6	tlg0007/tlg037/tlg0007.tlg037.perseus-eng2.xml	1	1	tlg0007	eng; lat; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg015.perseus-eng2	tlg0007.tlg015	Plutarch	Alcibiades	Q87208362	Life of Alcibiades	Q41523	75	Roman Empire;(Roman Empire)	biography		literary work	Classical Athens; Classical Sparta; Achaemenid Empire	Documents the life of Alcibiades and his shifting allegiances during the Peloponnesian War.	past	-450	-404	Covers the life of Alcibiades from his birth (~-450) to his assassination in -404 BCE.	English	Bernadotte Perrin	1916	16080	92889	64	tlg0007/tlg015/tlg0007.tlg015.perseus-eng2.xml	1	1	tlg0007	eng; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg012.perseus-eng2	tlg0007.tlg012	Plutarch	Pericles	Q87208371	Life of Pericles	Q41523	75	Roman Empire;(Roman Empire)	biography		literary work	Classical Athens	Focuses on the life and leadership of Pericles during the Athenian Golden Age.	past	-495	-429	Covers the lifetime of Pericles, from roughly -495 to his death in -429 BCE.	English	Bernadotte Perrin	1916	15874	91673	63	tlg0007/tlg012/tlg0007.tlg012.perseus-eng2.xml	1	1	tlg0007	eng; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg024.perseus-eng2	tlg0007.tlg024	Plutarch	Aristides	Q110502331	Parallel lives of Aristides and Cato the Elder	Q41523	75	Roman Empire;(Roman Empire)			literary work	Classical Athens	Narrates the life of Aristides the Just, an Athenian statesman and general.	past	-530	-468	Covers the life of Aristides from his birth (~-530) to his death in -468 BCE.	English	Bernadotte Perrin	1914	12252	70997	49	tlg0007/tlg024/tlg0007.tlg024.perseus-eng2.xml	1	1	tlg0007	eng; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg023.perseus-eng2	tlg0007.tlg023	Plutarch	Comparison of Pelopidas and Marcellus	Q87778861	Comparison of Pelopidas and Marcellus	Q41523	75	Roman Empire;(Roman Empire)			literary work	Classical Thebes; Middle Roman Republic	Compares the Theban general Pelopidas with the Roman general Marcellus.	past	-410	-208	Spans from the birth of Pelopidas (~-410) to the death of Marcellus in -208 BCE.	English	Bernadotte Perrin	1917	1163	6791	5	tlg0007/tlg023/tlg0007.tlg023.perseus-eng2.xml	1	1	tlg0007	eng; lat; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg048.perseus-eng2	tlg0007.tlg048	Plutarch	Caesar	Q12902604	Life of Julius Caesar	Q41523	75	Roman Empire;(Roman Empire)	biography		literary work	Late Roman Republic	Documents the life, military campaigns, and dictatorship of Julius Caesar.	past	-100	-44	Covers Caesar's lifetime from his birth in -100 to his assassination in -44 BCE.	English	Bernadotte Perrin	1919	24836	140325	99	tlg0007/tlg048/tlg0007.tlg048.perseus-eng2.xml	1	1	tlg0007	eng; lat	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg046.perseus-eng2	tlg0007.tlg046	Plutarch	Comparison of Agesilaus and Pompey	Q87778886	Comparison of Agesilaus and Pompey	Q41523	75	Roman Empire;(Roman Empire)			literary work	Classical Sparta; Late Roman Republic	Compares the Spartan king Agesilaus II with the Roman general Pompey the Great.	past	-444	-48	Spans from the birth of Agesilaus (~-444) to the death of Pompey in -48 BCE.	English	Bernadotte Perrin	1917	1803	10217	7	tlg0007/tlg046/tlg0007.tlg046.perseus-eng2.xml	1	1	tlg0007	eng; lat; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg041.perseus-eng2	tlg0007.tlg041	Plutarch	Eumenes	Q110502337	Parallel lives of Eumenes and Sertorius	Q41523	75	Roman Empire;(Roman Empire)			literary work	Macedonian Empire; Diadochi Successor States	Documents the life of Eumenes of Cardia, a secretary and general under Alexander and his successors.	past	-362	-316	Covers the life of Eumenes from his birth (~-362) to his execution in -316 BCE.	English	Bernadotte Perrin	1919	8887	51056	36	tlg0007/tlg041/tlg0007.tlg041.perseus-eng2.xml	1	1	tlg0007	eng	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg022.perseus-eng2	tlg0007.tlg022	Plutarch	Marcellus	Q87210366	Life of Marcellus	Q41523	75	Roman Empire;(Roman Empire)	biography		literary work	Middle Roman Republic	Focuses on Marcus Claudius Marcellus, a Roman general during the Second Punic War.	past	-268	-208	Covers the life of Marcellus from his birth (~-268) to his death in battle in -208 BCE.	English	Bernadotte Perrin	1917	12832	73767	51	tlg0007/tlg022/tlg0007.tlg022.perseus-eng2.xml	1	1	tlg0007	eng; lat; grc; xgreek	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg013.perseus-eng2	tlg0007.tlg013	Plutarch	Fabius Maximus	Q110502327	Parallel lives of Pericles and Fabius Maximus	Q41523	75	Roman Empire;(Roman Empire)			literary work	Middle Roman Republic	Narrates the life of Fabius Maximus, known for his 'Fabian strategy' against Hannibal.	past	-280	-203	Covers the life of Fabius Maximus from his birth (~-280) to his death in -203 BCE.	English	Bernadotte Perrin	1916	11677	66063	47	tlg0007/tlg013/tlg0007.tlg013.perseus-eng2.xml	1	1	tlg0007	eng; lat; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg014.perseus-eng2	tlg0007.tlg014	Plutarch	Comparison of Pericles and Fabius Maximus	Q87778851	Comparison of Pericles and Fabius Maximus	Q41523	75	Roman Empire;(Roman Empire)			literary work	Classical Athens; Middle Roman Republic	Compares the Athenian statesman Pericles with the Roman general Fabius Maximus.	past	-495	-203	Spans from the birth of Pericles (~-495) to the death of Fabius Maximus in -203 BCE.	English	Bernadotte Perrin	1916	1075	6688	4	tlg0007/tlg014/tlg0007.tlg014.perseus-eng2.xml	1	1	tlg0007	eng	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg040.perseus-eng2	tlg0007.tlg040	Plutarch	Comparison of Nicias and Crassus	Q87778876	Comparison of Nicias and Crassus	Q41523	75	Roman Empire;(Roman Empire)			literary work	Classical Athens; Late Roman Republic	Compares the Athenian general Nicias with the Roman triumvir Marcus Licinius Crassus.	past	-470	-53	Spans from the birth of Nicias (~-470) to the death of Crassus in -53 BCE.	English	Bernadotte Perrin	1916	1886	11162	8	tlg0007/tlg040/tlg0007.tlg040.perseus-eng2.xml	1	1	tlg0007	eng; lat; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg047.perseus-eng2	tlg0007.tlg047	Plutarch	Alexander	Q11850689	Life of Alexander the Great	Q41523	75	Roman Empire;(Roman Empire)	biography		literary work	Macedonian Empire; Achaemenid Empire	Documents the life and conquests of Alexander the Great.	past	-356	-323	Covers Alexander's lifetime from his birth in -356 to his death in -323 BCE.	English	Bernadotte Perrin	1919	31642	280642	127	tlg0007/tlg047/tlg0007.tlg047.perseus-eng2.xml	1	1	tlg0007	eng; grc; fre	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg049.perseus-eng2	tlg0007.tlg049	Plutarch	Phocion	Q19740349	Life of Phocion	Q41523	75	Roman Empire;(Roman Empire)	biography		literary work	Classical Athens; Macedonian Empire	Narrates the life of Phocion, an Athenian statesman and general during the rise of Macedon.	past	-402	-318	Covers the life of Phocion from his birth (~-402) to his execution in -318 BCE.	English	Bernadotte Perrin	1919	13028	74867	52	tlg0007/tlg049/tlg0007.tlg049.perseus-eng2.xml	1	1	tlg0007	eng; lat; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg140.perseus-eng2	tlg0007.tlg140	Plutarch	Against Colotes, the Disciple and Favorite of Epicurus.	Q5407883	Against Colotes	Q41523	75	Roman Empire;(Roman Empire)			literary work	Hellenistic Greek philosophical schools	This polemical work targets Colotes, a disciple of Epicurus, focusing on the Epicurean school in the Hellenistic period.	past	-310	-270	The work addresses the doctrines and life of Colotes and Epicurus, who flourished in the late 4th and early 3rd centuries BCE.	English	William W. Goodwin; A. G.	1874	16077	90883	64	tlg0007/tlg140/tlg0007.tlg140.perseus-eng2.xml	1	1	tlg0007	eng; grc; lat	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg032.perseus-eng2	tlg0007.tlg032	Plutarch	Lysander	Q110502334	Parallel lives of Lysander and Sulla	Q41523	75	Roman Empire;(Roman Empire)			literary work	Classical Sparta	Documents the life of the Spartan admiral Lysander during the Peloponnesian War and its aftermath.	past	-454	-395	Covers Lysander's life from his early career through the end of the Peloponnesian War to his death in -395.	English	Bernadotte Perrin	1916	12681	72498	51	tlg0007/tlg032/tlg0007.tlg032.perseus-eng2.xml	1	1	tlg0007	eng; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg035.perseus-eng2	tlg0007.tlg035	Plutarch	Cimon	Q110502335	Parallel lives of Cimon and Lucullus	Q41523	75	Roman Empire;(Roman Empire)			literary work	Classical Athens	Documents the life of the Athenian statesman and general Cimon.	past	-510	-450	Covers Cimon's life from the aftermath of the Persian Wars to his death during the siege of Citium in -450.	English	Bernadotte Perrin	1914	8543	48995	34	tlg0007/tlg035/tlg0007.tlg035.perseus-eng2.xml	1	1	tlg0007	eng; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg003.perseus-eng2	tlg0007.tlg003	Plutarch	Comparison of Theseus and Romulus	Q87778843	Comparison of Theseus and Romulus	Q41523	75	Roman Empire;(Roman Empire)			literary work	Mythological Athens; Early Roman Kingdom	A comparative study of the legendary founders of Athens and Rome.	past	-1300	-717	Spans from the legendary era of Theseus (~13th century BCE) to the traditional death of Romulus in -717.	English	Bernadotte Perrin	1914	1740	10370	7	tlg0007/tlg003/tlg0007.tlg003.perseus-eng2.xml	1	1	tlg0007	eng; lat; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg004.perseus-eng2	tlg0007.tlg004	Plutarch	Lycurgus	Q110502324	Parallel lives of Lycurgus and Numa	Q41523	75	Roman Empire;(Roman Empire)			literary work	Classical Sparta	Documents the life and reforms of the legendary Spartan lawgiver Lycurgus.	past	-900	-800	Refers to the traditional 9th-century BCE horizon for the Lycurgan reforms in Sparta.	English	Bernadotte Perrin	1914	14233	81336	57	tlg0007/tlg004/tlg0007.tlg004.perseus-eng2.xml	1	1	tlg0007	eng; lat; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg050.perseus-eng2	tlg0007.tlg050	Plutarch	Cato the Younger	Q110502340	Parallel lives of Phocion and Cato the Younger	Q41523	75	Roman Empire;(Roman Empire)			literary work	Late Roman Republic	Documents the life of Marcus Porcius Cato Uticensis, a key figure in the late Republic.	past	-95	-46	Covers Cato's lifetime from his birth in -95 to his suicide at Utica in -46.	English	Bernadotte Perrin	1919	26088	146509	104	tlg0007/tlg050/tlg0007.tlg050.perseus-eng2.xml	1	1	tlg0007	eng; lat	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg057.perseus-eng2	tlg0007.tlg057	Plutarch	Demetrius	Q12902600	Life of Demetrius	Q41523	75	Roman Empire;(Roman Empire)	biography		literary work	Antigonid Dynasty; Macedonian Empire	Documents the life of Demetrius Poliorcetes, a major Diadochus and King of Macedon.	past	-337	-283	Covers the life of Demetrius from his birth to his death in captivity in -283.	English	Bernadotte Perrin	1920	19039	109740	76	tlg0007/tlg057/tlg0007.tlg057.perseus-eng2.xml	1	1	tlg0007	eng; lat; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg061.perseus-eng2	tlg0007.tlg061	Plutarch	Brutus	Q87210374	Life of Brutus	Q41523	75	Roman Empire;(Roman Empire)	biography		literary work	Late Roman Republic	Documents the life of Marcus Junius Brutus, the assassin of Julius Caesar.	past	-85	-42	Covers Brutus's life from his birth in -85 to his suicide after the Battle of Philippi in -42.	English	Bernadotte Perrin	1918	17974	103181	72	tlg0007/tlg061/tlg0007.tlg061.perseus-eng2.xml	1	1	tlg0007	eng; lat; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg066.perseus-eng2	tlg0007.tlg066	Plutarch	Otho	Q20552324	Life of Otho	Q41523	75	Roman Empire;(Roman Empire)	biography		literary work	Roman Empire (Year of the Four Emperors)	Documents the brief reign of the Emperor Otho during the civil wars of 69 CE.	contemporary	32	69	Covers Otho's life from birth in 32 CE to his suicide in 69 CE; Plutarch lived through this era.	English	Bernadotte Perrin	1926	6352	35780	25	tlg0007/tlg066/tlg0007.tlg066.perseus-eng2.xml	1	1	tlg0007	eng; lat; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg059.perseus-eng2	tlg0007.tlg059	Plutarch	Comparison of Demetrius and Antony	Q87778893	Comparison of Demetrius and Antony	Q41523	75	Roman Empire;(Roman Empire)			literary work	Antigonid Dynasty; Late Roman Republic	Compares the Hellenistic king Demetrius Poliorcetes with the Roman triumvir Mark Antony.	past	-337	-30	Spans from the birth of Demetrius (-337) to the death of Mark Antony in -30.	English	Bernadotte Perrin	1920	1288	7475	5	tlg0007/tlg059/tlg0007.tlg059.perseus-eng2.xml	1	1	tlg0007	eng	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg005.perseus-eng2	tlg0007.tlg005	Plutarch	Numa	Q110502324	Parallel lives of Lycurgus and Numa	Q41523	75	Roman Empire;(Roman Empire)			literary work	Early Roman Kingdom	Documents the life and religious reforms of Numa Pompilius, the second king of Rome.	past	-753	-673	Covers the traditional dates of Numa's life and his 43-year reign ending in -673.	English	Bernadotte Perrin	1914	11172	64001	45	tlg0007/tlg005/tlg0007.tlg005.perseus-eng2.xml	1	1	tlg0007	eng; lat; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
tlg0007.tlg002.perseus-eng2	tlg0007.tlg002	Plutarch	Romulus	Q87210391	Life of Romulus	Q41523	75	Roman Empire;(Roman Empire)	biography		literary work	Early Roman Kingdom	Documents the life of Romulus, the legendary founder and first king of Rome.	past	-771	-717	Covers the traditional lifespan of Romulus from his birth to his disappearance/death in -717.	English	Bernadotte Perrin	1914	14047	79888	56	tlg0007/tlg002/tlg0007.tlg002.perseus-eng2.xml	1	1	tlg0007	eng; lat; grc	Plutarch	100	Greek philosopher and historian (c. AD 46 – after AD 119)	essayist; historian; writer; priest; magistrate; philosopher; biographer	40	120	year
