rule_id	c_sex	c_sex_evidence	c_age	c_age_evidence	c_ownership_status	c_ownership_status_evidence	c_ancestry	c_ancestry_evidence	c_residence	c_residence_evidence	c_wealth	c_wealth_evidence	c_occupation	c_occupation_evidence	emic_label_in_text	criterion_reasoning_text
tlg0014.tlg059.perseus-eng2::11	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	native	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	those whom the Athenian people may make citizens	The text discusses eligibility based on being born of an 'Athenian woman', which relates to native ancestry.
tlg0014.tlg059.perseus-eng2::12	female	stated	unspecified	unspecified	enslaved	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	servant	stated	women-servants	The verbatim names 'women-servants', stating sex=female, ownership=enslaved (implied by 'deliver up for torture'), and occupation=servant.
tlg0032.tlg015.perseus-eng1::0	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	low	implied	unspecified	unspecified	the People	The text contrasts 'the People' with 'powerful citizens', implying lower wealth/status for the former in this context.
tlg0032.tlg015.perseus-eng1::1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	low	implied	unspecified	unspecified	baser sort	'Baser sort' and 'commonalty' lexically imply low wealth/status relative to the 'better people'.
tlg0032.tlg015.perseus-eng1::2	unspecified	unspecified	unspecified	unspecified	any	stated	any	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	slaves and resident aliens	The verbatim explicitly groups 'slave', 'resident alien', and 'freedman' (ownership=any, ancestry=any) regarding the illegality of a 'blow'.
tlg0032.tlg015.perseus-eng1::3	unspecified	unspecified	unspecified	unspecified	free	implied	foreign	implied	resident	stated	unspecified	unspecified	unspecified	unspecified	resident alien	The status 'resident alien' (metic) states residence and implies foreign ancestry and free status (distinguished from 'slave').
tlg0032.tlg015.perseus-eng1::4	male	implied	unspecified	unspecified	free	implied	unspecified	unspecified	unspecified	unspecified	high	stated	unspecified	unspecified	rich man	The verbatim states 'rich man', which names high wealth and implies male sex and free status.
tlg0032.tlg015.perseus-eng1::6	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	foreign	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	allies	The term 'allies' in the context of being forced to 'voyage to Athens' implies non-Athenian (foreign) ancestry/polity membership.
tlg0032.tlg015.perseus-eng1::9	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	antagonists	The verbatim refers to 'antagonists' and 'some state or other', which doesn't specify individual human criteria.
tlg0032.tlg015.perseus-eng1::10	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	high	stated	farming	stated	wealthy landowners	The verbatim states 'wealthy' and 'landowners' (occupation/assets) and mentions the 'farming portion'.
tlg0032.tlg015.perseus-eng1::14	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	choragi, trierarchs	stated	choragi, trierarchs	The verbatim names specific liturgical roles ('choragi', 'trierarchs') but no other demographic criteria.
tlg0032.tlg015.perseus-eng1::15	unspecified	unspecified	unspecified	unspecified	free	implied	native	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	citizens	The word 'citizens' lexically presupposes free status and typically native ancestry in the context of civil rights.
tlg0059.tlg008.perseus-eng2::7	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Atreus	The verbatim names a specific mythological individual ('Atreus') but implies no general criteria categories.
tlg0059.tlg008.perseus-eng2::8	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	statesmen	stated	statesmen	The verbatim names 'statesmen' as an occupational/functional group compared to 'subjects'.
tlg0059.tlg008.perseus-eng2::12	unspecified	unspecified	minor	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	pupils	stated	pupils	The word 'pupils' implies a minor/student age and names an educational role.
tlg0059.tlg008.perseus-eng2::13	male	implied	adult	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	priest	stated	king	The word 'king' and 'he' imply male sex and adult age; the king must serve as a 'priest'.
tlg0059.tlg008.perseus-eng2::14	male	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	King Archon	stated	the man whom the lot has chosen to be the King	The verbatim uses 'the man', stating male sex, and identifies the office of 'King' (Archon).
tlg0059.tlg008.perseus-eng2::17	unspecified	unspecified	unspecified	unspecified	free	implied	native	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	citizen	The word 'citizen' lexically presupposes free status and native ancestry.
tlg0059.tlg008.perseus-eng2::18	any	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	anyone who pleases	The verbatim says 'anyone who pleases', indicating no categorical restriction (sex=any) for the accuser.
tlg0059.tlg008.perseus-eng2::19	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	any	stated	rulers	stated	rulers of the people	The verbatim states rulers may be 'from the rich or from the whole people', indicating c_wealth=any.
tlg0059.tlg008.perseus-eng2::20	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	any	stated	judges	stated	judges	The verbatim states judges are chosen 'either from a selected list of the rich or from the whole people'.
tlg0059.tlg008.perseus-eng2::23	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	commissioners	stated	people, commissioners	The verbatim names 'commissioners' (occupation/role) and the 'people' who pass laws.
tlg0059.tlg008.perseus-eng2::26	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	generals	stated	generals	The verbatim specifically names the role of 'generals' and their subservience to the 'kingly art'.
tlg0059.tlg008.perseus-eng2::27	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	judges	stated	judges	The verbatim names the occupation 'judges' and their duty to follow laws received from the 'king'.
tlg0059.tlg008.perseus-eng2::31	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	high	stated	unspecified	unspecified	they	The verbatim refers to the 'pursuit of wealth or power in connection with matrimony', stating a wealth/power criterion.
tlg0062.tlg034.perseus-eng2::1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	official	stated	official	The verbatim identifies the subject as as 'one of the officials' by his 'purple cloak'; no other criteria are lexically constrained.
tlg0062.tlg034.perseus-eng2::3	unspecified	unspecified	unspecified	unspecified	free	implied	native	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	citizen	The word 'citizen' lexically presupposes free status and native belonging within a polity; sex and age are not named.
tlg0062.tlg034.perseus-eng2::4	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	plaintiff and defendant	The verbatim refers to 'each party to the case' or 'plaintiff and defendant'; these legal roles do not lexically constrain the other axes.
tlg0062.tlg034.perseus-eng2::5	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	disciples of rhetoric	The text discusses those who speak before the court ('disciples of rhetoric'); it does not state their demographic status.
tlg0062.tlg034.perseus-eng2::6	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	them	The verbatim uses only the pronoun 'them' (referring to the audience); it does not lexically identify their sex, age, or status.
tlg0062.tlg034.perseus-eng2::8	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	everyone	The verbatim refers to 'everyone' being able to read the laws; this does not constrain any specific demographic category.
tlg0062.tlg034.perseus-eng2::9	unspecified	unspecified	unspecified	unspecified	free	implied	native	implied	unspecified	unspecified	unspecified	unspecified	cavalrymen	stated	citizens	The term 'citizens' implies free status and native ancestry; the occupation 'cavalrymen' is explicitly named as a subset.
tlg0062.tlg034.perseus-eng2::10	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	anyone	The verbatim uses the inclusive term 'anyone' who carries weapons; no demographic value is forced.
tlg0062.tlg034.perseus-eng2::11	female	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	women	The verbatim names 'women' and describes them as 'bleached out in the shade', contrasting them with those in the gymnasia.
tlg0062.tlg034.perseus-eng2::13	male	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	men	The verbatim explicitly mentions 'men', which lexically constrains the sex axis to male.
tlg0086.tlg003.perseus-eng1::0	unspecified	unspecified	any	stated	enslaved	stated	unspecified	unspecified	unspecified	unspecified	low	implied	tenants	stated	tenants	The text names 'tenants' (occupation), identifies their status as 'slavery' if they fail payment, and includes 'children', indicating 'any' age applies.
tlg0086.tlg003.perseus-eng1::1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	native	implied	unspecified	unspecified	high	stated	Archons	stated	Archons	The text states 'qualifications of birth and wealth' (high wealth/native ancestry implied) for electing 'Archons'.
tlg0086.tlg003.perseus-eng1::2	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	middle	implied	unspecified	unspecified	all who could furnish themselves with a military equipment	The wealth level is implied by the ability to 'furnish themselves with a military equipment' for the franchise eligibility.
tlg0086.tlg003.perseus-eng1::3	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	high	stated	Archons	stated	persons possessing an unencumbered property of not less than ten minas	The verbatim states a property requirement ('not less than ten minas' / 'not less than a hundred minas'), forcing c_wealth='high'.
tlg0086.tlg003.perseus-eng1::4	unspecified	unspecified	adult	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	those who were over thirty years of age	The verbatim explicitly names the age criterion 'over thirty years of age'.
tlg0086.tlg003.perseus-eng1::6	unspecified	unspecified	unspecified	unspecified	free	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	the people	The text refers to protecting 'the people' from 'loans on the security of the debtor’s person', implying their status as free.
tlg0086.tlg003.perseus-eng1::7	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	low	stated	Thetes	stated	Thetes	The text names the 'Thetes' class and states they were 'not eligible for any office', defining them as the lowest property class.
tlg0086.tlg003.perseus-eng1::8	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	high	stated	Treasurers	stated	Pentacosiomedimni	The text states 'Treasurers' must be 'chosen from the Pentacosiomedimni', which is defined as a property (wealth) class.
tlg0086.tlg003.perseus-eng1::9	unspecified	unspecified	unspecified	unspecified	free	implied	native	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	citizens	The text explicitly names 'citizens', which lexically presupposes free status and native ancestry.
tlg0086.tlg003.perseus-eng1::10	unspecified	unspecified	unspecified	unspecified	enslaved	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	those that here in vilest slavery crouched	The verbatim refers to those in 'slavery' and 'under a master', forcing the ownership_status value.
tlg0086.tlg003.perseus-eng1::11	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	every person who so willed	The verbatim uses the inclusive phrase 'every person who so willed' without stating or implying any categorical constraints.
tlg0086.tlg003.perseus-eng1::12	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	the masses	The verbatim refers to 'the masses' and 'the democracy', which indicates a group but does not lexically force sex, age, or status values.
tlg0086.tlg003.perseus-eng1::13	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Eupatridae, Agroeci, and Demiurgi	The verbatim names specific emic classes (Eupatridae, Agroeci, Demiurgi) for Archonship eligibility but does not state their gender, age, or status requirements.
tlg0086.tlg003.perseus-eng1::14	unspecified	unspecified	unspecified	unspecified	free	implied	native	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	citizen-roll	The 'citizen-roll' and 'franchise' lexically imply free ownership and native ancestry; sex and age are historical facts not stated here.
tlg0086.tlg003.perseus-eng1::15	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	low	stated	agriculture	stated	poorer people	The text states 'poorer people' (wealth=low) and specifies they are to work in 'agriculture' (occupation).
tlg0086.tlg003.perseus-eng1::17	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	resident	implied	unspecified	unspecified	farms	implied	individuals [in the country]	Mention of 'neglect their farms' implies an agricultural occupation; avoiding coming into the city to settle disputes implies rural residence.
tlg0086.tlg003.perseus-eng1::19	unspecified	unspecified	unspecified	unspecified	free	implied	native	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Athenian families	'Athenian families' implies free status and native ancestry; no other criteria are lexically forced.
tlg0086.tlg003.perseus-eng1::20	unspecified	unspecified	unspecified	unspecified	free	implied	unspecified	unspecified	resident	implied	unspecified	unspecified	unspecified	unspecified	fellow-demesmen	Being 'fellow-demesmen' and 'Athenians' implies residency in a deme and free status. The text highlights 'new citizens' vs 'family names'.
tlg0086.tlg003.perseus-eng1::22	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	friends of the tyrants	The text targets 'friends of the tyrants' or those 'more powerful than was expedient' without stating sex, age, or formal status.
tlg0086.tlg003.perseus-eng1::23	unspecified	unspecified	unspecified	unspecified	free	implied	unspecified	unspecified	non_resident	stated	unspecified	unspecified	unspecified	unspecified	persons under sentence of ostracism	The rule mandates residence 'between Geraestus and Scyllaeum' (outside the city), and implies civic/free status through 'civic rights'.
tlg0086.tlg003.perseus-eng1::24	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	jurymen, bowmen, Knights, members of the Council	stated	persons [maintained]	The text lists specific occupations (jurymen, bowmen, etc.) eligible for maintenance, but doesn't state sex or status of 'persons'.
tlg0086.tlg003.perseus-eng1::25	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	middle	implied	unspecified	unspecified	Zeugitae	The term 'Zeugitae' refers to a specific census/property class; 'higher classes' are also mentioned, anchoring wealth.
tlg0086.tlg003.perseus-eng1::26	unspecified	unspecified	unspecified	unspecified	free	implied	native	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	no one ... who was not of citizen birth by both parents	The text explicitly states ancestry must be 'citizen birth by both parents' for 'the franchise' (implying free status).
tlg0086.tlg003.perseus-eng1::27	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	members of the juries	stated	members of the juries	The verbatim names the occupation 'members of the juries' but does not specify sex, status, or age.
tlg0086.tlg003.perseus-eng1::29	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	magistrates	stated	magistrates	The verbatim applies to 'all magistrates' as an occupation; it mentions archons and prytanes as specific roles.
tlg0086.tlg003.perseus-eng1::30	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	high	implied	unspecified	unspecified	those Athenians who were most capable ... pecuniarily	The text specifies those 'most capable' of serving 'pecuniarily' (wealth=high) and 'Athenians' (free/ancestry implied).
tlg0086.tlg003.perseus-eng1::31	male	implied	adult	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Council	stated	men over thirty years of age	The text explicitly states 'men' (sex) and 'over thirty years of age' (age=adult). The occupation is Council member.
tlg0086.tlg003.perseus-eng1::32	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	middle	implied	military	stated	persons possessing a military equipment	Possession of 'military equipment' implies specific wealth status and the capacity for soldiering (occupation).
tlg0086.tlg003.perseus-eng1::33	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	public office	stated	public office	The rule targets placeholders of 'any public office' (occupation), stating they shall not receive pay.
tlg0086.tlg003.perseus-eng1::34	male	implied	adult	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	testator	The term 'testator' in this context (leaving property) implies a status usually reserved for adult males. 'Female influence' is cited as a limitation.
tlg0086.tlg003.perseus-eng1::35	unspecified	unspecified	unspecified	unspecified	free	implied	unspecified	unspecified	unspecified	unspecified	high	stated	unspecified	unspecified	citizens eminent for wealth or birth	The verbatim refers to 'citizens' (implying free status) and specifically targets those 'eminent for wealth', which maps c_wealth to 'high'.
tlg0086.tlg003.perseus-eng1::36	unspecified	unspecified	unspecified	unspecified	free	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	citizen who was not included in the list of the Three Thousand	The verbatim names 'citizen', which lexically presupposes free ownership status. No other demographic criteria are stated or lexically implied.
tlg0086.tlg003.perseus-eng1::38	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	the people except the Three Thousand	The verbatim refers to 'the people' and a specific political list ('Three Thousand'), but does not name or lexically imply sex, age, or specific ancestry.
tlg0086.tlg003.perseus-eng1::39	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	resident	stated	unspecified	unspecified	unspecified	unspecified	persons who, having remained in the city... were now anxious to leave it	The verbatim defines the group by their residence ('remained in the city' and moving to 'settle at Eleusis').
tlg0086.tlg003.perseus-eng1::40	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	non_resident	stated	unspecified	unspecified	unspecified	unspecified	No one who settled at Eleusis	The verbatim restricts those who 'settled at Eleusis' from Athens office until they register as a 'resident in the city' of Athens.
tlg0086.tlg003.perseus-eng1::41	unspecified	unspecified	unspecified	unspecified	enslaved	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	slaves	The word 'slaves' lexically presupposes ownership='enslaved'.
tlg0086.tlg003.perseus-eng1::42	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	people	The verbatim mentions 'people' attending the Assembly, which does not lexically force specific demographic values beyond participation.
tlg0086.tlg003.perseus-eng1::43	unspecified	unspecified	adult	stated	free	stated	native	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	candidates / demesmen	The verbatim states the age ('eighteen'), ownership status ('free born'), and ancestry ('citizen birth by both parents').
tlg0086.tlg003.perseus-eng1::44	unspecified	unspecified	minor	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	garrison duty	stated	they [Ephebi]	The verbatim refers to a two-year service period ('these two years') on 'garrison duty'. In context of Athenian 'youth', this implies age=minor/transitional.
tlg0086.tlg003.perseus-eng1::45	unspecified	unspecified	minor	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	wards of state	The verbatim mentions 'wards of state', which lexically presuppose minor age status.
tlg0086.tlg003.perseus-eng1::46	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	any one	The verbatim says 'any one' is free to speak, which does not lexically constrain any criterion axis.
tlg0086.tlg003.perseus-eng1::47	unspecified	unspecified	unspecified	unspecified	free	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	citizen / person	The word 'citizen' lexically presupposes free ownership status.
tlg0086.tlg003.perseus-eng1::48	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Private individuals	The term 'private individuals' describes people in a non-official capacity but does not constrain sex, age, or wealth.
tlg0086.tlg003.perseus-eng1::49	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	low	stated	unspecified	unspecified	poor man	The verbatim explicitly names a 'poor man' as eligible for the office.
tlg0086.tlg003.perseus-eng1::50	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	low	stated	unspecified	unspecified	persons newly enrolled	The verbatim specifies those 'pecuniarily incapable' (low wealth) as eligible for dismissal from service.
tlg0086.tlg003.perseus-eng1::51	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	low	stated	unspecified	unspecified	infirm paupers	The verbatim states a wealth threshold ('possessing less than three minas') and a physical condition ('crippled').
tlg0086.tlg003.perseus-eng1::53	unspecified	unspecified	elder	stated	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Arbitrator	stated	persons in the sixtieth year of their age	The verbatim states the age ('sixtieth year') and the occupation ('Arbitrator').
tlg0086.tlg003.perseus-eng1::54	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	magistrate	stated	magistrate	The verbatim explicitly names the occupation 'magistrate' as the subject of the rule.
tlg0086.tlg003.perseus-eng1::55	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	native	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	candidate / nine Archons	The list of questions regarding 'father' and 'deme' and 'ancestral Apollo' lexically implies native ancestry.
tlg0086.tlg003.perseus-eng1::56	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	native	implied	unspecified	unspecified	high	stated	Choregi	stated	richest persons out of the whole body of Athenians	The verbatim states wealth ('richest persons'), ancestry ('Athenians'), and occupation ('Choregi').
tlg0086.tlg003.perseus-eng1::58	unspecified	unspecified	unspecified	unspecified	enslaved	implied	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	slave	The verbatim refers to the killing of a 'slave', which lexically implies ownership=enslaved.
tlg0086.tlg003.perseus-eng1::59	unspecified	unspecified	unspecified	unspecified	free	implied	foreign	stated	resident	stated	unspecified	unspecified	unspecified	unspecified	resident alien	The verbatim explicitly names 'resident alien', stating a residence and foreign ancestry; 'alien' in this legal context implies free status.
tlg0086.tlg003.perseus-eng1::60	unspecified	unspecified	unspecified	unspecified	free	implied	foreign	stated	resident	stated	unspecified	unspecified	unspecified	unspecified	resident aliens	The verbatim names 'resident aliens', stating residence and foreign ancestry ('aliens'); 'aliens' in private suits implies free status.
