rule_uid	file_id	perseus_author	perseus_title	year	period	rule	group	group_meta	criteria	resource	resource_meta	directionality	verbatim	criterion	group_matched	group_side
tlg0014.tlg059.perseus-eng2::5	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	-348	Late Classical (354–165 BCE)	Requirement for alien patron	Aliens	Foreigners	['Citizenship']	Right to legal personhood	Right to citizenship	LESS	['as she was eager to live at Athens, but was afraid of Phrynion because she had wronged him and he was bitter against her, and she knew he was a man of violent and reckless temper, she took Stephanus here for her patron.']	Citizenship	Foreigners	out-group (deprived)
tlg0014.tlg059.perseus-eng2::6	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	-348	Late Classical (354–165 BCE)	Protection from unlawful citizen claims	Freedom claimants	Slaves	['Citizenship', 'Wealth / Properties']	Protection from arbitrary enslavement	Protection from enslavement	MORE	['When Stephanus took her away from him, as the law allowed, declaring her to be a free woman, Phrynion required her to post bonds with the polemarch. ... the sureties of Neaera were Stephanus of Eroeadae, Glaucetes of Cephisia, and Aristocrates of Phalerum.']	Citizenship	Slaves	out-group (deprived)
tlg0014.tlg059.perseus-eng2::7	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	-348	Late Classical (354–165 BCE)	Dowry return upon divorce	Wives	Women;Wives	['Gender']	Right to return of dowry	Right to a dowry	MORE	['in accordance with the law which enacts that, if a man puts away his wife, he must pay back the marriage portion or else pay interest on it at the rate of nine obols a month for each mina; and that on the woman’s behalf her guardian may sue him for alimony in the Odeum.']	Gender	Women	out-group (deprived)
tlg0014.tlg059.perseus-eng2::8	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	-348	Late Classical (354–165 BCE)	Fraudulent marriage of aliens	Aliens	Foreigners	['Citizenship', 'Lineage']	Access to citizen marriage	Right to citizenship	LESS	['If anyone shall give an alien woman in marriage to an Athenian man, representing her as being related to himself, he shall lose his civic rights and his property shall be confiscated, and a third part of it shall belong to the one who secures his conviction. And anyone entitled to do so may indict such a person before the Thesmothetae.']	Citizenship	Foreigners	out-group (deprived)
tlg0014.tlg059.perseus-eng2::11	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	-348	Late Classical (354–165 BCE)	Restricted office for new citizens	Naturalized citizens	Citizens	['Citizenship', 'Lineage']	Eligibility for archonship and priesthoods	Eligibility for public office	LESS	['For in the case of all those whom the Athenian people may make citizens, the law expressly forbids that they should be eligible to the office of the nine archons or to hold any priesthood; but their descendants are allowed by the people to share in all civic rights, though the proviso is added: if they are born from an Athenian woman who was betrothed according to the law.']	Citizenship	Citizens	in-group (privileged)
tlg0014.tlg059.perseus-eng2::11	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	-348	Late Classical (354–165 BCE)	Restricted office for new citizens	Naturalized citizens	Citizens	['Citizenship', 'Lineage']	Eligibility for archonship and priesthoods	Eligibility for public office	LESS	['For in the case of all those whom the Athenian people may make citizens, the law expressly forbids that they should be eligible to the office of the nine archons or to hold any priesthood; but their descendants are allowed by the people to share in all civic rights, though the proviso is added: if they are born from an Athenian woman who was betrothed according to the law.']	Lineage	Citizens	out-group (deprived)
tlg0014.tlg059.perseus-eng2::12	tlg0014.tlg059.perseus-eng2	Demosthenes	Apollodorus Against Neaera	-348	Late Classical (354–165 BCE)	Judicial torture of slaves	Slaves	Slaves	['Freedom']	Protection from corporal torture	Protection from corporal punishment	LESS	['I proposed that he should deliver up for the torture the women-servants, Thratta and Coccalinê... Apollodorus is ready to receive for examination by the torture the women-servants of Neaera... if the women had been injured in any way as a result of the torture, to pay for the injuries sustained.']	Freedom	Slaves	out-group (deprived)
tlg0032.tlg015.perseus-eng1::0	tlg0032.tlg015.perseus-eng1	Xenophon	Constitution of the Athenians	-394	Classical (500–360 BCE)	Universal access to magistracies	The poor	The poor	['Citizenship', 'Wealth / Properties']	Eligibility for the archonship	Eligibility for public office	MORE	['This being the case, it seems only just that offices of state should be thrown open to every one both in the ballot and the show of hands, and that the right of speech should belong to any one who likes, without restriction. For, observe, there are many of these offices which, according according as they are in good or in bad hands, are a source of safety or of danger to the People, and in these the People prudently abstains from sharing; as, for instance, it does not think it incumbent on itself to share in the functions of the general or of the commander of cavalry. The sovereign People recognises the fact that in forgoing the personal exercise of these offices, and leaving them to the control of the more powerful citizens, it secures the balance of advantage to itself.']	Wealth / Properties	The poor	out-group (deprived)
tlg0032.tlg015.perseus-eng1::2	tlg0032.tlg015.perseus-eng1	Xenophon	Constitution of the Athenians	-394	Classical (500–360 BCE)	Slave protection from assault	Slaves	Slaves	['Freedom']	Protection from corporal punishment	Protection from corporal punishment	MORE	['Another point is the extraordinary amount of license granted to slaves and resident aliens at Athens, where a blow is illegal, and a slave will not step aside to let you pass him in the street. I will explain the reason of this peculiar custom. Supposing it were legal for a slave to be beaten by a free citizen, or for a resident alien or freedman to be beaten by a citizen, it would frequently happen that an Athenian might be mistaken for a slave or an alien and receive a beating.']	Freedom	Slaves	out-group (deprived)
tlg0032.tlg015.perseus-eng1::3	tlg0032.tlg015.perseus-eng1	Xenophon	Constitution of the Athenians	-394	Classical (500–360 BCE)	Metic protection from assault	Resident aliens	Foreigners	['Citizenship']	Protection from corporal punishment	Protection from corporal punishment	MORE	['Supposing it were legal for a slave to be beaten by a free citizen, or for a resident alien or freedman to be beaten by a citizen, it would frequently happen that an Athenian might be mistaken for a slave or an alien and receive a beating; since the Athenian People is no better clothed than the slave or alien, nor in personal appearance is there any superiority.']	Citizenship	Foreigners	out-group (deprived)
tlg0032.tlg015.perseus-eng1::4	tlg0032.tlg015.perseus-eng1	Xenophon	Constitution of the Athenians	-394	Classical (500–360 BCE)	Liturgy obligation for the wealthy	The wealthy	The wealthy	['Wealth / Properties']	Right to retain own earnings	Right to retain own earnings	LESS	['On the same principle, in the case of the coregia, the gymnasiarchy, and the trierarchy, the fact is recognised that it is the rich man who trains the chorus, and the People for whom the chorus is trained; it is the rich man who is trierarch or gymnasiarch, and the People that profits by their labours. In fact, what the People looks upon as its right is to pocket the money. To sing and run and dance and man the vessels is well enough, but only in order that the People may be the gainer, while the rich are made poorer.']	Wealth / Properties	The wealthy	in-group (privileged)
tlg0032.tlg015.perseus-eng1::6	tlg0032.tlg015.perseus-eng1	Xenophon	Constitution of the Athenians	-394	Classical (500–360 BCE)	Allied litigation in Athenian courts	Foreigners	Foreigners	['Citizenship']	Right to local adjudication	Right to a legal trial	LESS	['it is looked upon as a mistaken policy on the part of the Athenian democracy to compel her allies to voyage to Athens in order to have their cases tried. [...] Whereas now every single individual among the allies is forced to pay flattery to the People of Athens because he knows that he must betake himself to Athens and win or lose his case at the bar, not of any stray set of judges, but of the sovereign People itself, such being the law and custom at Athens.']	Citizenship	Foreigners	out-group (deprived)
tlg0032.tlg015.perseus-eng1::9	tlg0032.tlg015.perseus-eng1	Xenophon	Constitution of the Athenians	-394	Classical (500–360 BCE)	Maritime trade monopoly controls	Foreigners	Foreigners	['Citizenship']	Right to export raw materials	Right to dispose of property	LESS	['Suppose the wealth of some state or other to consist of iron, or may be of bronze, or of linen yarn, where will it find a market except by permission of the supreme maritime power? [...] Besides which they will not suffer their antagonists in those parts to carry these products elsewhither, or they will cease to use the sea.']	Citizenship	Foreigners	out-group (deprived)
tlg0032.tlg015.perseus-eng1::10	tlg0032.tlg015.perseus-eng1	Xenophon	Constitution of the Athenians	-394	Classical (500–360 BCE)	Wealthy obligation to land defense	The wealthy	The wealthy	['Wealth / Properties']	Protection from property damage	Right to retain property	LESS	"[""the farming portion of the community and the wealthy landowners are ready to cringe before the enemy overmuch, whilst the People, knowing full well that, come what may, not one stock or stone of their property will suffer, nothing will be cut down, nothing burnt, lives in freedom from alarm, without fawning at the enemy's approach.""]"	Wealth / Properties	The wealthy	in-group (privileged)
tlg0032.tlg015.perseus-eng1::15	tlg0032.tlg015.perseus-eng1	Xenophon	Constitution of the Athenians	-394	Classical (500–360 BCE)	Loss of civil rights for misconduct	Citizens	Citizens	['Citizenship']	Retention of civil rights	Right to citizenship	LESS	['It is from iniquitous exercise of office, from iniquity exhibited either in speech or action, and the like circumstances, that citizens are punished with deprivation of civil rights in Athens.']	Citizenship	Citizens	in-group (privileged)
tlg0059.tlg008.perseus-eng2::12	tlg0059.tlg008.perseus-eng2	Plato	Statesman	-393	Classical (500–360 BCE)	Dialectical training for students	Education	The educated	['Education']	Access to advanced dialectical training	Access to the gymnasium	MORE	['Suppose we were asked the following question about a group of pupils learning their letters: When a pupil is asked of what letters some word or other composed, is the question asked for the sake of the one particular word before him or rather to make him more learned about all words in the lesson? [...] And how about our own investigation of the statesman? Has it been undertaken for the sake of his particular subject or rather to make us better thinkers about all subjects? [...] By far our first and most important object should be to exalt the method itself of ability to divide by classes, and therefore, if a discourse, even though it be very long, makes the hearer better able to discover the truth, we should accept it eagerly.']	Education	The educated	in-group (privileged)
tlg0059.tlg008.perseus-eng2::13	tlg0059.tlg008.perseus-eng2	Plato	Statesman	-393	Classical (500–360 BCE)	Priestly eligibility for kingship	Priests	Priests	['Occupation', 'Religion']	Eligibility for the kingship	Eligibility for public office	MORE	['In Egypt, for example, no king can rule without being a priest, and if he happens to have forced his way to the throne from some other class, he must enroll himself in the class of priests afterwards; and among the Greeks, too, you would find that in many states the performance of the greatest public sacrifices is a duty imposed upon the highest officials.']	Religion	Priests	in-group (privileged)
tlg0059.tlg008.perseus-eng2::17	tlg0059.tlg008.perseus-eng2	Plato	Statesman	-393	Classical (500–360 BCE)	Mandatory adherence to written laws	Citizens	Citizens	['Citizenship']	Freedom from capital punishment	Protection from capital punishment	LESS	['That no citizen shall dare to do anything contrary to the laws, and that he who does shall be punished by death and the most extreme penalties. And this is perfectly right and good as a second choice, as soon as you depart from the first form of which we were just speaking.']	Citizenship	Citizens	in-group (privileged)
tlg0059.tlg008.perseus-eng2::19	tlg0059.tlg008.perseus-eng2	Plato	Statesman	-393	Classical (500–360 BCE)	Wealth-based eligibility for magistracies	The rich	The wealthy	['Wealth / Properties', 'Citizenship']	Eligibility for the archonship	Eligibility for public office	MORE	['And suppose that rulers of the people are set up annually, whether from the rich or from the whole people, on the principle that whoever is chosen by lot should rule, and that these rulers exercise their authority in commanding the ships or treating the sick in accordance with the written rules.']	Wealth / Properties	The wealthy	in-group (privileged)
tlg0059.tlg008.perseus-eng2::20	tlg0059.tlg008.perseus-eng2	Plato	Statesman	-393	Classical (500–360 BCE)	Wealth-based jury selection	The rich	The wealthy	['Wealth / Properties', 'Citizenship']	Right to serve as a judge	Eligibility for public office	MORE	['there will have to be sessions of courts in which the judges are chosen by lot either from a selected list of the rich or from the whole people, and the rulers will have to be brought before these courts and examined as to their conduct in office']	Wealth / Properties	The wealthy	in-group (privileged)
tlg0059.tlg008.perseus-eng2::23	tlg0059.tlg008.perseus-eng2	Plato	Statesman	-393	Classical (500–360 BCE)	Public participation in lawmaking	Citizens	Citizens	['Citizenship']	Right to pass laws	Political power	MORE	['Since the laws are made after long experience and after commissioners of some kind have carefully considered each detail with delicate skill and have persuaded the people to pass them, anyone, I fancy, who ventured to violate them would be involved in error many times greater than the first.']	Citizenship	Citizens	in-group (privileged)
tlg0059.tlg008.perseus-eng2::31	tlg0059.tlg008.perseus-eng2	Plato	Statesman	-393	Classical (500–360 BCE)	Marriage ties based on wealth	The wealthy	The wealthy	['Wealth / Properties']	Right to form marriage alliances	Right to citizenship	MORE	['The pursuit of wealth or power in connection with matrimony—but why should anyone ever take the trouble to blame it, as though it were worth arguing about?... The fact is, they act on no right theory at all; they seek their ease for the moment; welcoming gladly those who are like themselves.']	Wealth / Properties	The wealthy	in-group (privileged)
tlg0062.tlg034.perseus-eng2::3	tlg0062.tlg034.perseus-eng2	Lucian of Samosata	Anacharsis, or Athletics	155	High Roman Empire (135–205 CE)	Protection from physical assault	Citizens	Citizens	['Citizenship', 'Freedom']	Protection from corporal punishment	Protection from corporal punishment	MORE	['With us Scythians, Solon, if anyone strikes a citizen, or assaults him and throws him down, or tears his clothing, the elders impose severe penalties upon him, even if the offence takes place before just a few witnesses, not to speak of such great assemblies as that at the Isthmus and that at Olympia which you describe.']	Citizenship	Citizens	in-group (privileged)
tlg0062.tlg034.perseus-eng2::3	tlg0062.tlg034.perseus-eng2	Lucian of Samosata	Anacharsis, or Athletics	155	High Roman Empire (135–205 CE)	Protection from physical assault	Citizens	Citizens	['Citizenship', 'Freedom']	Protection from corporal punishment	Protection from corporal punishment	MORE	['With us Scythians, Solon, if anyone strikes a citizen, or assaults him and throws him down, or tears his clothing, the elders impose severe penalties upon him, even if the offence takes place before just a few witnesses, not to speak of such great assemblies as that at the Isthmus and that at Olympia which you describe.']	Freedom	Citizens	in-group (privileged)
tlg0062.tlg034.perseus-eng2::4	tlg0062.tlg034.perseus-eng2	Lucian of Samosata	Anacharsis, or Athletics	155	High Roman Empire (135–205 CE)	Citizen right to legal counsel	Citizens	Citizens	['Citizenship']	Right to professional legal representation	Right to a legal trial	MORE	['Whenever it goes up to the Areopagus and holds a sitting to judge a case of manslaughter or premeditated wounding or arson, an opportunity to be heard is given to each party to the case, and the plaintiff and defendant plead in turn, either in person or through professional speakers whom they bring to the bar to plead in their behalf.']	Citizenship	Citizens	in-group (privileged)
tlg0062.tlg034.perseus-eng2::5	tlg0062.tlg034.perseus-eng2	Lucian of Samosata	Anacharsis, or Athletics	155	High Roman Empire (135–205 CE)	Areopagus restriction on rhetorical introductions	Citizens	Citizens	['Citizenship']	Protection from biased legal pleading	Right to a legal trial	MORE	['As long as they speak about the case, the court tolerates them and listens in silence; but if anyone prefaces his speech with an introduction in order to make the court more favourable, or brings emotion or exaggeration into the case— tricks that are often devised by the disciples of rhetoric to influence the judges,—then the crier appears and silences them at once, preventing them from talking nonsense to the court and from tricking the case out in words, in order that the Areopagites may see the facts bare.']	Citizenship	Citizens	in-group (privileged)
tlg0062.tlg034.perseus-eng2::6	tlg0062.tlg034.perseus-eng2	Lucian of Samosata	Anacharsis, or Athletics	155	High Roman Empire (135–205 CE)	Public education through drama	Citizens	Citizens	['Citizenship', 'Gender', 'Education']	Access to public moral education	Access to the gymnasium	MORE	['Furthermore, assembling them in the theatre, we instruct them publicly through comedies and tragedies, in which they behold both the virtues and the vices of the ancients, in order that they may recoil from the vices and emulate the virtues.']	Citizenship	Citizens	in-group (privileged)
tlg0062.tlg034.perseus-eng2::6	tlg0062.tlg034.perseus-eng2	Lucian of Samosata	Anacharsis, or Athletics	155	High Roman Empire (135–205 CE)	Public education through drama	Citizens	Citizens	['Citizenship', 'Gender', 'Education']	Access to public moral education	Access to the gymnasium	MORE	['Furthermore, assembling them in the theatre, we instruct them publicly through comedies and tragedies, in which they behold both the virtues and the vices of the ancients, in order that they may recoil from the vices and emulate the virtues.']	Education	Citizens	out-group (deprived)
tlg0062.tlg034.perseus-eng2::8	tlg0062.tlg034.perseus-eng2	Lucian of Samosata	Anacharsis, or Athletics	155	High Roman Empire (135–205 CE)	Citizen training in communal laws	Citizens	Citizens	['Citizenship', 'Education']	Access to legal education	Access to the gymnasium	MORE	['We harmonize their minds by causing them to learn by heart the laws of the community, which are exposed in public for everyone to read, written in large letters, and tell what one should do and what one should refrain from doing']	Citizenship	Citizens	in-group (privileged)
tlg0062.tlg034.perseus-eng2::8	tlg0062.tlg034.perseus-eng2	Lucian of Samosata	Anacharsis, or Athletics	155	High Roman Empire (135–205 CE)	Citizen training in communal laws	Citizens	Citizens	['Citizenship', 'Education']	Access to legal education	Access to the gymnasium	MORE	['We harmonize their minds by causing them to learn by heart the laws of the community, which are exposed in public for everyone to read, written in large letters, and tell what one should do and what one should refrain from doing']	Education	Citizens	out-group (deprived)
tlg0062.tlg034.perseus-eng2::9	tlg0062.tlg034.perseus-eng2	Lucian of Samosata	Anacharsis, or Athletics	155	High Roman Empire (135–205 CE)	Citizen cavalry service obligation	Citizens	Citizens	['Citizenship']	Eligibility for the cavalry	Eligibility for public office	MORE	['But you would see it, Anacharsis, if you should stop with us longer, and also arms for every man in great quantity, which we use when it is necessary, and crests and trappings and horses, and cavalrymen amounting to nearly a fourth of our citizens.']	Citizenship	Citizens	in-group (privileged)
tlg0062.tlg034.perseus-eng2::10	tlg0062.tlg034.perseus-eng2	Lucian of Samosata	Anacharsis, or Athletics	155	High Roman Empire (135–205 CE)	Public weapon prohibition	Citizens	Citizens	['Citizenship']	Right to bear arms in public	Right to bear arms	LESS	['But to bear arms always and carry a dirk at one’s belt is, we think, superfluous in time of peace; in fact, there is a penalty prescribed for anyone who carries weapons unnecessarily within the city limits or brings armour out into a public place.']	Citizenship	Citizens	in-group (privileged)
tlg0062.tlg034.perseus-eng2::11	tlg0062.tlg034.perseus-eng2	Lucian of Samosata	Anacharsis, or Athletics	155	High Roman Empire (135–205 CE)	Female exclusion from gymnasiums	Women	Women	['Gender']	Access to the gymnasium	Access to the gymnasium	LESS	['They show no white and ineffective corpulence or pallid leanness, as if they were women’s bodies bleached out in the shade, quivering and streaming with profuse sweat at once and panting beneath the helmet, especially if the sun, as at present, blazes with the heat of noon.']	Gender	Women	out-group (deprived)
tlg0086.tlg003.perseus-eng1::0	tlg0086.tlg003.perseus-eng1	Aristotle	Athenian Constitution	-348	Late Classical (354–165 BCE)	Debt slavery for tenant farmers	The poor	The poor	['Wealth / Properties']	Protection from enslavement	Protection from enslavement	LESS	['The whole country was in the hands of a few persons, and if the tenants failed to pay their rent they were liable to be haled into slavery, and their children with them. All loans were secured upon the debtor’s person, a custom which prevailed until the time of Solon, who was the first to appear as the champion of the people.']	Wealth / Properties	The poor	out-group (deprived)
tlg0086.tlg003.perseus-eng1::1	tlg0086.tlg003.perseus-eng1	Aristotle	Athenian Constitution	-348	Late Classical (354–165 BCE)	Elite access to magistracies	The wealthy and noble	The wealthy;Nobles	['Nobility', 'Wealth / Properties']	Eligibility for the archonship	Eligibility for public office	MORE	['The magistrates were elected according to qualifications of birth and wealth. At first they governed for life, but subsequently for terms of ten years.', 'This was the natural consequence of the facts that the Archons were elected under qualifications of birth and wealth, and that the Areopagus was composed of those who had served as Archons']	Nobility	Nobles	in-group (privileged)
tlg0086.tlg003.perseus-eng1::1	tlg0086.tlg003.perseus-eng1	Aristotle	Athenian Constitution	-348	Late Classical (354–165 BCE)	Elite access to magistracies	The wealthy and noble	The wealthy;Nobles	['Nobility', 'Wealth / Properties']	Eligibility for the archonship	Eligibility for public office	MORE	['The magistrates were elected according to qualifications of birth and wealth. At first they governed for life, but subsequently for terms of ten years.', 'This was the natural consequence of the facts that the Archons were elected under qualifications of birth and wealth, and that the Areopagus was composed of those who had served as Archons']	Wealth / Properties	The wealthy	in-group (privileged)
tlg0086.tlg003.perseus-eng1::3	tlg0086.tlg003.perseus-eng1	Aristotle	Athenian Constitution	-348	Late Classical (354–165 BCE)	Wealth-based eligibility for high office	Wealthy property owners	The wealthy	['Wealth / Properties']	Eligibility for the archonship	Eligibility for public office	MORE	['The nine Archons and the Treasurers were elected by this body from persons possessing an unencumbered property of not less than ten minas, the less important officials from those who could furnish themselves with a military equipment, and the generals [Strategi] and commanders of the cavalry [Hipparchi] from those who could show an unencumbered property of not less than a hundred minas']	Wealth / Properties	The wealthy	in-group (privileged)
tlg0086.tlg003.perseus-eng1::4	tlg0086.tlg003.perseus-eng1	Aristotle	Athenian Constitution	-348	Late Classical (354–165 BCE)	Age requirement for magistracies	Men over thirty	Men;Elders	['Age']	Eligibility for the archonship	Eligibility for public office	MORE	['Both for this and for the other magistracies the lot was cast among those who were over thirty years of age; and no one might hold office twice until every one else had had his turn']	Age	Elders	in-group (privileged)
tlg0086.tlg003.perseus-eng1::6	tlg0086.tlg003.perseus-eng1	Aristotle	Athenian Constitution	-348	Late Classical (354–165 BCE)	Prohibition of debt slavery	Citizens	Citizens	['Freedom']	Protection from enslavement	Protection from enslavement	MORE	['As soon as he was at the head of affairs, Solon liberated the people once and for all, by prohibiting all loans on the security of the debtor’s person: and in addition he made laws by which he cancelled all debts, public and private.']	Freedom	Citizens	in-group (privileged)
tlg0086.tlg003.perseus-eng1::7	tlg0086.tlg003.perseus-eng1	Aristotle	Athenian Constitution	-348	Late Classical (354–165 BCE)	Magistracy restricted to wealthy classes	Thetes	The poor	['Wealth / Properties']	Eligibility for the archonship	Eligibility for public office	LESS	['He divided the population according to property into four classes, namely, Pentacosiomedimni, Knights, Zeugitae, and Thetes. The various magistracies, namely, the nine Archons, the Treasurers, the Commissioners for Public Contracts [Poletae], the Eleven, and the Exchequer Clerks [Colacretae], he assigned to the Pentacosiomedimni, the Knights, and the Zeugitae, giving offices to each class in proportion to the value of their rateable property. To those who ranked among the Thetes he gave nothing but a place in the Assembly and in the juries.', 'Those ranked as Zeugitae who made two hundred measures, liquid or solid; and the rest ranked as Thetes, and were not eligible for any office. Hence it is that even at the present day, when a candidate for any office is asked to what class he belongs, no one would think of saying that he belonged to the Thetes.']	Wealth / Properties	The poor	out-group (deprived)
tlg0086.tlg003.perseus-eng1::8	tlg0086.tlg003.perseus-eng1	Aristotle	Athenian Constitution	-348	Late Classical (354–165 BCE)	Treasurer eligibility restricted to Pentacosiomedimni	Pentacosiomedimni	The wealthy	['Wealth / Properties']	Eligibility for the office of Treasurer	Eligibility for public office	MORE	['A proof that Solon regulated the elections to office according to the property classes may be found in the law still in force with regard to the Treasurers, which enacts that they shall be chosen from the Pentacosiomedimni.']	Wealth / Properties	The wealthy	in-group (privileged)
tlg0086.tlg003.perseus-eng1::9	tlg0086.tlg003.perseus-eng1	Aristotle	Athenian Constitution	-348	Late Classical (354–165 BCE)	Neutrality in civil strife penalty	Citizens	Citizens	['Citizenship']	Right to retain citizenship	Right to citizenship	LESS	['Further, since he saw the state often engaged in internal disputes, while many of the citizens from sheer indifference accepted whatever might turn up, he made a law with express reference to such persons, enacting that any one who, in a time civil factions, did not take up arms with either party, should lose his rights as a citizen and cease to have any part in the state.']	Citizenship	Citizens	in-group (privileged)
