file_id	perseus_id	perseus_author	perseus_title	wikidata_work_id	wikidata_work_label	author_wikidata_id	author_impact_date	year	period	genre	form_of_creative_work	instance_of	factuality	factuality_reason	main_language	languages	editors	pub_date	n_characters	n_words	n_pages	file_path	work_factuality
tlg0627.tlg002.perseus-eng4	tlg0627.tlg002	Hippocrates	Airs Waters Places	Q42185392	Air, Waters, and Places	Q1620003	-465	-465	Classical (500–360 BCE)			literary work	3.0	Hippocrates' 'Air, Waters, and Places' is a medical treatise offering contemporary observations.	English	eng; grc	William Henry Samuel Jones	1923	50621	8858	35	tlg0627/tlg002/tlg0627.tlg002.perseus-eng4.xml	D_contemporary_treatise
tlg0627.tlg001.perseus-eng4	tlg0627.tlg001	Hippocrates	Ancient Medicine	Q3020352	On Ancient Medicine	Q1620003	-465	-465	Classical (500–360 BCE)	treatise, scientific literature		written work	3.0	Hippocrates' 'On Ancient Medicine' is a medical treatise, providing contemporary documentation of medical practices and knowledge.	English	eng; grc	William Henry Samuel Jones	1923	44047	7842	31	tlg0627/tlg001/tlg0627.tlg001.perseus-eng4.xml	D_contemporary_treatise
tlg0627.tlg012.perseus-eng2	tlg0627.tlg012	Hippocrates	Aphorisms	Q29788467	Aphorisms	Q1620003	-465	-465	Classical (500–360 BCE)			written work	3.0	Hippocrates' 'Aphorisms' are medical texts, providing contemporary documentation of medical principles and observations.	English	eng	Francis Adams	1886	60054	10001	40	tlg0627/tlg012/tlg0627.tlg012.perseus-eng2.xml	D_contemporary_treatise
tlg0627.tlg006.perseus-eng4	tlg0627.tlg006	Hippocrates	Epidemics I and III	Q110929341	Epidemics	Q1620003	-465	-465	Classical (500–360 BCE)			written work	3.0	Hippocrates' 'Epidemics' is a medical text, providing contemporary documentation of medical observations and practices.	English	eng; grc	William Henry Samuel Jones	1923	104485	16887	68	tlg0627/tlg006/tlg0627.tlg006.perseus-eng4.xml	D_contemporary_treatise
tlg0627.tlg011.perseus-eng2	tlg0627.tlg011	Hippocrates	Mochlicus	Q110929341	Epidemics	Q1620003	-465	-465	Classical (500–360 BCE)			written work	3.0	Hippocrates' 'Epidemics' is a medical treatise offering contemporary observations.	English	eng	Francis Adams	1886	48096	8356	33	tlg0627/tlg011/tlg0627.tlg011.perseus-eng2.xml	D_contemporary_treatise
tlg0627.tlg046.perseus-eng2	tlg0627.tlg046	Hippocrates	Nutrimen	Q110905529	Instruments of reduction	Q1620003	-465	-465	Classical (500–360 BCE)			written work	3.0	Hippocrates' 'Instruments of reduction' is a medical treatise offering contemporary observations.	English	eng; grc	William Henry Samuel Jones	1923	10076	1685	7	tlg0627/tlg046/tlg0627.tlg046.perseus-eng2.xml	D_contemporary_treatise
tlg0627.tlg013.perseus-eng5	tlg0627.tlg013	Hippocrates	Oath	Q134990	Hippocratic Oath	Q1620003	-465	-465	Classical (500–360 BCE)			written work, vow	3.0	The Hippocratic Oath is a medical text, providing contemporary documentation of ethical standards in medicine.	English	eng; grc	William Henry Samuel Jones	1923	2314	424	2	tlg0627/tlg013/tlg0627.tlg013.perseus-eng5.xml	D_contemporary_treatise
tlg0627.tlg030.perseus-eng2	tlg0627.tlg030	Hippocrates	On Fistulae	Q110929340	On fistulae	Q1620003	-465	-465	Classical (500–360 BCE)			written work	3.0	Hippocrates' 'On fistulae' is a medical text, providing contemporary documentation of medical practices and knowledge.	English	eng	Francis Adams	1886	12412	2268	9	tlg0627/tlg030/tlg0627.tlg030.perseus-eng2.xml	D_contemporary_treatise
tlg0627.tlg009.perseus-eng2	tlg0627.tlg009	Hippocrates	On Fractures	Q110929339	On fractures	Q1620003	-465	-465	Classical (500–360 BCE)			written work	3.0	Hippocrates' 'On fractures' is a medical text, providing contemporary documentation of medical practices and knowledge.	English	eng	Francis Adams	1886	87385	15862	63	tlg0627/tlg009/tlg0627.tlg009.perseus-eng2.xml	D_contemporary_treatise
tlg0627.tlg029.perseus-eng2	tlg0627.tlg029	Hippocrates	On Hemorrhoids	Q110929338	Haemorrhoids	Q1620003	-465	-465	Classical (500–360 BCE)			written work	3.0	Hippocrates' 'Haemorrhoids' is a medical text, providing contemporary documentation of medical treatment practices.	English	eng	Francis Adams	1886	7553	1395	6	tlg0627/tlg029/tlg0627.tlg029.perseus-eng2.xml	D_contemporary_treatise
tlg0627.tlg007.perseus-eng2	tlg0627.tlg007	Hippocrates	On Injuries of the Head	Q124421885	The Heart	Q1620003	-465	-465	Classical (500–360 BCE)			written work	3.0	Hippocrates' 'The Heart' is a medical text, providing contemporary documentation of anatomical and physiological understanding.	English	eng	Francis Adams	1886	34248	6261	25	tlg0627/tlg007/tlg0627.tlg007.perseus-eng2.xml	D_contemporary_treatise
tlg0627.tlg004.perseus-eng2	tlg0627.tlg004	Hippocrates	On Regimen in Acute Diseases	Q110929344	Regimen in acute diseases	Q1620003	-465	-465	Classical (500–360 BCE)			written work	3.0	Hippocrates' 'Regimen in acute diseases' is a medical text, providing contemporary documentation of medical treatment practices.	English	eng	Francis Adams	1886	93634	16555	66	tlg0627/tlg004/tlg0627.tlg004.perseus-eng2.xml	D_contemporary_treatise
tlg0627.tlg028.perseus-eng2	tlg0627.tlg028	Hippocrates	On Ulcers	Q42185392	Air, Waters, and Places	Q1620003	-465	-465	Classical (500–360 BCE)			literary work	3.0	Hippocrates' 'Air, Waters, and Places' is a medical treatise offering contemporary observations.	English	eng; grc	Francis Adams	1886	26059	4701	19	tlg0627/tlg028/tlg0627.tlg028.perseus-eng2.xml	D_contemporary_treatise
tlg0627.tlg010.perseus-eng2	tlg0627.tlg010	Hippocrates	On the Articulations	Q124421861	The Art	Q1620003	-465	-465	Classical (500–360 BCE)			written work	3.0	Hippocrates' 'The Art' is a medical text, providing contemporary documentation of medical principles and practices.	English	eng	Francis Adams	1886	157411	28333	113	tlg0627/tlg010/tlg0627.tlg010.perseus-eng2.xml	D_contemporary_treatise
tlg0627.tlg027.perseus-eng2	tlg0627.tlg027	Hippocrates	On the Sacred Disease	Q7091533	On the Sacred Disease	Q1620003	-465	-465	Classical (500–360 BCE)			treatise	3.0	Hippocrates' 'On the Sacred Disease' is a medical treatise, providing contemporary documentation of medical understanding of epilepsy.	English	eng	Francis Adams	1886	33116	6016	24	tlg0627/tlg027/tlg0627.tlg027.perseus-eng2.xml	D_contemporary_treatise
tlg0627.tlg008.perseus-eng2	tlg0627.tlg008	Hippocrates	On the Surgery	Q7091533	On the Sacred Disease	Q1620003	-465	-465	Classical (500–360 BCE)			treatise	3.0	Hippocrates' 'On the Sacred Disease' is a medical treatise offering contemporary observations.	English	eng	Francis Adams	1886	21199	3772	15	tlg0627/tlg008/tlg0627.tlg008.perseus-eng2.xml	D_contemporary_treatise
tlg0627.tlg051.perseus-eng2	tlg0627.tlg051	Hippocrates	Precepts	Q110905547	Precepts	Q1620003	-465	-465	Classical (500–360 BCE)			written work	3.0	Hippocrates' 'Precepts' are medical texts, providing contemporary documentation of medical principles and ethics.	English	eng; grc; lat	William Henry Samuel Jones	1923	16395	2805	11	tlg0627/tlg051/tlg0627.tlg051.perseus-eng2.xml	D_contemporary_treatise
tlg0627.tlg003.perseus-eng2	tlg0627.tlg003	Hippocrates	The Book of Prognostics	Q110905546	Prognostic	Q1620003	-465	-465	Classical (500–360 BCE)			written work	3.0	Hippocrates' 'Prognostic' is a medical text, providing contemporary documentation of medical diagnostic practices.	English	eng	Francis Adams	1886	39225	6963	28	tlg0627/tlg003/tlg0627.tlg003.perseus-eng2.xml	D_contemporary_treatise
tlg0627.tlg014.perseus-eng2	tlg0627.tlg014	Hippocrates	The Law	Q110929337	Law	Q1620003	-465	-465	Classical (500–360 BCE)			written work	3.0	Hippocrates' 'Law' is a medical text, providing contemporary documentation of medical principles and ethics.	English	eng	Francis Adams	1886	3218	555	2	tlg0627/tlg014/tlg0627.tlg014.perseus-eng2.xml	D_contemporary_treatise
tlg0019.tlg001.perseus-eng1	tlg0019.tlg001	Aristophanes	Acharnians			Q43353	-409	-409	Classical (500–360 BCE)	Old Comedy	play	dramatic work			English	eng	Athenian Society	1912	78998	13598	54	full_text_copyrights_added/tlg0019/tlg001/tlg0019.tlg001.perseus-eng1.txt	E_entertainment
tlg0019.tlg006.perseus-eng2	tlg0019.tlg006	Aristophanes	Birds	Q1164079	The Birds	Q43353	-409	-409	Classical (500–360 BCE)	Old Comedy	play	dramatic work	3.0	Aristophanes' comedies satirize living Athenians and contemporary society, providing contemporary documentation of social rules.	English	eng; grc; lat	Anonymous; Eugene O'Neill, Jr.; Whitney J. Oates	1938	99721	16933	68	tlg0019/tlg006/tlg0019.tlg006.perseus-eng2.xml	E_entertainment
tlg0019.tlg003.perseus-eng2	tlg0019.tlg003	Aristophanes	Clouds	Q868447	The Clouds	Q43353	-409	-409	Classical (500–360 BCE)	Old Comedy	play	dramatic work	3.0	Aristophanes' comedies satirize living Athenians and contemporary society, providing contemporary documentation of social rules.	English	eng; grc; lat	William James Hickie	1853	91442	15432	62	tlg0019/tlg003/tlg0019.tlg003.perseus-eng2.xml	E_entertainment
tlg0019.tlg010.perseus-eng1	tlg0019.tlg010	Aristophanes	Ecclesiazusae			Q43353	-409	-409	Classical (500–360 BCE)	Old Comedy	play	dramatic work			English	eng	Athenian Society	1912	84066	15017	60	full_text_copyrights_added/tlg0019/tlg010/tlg0019.tlg010.perseus-eng1.txt	E_entertainment
tlg0019.tlg009.perseus-eng1	tlg0019.tlg009	Aristophanes	Frogs			Q43353	-409	-409	Classical (500–360 BCE)	Old Comedy	play	dramatic work			English	eng	Athenian Society	1912	108945	18809	75	full_text_copyrights_added/tlg0019/tlg009/tlg0019.tlg009.perseus-eng1.txt	E_entertainment
tlg0019.tlg002.perseus-eng1	tlg0019.tlg002	Aristophanes	Knights			Q43353	-409	-409	Classical (500–360 BCE)	Old Comedy	play	dramatic work			English	eng	Athenian Society	1912	98623	17317	69	full_text_copyrights_added/tlg0019/tlg002/tlg0019.tlg002.perseus-eng1.txt	E_entertainment
tlg0019.tlg007.perseus-eng1	tlg0019.tlg007	Aristophanes	Lysistrata			Q43353	-409	-409	Classical (500–360 BCE)	Old Comedy	play	dramatic work			English	eng	Athenian Society	1912	90536	15904	64	full_text_copyrights_added/tlg0019/tlg007/tlg0019.tlg007.perseus-eng1.txt	E_entertainment
tlg0019.tlg005.perseus-eng1	tlg0019.tlg005	Aristophanes	Peace			Q43353	-409	-409	Classical (500–360 BCE)	Old Comedy	play	dramatic work			English	eng	Athenian Society	1912	91272	15997	64	full_text_copyrights_added/tlg0019/tlg005/tlg0019.tlg005.perseus-eng1.txt	E_entertainment
tlg0019.tlg011.perseus-eng1	tlg0019.tlg011	Aristophanes	Plutus			Q43353	-409	-409	Classical (500–360 BCE)	Old Comedy	play	dramatic work			English	eng	Athenian Society	1912	94793	16411	66	full_text_copyrights_added/tlg0019/tlg011/tlg0019.tlg011.perseus-eng1.txt	E_entertainment
tlg0019.tlg008.perseus-eng1	tlg0019.tlg008	Aristophanes	Thesmophoriazusae			Q43353	-409	-409	Classical (500–360 BCE)	Old Comedy	play	dramatic work			English	eng	Athenian Society	1912	81131	14083	56	full_text_copyrights_added/tlg0019/tlg008/tlg0019.tlg008.perseus-eng1.txt	E_entertainment
tlg0019.tlg004.perseus-eng1	tlg0019.tlg004	Aristophanes	Wasps			Q43353	-409	-409	Classical (500–360 BCE)	Old Comedy	play	dramatic work			English	eng	Athenian Society	1912	105633	18785	75	full_text_copyrights_added/tlg0019/tlg004/tlg0019.tlg004.perseus-eng1.txt	E_entertainment
tlg0540.tlg008.perseus-eng2	tlg0540.tlg008	Lysias	Accusation of Calumny	Q87778189	Accusation of Calumny	Q310164	-409	-409	Classical (500–360 BCE)			oration, literary work	4.0	This is a forensic oration by Lysias, directly invoking contemporary laws and legal procedures.	English	eng; grc	W.R.M. Lamb	1930	8671	1611	6	tlg0540/tlg008/tlg0540.tlg008.perseus-eng2.xml	B_oration
tlg0540.tlg013.perseus-eng2	tlg0540.tlg013	Lysias	Against Agoratus	Q87740736	Against Agoratus	Q310164	-409	-409	Classical (500–360 BCE)			literary work, oration	4.0	This is a forensic oration by Lysias, directly invoking contemporary laws and legal procedures.	English	eng; grc	W.R.M. Lamb	1930	40928	7327	29	tlg0540/tlg013/tlg0540.tlg013.perseus-eng2.xml	B_oration
tlg0540.tlg014.perseus-eng2	tlg0540.tlg014	Lysias	Against Alcibiades 1	Q110721693	Against Alcibiades	Q310164	-409	-409	Classical (500–360 BCE)			group of literary works	4.0	This is a forensic oration by Lysias, directly invoking contemporary laws and legal procedures.	English	eng; grc	W.R.M. Lamb	1930	20772	3737	15	tlg0540/tlg014/tlg0540.tlg014.perseus-eng2.xml	B_oration
tlg0540.tlg015.perseus-eng2	tlg0540.tlg015	Lysias	Against Alcibiades 2	Q110721693	Against Alcibiades	Q310164	-409	-409	Classical (500–360 BCE)			group of literary works	4.0	This is a forensic oration by Lysias, directly invoking contemporary laws and legal procedures.	English	eng; grc	W.R.M. Lamb	1930	5503	975	4	tlg0540/tlg015/tlg0540.tlg015.perseus-eng2.xml	B_oration
tlg0540.tlg006.perseus-eng2	tlg0540.tlg006	Lysias	Against Andocides	Q19149509	Against Andocides	Q310164	-409	-409	Classical (500–360 BCE)			literary work, oration	4.0	This is a forensic oration by Lysias, directly invoking contemporary laws and legal procedures.	English	eng; grc	W.R.M. Lamb	1930	24154	4295	17	tlg0540/tlg006/tlg0540.tlg006.perseus-eng2.xml	B_oration
tlg0540.tlg032.perseus-eng2	tlg0540.tlg032	Lysias	Against Diogeiton	Q87740751	Against Diogeiton	Q310164	-409	-409	Classical (500–360 BCE)			oration, literary work	4.0	This is a forensic oration by Lysias, directly invoking contemporary laws and legal procedures.	English	eng; grc	W.R.M. Lamb	1930	15386	2739	11	tlg0540/tlg032/tlg0540.tlg032.perseus-eng2.xml	B_oration
tlg0540.tlg027.perseus-eng2	tlg0540.tlg027	Lysias	Against Epicrates and his Fellow-envoys	Q87778215	Against Epicrates and his Fellow-envoys	Q310164	-409	-409	Classical (500–360 BCE)			literary work, oration	4.0	This is a forensic oration by Lysias, directly invoking contemporary laws and legal procedures.	English	eng; grc	W.R.M. Lamb	1930	6581	1195	5	tlg0540/tlg027/tlg0540.tlg027.perseus-eng2.xml	B_oration
tlg0540.tlg012.perseus-eng2	tlg0540.tlg012	Lysias	Against Eratosthenes	Q3689204	Against Eratosthenes	Q310164	-409	-409	Classical (500–360 BCE)	rhetoric		literary work, oration	4.0	This is a forensic oration by Lysias, directly invoking contemporary laws and legal procedures.	English	eng; grc	W.R.M. Lamb	1930	43210	7722	31	tlg0540/tlg012/tlg0540.tlg012.perseus-eng2.xml	B_oration
tlg0540.tlg028.perseus-eng2	tlg0540.tlg028	Lysias	Against Ergocles	Q87740749	Against Ergocles	Q310164	-409	-409	Classical (500–360 BCE)			oration, literary work	4.0	Lysias was a forensic orator, and his works, including 'Against Ergocles', are legal orations that invoke specific contemporary laws or legal procedures.	English	eng; grc	W.R.M. Lamb	1930	7533	1347	5	tlg0540/tlg028/tlg0540.tlg028.perseus-eng2.xml	B_oration
tlg0540.tlg030.perseus-eng2	tlg0540.tlg030	Lysias	Against Nicomachus	Q87740748	Against Nicomachus	Q310164	-409	-409	Classical (500–360 BCE)			literary work, oration	4.0	This is a forensic oration by Lysias, directly invoking contemporary laws and legal procedures.	English	eng; grc	W.R.M. Lamb	1930	16996	3027	12	tlg0540/tlg030/tlg0540.tlg030.perseus-eng2.xml	B_oration
tlg0540.tlg023.perseus-eng2	tlg0540.tlg023	Lysias	Against Pancleon	Q87740744	Against Pancleon	Q310164	-409	-409	Classical (500–360 BCE)			literary work, oration	4.0	This is a forensic oration by Lysias, directly invoking contemporary laws and legal procedures.	English	eng; grc	W.R.M. Lamb	1930	6922	1259	5	tlg0540/tlg023/tlg0540.tlg023.perseus-eng2.xml	B_oration
tlg0540.tlg029.perseus-eng2	tlg0540.tlg029	Lysias	Against Philocrates	Q87778222	Against Philocrates	Q310164	-409	-409	Classical (500–360 BCE)			literary work, oration	4.0	This is a forensic oration by Lysias, directly invoking contemporary laws and legal procedures.	English	eng; grc	W.R.M. Lamb	1930	5532	1013	4	tlg0540/tlg029/tlg0540.tlg029.perseus-eng2.xml	B_oration
tlg0540.tlg031.perseus-eng2	tlg0540.tlg031	Lysias	Against Philon	Q87740752	Against Philon	Q310164	-409	-409	Classical (500–360 BCE)			oration, literary work	4.0	Lysias' 'Against Philon' is a forensic oration that would invoke specific contemporary laws or legal procedures.	English	eng; grc	W.R.M. Lamb	1930	14862	2747	11	tlg0540/tlg031/tlg0540.tlg031.perseus-eng2.xml	B_oration
tlg0540.tlg003.perseus-eng2	tlg0540.tlg003	Lysias	Against Simon: Defense	Q4691051	Against Simon	Q310164	-409	-409	Classical (500–360 BCE)			literary work, oration	4.0	This is a forensic oration by Lysias, directly invoking contemporary laws and legal procedures.	English	eng; grc	W.R.M. Lamb	1930	18614	3428	14	tlg0540/tlg003/tlg0540.tlg003.perseus-eng2.xml	B_oration
tlg0540.tlg022.perseus-eng2	tlg0540.tlg022	Lysias	Against The Corn-Dealers	Q12878837	Against the Corn-Dealers	Q310164	-409	-409	Classical (500–360 BCE)			oration, literary work	4.0	This is a forensic oration by Lysias, directly invoking contemporary laws and legal procedures.	English	eng; grc	W.R.M. Lamb	1930	9718	1776	7	tlg0540/tlg022/tlg0540.tlg022.perseus-eng2.xml	B_oration
tlg0540.tlg034.perseus-eng2	tlg0540.tlg034	Lysias	Against The Subversion of the Ancestral Constitution	Q19224734	Against Subversion of the Ancestral Constitution	Q310164	-409	-409	Classical (500–360 BCE)			oration, literary work	4.0	Lysias was a forensic orator, and his works, including 'Against Subversion of the Ancestral Constitution', are legal orations that invoke specific contemporary laws or legal procedures.	English	eng; grc	W.R.M. Lamb	1930	4833	885	4	tlg0540/tlg034/tlg0540.tlg034.perseus-eng2.xml	B_oration
tlg0540.tlg010.perseus-eng2	tlg0540.tlg010	Lysias	Against Theomnestus 1	Q110721470	Against Theomnestus	Q310164	-409	-409	Classical (500–360 BCE)			group of literary works	4.0	Lysias was a forensic orator, and his works, including 'Against Theomnestus', are legal orations that invoke specific contemporary laws or legal procedures.	English	eng; grc	W.R.M. Lamb	1930	12427	2247	9	tlg0540/tlg010/tlg0540.tlg010.perseus-eng2.xml	B_oration
tlg0540.tlg011.perseus-eng2	tlg0540.tlg011	Lysias	Against Theomnestus 2	Q110721470	Against Theomnestus	Q310164	-409	-409	Classical (500–360 BCE)			group of literary works	4.0	This is a forensic oration by Lysias, directly invoking contemporary laws and legal procedures.	English	eng; grc	W.R.M. Lamb	1930	4539	841	3	tlg0540/tlg011/tlg0540.tlg011.perseus-eng2.xml	B_oration
tlg0540.tlg007.perseus-eng2	tlg0540.tlg007	Lysias	Before the Areopagus: Defense in the Matter of the Olive Stump	Q87740733	Defense in the Matter of the Olive Stump	Q310164	-409	-409	Classical (500–360 BCE)			literary work, oration	4.0	This is a forensic oration by Lysias, directly invoking contemporary laws and legal procedures.	English	eng; grc	W.R.M. Lamb	1930	17996	3267	13	tlg0540/tlg007/tlg0540.tlg007.perseus-eng2.xml	B_oration
tlg0540.tlg021.perseus-eng2	tlg0540.tlg021	Lysias	Defence Against A Charge Of Taking Bribes	Q87778209	Defence Against A Charge Of Taking Bribes	Q310164	-409	-409	Classical (500–360 BCE)			literary work, oration	4.0	Lysias was a forensic orator, and his works, including 'Defence Against A Charge Of Taking Bribes', are legal orations that invoke specific contemporary laws or legal procedures.	English	eng; grc	W.R.M. Lamb	1930	11088	2039	8	tlg0540/tlg021/tlg0540.tlg021.perseus-eng2.xml	B_oration
tlg0540.tlg025.perseus-eng2	tlg0540.tlg025	Lysias	Defense Against a Charge of Subverting the Democracy	Q87740746	Defense Against a Charge of Subverting the Democracy	Q310164	-409	-409	Classical (500–360 BCE)			oration, literary work	4.0	This is a forensic oration by Lysias, directly invoking contemporary laws and legal procedures.	English	eng; grc	W.R.M. Lamb	1930	17393	3108	12	tlg0540/tlg025/tlg0540.tlg025.perseus-eng2.xml	B_oration
tlg0540.tlg005.perseus-eng2	tlg0540.tlg005	Lysias	For Callias	Q15715299	For Callias	Q310164	-409	-409	Classical (500–360 BCE)			literary work, oration	4.0	This is a forensic oration by Lysias, directly invoking contemporary laws and legal procedures.	English	eng; grc	W.R.M. Lamb	1930	2673	464	2	tlg0540/tlg005/tlg0540.tlg005.perseus-eng2.xml	B_oration
tlg0540.tlg020.perseus-eng2	tlg0540.tlg020	Lysias	For Polystratus	Q87778206	For Polystratus	Q310164	-409	-409	Classical (500–360 BCE)			literary work, oration	4.0	This is a forensic oration by Lysias, directly invoking contemporary laws and legal procedures.	English	eng; grc	W.R.M. Lamb	1930	15835	2907	12	tlg0540/tlg020/tlg0540.tlg020.perseus-eng2.xml	B_oration
tlg0540.tlg009.perseus-eng2	tlg0540.tlg009	Lysias	For The Soldier	Q19224655	For the Soldier	Q310164	-409	-409	Classical (500–360 BCE)			oration, literary work	4.0	Lysias' 'For the Soldier' is a forensic oration that would invoke specific contemporary laws or legal procedures.	English	eng; grc	W.R.M. Lamb	1930	9285	1650	7	tlg0540/tlg009/tlg0540.tlg009.perseus-eng2.xml	B_oration
tlg0540.tlg002.perseus-eng2	tlg0540.tlg002	Lysias	Funeral Oration	Q5509109	Funeral Oration	Q310164	-409	-409	Classical (500–360 BCE)			literary work, oration	4.0	This is a political oration by Lysias, reflecting contemporary social and political norms.	English	eng; grc	W.R.M. Lamb	1930	34465	5973	24	tlg0540/tlg002/tlg0540.tlg002.perseus-eng2.xml	B_oration
tlg0540.tlg016.perseus-eng2	tlg0540.tlg016	Lysias	In Defense of Mantitheus	Q87740737	In Defense of Mantitheus	Q310164	-409	-409	Classical (500–360 BCE)			literary work, oration	4.0	This is a forensic oration by Lysias, directly invoking contemporary laws and legal procedures.	English	eng; grc	W.R.M. Lamb	1930	9986	1801	7	tlg0540/tlg016/tlg0540.tlg016.perseus-eng2.xml	B_oration
tlg0540.tlg033.perseus-eng2	tlg0540.tlg033	Lysias	Olympic Oration	Q41462142	Olympiacos	Q310164	-409	-409	Classical (500–360 BCE)			oration, literary work	4.0	Lysias was a forensic orator, and his works, including 'Olympiacos', are legal orations that invoke specific contemporary laws or legal procedures.	English	eng; grc	W.R.M. Lamb	1930	3359	599	2	tlg0540/tlg033/tlg0540.tlg033.perseus-eng2.xml	B_oration
tlg0540.tlg004.perseus-eng2	tlg0540.tlg004	Lysias	On A Wound By Premeditation	Q7091256	On a Wound by Premeditation	Q310164	-409	-409	Classical (500–360 BCE)			literary work, oration	4.0	This is a forensic oration by Lysias, directly invoking contemporary laws and legal procedures.	English	eng; grc	W.R.M. Lamb	1930	8589	1625	6	tlg0540/tlg004/tlg0540.tlg004.perseus-eng2.xml	B_oration
tlg0540.tlg017.perseus-eng2	tlg0540.tlg017	Lysias	On The Property Of Eraton	Q87740741	On The Property Of Eraton	Q310164	-409	-409	Classical (500–360 BCE)			literary work, oration	4.0	Lysias was a forensic orator, and his works, including 'On The Property Of Eraton', are legal orations that invoke specific contemporary laws or legal procedures.	English	eng; grc	W.R.M. Lamb	1930	5412	953	4	tlg0540/tlg017/tlg0540.tlg017.perseus-eng2.xml	B_oration
