group_meta	rule_polity	period	resource_granular	n_more	n_less	bit	contested
Citizens	Classical Athens	Classical (500–360 BCE)	Resident allowance for the poor	2	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Right of residence	1	1	X	True
Citizens	Classical Athens	Classical (500–360 BCE)	Right to a public funeral	0	1	0	False
Citizens	Classical Athens	Classical (500–360 BCE)	Right to a trial	16	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Right to adoption	2	1	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Right to citizenship	1	2	0	False
Citizens	Classical Athens	Classical (500–360 BCE)	Right to punish adultery	1	0	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Speaking in the assembly	3	1	1	False
Citizens	Classical Athens	Classical (500–360 BCE)	Voting in the assembly	2	0	1	False
Citizens	Classical Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Deliberative authority	1	0	1	False
Citizens	Classical Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for the archonship	1	0	1	False
Citizens	Classical Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Participation in sacred rites	1	0	1	False
Citizens	Classical Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Personal liberty	1	0	1	False
Citizens	Classical Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Voting in the assembly	1	0	1	False
Citizens	Classical Athens	High Roman Empire (135–205 CE)	Access to formal education	1	0	1	False
Citizens	Classical Athens	High Roman Empire (135–205 CE)	Eligibility for jury service	2	0	1	False
Citizens	Classical Athens	High Roman Empire (135–205 CE)	Eligibility for military command	1	0	1	False
Citizens	Classical Athens	High Roman Empire (135–205 CE)	Pay for assembly or jury service	2	0	1	False
Citizens	Classical Athens	High Roman Empire (135–205 CE)	Possession of arms	0	1	0	False
Citizens	Classical Athens	High Roman Empire (135–205 CE)	Right to a trial	1	0	1	False
Citizens	Classical Athens	High Roman Empire (135–205 CE)	Voting in the assembly	1	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Access to common meals	0	1	0	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Access to public subsidies	1	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Access to sacred spaces	0	1	0	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Access to specialized courts	1	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Access to the Agora	0	1	0	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Deliberative authority	5	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Election of magistrates	2	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Eligibility for diplomatic office	1	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Eligibility for jury service	6	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Eligibility for military command	2	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Eligibility for public honors	0	3	0	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Eligibility for public office	3	2	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Eligibility for the archonship	3	2	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Enrollment in civic sub-units	1	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Exemption from military service	1	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Freedom of movement	0	1	0	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Immunity from prosecution	0	1	0	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Owning and retaining property	1	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Participation in sacred rites	1	1	X	True
Citizens	Classical Athens	Late Classical (354–165 BCE)	Pay for assembly or jury service	5	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Possession of arms	2	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Proposing legislation	1	1	X	True
Citizens	Classical Athens	Late Classical (354–165 BCE)	Protection from arbitrary arrest	1	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Protection from capital punishment	0	2	0	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Protection from enslavement for debt	1	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Protection from execution without trial	1	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Protection from private assault	1	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Retaining one's own earnings	1	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Right of residence	2	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Right to a legal trial	1	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Right to a public funeral	1	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Right to a trial	5	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Right to citizenship	1	3	0	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Right to engage in business	1	1	X	True
Citizens	Classical Athens	Late Classical (354–165 BCE)	Speaking in the assembly	6	7	0	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Testifying in court	1	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	Voting in the assembly	1	0	1	False
Citizens	Classical Athens	Late Classical (354–165 BCE)	right to audit magistrates	1	0	1	False
Citizens	Classical Athens (Cleisthenic)	Late Classical (354–165 BCE)	Enrollment in civic sub-units	1	0	1	False
Citizens	Classical Athens (Eleusis)	Late Classical (354–165 BCE)	Local self-governance	1	0	1	False
Citizens	Classical Athens (Solonic)	Late Classical (354–165 BCE)	Protection from enslavement for debt	1	0	1	False
Citizens	Classical Athens (The Four Hundred)	Classical (500–360 BCE)	Right to citizenship	1	0	1	False
Citizens	Classical Athens (the Five Thousand)	Late Classical (354–165 BCE)	Deliberative authority	1	0	1	False
Citizens	Classical Athens (the Thirty Tyrants)	Late Classical (354–165 BCE)	Possession of arms	0	1	0	False
Citizens	Classical Athens (the Thirty Tyrants)	Late Classical (354–165 BCE)	Protection from execution without trial	0	1	0	False
Citizens	Classical Greece	Classical (500–360 BCE)	Protection from capital punishment	0	1	0	False
Citizens	Classical Greece	Late Classical (354–165 BCE)	Eligibility for public office	1	0	1	False
Citizens	Classical Greece	Late Classical (354–165 BCE)	Possession of arms	1	0	1	False
Citizens	Classical Thebes	Hellenistic & Early Roman (165 BCE – 105 CE)	Right to a trial	1	0	1	False
Citizens	Corinth	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for military command	1	0	1	False
Citizens	Corinth	Hellenistic & Early Roman (165 BCE – 105 CE)	Local self-governance	1	0	1	False
Citizens	Crete	Late Classical (354–165 BCE)	Access to common meals	1	0	1	False
Citizens	Crete	Late Classical (354–165 BCE)	Voting in the assembly	1	0	1	False
Citizens	Cyme	Late Classical (354–165 BCE)	Right to a trial	0	1	0	False
Citizens	Delphic Amphictyonic League	Late Classical (354–165 BCE)	Deliberative authority	1	0	1	False
Citizens	Hellenistic Macedon	Hellenistic & Early Roman (165 BCE – 105 CE)	Personal liberty	1	0	1	False
Citizens	Late Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Freedom from state supervision	0	1	0	False
Citizens	Late Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Protection from execution without trial	0	1	0	False
Citizens	League of Corinth	Late Classical (354–165 BCE)	Freedom of movement	1	0	1	False
Citizens	League of Corinth	Late Classical (354–165 BCE)	Owning and retaining property	1	0	1	False
Citizens	League of Corinth	Late Classical (354–165 BCE)	Protection from arbitrary banishment	2	0	1	False
Citizens	Locri (Epizephyrian)	Late Classical (354–165 BCE)	Owning land	0	1	0	False
Citizens	Mytilene	Late Classical (354–165 BCE)	Protection from penal corporal punishment	1	0	1	False
Citizens	Oreus	Late Classical (354–165 BCE)	Voting in the assembly	1	0	1	False
Citizens	Roman Athens	High Roman Empire (135–205 CE)	Participation in sacred rites	0	2	0	False
Citizens	Roman Empire	Hellenistic & Early Roman (165 BCE – 105 CE)	Deliberative authority	0	1	0	False
Citizens	Roman Empire	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for military command	1	0	1	False
Citizens	Roman Empire	Hellenistic & Early Roman (165 BCE – 105 CE)	Immunity from prosecution	1	0	1	False
Citizens	Roman Empire	High Roman Empire (135–205 CE)	Inheriting property	1	0	1	False
Citizens	Salamis (Cyprus)	Classical (500–360 BCE)	Local self-governance	0	1	0	False
Citizens	Salamis (Cyprus)	Classical (500–360 BCE)	Protection from property seizure	1	0	1	False
Citizens	Scythia	High Roman Empire (135–205 CE)	Protection from private assault	1	0	1	False
Citizens	Sicyon	Hellenistic & Early Roman (165 BCE – 105 CE)	Owning and retaining property	1	0	1	False
Citizens	Sicyon	Hellenistic & Early Roman (165 BCE – 105 CE)	Voting in the assembly	1	0	1	False
Citizens	Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for military service	0	1	0	False
Citizens	Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Exemption from manual or agricultural labor	1	0	1	False
Citizens	Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Owning and retaining property	0	1	0	False
Citizens	Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Right to citizenship	0	1	0	False
Citizens	Sparta	Late Classical (354–165 BCE)	Access to common meals	1	0	1	False
Citizens	Sparta	Late Classical (354–165 BCE)	Access to formal education	1	0	1	False
Citizens	Sparta	Late Classical (354–165 BCE)	Eligibility for the archonship	1	0	1	False
Citizens	Sparta	Late Classical (354–165 BCE)	Owning and retaining property	1	0	1	False
Citizens	Syracuse	Classical (500–360 BCE)	Protection from capital punishment	1	0	1	False
Citizens;Foreigners	Classical Athens	Late Classical (354–165 BCE)	Eligibility for public office	0	1	0	False
Citizens;Foreigners	Classical Athens	Late Classical (354–165 BCE)	Right to engage in business	0	1	0	False
Citizens;Greeks	Roman Empire	Hellenistic & Early Roman (165 BCE – 105 CE)	Local self-governance	1	0	1	False
Citizens;Magistrates	Classical Athens	Late Classical (354–165 BCE)	Access to public subsidies	1	0	1	False
Citizens;Nobles	Classical Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Protection from arbitrary banishment	0	1	0	False
Citizens;Nobles	Classical Athens	Late Classical (354–165 BCE)	Right of residence	0	1	0	False
Citizens;Soldiers	Classical Sparta	Classical (500–360 BCE)	Freedom of movement	0	1	0	False
Elders	Classical Athens	Late Classical (354–165 BCE)	Speaking in the assembly	1	0	1	False
Elders	Roman Empire	High Roman Empire (135–205 CE)	Eligibility for public honors	1	0	1	False
Elders;Priests	Early Christian Church	Hellenistic & Early Roman (165 BCE – 105 CE)	Deliberative authority	1	0	1	False
Exiles	Classical Athens	Classical (500–360 BCE)	Owning and retaining property	1	0	1	False
Exiles	Classical Athens	Late Classical (354–165 BCE)	Freedom of movement	1	0	1	False
Exiles	Classical Athens	Late Classical (354–165 BCE)	Protection from arbitrary arrest	1	0	1	False
Exiles	Classical Athens	Late Classical (354–165 BCE)	Protection from capital punishment	1	0	1	False
Exiles	Classical Athens	Late Classical (354–165 BCE)	Right of residence	1	0	1	False
Exiles	Syracuse	Classical (500–360 BCE)	Owning and retaining property	1	0	1	False
Exiles;Citizens	Classical Athens	Late Classical (354–165 BCE)	Freedom of movement	0	1	0	False
Exiles;Nobles	Syracuse	Classical (500–360 BCE)	Retaining one's own earnings	0	1	0	False
Foreigners	Acragas	High Roman Empire (135–205 CE)	Right of residence	1	0	1	False
Foreigners	Aegina	Classical (500–360 BCE)	Disposing of property by will	1	0	1	False
Foreigners	Archaic Athens	Late Classical (354–165 BCE)	Right to citizenship	0	1	0	False
Foreigners	Archaic Athens (Solonic)	High Roman Empire (135–205 CE)	Owning land	0	1	0	False
Foreigners	Archaic Athens (Solonic)	High Roman Empire (135–205 CE)	Participation in sacred rites	0	1	0	False
Foreigners	Athenian Empire	Classical (500–360 BCE)	Disposing of property	0	1	0	False
Foreigners	Athenian Empire	Classical (500–360 BCE)	Right to a trial	0	1	0	False
Foreigners	Athens (The Thirty Tyrants)	Classical (500–360 BCE)	Deliberative authority	0	1	0	False
Foreigners	Athens (The Thirty Tyrants)	Classical (500–360 BCE)	Protection from execution without trial	0	1	0	False
Foreigners	Athens (The Thirty Tyrants)	Classical (500–360 BCE)	Protection from property seizure	0	1	0	False
Foreigners	Classical Athens	Classical (500–360 BCE)	Eligibility for military command	1	0	1	False
Foreigners	Classical Athens	Classical (500–360 BCE)	Eligibility for public office	0	1	0	False
Foreigners	Classical Athens	Classical (500–360 BCE)	Freedom of movement	0	1	0	False
Foreigners	Classical Athens	Classical (500–360 BCE)	Personal liberty	0	1	0	False
Foreigners	Classical Athens	Classical (500–360 BCE)	Protection from arbitrary arrest	1	1	X	True
Foreigners	Classical Athens	Classical (500–360 BCE)	Protection from capital punishment	1	1	X	True
Foreigners	Classical Athens	Classical (500–360 BCE)	Protection from private assault	1	0	1	False
Foreigners	Classical Athens	Classical (500–360 BCE)	Protection from property seizure	0	1	0	False
Foreigners	Classical Athens	Classical (500–360 BCE)	Right to citizenship	1	0	1	False
Foreigners	Classical Athens	Classical (500–360 BCE)	Right to engage in business	0	1	0	False
Foreigners	Classical Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for public office	0	1	0	False
Foreigners	Classical Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Exemption from taxes	0	1	0	False
Foreigners	Classical Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Proposing legislation	0	1	0	False
Foreigners	Classical Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Resident allowance for the poor	0	1	0	False
Foreigners	Classical Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Speaking in the assembly	0	1	0	False
Foreigners	Classical Athens	High Roman Empire (135–205 CE)	Access to specialized courts	0	1	0	False
Foreigners	Classical Athens	High Roman Empire (135–205 CE)	Exemption from taxes	0	1	0	False
Foreigners	Classical Athens	Late Classical (354–165 BCE)	Access to common meals	1	0	1	False
Foreigners	Classical Athens	Late Classical (354–165 BCE)	Access to public subsidies	1	0	1	False
Foreigners	Classical Athens	Late Classical (354–165 BCE)	Access to specialized courts	1	0	1	False
Foreigners	Classical Athens	Late Classical (354–165 BCE)	Enrollment in civic sub-units	0	1	0	False
Foreigners	Classical Athens	Late Classical (354–165 BCE)	Exemption from taxes	1	1	X	True
Foreigners	Classical Athens	Late Classical (354–165 BCE)	Freedom from state supervision	0	1	0	False
Foreigners	Classical Athens	Late Classical (354–165 BCE)	Inheriting property	0	1	0	False
Foreigners	Classical Athens	Late Classical (354–165 BCE)	Owning land	0	1	0	False
Foreigners	Classical Athens	Late Classical (354–165 BCE)	Personal liberty	1	2	0	False
Foreigners	Classical Athens	Late Classical (354–165 BCE)	Protection from arbitrary arrest	0	1	0	False
Foreigners	Classical Athens	Late Classical (354–165 BCE)	Protection from capital punishment	1	0	1	False
Foreigners	Classical Athens	Late Classical (354–165 BCE)	Right to a trial	1	1	X	True
Foreigners	Classical Athens	Late Classical (354–165 BCE)	Right to citizenship	1	1	X	True
Foreigners	Classical Athens	Late Classical (354–165 BCE)	Right to engage in business	1	0	1	False
Foreigners	Classical Athens	Late Classical (354–165 BCE)	Right to legal personhood	0	1	0	False
Foreigners	Classical Athens	Late Classical (354–165 BCE)	Right to marry a citizen	0	2	0	False
Foreigners	Classical Greece	Late Classical (354–165 BCE)	Right to citizenship	0	1	0	False
Foreigners	Classical Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Owning land	0	1	0	False
Foreigners	Early Roman Kingdom	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for the council	1	0	1	False
Foreigners	Hellenistic Greece	Hellenistic & Early Roman (165 BCE – 105 CE)	Right to citizenship	1	0	1	False
Foreigners	Macedonia	Late Classical (354–165 BCE)	Personal liberty	0	1	0	False
Foreigners	Mantineia	Hellenistic & Early Roman (165 BCE – 105 CE)	Right to citizenship	1	0	1	False
Foreigners	Middle Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Right to citizenship	1	0	1	False
Foreigners	Oropus	Classical (500–360 BCE)	Exemption from taxes	0	1	0	False
Foreigners	Roman Empire	Hellenistic & Early Roman (165 BCE – 105 CE)	Right to citizenship	1	0	1	False
Foreigners	Roman Empire	High Roman Empire (135–205 CE)	Protection from arbitrary arrest	0	1	0	False
Foreigners	Sicyon	Hellenistic & Early Roman (165 BCE – 105 CE)	Owning and retaining property	0	1	0	False
Foreigners	Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Right of residence	0	1	0	False
Foreigners	Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Right to citizenship	1	0	1	False
Foreigners	Syracuse	Classical (500–360 BCE)	Owning and retaining property	0	1	0	False
Foreigners	Tarsus	High Roman Empire (135–205 CE)	Exemption from taxes	1	0	1	False
Foreigners	Thurii	Late Classical (354–165 BCE)	Right of residence	0	1	0	False
Greeks	Classical Athens	Classical (500–360 BCE)	Freedom of speech	0	1	0	False
Greeks	Delphi	High Roman Empire (135–205 CE)	Access to public subsidies	1	0	1	False
Greeks	Hellenistic Greece	Hellenistic & Early Roman (165 BCE – 105 CE)	Local self-governance	0	1	0	False
Greeks	Mantineia	Hellenistic & Early Roman (165 BCE – 105 CE)	Personal liberty	0	1	0	False
Greeks	Middle Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Personal liberty	0	1	0	False
Greeks	Roman Empire	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for public office	0	1	0	False
Greeks	Syracuse	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for military command	0	1	0	False
Greeks	Syracuse	Hellenistic & Early Roman (165 BCE – 105 CE)	Owning land	1	0	1	False
Greeks	Syracuse	Hellenistic & Early Roman (165 BCE – 105 CE)	Speaking in the assembly	1	0	1	False
Greeks;Citizens	Classical Athens	Hellenistic & Early Roman (165 BCE – 105 CE)	Voting in the assembly	1	0	1	False
Heirs	Classical Athens	Classical (500–360 BCE)	Inheriting property	1	0	1	False
Heirs	Classical Athens	Classical (500–360 BCE)	Support of ancestors	0	1	0	False
Heirs	Classical Athens	Late Classical (354–165 BCE)	Inheriting property	0	1	0	False
Heirs	Classical Athens	Late Classical (354–165 BCE)	Right to a trial	1	0	1	False
Heirs	Roman Empire	High Roman Empire (135–205 CE)	Inheriting property	1	0	1	False
Heirs;Magistrates	Classical Greece	Late Classical (354–165 BCE)	Eligibility for public office	1	0	1	False
Heirs;Men	Classical Athens	Classical (500–360 BCE)	Inheriting property	1	0	1	False
Heirs;Men	Classical Athens	Classical (500–360 BCE)	Right to a share of an estate	1	0	1	False
Heirs;Minors	Salamis (Cyprus)	Classical (500–360 BCE)	Inheriting property	1	0	1	False
Heirs;Women	Classical Athens	Classical (500–360 BCE)	Freedom of choice in marriage	0	1	0	False
Jews;Priests	Second Temple Judea	Hellenistic & Early Roman (165 BCE – 105 CE)	Priesthood	1	0	1	False
Kings	Argos	Hellenistic & Early Roman (165 BCE – 105 CE)	Protection from property seizure	0	1	0	False
Kings	Classical Athens	Classical (500–360 BCE)	Exemption from legal audit	0	1	0	False
Kings	Middle Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Deliberative authority	1	0	1	False
Kings	Middle Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for public honors	1	0	1	False
Kings	Middle Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Protection from execution without trial	1	0	1	False
Kings	Mythological / legendary setting	Classical (500–360 BCE)	Eligibility for the kingship	1	0	1	False
Kings	Non-Greek states	Late Classical (354–165 BCE)	Eligibility for the kingship	1	0	1	False
Kings;Nobles	Classical Sparta	Hellenistic & Early Roman (165 BCE – 105 CE)	Eligibility for the kingship	1	0	1	False
Macedonians;Kings	Macedonian Empire	Hellenistic & Early Roman (165 BCE – 105 CE)	Right to marry a citizen	1	0	1	False
Magistrates	Archaic Athens (Solonic)	High Roman Empire (135–205 CE)	Eligibility for public office	1	0	1	False
Magistrates	Classical Athens	Classical (500–360 BCE)	Eligibility for jury service	1	0	1	False
Magistrates	Classical Athens	Classical (500–360 BCE)	Exemption from legal audit	0	3	0	False
Magistrates	Classical Athens	Classical (500–360 BCE)	Protection from capital punishment	0	2	0	False
Magistrates	Classical Athens	Classical (500–360 BCE)	Protection from execution without trial	0	1	0	False
Magistrates	Classical Athens	Classical (500–360 BCE)	Protection from property seizure	0	1	0	False
Magistrates	Classical Athens	Classical (500–360 BCE)	Right to a trial	1	1	X	True
Magistrates	Classical Athens	Late Classical (354–165 BCE)	Disposing of property by will	0	1	0	False
Magistrates	Classical Athens	Late Classical (354–165 BCE)	Eligibility for public honors	0	1	0	False
Magistrates	Classical Athens	Late Classical (354–165 BCE)	Eligibility for public office	0	1	0	False
Magistrates	Classical Athens	Late Classical (354–165 BCE)	Exemption from legal audit	0	3	0	False
Magistrates	Classical Athens	Late Classical (354–165 BCE)	Freedom of movement	0	1	0	False
Magistrates	Classical Athens	Late Classical (354–165 BCE)	Pay for assembly or jury service	2	0	1	False
Magistrates	Classical Athens	Late Classical (354–165 BCE)	Personal liberty	0	1	0	False
Magistrates	Classical Athens	Late Classical (354–165 BCE)	Proposing legislation	1	0	1	False
Magistrates	Classical Athens	Late Classical (354–165 BCE)	Protection from capital punishment	0	1	0	False
Magistrates	Classical Athens	Late Classical (354–165 BCE)	Protection from property seizure	0	1	0	False
Magistrates	Classical Athens	Late Classical (354–165 BCE)	Right to engage in business	0	1	0	False
Magistrates	Classical Athens (Platonic Republic)	Late Classical (354–165 BCE)	Freedom of choice in marriage	0	1	0	False
Magistrates	Classical Athens (the Four Hundred)	Late Classical (354–165 BCE)	Pay for assembly or jury service	0	1	0	False
Magistrates	Classical Greece	Classical (500–360 BCE)	Eligibility for public office	1	0	1	False
Magistrates	Middle Roman Republic	Hellenistic & Early Roman (165 BCE – 105 CE)	Immunity from prosecution	1	0	1	False
Magistrates	Roman Empire	High Roman Empire (135–205 CE)	Pay for assembly or jury service	1	0	1	False
