rule_id	resource_meta	resource	resource_granular	granular_is_new	granular_parent_meta	granular_reasoning
tlg0014.tlg059.perseus-eng2::8	Right to citizenship	Access to citizen marriage	Right to marry a citizen	False	Right to marry	give an alien woman in marriage to an Athenian man
tlg0014.tlg059.perseus-eng2::11	Eligibility for public office	Eligibility for archonship and priesthoods	Eligibility for the archonship	False	Eligibility for public office	law expressly forbids that they should be eligible to the office of the nine archons
tlg0014.tlg059.perseus-eng2::12	Protection from corporal punishment	Protection from corporal torture	Protection from judicial torture	False	Protection from corporal punishment	deliver up for the torture the women-servants
tlg0032.tlg015.perseus-eng1::0	Eligibility for public office	Eligibility for the archonship	Eligibility for public office	False	Eligibility for public office	offices of state should be thrown open to every one both in the ballot and the show of hands
tlg0032.tlg015.perseus-eng1::1	Right to address the assembly	Right of speech in assembly	Speaking in the assembly	False	Right to address the assembly	granting to even the baser sort the right of speech
tlg0032.tlg015.perseus-eng1::2	Protection from corporal punishment	Protection from corporal punishment	Protection from private assault	False	Protection from corporal punishment	extraordinary amount of license granted to slaves ... where a blow is illegal
tlg0032.tlg015.perseus-eng1::3	Protection from corporal punishment	Protection from corporal punishment	Protection from private assault	False	Protection from corporal punishment	Verbatim discusses resident aliens and freedmen being 'beaten by a citizen' and mistaking Athenians for slaves in domestic contexts.
tlg0032.tlg015.perseus-eng1::4	Right to retain own earnings	Right to retain own earnings	Retaining one's own earnings	False	Right to retain own earnings	Relates to the state 'pocketing the money' and making the rich 'poorer' through compulsory trierarchy and gymnasiarchy expenses.
tlg0032.tlg015.perseus-eng1::6	Right to a legal trial	Right to local adjudication	Right to a trial	False	Right to a legal trial	Allies are 'compelled' to have their cases 'tried' in Athens and lose or win at the bar.
tlg0032.tlg015.perseus-eng1::9	Right to dispose of property	Right to export raw materials	Disposing of property	False	Right to dispose of property	The resource involves permission to 'find a market' and whether one can carry products 'elsewhither'.
tlg0032.tlg015.perseus-eng1::10	Right to retain property	Protection from property damage	Protection from property seizure	False	Right to retain property	Verbatim mentions property being 'cut down' or 'burnt' during enemy approach/state defense.
tlg0032.tlg015.perseus-eng1::14	Right to a legal trial	Right to legal adjudication	Right to a trial	False	Right to a legal trial	Refers to the process where trierarchs and choragi 'must have their cases adjudicated on' regarding liturgical disputes.
tlg0032.tlg015.perseus-eng1::15	Right to citizenship	Retention of civil rights	Right to citizenship	False	Right to citizenship	The verbatim refers to 'deprivation of civil rights' as a punishment for citizens.
tlg0059.tlg008.perseus-eng2::7	Eligibility for public office	Right to the throne	Eligibility for the kingship	False	Eligibility for public office	The verbatim discusses tokens (semeia) providing 'testimony to the right of Atreus' to rule as king.
tlg0059.tlg008.perseus-eng2::8	Eligibility for public office	Similar breeding and education as subjects	Eligibility for public office	False	Eligibility for public office	Discusses 'statesmen' and their nature, breeding, and education relative to their subjects.
tlg0059.tlg008.perseus-eng2::12	Access to the gymnasium	Access to advanced dialectical training	Access to formal education	False	Access to the gymnasium	Focuses on 'pupils learning their letters' and 'dialectical' method to make them better thinkers.
tlg0059.tlg008.perseus-eng2::13	Eligibility for public office	Eligibility for the kingship	Eligibility for the kingship	False	Eligibility for public office	Explicitly states 'no king can rule without being a priest' regarding eligibility requirements.
tlg0059.tlg008.perseus-eng2::14	Access to religious rites	Right to perform national sacrifices	Participation in sacred rites	False	Access to religious rites	Describes 'holiest and most national of the ancient sacrifices' performed by the King archon.
tlg0059.tlg008.perseus-eng2::17	Protection from capital punishment	Freedom from capital punishment	Protection from capital punishment	False	Protection from capital punishment	Mentions that those doing anything contrary to laws 'shall be punished by death'.
tlg0059.tlg008.perseus-eng2::18	Protection from legal prosecution	Protection from legal prosecution	Exemption from legal audit	False	Exemption from legal audit	Describes rulers being 'brought before these courts and examined as to their conduct in office'.
tlg0059.tlg008.perseus-eng2::19	Eligibility for public office	Eligibility for the archonship	Eligibility for public office	False	Eligibility for public office	Discusses how 'rulers of the people are set up' and the selection by lot from 'the rich or from the whole people'.
tlg0059.tlg008.perseus-eng2::20	Eligibility for public office	Right to serve as a judge	Eligibility for jury service	False	Eligibility for public office	Verbatim describes 'judges are chosen by lot' to serve in sessions of courts.
tlg0059.tlg008.perseus-eng2::23	Political power	Right to pass laws	Proposing legislation	False	Right to address the assembly	Mentions laws made after commissioners 'persuaded the people to pass them'.
tlg0059.tlg008.perseus-eng2::26	Political power	Political authority over war and peace	Deliberative authority	False	Political power	Relates to the power to 'deliberate and decide whether to make war or peace'.
tlg0059.tlg008.perseus-eng2::27	Exemption from legal audit	Power to deviate from law	Right to a trial	False	Right to a legal trial	Discusses the power of 'judging men’s contracts' and deciding 'lawsuits' according to law.
tlg0059.tlg008.perseus-eng2::31	Right to citizenship	Right to form marriage alliances	Right to marry a citizen	False	Right to marry	Describes 'the pursuit of wealth or power in connection with matrimony'.
tlg0062.tlg034.perseus-eng2::1	Political power	Political power	Eligibility for public office	False	Eligibility for public office	The verbatim mentions an 'official' identified by his 'purple cloak' having authority over athletes.
tlg0062.tlg034.perseus-eng2::3	Protection from corporal punishment	Protection from corporal punishment	Protection from private assault	False	Protection from corporal punishment	Refers to penalties for anyone who 'strikes a citizen, or assaults him'.
tlg0062.tlg034.perseus-eng2::4	Right to a legal trial	Right to professional legal representation	Right to a trial	False	Right to a legal trial	Discusses parties pleading 'either in person or through professional speakers' before a court.
tlg0062.tlg034.perseus-eng2::5	Right to a legal trial	Protection from biased legal pleading	Right to a trial	False	Right to a legal trial	Concerns court procedures preventing 'rhetoric to influence the judges' to ensure they 'see the facts bare'.
tlg0062.tlg034.perseus-eng2::6	Access to the gymnasium	Access to public moral education	Access to formal education	False	Access to the gymnasium	Describes instructing the public 'through comedies and tragedies' to learn virtue and vice.
tlg0062.tlg034.perseus-eng2::8	Access to the gymnasium	Access to legal education	Access to formal education	False	Access to the gymnasium	Describes causing citizens to 'learn by heart the laws of the community'.
tlg0062.tlg034.perseus-eng2::9	Eligibility for public office	Eligibility for the cavalry	Eligibility for military command	False	Eligibility for public office	Refers to 'cavalrymen' as a specific military role/rank for citizens.
tlg0062.tlg034.perseus-eng2::10	Right to bear arms	Right to bear arms in public	Possession of arms	False	Right to bear arms	Discusses a penalty for anyone who 'carries weapons' or 'brings armour' into a public place.
tlg0062.tlg034.perseus-eng2::11	Access to the gymnasium	Access to the gymnasium	Access to physical training	False	Access to the gymnasium	Implies training in the sun for men, contrasting them with 'women's bodies bleached out in the shade'.
tlg0062.tlg034.perseus-eng2::13	Access to the gymnasium	Right to personal safety in training	Protection from penal corporal punishment	False	Protection from corporal punishment	Refers to the prohibition of wounding or killing efficient men during training as it is 'bestial and terribly cruel'.
tlg0086.tlg003.perseus-eng1::0	Protection from enslavement	Protection from enslavement	Protection from enslavement for debt	False	Protection from enslavement	Mentions tenants being 'liable to be haled into slavery' for failing to pay rent/loans.
tlg0086.tlg003.perseus-eng1::1	Eligibility for public office	Eligibility for the archonship	Eligibility for the archonship	False	Eligibility for public office	Specifically mentions 'Archons' and 'Areopagus' being elected by birth and wealth.
tlg0086.tlg003.perseus-eng1::2	Right to vote in the Ekklesia	Right to vote in the Ekklesia	Voting in the assembly	False	Right to vote in the Ekklesia	Refers to the 'franchise' given to those who could furnish military equipment.
tlg0086.tlg003.perseus-eng1::3	Eligibility for public office	Eligibility for the archonship	Eligibility for public office	False	Eligibility for public office	Combined list including Archons, Treasurers, Generals, and commanders of cavalry based on property.
tlg0086.tlg003.perseus-eng1::4	Eligibility for public office	Eligibility for the archonship	Eligibility for public office	False	Eligibility for public office	Sets an age requirement ('over thirty') for 'magistracies' selected by lot.
tlg0086.tlg003.perseus-eng1::6	Protection from enslavement	Protection from enslavement	Protection from enslavement for debt	False	Protection from enslavement	Explicitly prohibits 'loans on the security of the debtor’s person'.
tlg0086.tlg003.perseus-eng1::7	Eligibility for public office	Eligibility for the archonship	Eligibility for public office	False	Eligibility for public office	Lists several offices (Archons, Treasurers, Poletae, etc.) assigned by property class.
tlg0086.tlg003.perseus-eng1::8	Eligibility for public office	Eligibility for the office of Treasurer	Eligibility for public office	False	Eligibility for public office	Specifically names the 'Treasurers' and their property qualification.
tlg0086.tlg003.perseus-eng1::9	Right to citizenship	Right to retain citizenship	Right to citizenship	False	Right to citizenship	States that those who do not take a side in civil strife 'should lose his rights as a citizen'.
tlg0086.tlg003.perseus-eng1::10	Protection from enslavement	Protection from enslavement for debt	Protection from enslavement for debt	False	Protection from enslavement	Discusses the prohibition of loans on the person and setting free those in slavery.
tlg0086.tlg003.perseus-eng1::11	Right to a legal trial	Right to legal standing for others	Right to a trial	False	Right to a legal trial	The right 'to claim redress on behalf of any one to whom wrong was being done' establishes standing to initiate legal action.
tlg0086.tlg003.perseus-eng1::12	Right to a legal trial	Right of appeal to jury-courts	Right to a trial	False	Right to a legal trial	The 'institution of the appeal to the jury-courts' describes the fundamental right to have a case heard by a judicial body.
tlg0086.tlg003.perseus-eng1::13	Eligibility for public office	Eligibility for the archonship	Eligibility for the archonship	False	Eligibility for public office	The text explicitly discusses the election of 'ten Archons' from different social classes.
tlg0086.tlg003.perseus-eng1::14	Right to vote in the Ekklesia	Right to the franchise	Right to citizenship	False	Right to citizenship	The 'revision of the citizen-roll' determines who has the 'right' to partake in the franchise/citizenship.
tlg0086.tlg003.perseus-eng1::15	Right to own property	Access to agricultural capital	Access to public subsidies	False	Access to public honors	The state (Peisistratus) 'advanced money to the poorer people' to assist their labor, a form of economic subsidy.
tlg0086.tlg003.perseus-eng1::17	Right to a legal trial	Access to local judicial proceedings	Access to specialized courts	False	Right to a legal trial	The institution of 'local justices' provided a specific judicial venue for rural citizens to settle disputes.
tlg0086.tlg003.perseus-eng1::19	Right to reside in the city	Right to reside in Attica	Right of residence	False	Right to reside in the city	The text describes the expulsion of families from the country (Attica/Athens).
tlg0086.tlg003.perseus-eng1::20	Right to citizenship	Official status identification by locality	Enrollment in civic sub-units	False	Right to citizenship	Citizens are 'officially described by the names of their demes' and declared 'fellow-demesmen'.
tlg0086.tlg003.perseus-eng1::22	Right to reside in the city	Right to remain in the city	Right of residence	False	Right to reside in the city	Ostracism was the mechanism to 'remove' powerful individuals from the city.
tlg0086.tlg003.perseus-eng1::23	Right to reside in the city	Freedom of residence within Greece	Freedom of movement	False	Right to freedom of movement	The rule imposes a geographical restriction on where ostracized persons 'must live' between specific landmarks.
tlg0086.tlg003.perseus-eng1::24	Access to public honors	Access to state-funded maintenance	Access to public subsidies	False	Access to public honors	Describes how 'twenty thousand persons were maintained' by state proceeds while performing various roles.
tlg0086.tlg003.perseus-eng1::25	Eligibility for public office	Eligibility for the archonship	Eligibility for the archonship	False	Eligibility for public office	Explicitly mentions the 'method of election of the nine Archons' and eligibility for the Zeugitae.
tlg0086.tlg003.perseus-eng1::26	Right to vote in the Ekklesia	Right to the franchise	Right to citizenship	False	Right to citizenship	The rule defines who is 'admitted to the franchise' based on being of 'citizen birth by both parents.'
tlg0086.tlg003.perseus-eng1::27	Right to remuneration for office	Pay for service in law-courts	Pay for assembly or jury service	False	Right to remuneration for office	Verbatim mentions Pericles instituting 'pay for the members of the juries.'
tlg0086.tlg003.perseus-eng1::29	Right to remuneration for office	Remuneration for public office	Pay for assembly or jury service	False	Right to remuneration for office	Discusses whether 'magistrates should serve without remuneration' versus receiving 'three obols a day.'
tlg0086.tlg003.perseus-eng1::30	Political power	Political decision-making power	Deliberative authority	False	Political power	This body had 'full powers' including 'making treaties', which is a high-level deliberative right.
tlg0086.tlg003.perseus-eng1::31	Eligibility for public office	Eligibility for the Council	Eligibility for the council	False	Eligibility for public office	The rule sets a minimum age of thirty to consist of the 'Council'.
tlg0086.tlg003.perseus-eng1::32	Right to vote in the Ekklesia	Right to vote in the Assembly	Voting in the assembly	False	Right to vote in the Ekklesia	The 'franchise' was restricted to those with 'military equipment', referring to assembly participation.
tlg0086.tlg003.perseus-eng1::33	Right to remuneration for office	Remuneration for public office	Pay for assembly or jury service	False	Right to remuneration for office	The text explicitly mentions voting that 'pay should not be given for any public office.'
tlg0086.tlg003.perseus-eng1::34	Right to dispose of property	Influence over inheritance	Disposing of property by will	False	Right to dispose of property	The verbatim refers to 'making the testator free once for all to leave his property as he pleased'.
tlg0086.tlg003.perseus-eng1::35	Protection from capital punishment	Protection from arbitrary execution	Protection from execution without trial	False	Protection from capital punishment	The verbatim describes putting citizens to death to 'remove all whom they had reason to fear' rather than for legal cause.
tlg0086.tlg003.perseus-eng1::36	Protection from capital punishment	Protection from summary execution	Protection from execution without trial	False	Protection from capital punishment	The rule explicitly mentions giving the Thirty 'absolute power to put to death' those not on a specific list, bypassing trial.
tlg0086.tlg003.perseus-eng1::38	Right to bear arms	Right to bear arms	Possession of arms	False	Right to bear arms	The verbatim stating they 'disarmed all the people' identifies the resource as the possession of arms.
tlg0086.tlg003.perseus-eng1::39	Political power	Right to local self-government	Local self-governance	False	Political power	The text explicitly guarantees 'full and independent powers of self-government' for the settlers at Eleusis.
tlg0086.tlg003.perseus-eng1::40	Eligibility for public office	Eligibility for the archonship	Eligibility for public office	False	Eligibility for public office	The verbatim states no one at Eleusis should be 'capable of holding any office in Athens' until registering as a resident.
tlg0086.tlg003.perseus-eng1::41	Right to vote in the Ekklesia	Right to the franchise	Right to citizenship	False	Right to citizenship	The 'franchise' in this context refers to conferring citizenship status, specifically regarding those who were 'notoriously slaves.'
tlg0086.tlg003.perseus-eng1::42	Right to remuneration for office	Right to receive attendance fees	Pay for assembly or jury service	False	Right to remuneration for office	The verbatim specifies 'payment for attendance at the Assembly' in terms of daily obols.
tlg0086.tlg003.perseus-eng1::43	Right to vote in the Ekklesia	Right to the franchise	Enrollment in civic sub-units	False	Right to citizenship	The text focuses on being 'enrolled among the demesmen' based on age and parentage requirements.
tlg0086.tlg003.perseus-eng1::44	Exemption from taxes	Exemption from all taxes	Exemption from taxes	False	Exemption from taxes	The verbatim explicitly states that during garrison duty these individuals 'are exempt from all taxes.'
tlg0086.tlg003.perseus-eng1::45	Protection from legal prosecution	Protection from legal actions	Immunity from prosecution	False	Protection from legal prosecution	The text states they 'neither bring an action at law, nor have one brought against them,' providing immunity from litigation.
tlg0086.tlg003.perseus-eng1::46	Right to address the assembly	Right to speak in the Assembly	Speaking in the assembly	False	Right to address the assembly	The verbatim grants that 'any one is free... to speak to the people' during the assembly for petitions.
tlg0086.tlg003.perseus-eng1::47	Protection from capital punishment	Protection from summary execution	Protection from execution without trial	False	Protection from capital punishment	The rule states 'no citizen ought to be put to death except on the decision of a court of law.'
tlg0086.tlg003.perseus-eng1::48	Right to a legal trial	Right to prosecute officials	Right to a trial	False	Right to a legal trial	The text guarantees an 'appeal to the law-courts' for private individuals laying information against magistrates.
tlg0086.tlg003.perseus-eng1::49	Eligibility for public office	Eligibility for the archonship	Eligibility for the archonship	False	Eligibility for public office	The context relates to the Treasury, but references the 'law of Solon' and property classes usually associated with highest offices/Archons.
tlg0086.tlg003.perseus-eng1::50	Exemption from compulsory public financing	Exemption from expensive military service	Exemption from military service	False	Exemption from military service	The verbatim discusses being 'physically or pecuniarily incapable of cavalry service' to seek dismissal from duty.
tlg0086.tlg003.perseus-eng1::51	Right to remuneration for office	Daily subsistence allowance	Resident allowance for the poor	False	Right to remuneration for office	Describes 'infirm paupers' receiving 'two obols a day from the state for their support.'
tlg0086.tlg003.perseus-eng1::53	Exemption from manual labor	Exemption from judicial labor	Eligibility for jury service	False	Eligibility for public office	Arbitrators in Athens functioned as a judicial/quasi-jury service; the rule mandates service for those of a certain age.
tlg0086.tlg003.perseus-eng1::54	Right to retain property	Protection from severe financial penalties	Protection from property seizure	False	Right to retain property	The verbatim describes the conditions under which a magistrate is 'obliged to repay' or is 'fined,' which regulates property deprivation.
tlg0086.tlg003.perseus-eng1::55	Eligibility for public office	Eligibility for the archonship	Eligibility for the archonship	False	Eligibility for public office	The examination described (ancestry, shrines, taxes) is the standard 'dokimasia' for the Nine Archons.
tlg0086.tlg003.perseus-eng1::56	Exemption from compulsory public financing	Exemption from compulsory public financing	Exemption from liturgies	False	Exemption from compulsory public financing	The 'assigning of Choregi' refers to the liturgy system, where the state selects wealthy persons to finance public festivals.
tlg0086.tlg003.perseus-eng1::58	Protection from capital punishment	Protection from unlawful killing	Protection from capital punishment	False	Protection from capital punishment	Verbatim discusses cases of killing a slave or alien heard in court, relating to protection from homicide/execution.
tlg0086.tlg003.perseus-eng1::59	Protection from capital punishment	Protection from unlawful killing	Protection from capital punishment	False	Protection from capital punishment	Verbatim discusses cases of killing a resident alien or foreigner heard in court, relating to protection from homicide.
tlg0086.tlg003.perseus-eng1::60	Right to a legal trial	Right to legal redress	Right to a trial	False	Right to a legal trial	The text refers to 'private actions' coming before the Polemarch, indicating the right to bring a suit or have a trial.
tlg0086.tlg003.perseus-eng1::61	Right to free speech	Right to free speech	Protection from slander	False	Protection from public libel	Verbatim explicitly mentions suits 'where a slave has slandered a free man.'
tlg0086.tlg003.perseus-eng1::63	Eligibility for public office	Eligibility for the archonship	Eligibility for military command	False	Eligibility for public office	Verbatim describes the election and duties of the 'ten Generals [Strategi]'.
tlg0086.tlg003.perseus-eng1::64	Right to remuneration for office	Right to receive assembly pay	Pay for assembly or jury service	False	Right to remuneration for office	Verbatim specifies 'members of the Assembly receive a drachma' for meetings.
tlg0086.tlg003.perseus-eng1::65	Right to remuneration for office	Right to receive jury pay	Pay for assembly or jury service	False	Right to remuneration for office	Verbatim specifies 'jurors at the law-courts receive three obols'.
tlg0086.tlg003.perseus-eng1::66	Eligibility for public office	Eligibility for jury service	Eligibility for jury service	False	Eligibility for public office	Verbatim defines who is 'qualified to serve as jurors'.
tlg0086.tlg003.perseus-eng1::67	Eligibility for public office	Eligibility for jury service	Eligibility for jury service	False	Eligibility for public office	Verbatim discusses qualifications and penalties for an 'unqualified person' serving as juror.
tlg0086.tlg003.perseus-eng1::68	Eligibility for public office	Right to hold multiple terms	Eligibility for military command	False	Eligibility for public office	Verbatim states 'military offices may be held any number of times', referring to command tenure.
tlg0086.tlg003.perseus-eng1::69	Protection from legal prosecution	Protection from conviction	Right to a trial	False	Right to a legal trial	Refers to the 'verdict' and 'defendant' in a trial context when votes are equal.
tlg0086.tlg003.perseus-eng1::70	Right to remuneration for office	Right to receive pay	Pay for assembly or jury service	False	Right to remuneration for office	Verbatim states the 'jurors receive their pay'.
tlg0086.tlg003.perseus-eng1::71	Eligibility for public office	Eligibility for the archonship	Eligibility for the archonship	False	Eligibility for public office	Verbatim explicitly mentions the 'office was thrown open' and the 'board of nine annual Archons'.
tlg0086.tlg003.perseus-eng1::72	Eligibility for public office	Eligibility for the archonship	Eligibility for the archonship	False	Eligibility for public office	Context of the Athenian constitution regarding eligibility for high office (archonship) based on census class.
tlg0086.tlg003.perseus-eng1::73	Eligibility for public office	Eligibility for the archonship	Eligibility for the archonship	False	Eligibility for public office	Verbatim states when 'a Zeugites was elected' for the archonship.
tlg0086.tlg003.perseus-eng1::74	Right to remuneration for office	Pay for assembly attendance	Pay for assembly or jury service	False	Right to remuneration for office	Verbatim refers to the establishment of 'pay' for 'attendance at the Assembly'.
tlg0086.tlg003.perseus-eng1::76	Right to inherit property	Right to inherit property directly	Right to a share of an estate	False	Right to inherit property	Verbatim describes how an estate was 'attached to her' (as an epikleros) for her future sons.
tlg0086.tlg003.perseus-eng1::77	Right to a dowry	Right to a dowry	Right to a dowry	False	Right to a dowry	Verbatim explicitly mentions the obligation to 'provide her with a dowry'.
tlg0086.tlg003.perseus-eng1::78	Exemption from compulsory public financing	Exemption from public financing	Exemption from liturgies	False	Exemption from compulsory public financing	Verbatim discusses 'trierarchs' and 'Choregus' as 'public duty performed by private individuals'.
tlg0086.tlg003.perseus-eng1::79	Political power	Right to impeach public officials	Right to a legal trial	True	Right to a legal trial	Verbatim states 'any citizen might impeach his conduct', referring to the specific right of euthyna or public oversight.
tlg0086.tlg003.perseus-eng1::80	Right to a legal trial	Legal protection from the state	Owning and retaining property	False	Right to retain property	The verbatim refers to the protection of heiresses and their ability to have children 'capable of inheriting the property.'
tlg0086.tlg003.perseus-eng1::81	Right to citizenship	Right to legal independence	Enrollment in civic sub-units	False	Right to citizenship	The requirement for a 'patron from among the citizens' relates to the formal registration and legal standing of non-citizens within the civic framework.
tlg0086.tlg003.perseus-eng1::82	Exemption from compulsory public financing	Exemption from service as Arbitrators	Eligibility for jury service	False	Eligibility for public office	Serving as an 'Arbitrator' was a specific judicial/legal duty assigned to elder citizens in Athens.
tlg0086.tlg003.perseus-eng1::83	Exemption from compulsory public financing	Right to transfer liturgy burdens	Exemption from liturgies	False	Exemption from compulsory public financing	Refers to the 'Antidosis' (exchange of properties) used to challenge being 'saddled with one of the burdens' like a chorus or trireme.
tlg0086.tlg035.perseus-eng2::5	Political power	Right to self-governance	Deliberative authority	False	Political power	The text discusses 'ruler' vs 'subject' dynamics and natural hierarchies of authority.
tlg0086.tlg035.perseus-eng2::7	Protection from enslavement	Protection from enslavement in war	Personal liberty	False	Protection from enslavement	Distinguishes between Greeks and barbarians regarding who is 'essentially' a slave versus who possesses liberty.
tlg0086.tlg035.perseus-eng2::8	Exemption from manual labor	Freedom from personal domestic labor	Exemption from manual or agricultural labor	False	Exemption from manual labor	Refers to avoiding 'personal trouble' by having a steward, allowing high-status individuals to avoid domestic management labor.
tlg0086.tlg035.perseus-eng2::10	Right to retain own earnings	Right to participate in trade	Right to engage in business	False	Right to retain own earnings	The verbatim describes 'interchanges by way of barter' and 'exchanging actual commodities.'
tlg0086.tlg035.perseus-eng2::11	Political power	Right to self-governance	Deliberative authority	False	Political power	Describes the 'rule of the father' and the relationship of 'ruler' to the female/children.
tlg0086.tlg035.perseus-eng2::12	Political power	Right to republican representation	Deliberative authority	False	Political power	Refers to being 'better fitted to command' and exercising 'republican government.'
tlg0086.tlg035.perseus-eng2::14	Right to own property	Right to free trade	Right to engage in business	False	Right to retain own earnings	Discusses 'marketable goods' and the removal of free trade via a 'monopoly.'
tlg0086.tlg035.perseus-eng2::15	Political power	Right to deliberative authority	Deliberative authority	False	Political power	The verbatim explicitly names the 'deliberative part' of the soul and who lacks authority over it.
tlg0086.tlg035.perseus-eng2::16	Political power	Right to deliberative authority	Deliberative authority	False	Political power	Explicitly mentions the female has the 'deliberative part' but 'without full authority.'
tlg0086.tlg035.perseus-eng2::18	Eligibility for public office	Right to hold office	Eligibility for public office	False	Eligibility for public office	Discusses that 'all cannot govern at once' and must 'hold office for a year at a time.'
tlg0086.tlg035.perseus-eng2::19	Right to reside in the city	Right to inhabit common locality	Right of residence	False	Right to reside in the city	Refers to a 'common locality' and a 'single city' occupying a 'single site' belonging to citizens.
tlg0086.tlg035.perseus-eng2::20	Right to citizenship	Right to private family life	Freedom of choice in marriage	False	Right to bodily autonomy	Discusses the 'community of wives and sons,' a regulation of marriage and family life.
tlg0086.tlg035.perseus-eng2::22	Right to own property	Access to friends' private possessions	Owning and retaining property	False	Right to retain property	Describes individuals 'owning their property privately' while sharing the use of slaves, horses, and produce.
tlg0086.tlg035.perseus-eng2::24	Right to bear arms	Right to possess arms	Possession of arms	False	Right to bear arms	The verbatim explicitly forbids the 'possession of arms.'
tlg0086.tlg035.perseus-eng2::25	Exemption from manual labor	Exemption from agricultural labor	Exemption from manual or agricultural labor	False	Exemption from manual labor	Explicitly mentions the 'exemption of the Guardians from the work of agriculture.'
tlg0086.tlg035.perseus-eng2::27	Right to bear arms	Right to bear arms	Possession of arms	False	Right to bear arms	States that the government is 'constituted from the class that bears arms.'
tlg0086.tlg035.perseus-eng2::28	Eligibility for public office	Eligibility for the ephorate	Eligibility for the archonship	False	Eligibility for public office	The verbatim refers to the 'rule of the ephors' as a highest office; in the taxonomy, this specific Lacedaemonian office fits under the top-tier magistracy/archonship.
tlg0086.tlg035.perseus-eng2::29	Access to public honors	Access to common meals	Access to common meals	False	Access to public honors	The verbatim explicitly mentions 'public mess-tables' (syssitia).
tlg0086.tlg035.perseus-eng2::30	Political power	Freedom from compulsory political participation	Voting in the assembly	False	Right to vote in the Ekklesia	The text identifies 'attend the assembly and vote for magistrates' as the resource.
tlg0086.tlg035.perseus-eng2::31	Eligibility for public office	Eligibility for the archonship	Eligibility for the archonship	False	Eligibility for public office	Refers to 'magistrates' and 'highest offices' being filled by wealthy classes.
tlg0086.tlg035.perseus-eng2::33	Right to own land	Right to acquire land	Owning land	False	Right to own land	Relates to the 'prohibiting the acquisition of land' and 'sale of estates'.
tlg0086.tlg035.perseus-eng2::36	Access to public honors	Right to state maintenance	Access to public subsidies	False	Access to public honors	Refers to children of war dead having 'maintenance from the state'.
tlg0086.tlg035.perseus-eng2::37	Right to a legal trial	Protection from conviction based on relational testimony	Right to a trial	False	Right to a legal trial	Concerns the procedures and evidentiary rules 'relating to trials for murder'.
tlg0086.tlg035.perseus-eng2::38	Political power	Right to external military alliance	Deliberative authority	False	Political power	Concerns the power of cities to 'ally themselves' and the collective political status of the serf class.
tlg0086.tlg035.perseus-eng2::39	Right to bodily autonomy	Freedom from state-enforced moral regulation	Freedom from state supervision	False	Right to bodily autonomy	Describes women living 'dissolutely' because the lawgiver 'neglected' to regulate their character/conduct.
tlg0086.tlg035.perseus-eng2::40	Right to inherit property	Right to inherit property directly	Inheriting property	False	Right to inherit property	Explicitly mentions 'women who inherit estates'.
tlg0086.tlg035.perseus-eng2::41	Right to bodily autonomy	Right to choose spouse	Freedom of choice in marriage	False	Right to bodily autonomy	Describes the disposal of an 'heiress in marriage' to 'whomever he likes'.
