cell_sig	resource_meta	LESS	MORE	net	n_total	period3
*/Adult/Free/*/Resident/High	Access to the gymnasium	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/High	Exemption from taxes	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/High	Political power	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/High	Protection from capital punishment	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/High	Protection from public libel	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/High	Right to citizenship	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/Adult/Free/*/Resident/Middle	Exemption from military service	0.0	2.0	2.0	2.0	P1: Classical Greek (500–360 BCE)
*/Adult/Free/Foreign/Resident/*	Eligibility for public office	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/Adult/Free/Foreign/Resident/*	Exemption from taxes	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/Adult/Free/Foreign/Resident/*	Right to dispose of property	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/Adult/Free/Foreign/Resident/*	Right to freedom of movement	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/Adult/Free/Native/Resident/*	Access to religious rites	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/Minor/Enslaved/*/Resident/Low	Protection from enslavement	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/Minor/Free/*/Resident/*	Access to the gymnasium	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/Minor/Free/Native/Resident/*	Protection from capital punishment	1.0	2.0	1.0	3.0	P1: Classical Greek (500–360 BCE)
*/Minor/Free/Native/Resident/*	Eligibility for public office	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/Minor/Free/Native/Resident/*	Protection from corporal punishment	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/Minor/Free/Native/Resident/*	Right to address the assembly	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/Minor/Free/Native/Resident/*	Right to bodily autonomy	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
*/Minor/Free/Native/Resident/*	Right to freedom of movement	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
Female/*/*/*/Resident/*	Right to a dowry	0.0	4.0	4.0	4.0	P1: Classical Greek (500–360 BCE)
Female/*/*/*/Resident/*	Right to bodily autonomy	0.0	2.0	2.0	2.0	P1: Classical Greek (500–360 BCE)
Female/*/*/*/Resident/*	Right to retain own earnings	1.0	1.0	0.0	2.0	P1: Classical Greek (500–360 BCE)
Female/*/*/*/Resident/*	Right to retain property	0.0	2.0	2.0	2.0	P1: Classical Greek (500–360 BCE)
Female/*/*/*/Resident/*	Access to religious rites	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Female/*/*/*/Resident/*	Eligibility for public office	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
Female/*/*/*/Resident/*	Protection from legal prosecution	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
Female/*/*/*/Resident/*	Right to address the assembly	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Female/*/*/*/Resident/*	Right to freedom of movement	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
Female/*/Free/Native/Resident/*	Right to bodily autonomy	1.0	1.0	0.0	2.0	P1: Classical Greek (500–360 BCE)
Female/*/Free/Native/Resident/*	Right to inherit property	1.0	1.0	0.0	2.0	P1: Classical Greek (500–360 BCE)
Female/*/Free/Native/Resident/*	Right to a dowry	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Female/Adult/*/*/*/*	Right to own property	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Female/Adult/Free/*/Resident/*	Right to retain property	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/*/Free/*/Resident/*	Right to inherit property	0.0	3.0	3.0	3.0	P1: Classical Greek (500–360 BCE)
Male/*/Free/*/Resident/*	Political power	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/*/Free/Native/*/*	Right to inherit property	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/*/Free/Native/Resident/*	Right to inherit property	0.0	3.0	3.0	3.0	P1: Classical Greek (500–360 BCE)
Male/Adult/*/*/*/*	Eligibility for public office	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/*/*/*/*	Political power	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/*/*/*/*	Right to bodily autonomy	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/*/*/*/*	Right to citizenship	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Enslaved/Foreign/Resident/Low	Political power	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/*/*/*	Right to citizenship	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/*/Resident/*	Exemption from manual labor	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/*/Resident/*	Political power	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/*/Resident/*	Protection from corporal punishment	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/*/Resident/*	Right to dispose of property	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/*/Resident/Low	Access to religious rites	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/*/Resident/Middle	Right to retain own earnings	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/*/Resident/Middle	Right to retain property	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/*/Resident/Middle	Right to valid professional opinion	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Foreign/Resident/Middle	Right to retain own earnings	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/*/*	Right to citizenship	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Non resident/High	Right to retain property	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Right to a legal trial	0.0	20.0	20.0	20.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Eligibility for public office	0.0	8.0	8.0	8.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Protection from legal prosecution	1.0	6.0	5.0	7.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Political power	1.0	5.0	4.0	6.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Right to citizenship	2.0	4.0	2.0	6.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Protection from capital punishment	2.0	2.0	0.0	4.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Right to retain property	3.0	1.0	-2.0	4.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Protection from corporal punishment	1.0	2.0	1.0	3.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Right to address the assembly	1.0	2.0	1.0	3.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Right to adopt	1.0	2.0	1.0	3.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Right to remuneration for office	0.0	3.0	3.0	3.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Right to reside in the city	2.0	1.0	-1.0	3.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Right to vote in the Ekklesia	0.0	3.0	3.0	3.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Access to public honors	0.0	2.0	2.0	2.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Protection from arbitrary banishment	1.0	1.0	0.0	2.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Right to burial	2.0	0.0	-2.0	2.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Access to the gymnasium	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Exemption from manual labor	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Protection from public libel	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Right to bear arms	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Right to bodily autonomy	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Right to dispose of property	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Right to free speech	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Right to freedom of movement	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Right to inherit property	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/*	Right to own land	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/High	Eligibility for public office	0.0	4.0	4.0	4.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/High	Exemption from compulsory public financing	3.0	0.0	-3.0	3.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/High	Exemption from military service	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/High	Exemption from taxes	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/High	Protection from public libel	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/High	Right to retain own earnings	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/High	Right to retain property	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Adult/Free/Native/Resident/Middle	Right to freedom of movement	1.0	0.0	-1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Elder/Free/*/Resident/*	Political power	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
Male/Minor/Free/Native/Resident/*	Access to public honors	0.0	1.0	1.0	1.0	P1: Classical Greek (500–360 BCE)
*/*/*/*/*/*	Right to own property	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/*/*/Non resident/*	Right to a legal trial	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/*/Foreign/*/*	Protection from enslavement	1.0	1.0	0.0	2.0	P2: Late Classical (354–165 BCE)
*/*/*/Foreign/*/*	Right to inherit property	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/*/Foreign/Resident/*	Access to the gymnasium	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/*/Foreign/Resident/Low	Protection from enslavement	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Enslaved/*/Resident/Low	Protection from corporal punishment	7.0	1.0	-6.0	8.0	P2: Late Classical (354–165 BCE)
*/*/Enslaved/*/Resident/Low	Political power	2.0	0.0	-2.0	2.0	P2: Late Classical (354–165 BCE)
*/*/Enslaved/*/Resident/Low	Right to retain own earnings	0.0	2.0	2.0	2.0	P2: Late Classical (354–165 BCE)
*/*/Enslaved/*/Resident/Low	Right to valid professional opinion	2.0	0.0	-2.0	2.0	P2: Late Classical (354–165 BCE)
*/*/Enslaved/*/Resident/Low	Protection from capital punishment	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Enslaved/*/Resident/Low	Protection from enslavement	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Enslaved/*/Resident/Low	Right to a legal trial	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Enslaved/*/Resident/Low	Right to bear arms	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Enslaved/*/Resident/Low	Right to bodily autonomy	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Enslaved/*/Resident/Low	Right to free speech	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Enslaved/*/Resident/Low	Right to own land	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Enslaved/*/Resident/Low	Right to own property	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Enslaved/*/Resident/Low	Right to vote in the Ekklesia	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Enslaved/Native/Resident/Low	Political power	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/*/*	Exemption from manual labor	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/*	Political power	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/*	Right to a legal trial	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/*	Right to freedom of movement	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/*	Right to inherit property	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/*	Right to vote in the Ekklesia	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/High	Right to retain property	2.0	0.0	-2.0	2.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/High	Right to a legal trial	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/High	Right to inherit property	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/High	Right to remuneration for office	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/Low	Eligibility for public office	3.0	3.0	0.0	6.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/Low	Right to remuneration for office	1.0	3.0	2.0	4.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/Low	Right to vote in the Ekklesia	2.0	2.0	0.0	4.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/Low	Access to public honors	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/Low	Exemption from compulsory public financing	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/Low	Exemption from manual labor	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/Low	Exemption from public service financing	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/Low	Political power	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/Low	Protection from corporal punishment	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/Low	Right to bear arms	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/Low	Right to citizenship	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/Low	Right to own property	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/*/Resident/Low	Right to retain own earnings	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Foreign/*/*	Access to public honors	0.0	2.0	2.0	2.0	P2: Late Classical (354–165 BCE)
*/*/Free/Foreign/*/*	Exemption from taxes	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Foreign/*/*	Right to a legal trial	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Foreign/*/*	Right to retain own earnings	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Foreign/*/*	Right to vote in the Ekklesia	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Foreign/Resident/*	Right to citizenship	4.0	0.0	-4.0	4.0	P2: Late Classical (354–165 BCE)
*/*/Free/Foreign/Resident/*	Right to reside in the city	2.0	0.0	-2.0	2.0	P2: Late Classical (354–165 BCE)
*/*/Free/Foreign/Resident/*	Exemption from taxes	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Foreign/Resident/*	Protection from enslavement	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Foreign/Resident/*	Right to marry	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Mixed/Resident/*	Right to vote in the Ekklesia	2.0	0.0	-2.0	2.0	P2: Late Classical (354–165 BCE)
*/*/Free/Mixed/Resident/*	Eligibility for public office	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Mixed/Resident/*	Right to citizenship	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Native/Non resident/*	Protection from enslavement	0.0	2.0	2.0	2.0	P2: Late Classical (354–165 BCE)
*/*/Free/Native/Non resident/*	Protection from arbitrary banishment	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Native/Non resident/*	Protection from capital punishment	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Native/Resident/*	Right to a legal trial	0.0	2.0	2.0	2.0	P2: Late Classical (354–165 BCE)
*/*/Free/Native/Resident/*	Eligibility for public office	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Native/Resident/*	Protection from capital punishment	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Native/Resident/*	Protection from enslavement	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Native/Resident/*	Right to address the assembly	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Native/Resident/*	Right to citizenship	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Native/Resident/*	Right to reside in the city	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Native/Resident/*	Right to retain own earnings	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Native/Resident/High	Access to public honors	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Native/Resident/High	Eligibility for public office	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Native/Resident/High	Political power	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/*/Free/Native/Resident/Low	Eligibility for public office	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/Adult/*/*/Resident/*	Protection from capital punishment	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/Adult/*/*/Resident/*	Right to freedom of movement	1.0	0.0	-1.0	1.0	P2: Late Classical (354–165 BCE)
*/Adult/*/*/Resident/Low	Access to religious rites	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/Adult/Free/*/*/High	Eligibility for public office	0.0	2.0	2.0	2.0	P2: Late Classical (354–165 BCE)
*/Adult/Free/*/*/High	Exemption from manual labor	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
*/Adult/Free/*/*/High	Right to a legal trial	0.0	1.0	1.0	1.0	P2: Late Classical (354–165 BCE)
