rule_id	perseus_author	perseus_title	period	source_type	source_type_description	rule	verbatim	reasoning	directionality	llm_confidence_in_answer	group	group_meta	resource	resource_meta	resource_type	rule_polity	rule_polity_reasoning	rule_date	rule_date_reasoning	resource_materiality	materiality_reasoning	resource_generality	generality_reasoning	resource_persistence	persistence_reasoning	group_immutability	immutability_reasoning	rule_contemporarity	contemporarity_reasoning	opinion_vs_fact	opinion_vs_fact_reasoning	tautology	tautology_reasoning
tlg0014.tlg059.perseus-eng2::3	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	oration	Court speech or political oration invoking a specific extant law or procedure	Illegal marriage of aliens	['If an alien shall live as husband with an Athenian woman in any way or manner whatsoever, he may be indicted before the Thesmothetae by anyone who chooses to do so from among the Athenians having the right to bring charges. And if he be convicted, he shall be sold, himself and his property, and the third part shall belong to the one securing his conviction. The same principle shall hold also if an alien woman shall live as wife with an Athenian, and the Athenian who lives as husband with the alien woman so convicted shall be fined one thousand drachmae.']	The verbatim explicitly cites the statute (The Law) forbidding 'sunoikein' (living as husband/wife) between aliens and citizens, providing for the enslavement of the alien and a fine for the citizen.	LESS	10.0	Aliens	Foreigners	Right to marry Athenian citizens	Right to marry	Legal Standing; Household Authority	Classical Athens	The text explicitly cites an Athenian statute regarding marriage between aliens and citizens.	-340	This law was in effect and cited during the prosecution of Neaera around -340.	5	Penalties include enslavement and property confiscation.	4	Affects the broad right to form legal families and retain property.	5	Enslavement or confiscation are lifelong/structural consequences.	4	Alien status is a legal birth-status.	1	Directly quotes an Athenian statute in force at the time.	5	Verbatim is a pure citation of a statute.	0	Being an alien does not define the specific penalty for marriage.
tlg0014.tlg059.perseus-eng2::5	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	oration	Court speech or political oration invoking a specific extant law or procedure	Requirement for alien patron	['as she was eager to live at Athens, but was afraid of Phrynion because she had wronged him and he was bitter against her, and she knew he was a man of violent and reckless temper, she took Stephanus here for her patron.']	Aliens in Athens (Metics) were legally required to have a 'prostates' (citizen patron) to act on their behalf in legal matters, demonstrating that non-citizens did not have independent access to judicial resources.	LESS	9.0	Aliens	Foreigners	Right to legal personhood	Right to citizenship	Legal Standing; Political Power	Classical Athens	The text refers to the legal requirement for aliens (metics) to have an Athenian 'prostates' (patron).	-340	This was a standard legal requirement for metics in Athens during the mid-4th century BCE.	4	Independent legal personhood is a prerequisite for material security.	4	Covers all legal and judicial interactions for a person.	5	The requirement for a patron lasts as long as the alien resides in the city.	4	Alien/Metic status is a legal birth-status.	1	Describes the practical legal constraints on the defendant in the trial.	5	Discusses the legal necessity of a patron as a given fact of Athenian life.	0	Alien status does not conceptually necessitate a patron system.
tlg0014.tlg059.perseus-eng2::6	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	oration	Court speech or political oration invoking a specific extant law or procedure	Protection from unlawful citizen claims	['When Stephanus took her away from him, as the law allowed, declaring her to be a free woman, Phrynion required her to post bonds with the polemarch. ... the sureties of Neaera were Stephanus of Eroeadae, Glaucetes of Cephisia, and Aristocrates of Phalerum.']	The law of 'aphairesis eis eleutherian' allowed a citizen to assert that someone was free; the claimant then had to post bond with the polemarch. This provided a legal resource to protect individuals from being seized as slaves without trial.	MORE	10.0	Freedom claimants	Slaves	Protection from arbitrary enslavement	Protection from enslavement	Bodily Autonomy	Classical Athens	The text describes the specific Athenian legal procedure of 'aphairesis eis eleutherian' for claiming freedom.	-340	This Athenian legal remedy was being actively utilized in the case described circa -340.	5	Protection from physical enslavement is a concrete bodily entitlement.	5	Privacy and bodily integrity are foundational axes.	5	Asserting freedom in court results in lifelong change of status.	2	Claimants of freedom are individuals in a specific legal proceeding.	1	Refers to the specific Athenian 'aphairesis' law of the time.	5	Verbatim cites the law as the basis for the action taken.	0	Claiming freedom does not inherently define the procedure for posting bond.
tlg0014.tlg059.perseus-eng2::7	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	oration	Court speech or political oration invoking a specific extant law or procedure	Dowry return upon divorce	['in accordance with the law which enacts that, if a man puts away his wife, he must pay back the marriage portion or else pay interest on it at the rate of nine obols a month for each mina; and that on the woman’s behalf her guardian may sue him for alimony in the Odeum.']	This is a standard civil law in Athens: a husband who divorces his wife must return her dowry to her guardian (kurios) or pay a high interest rate, protecting the woman's family's assets.	MORE	10.0	Wives	Women;Wives	Right to return of dowry	Right to a dowry	Material Wealth; Household Authority	Classical Athens	The text cites an Athenian law regarding the return of the 'proix' (dowry) upon divorce.	-340	This represents a contemporary civil law of the orators' period around -340.	5	Return of the dowry is a direct transfer of major wealth/property.	4	Marriage property rights are broad categories of legal protection.	5	Dowry return provides lifelong subsistence for the divorced woman.	3	Marital status (wives) is a durable identity but changeable.	1	Quotes a statute currently in force in Athenian civil law.	5	Cite 'the law which enacts' as pure legal fact.	0	Being a wife does not define the rules of divorce settlement.
tlg0014.tlg059.perseus-eng2::8	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	oration	Court speech or political oration invoking a specific extant law or procedure	Fraudulent marriage of aliens	['If anyone shall give an alien woman in marriage to an Athenian man, representing her as being related to himself, he shall lose his civic rights and his property shall be confiscated, and a third part of it shall belong to the one who secures his conviction. And anyone entitled to do so may indict such a person before the Thesmothetae.']	This specific law serves to protect the purity of the citizen body by heavily penalizing anyone who attempts to introduce an alien woman into a citizen marriage under false pretenses of lineage.	LESS	10.0	Aliens	Foreigners	Access to citizen marriage	Right to citizenship	Legal Standing; Political Power	Classical Athens	The text describes Athenian penalties for misrepresenting the status of a bride in a citizen marriage.	-340	Reflects the mid-4th century Athenian laws on citizenship and marriage purity.	5	Citizen marriage rights affect inheritance, children's status, and property.	4	Regulates the fundamental social unit of the household/citizenship.	5	Exclusion from marriage results in permanent lack of citizen children.	4	Alien status is a legal birth-status.	1	Quotes an Athenian statute active at the time of the speech.	5	Pure citation of the statute including specific penalties.	0	Being an alien does not define the penalty for a specific type of fraud.
tlg0014.tlg059.perseus-eng2::11	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	oration	Court speech or political oration invoking a specific extant law or procedure	Restricted office for new citizens	['For in the case of all those whom the Athenian people may make citizens, the law expressly forbids that they should be eligible to the office of the nine archons or to hold any priesthood; but their descendants are allowed by the people to share in all civic rights, though the proviso is added: if they are born from an Athenian woman who was betrothed according to the law.']	Even when citizenship is granted by decree (naturalization), the first-generation recipient is legally barred from high magistracies and priesthoods, which are reserved for those of citizen lineage.	LESS	10.0	Naturalized citizens	Citizens	Eligibility for archonship and priesthoods	Eligibility for public office	Political Power	Classical Athens	Demosthenes is an Athenian orator describing the specific laws governing Athenian citizenship and eligibility for the archonship.	-340	This speech (Against Neaera) is traditionally dated to approximately -340, during Demosthenes' active career.	4	Eligibility for the nine archons and priesthoods involves high-status legal/political roles with direct influence and material perks.	4	High office and priesthoods are broad categories of civic and religious power in Athens.	5	The restriction is lifelong for the naturalized citizen, ending only with the next generation.	4	Naturalized citizen status is a legal birth-state that cannot be retroactively changed to 'native born'.	1	Demosthenes refers to a statute in force in the Athenian courts during his time.	5	Verbatim cites the law as an express prohibition within the legal code.	0	Being a citizen does not inherently define which specific offices one can hold.
tlg0014.tlg059.perseus-eng2::12	Demosthenes	Apollodorus Against Neaera	Late Classical (354–165 BCE)	oration	Court speech or political oration invoking a specific extant law or procedure	Judicial torture of slaves	['I proposed that he should deliver up for the torture the women-servants, Thratta and Coccalinê... Apollodorus is ready to receive for examination by the torture the women-servants of Neaera... if the women had been injured in any way as a result of the torture, to pay for the injuries sustained.']	The 'basanos' rule in Athenian law allowed (and often required) slaves to be tortured as a method of extracting legal testimony, demonstrating that slaves lacked protection from physical violence in judicial contexts.	LESS	10.0	Slaves	Slaves	Protection from corporal torture	Protection from corporal punishment	Bodily Autonomy	Classical Athens	The text describes the 'basanos', a specific Athenian legal procedure for the judicial torture of slaves for testimony.	-340	Dated to the floruit of Demosthenes and the specific delivery of the speech Against Neaera in approximately -340.	5	Protection from torture is a core bodily entitlement and physical protection.	3	Specifically concerns the judicial process of 'basanos' (evidence gathering).	5	The status of being subject to torture is a lifelong condition of being a slave.	4	Slave status is a fixed legal status requiring the rare act of manumission to change.	1	The text describes contemporary legal practice regarding slave testimony (basanos).	5	The verbatim describes a formal legal proposal made according to established Athenian procedure.	0	Slave status involves ownership, but not necessarily the specific method of judicial torture.
tlg0032.tlg015.perseus-eng1::0	Xenophon	Constitution of the Athenians	Classical (500–360 BCE)	contemporary_treatise	Contemporary philosophical / political treatise implying the rule exists	Universal access to magistracies	['This being the case, it seems only just that offices of state should be thrown open to every one both in the ballot and the show of hands, and that the right of speech should belong to any one who likes, without restriction. For, observe, there are many of these offices which, according according as they are in good or in bad hands, are a source of safety or of danger to the People, and in these the People prudently abstains from sharing; as, for instance, it does not think it incumbent on itself to share in the functions of the general or of the commander of cavalry. The sovereign People recognises the fact that in forgoing the personal exercise of these offices, and leaving them to the control of the more powerful citizens, it secures the balance of advantage to itself.']	The author describes the Athenian democratic practice where even the 'baser sort' or poor citizens have the right to hold offices determined by lot or election, though they choose to leave high-risk military roles to the wealthy.	MORE	10.0	The poor	The poor	Eligibility for the archonship	Eligibility for public office	Political Power	Classical Athens	The 'Old Oligarch' (Pseudo-Xenophon) is critiquing the democratic institutions of the Athenian state.	-425	Modern scholarship generally dates this work to the early years of the Peloponnesian War, roughly -425.	4	Magistracies carry legal power and often significant material influence or compensation.	4	Eligibility for state offices covers a broad category of political and legal rights.	4	Eligibility is a stable right during one's tenure as a citizen.	3	Wealth brackets (the poor) are changeable but represent a durable social identity.	1	Pseudo-Xenophon is describing the functioning of the contemporary Athenian democracy.	4	The author reports a factual democratic practice despite his critical tone.	0	Being poor does not by definition exclude or include one in the archonship.
tlg0032.tlg015.perseus-eng1::1	Xenophon	Constitution of the Athenians	Classical (500–360 BCE)	contemporary_treatise	Contemporary philosophical / political treatise implying the rule exists	Universal right of speech	['The objection may be raised that it was a mistake to allow the universal right of speech and a seat in council. These should have been reserved for the cleverest, the flower of the community. But here, again, it will be found that they are acting with wise deliberation in granting to even the baser sort the right of speech, for supposing only the better people might speak, or sit in council, blessings would fall to the lot of those like themselves, but to the commonalty the reverse of blessings.']	The text explicitly confirms that the 'baser sort' (poor citizens) possess the right to speak and sit in the council, a key immaterial resource in Athenian democracy.	MORE	10.0	The poor	The poor	Right of speech in assembly	Right to address the assembly	Political Power	Classical Athens	The text discusses the right of speech (isegoria) as practiced in the Athenian assembly and council.	-425	The work is a contemporary critique of the Athenian democracy during the 5th century BCE, specifically around -425.	3	Speech is a legal practice with material outcomes (voting, legislation), but is conceptually communicative.	5	Speech in the assembly is a foundational societal axis for the Athenian citizen.	5	The right of speech is a lifelong attribute of the citizen's standing.	3	Class ('the baser sort') is a social identity that is moderately durable.	1	Describes the active 'Isegoria' of contemporary Athens.	4	Reports a known institutional right of the Demos.	0	Being poor is defined by wealth, not by the right to speak in a council.
tlg0032.tlg015.perseus-eng1::2	Xenophon	Constitution of the Athenians	Classical (500–360 BCE)	contemporary_treatise	Contemporary philosophical / political treatise implying the rule exists	Slave protection from assault	['Another point is the extraordinary amount of license granted to slaves and resident aliens at Athens, where a blow is illegal, and a slave will not step aside to let you pass him in the street. I will explain the reason of this peculiar custom. Supposing it were legal for a slave to be beaten by a free citizen, or for a resident alien or freedman to be beaten by a citizen, it would frequently happen that an Athenian might be mistaken for a slave or an alien and receive a beating.']	The author notes a specific Athenian legal norm where it is illegal for a citizen to strike a slave, providing them a level of physical security not found in other Greek states like Lacedaemon.	MORE	9.0	Slaves	Slaves	Protection from corporal punishment	Protection from corporal punishment	Bodily Autonomy	Classical Athens	The author explicitly compares Athenian customs regarding slaves to those of other states, focusing on Athenian law.	-425	Composed during the early Peloponnesian War (-425) to describe current social and legal conditions in Athens.	5	Protection from physical assault (being beaten) is a fundamental material protection of the body.	4	Protection from assault applies broadly across all public and street interactions.	5	This protection (or lack thereof) is a permanent structural feature of slave life in Athens.	4	Slave status is a hard-to-change legal and social condition.	1	Refers to a specific 'peculiar custom' and legal norm in contemporary Athens.	4	Reports the illegality of striking a slave as a factual observation of Athenian life.	0	Slavery usually entails vulnerability to violence; the rule granting protection is non-tautological.
tlg0032.tlg015.perseus-eng1::3	Xenophon	Constitution of the Athenians	Classical (500–360 BCE)	contemporary_treatise	Contemporary philosophical / political treatise implying the rule exists	Metic protection from assault	['Supposing it were legal for a slave to be beaten by a free citizen, or for a resident alien or freedman to be beaten by a citizen, it would frequently happen that an Athenian might be mistaken for a slave or an alien and receive a beating; since the Athenian People is no better clothed than the slave or alien, nor in personal appearance is there any superiority.']	The text states that resident aliens (meticians) are protected from being beaten by citizens, effectively establishing a right to bodily integrity.	MORE	9.0	Resident aliens	Foreigners	Protection from corporal punishment	Protection from corporal punishment	Bodily Autonomy	Classical Athens	The rule details the legal status and physical protection of metics (resident aliens) in Athens.	-425	This treatise describes the functioning of the contemporary Athenian democracy circa -425.	5	Protection from physical assault is a direct bodily entitlement.	4	Protection from assault is a broad legal right in public spaces.	4	Holds as long as the person maintains their status as a resident alien.	3	Being a resident alien is a durable social and legal identity, though technically changeable.	1	Describes the contemporary social conditions of Athens.	4	Reports a factual legal condition used to explain Athenian street behavior.	0	Being a resident alien does not inherently define physical immunity from citizens.
tlg0032.tlg015.perseus-eng1::4	Xenophon	Constitution of the Athenians	Classical (500–360 BCE)	contemporary_treatise	Contemporary philosophical / political treatise implying the rule exists	Liturgy obligation for the wealthy	['On the same principle, in the case of the coregia, the gymnasiarchy, and the trierarchy, the fact is recognised that it is the rich man who trains the chorus, and the People for whom the chorus is trained; it is the rich man who is trierarch or gymnasiarch, and the People that profits by their labours. In fact, what the People looks upon as its right is to pocket the money. To sing and run and dance and man the vessels is well enough, but only in order that the People may be the gainer, while the rich are made poorer.']	The author describes the system of liturgies (choregia, trierarchy) where wealthy individuals are compelled to fund public services, which he characterizes as a transfer of wealth from the rich to the people.	LESS	9.0	The wealthy	The wealthy	Right to retain own earnings	Right to retain own earnings	Material Wealth	Classical Athens	The passage describes the Athenian liturgical system (choregia, trierarchy) which were civic obligations in Athens.	-425	Reflects the fiscal and civic institutions of Athens during the author's lifetime in the late 5th century BCE (-425).	5	The obligation to fund liturgies is a direct and significant wealth transfer/cost.	4	Wealthy obligations like the trierarchy represent a broad category of fiscal burden.	4	These duties recur throughout a wealthy person's career/life stage.	3	The 'rich' are a social bracket defined by wealth, which can fluctuate.	1	Describes active fiscal systems in contemporary Athens.	5	Liturgies were established, factual legal obligations for the Athenian elite.	0	Being rich does not strictly mean one is legally required to fund state theatre or ships.
