rule_uid	file_id	perseus_id	criteria	rule	group	resource	directionality	verbatim	reasoning	confidence	rule_polity	rule_polity_reasoning	rule_time_reference	rule_time_reasoning	contemporary	factuality	factuality_work	is_historical	group_specificity	group_immutability	immutability_reasoning	resource_materiality	materiality_reasoning	resource_generality	resource_generality_reasoning	resource_persistence	persistence_reasoning	tautological	tautology_reasoning	secondary_reasoning	author	wikidata_id	wikidata_name	cliopatria_polity	impact_year	impact_date	impact_date_precision	birthdate	deathdate	occupations	description	work_title	perseus_title	wikidata_work_id	wikidata_work_label	period	genre	form_of_creative_work	instance_of	main_language	editors	pub_date	n_words	n_characters	n_pages
tlg0010.tlg019.perseus-eng2#10	tlg0010.tlg019.perseus-eng2	tlg0010.tlg019	Occupation	Oratorical esteem over lawmaking	Orators	Higher social esteem and praise	MORE	[§81] For these reasons, men who make it their duty to invent discourses of that kind should be held in higher esteem than those who propose and write down laws, inasmuch as they are rarer, have the more difficult task, and must have superior qualities of mind.	Isocrates argues that those who compose original oratory (discourses on public welfare) deserve more prestige than those who merely compile or write laws, due to the higher intellectual difficulty of the task.	9.0	Classical Athens	The rule compares the esteem of orators to lawmakers, reflecting the intellectual and political discourse of Classical Athens.	contemporary	Isocrates is making an argument about the relative value and recognition of different public roles in his contemporary society.	1	0	4	0	3	3	Occupation/profession acquired through training, changeable with effort.	2	Higher social esteem and praise are primarily symbolic, with weak material payoff.	4	Higher social esteem and praise is a broad category of social recognition.	4	Higher social esteem for orators is a long-term professional and social status.	0	Higher social esteem is a cultural value, not inherent in the definition of 'orator'.	The group is a specific profession; the author describes a contemporary social value judgment.	Isocrates	Q221182	Isocrates	Peloponnesian League	-400	-400	year	-435.0	-337.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Q4774689	Antidosis	Classical (500–360 BCE)			oration, literary work	English	George Norlin	1928	29306	162891	117
tlg0010.tlg019.perseus-eng2#11	tlg0010.tlg019.perseus-eng2	tlg0010.tlg019	Citizenship	Democracy subject to people	Citizens under democracy	Right to political courtship from leaders	MORE	[§70] And since in addressing a king I have spoken for his subjects, surely I would urge upon men who live under a democracy to pay court to the people.	The text establishes a rule of political conduct: in an Athenian democracy, the 'people' as a collective group are the ones to whom leaders must pay court, parallel to how a king's subjects are treated by an advisor.	8.0	Classical Athens	The rule explicitly refers to 'men who live under a democracy' and 'the people', directly indicating the Athenian democratic system.	contemporary	Isocrates is giving advice relevant to political behavior in the contemporary Athenian democracy.	1	1	4	0	4	4	Citizenship is a legal status, very hard to change.	3	Right to political courtship affects access to a social role with tangible outcomes.	3	The right to political courtship from leaders is specific but recurring in a democracy.	3	The right to political courtship is a recurring expectation within a democratic system.	0	The right to political courtship is a political dynamic, not inherent in being a 'citizen under democracy'.	The group is broad but specific (citizens under democracy); the author describes a contemporary political norm.	Isocrates	Q221182	Isocrates	Peloponnesian League	-400	-400	year	-435.0	-337.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Q4774689	Antidosis	Classical (500–360 BCE)			oration, literary work	English	George Norlin	1928	29306	162891	117
tlg0010.tlg019.perseus-eng2#12	tlg0010.tlg019.perseus-eng2	tlg0010.tlg019	Wealth / Properties	Wealthy liturgical honors	Wealthy citizens	Public honors and gold crowns	MORE	[§93] Among the first to begin studying with me were Eunomus, Lysitheides, and Callippus; and following them were Onetor, Anticles, Philonides, Philomelus, and Charmantides. [§94] All these men were crowned by Athens with chaplets of gold, not because they were covetous of other people’s possessions, but because they were honorable men and had spent large sums of their private fortunes upon the city.	The text identifies a convention where wealthy individuals who spend their private fortunes on city services (liturgies) are rewarded with material signs of fame like golden crowns.	10.0	Classical Athens	The rule mentions citizens being 'crowned by Athens with chaplets of gold' for spending private fortunes on the city, a specific Athenian practice for honoring liturgists.	contemporary	Isocrates is citing examples of contemporary Athenians who received public honors for their contributions.	1	1	4	0	4	3	Wealth bracket is changeable with effort, but forms a durable social identity.	2	Public honors and gold crowns are ceremonial, with minor economic side-effects.	2	Public honors and gold crowns are specific civic awards.	4	Public honors and gold crowns are long-term symbols of recognition, though revocable.	0	Public honors are a reward system, not inherent in being a 'wealthy citizen'.	The group is broad but specific (wealthy citizens); the author describes a contemporary social reward system.	Isocrates	Q221182	Isocrates	Peloponnesian League	-400	-400	year	-435.0	-337.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Q4774689	Antidosis	Classical (500–360 BCE)			oration, literary work	English	George Norlin	1928	29306	162891	117
tlg0010.tlg019.perseus-eng2#13	tlg0010.tlg019.perseus-eng2	tlg0010.tlg019	Education	Royal educational obligation	Monarchs	Access to advanced education	LESS	[§71] Now in the introduction and in the opening words of that discourse I reproach monarchs because they who more than others ought to cultivate their understanding are less educated than men in private station.	Isocrates notes a societal discrepancy where kings, despite their status, often possess less education than private citizens, framing it as a failure to access a resource they ought to prioritize.	7.0	Generic / abstract (no specific polity)	The rule discusses monarchs in a general sense, without specifying a particular kingdom or historical context, making it an abstract observation about leadership.	timeless	The statement is a general observation about the ideal education of rulers, applicable across different times and places, rather than a specific historical context.	1	0	4	0	3	4	Monarchs are defined by a birth-status or legal/structural position.	3	Access to advanced education is a social practice that produces tangible outcomes.	5	Access to advanced education is a high-level societal good.	3	Access to education is a resource typically associated with a life stage or period of learning.	0	Access to advanced education is a societal opportunity, not inherent in being a 'monarch'.	The group is a specific role; the author describes a contemporary societal expectation.	Isocrates	Q221182	Isocrates	Peloponnesian League	-400	-400	year	-435.0	-337.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Q4774689	Antidosis	Classical (500–360 BCE)			oration, literary work	English	George Norlin	1928	29306	162891	117
tlg0010.tlg019.perseus-eng2#14	tlg0010.tlg019.perseus-eng2	tlg0010.tlg019	Freedom	Citizen freedom of speech	Athenian citizens	Right to frankness with rulers	MORE	[§70] for you will see that I have expressed myself to Nicocles as a free man and an Athenian should, not paying court to his wealth nor to his power, but pleading the cause of his subjects.	The author defines the status of 'Athenian' and 'free man' as carrying the right/norm of speaking frankly to power without subservience, unlike non-citizens or the unfree.	9.0	Classical Athens	The rule refers to speaking 'as a free man and an Athenian should', directly linking the freedom of speech to Athenian citizenship.	contemporary	Isocrates is describing his own conduct and the expected behavior of an Athenian citizen in his contemporary political context.	1	1	4	0	4	4	Athenian citizenship is a legal status, very hard to change.	3	Right to frankness with rulers affects access to a social role with tangible outcomes.	5	The right to frankness with rulers is a form of political power/freedom of speech.	4	The right to frankness is a long-term aspect of citizenship, though it can be suppressed.	0	The right to frankness with rulers is a cultural and political norm, not inherent in being an 'Athenian citizen'.	The group is broad but specific (Athenian citizens); the author describes a contemporary social norm.	Isocrates	Q221182	Isocrates	Peloponnesian League	-400	-400	year	-435.0	-337.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Q4774689	Antidosis	Classical (500–360 BCE)			oration, literary work	English	George Norlin	1928	29306	162891	117
tlg0010.tlg019.perseus-eng2#15	tlg0010.tlg019.perseus-eng2	tlg0010.tlg019	Occupation	Public educator defense of followers	Counsellors and teachers	Right to justify followers' actions	MORE	[§104] [104] while it is proper for the layman to say what he has to say in defense of his own actions and then take his seat or else to be thought to overdo his case, yet when anyone occupies a position in the eyes of the public as a counsellor and teacher, he must then justify his followers as well as himself, especially if he is being tried on this charge.	The text identifies a specific procedural expectation for public teachers/counsellors in court that differ from laymen, granting them the scope to defend their associates as part of their own defense.	9.0	Classical Athens	The text refers to a 'layman' and 'counsellor and teacher' in a public setting, implying a democratic city-state like Athens where public speaking and legal defense were common.	contemporary	Isocrates is defending himself and his practices in Athens, making the rule contemporary to his floruit.	1	1	4	0	3	3	Occupation/profession acquired through training, changeable with effort.	3	Right to justify followers' actions affects participation in a legal procedure with material outcomes.	2	The right to justify followers' actions is tied to a specific procedural role.	2	The right to justify followers' actions applies to a specific legal defense or trial.	0	The right to justify followers' actions is a specific procedural expectation, not inherent in being a 'counsellor or teacher'.	The group is a specific profession; the author describes a contemporary legal expectation.	Isocrates	Q221182	Isocrates	Peloponnesian League	-400	-400	year	-435.0	-337.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Q4774689	Antidosis	Classical (500–360 BCE)			oration, literary work	English	George Norlin	1928	29306	162891	117
tlg0010.tlg019.perseus-eng2#16	tlg0010.tlg019.perseus-eng2	tlg0010.tlg019	Health	Generalship eligibility and robust physique	Men with non-robust physiques	Eligibility for the generalship	LESS	[§115-116] [115] ...some of the generals who have a high reputation among you and are thought to be great fighters have not been able to take even a village, while Timotheus, who lacks a robust physique... [116] For you elect as your generals men who have the most robust bodies and who have served in many campaigns with foreign armies, thinking that under their leadership you will have some success.	The text explicitly states that the Athenian assembly (the 'you') selects generals based on physical robustness, which functions as a barrier for those, like Timotheus, who lack it, despite his eventual success.	8.0	Classical Athens	The rule discusses the election of generals and public reputation, which aligns with the democratic practices and military structures of Classical Athens.	contemporary	Isocrates is discussing contemporary Athenian practices regarding the election of generals, referencing a specific general (Timotheus) from his era.	1	1	4	0	4	5	Physical physique is a biologically fixed trait, strictly immutable.	3	Eligibility for generalship is access to a social role with tangible outcomes.	2	Eligibility for the generalship is tied to a particular office and physical condition.	4	Eligibility for generalship based on physique is a long-term career barrier or enabler.	0	Eligibility for generalship based on physique is a selection criterion, not inherent in lacking a robust physique.	The group is broad but specific (men with non-robust physiques); the author describes a contemporary selection criterion.	Isocrates	Q221182	Isocrates	Peloponnesian League	-400	-400	year	-435.0	-337.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Q4774689	Antidosis	Classical (500–360 BCE)			oration, literary work	English	George Norlin	1928	29306	162891	117
tlg0010.tlg019.perseus-eng2#17	tlg0010.tlg019.perseus-eng2	tlg0010.tlg019	Citizenship	Ally protection from soldier plunder	Allies (Hellenes)	Protection of property from plundering	MORE	[§124] [124] and if he happened to harbor his fleet in any place, he would never permit his soldiers to plunder and pillage and sack the people’s houses, but took as great precautions to prevent such an occurrence as the owners would take to guard their own possessions.	The text describes a rule of conduct enforced by Timotheus where the property of allied populations was protected from the standard military practice of plundering by soldiers.	9.0	Classical Athens	The rule describes the conduct of a general towards allied cities, a common concern for a leading Greek city-state like Athens with a network of allies.	contemporary	Isocrates is discussing the ethical conduct of generals in his own time, reflecting contemporary military and political concerns.	1	1	4	0	4	4	Allies (Hellenes) refers to a political/legal status, very hard to change.	5	Protection of property from plundering is a tangible property entitlement.	4	Protection of property from plundering is a broad category of property rights.	2	Protection of property from plundering is a temporary right during a military campaign.	0	Protection of property from plundering is a military rule, not inherent in being an 'ally'.	The group is broad but specific (allies); the author describes a contemporary military conduct rule.	Isocrates	Q221182	Isocrates	Peloponnesian League	-400	-400	year	-435.0	-337.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Q4774689	Antidosis	Classical (500–360 BCE)			oration, literary work	English	George Norlin	1928	29306	162891	117
tlg0010.tlg019.perseus-eng2#18	tlg0010.tlg019.perseus-eng2	tlg0010.tlg019	Citizenship	Ally protection against political upheaval	Allies (Hellenes)	Right to retain internal government	MORE	[§126-127] [126] ...and he, in turn, never set up any disturbance in them, but just as he found them governed when he entered their gates, so he left them when he passed out. [§127] [127] ...under his leadership, no one can point to cities devastated, governments overthrown, men murdered or driven into exile.	The author contrasts previous periods of calamity with Timotheus’s leadership, where he upheld a rule of non-interference in the internal governance and safety of allied cities.	9.0	Classical Athens	The rule describes a general's conduct regarding allied cities' internal governments, reflecting the political dynamics between Athens and its allies.	contemporary	Isocrates is discussing the behavior of generals in his contemporary political landscape, particularly concerning the treatment of allied states.	1	1	4	0	4	4	Allies (Hellenes) refers to a political/legal status, very hard to change.	4	Right to retain internal government is a concrete legal right with direct material effect.	4	The right to retain internal government is a broad category of political autonomy.	2	The right to retain internal government is a protection that applies during a specific period of military presence.	0	The right to retain internal government is a political agreement, not inherent in being an 'ally'.	The group is broad but specific (allies); the author describes a contemporary policy of non-interference.	Isocrates	Q221182	Isocrates	Peloponnesian League	-400	-400	year	-435.0	-337.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Q4774689	Antidosis	Classical (500–360 BCE)			oration, literary work	English	George Norlin	1928	29306	162891	117
tlg0010.tlg019.perseus-eng2#19	tlg0010.tlg019.perseus-eng2	tlg0010.tlg019	Occupation	General accountability for financial reports	Generals	Freedom from excessive fines	LESS	[§129] [129] ...he, after having captured so many cities and having never lost a single one, was tried for treason, and again when he submitted his reports... Timotheus was fined a larger sum than anyone in the past had ever been condemned to pay.	The text describes the legal outcomes for generals during their audit (euthynai); while some were acquitted, Timotheus was subjected to a record-breaking fine, demonstrating the financial liability associated with the high-level magisterial group.	10.0	Classical Athens	The rule refers to generals being tried for treason and submitting financial reports, which were established legal and accountability practices in Classical Athens.	contemporary	Isocrates is referencing a specific contemporary event involving General Timotheus and his trial, making the rule contemporary.	1	1	4	0	3	3	Occupation/profession acquired through training, changeable with effort.	5	Freedom from excessive fines directly impacts wealth and tangible property.	3	Freedom from excessive fines is a specific but broadly applicable legal protection.	2	Freedom from excessive fines applies to the outcome of a specific audit or trial.	0	Freedom from excessive fines is a legal outcome, not inherent in being a 'general'.	The group is a specific profession; the author describes a contemporary legal accountability.	Isocrates	Q221182	Isocrates	Peloponnesian League	-400	-400	year	-435.0	-337.0	orator; writer	Greek rhetorician and writer (436–338 BC)	Antidosis	Antidosis	Q4774689	Antidosis	Classical (500–360 BCE)			oration, literary work	English	George Norlin	1928	29306	162891	117
