author_code	work_code	filename	file_path	title	author	editors	publisher	pub_place	pub_date	source_bibl	languages	extent	funder	principal	text_length	word_count	source_date
tlg0059	tlg006	tlg0059.tlg006.perseus-eng2.xml	tlg0059/tlg006/tlg0059.tlg006.perseus-eng2.xml	Theaetetus	Plato	Harold North Fowler	Trustees of Tufts University	Medford, MA	1996	Hom. Il. 14.201, 302	eng; grc; lat		The Annenberg CPB/Project	Gregory Crane	191002	34946	1921
tlg0059	tlg030	tlg0059.tlg030.perseus-eng2.xml	tlg0059/tlg030/tlg0059.tlg030.perseus-eng2.xml	Republic	Plato	Paul Shorey; Paul Shorey	Trustees of Tufts University	Medford, MA	1996	Thuc. 2.62	eng; grc; fre; ita; deu		The Annenberg CPB/Project	Gregory Crane	1162547	210041	1935-37
tlg0059	tlg030	tlg0059.tlg030.perseus-grc2.xml	tlg0059/tlg030/tlg0059.tlg030.perseus-grc2.xml	Πολιτεία	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	Pindar Frag. 214, Loeb	grc; eng		The Annenberg CPB/Project	Gregory Crane	535429	88318	1905
tlg0059	tlg008	tlg0059.tlg008.perseus-grc2.xml	tlg0059/tlg008/tlg0059.tlg008.perseus-grc2.xml	Πολιτικός	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996		grc; eng		The Annenberg CPB/Project	Gregory Crane	112672	18313	1905
tlg0059	tlg008	tlg0059.tlg008.perseus-eng2.xml	tlg0059/tlg008/tlg0059.tlg008.perseus-eng2.xml	Statesman	Plato	Harold North Fowler; Harold North Fowler	Trustees of Tufts University	Medford, MA	1996	Plat. Theaet. 147 D ff	eng; grc; lat		The Annenberg CPB/Project	Gregory Crane	146823	26676	1925
tlg0059	tlg015	tlg0059.tlg015.perseus-eng2.xml	tlg0059/tlg015/tlg0059.tlg015.perseus-eng2.xml	Hipparchus	Plato	Walter Rangeley Maitland Lamb; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	Thuc. 6.59	eng; grc		The Annenberg CPB/Project	Gregory Crane	17738	3389	1927
tlg0059	tlg015	tlg0059.tlg015.perseus-grc2.xml	tlg0059/tlg015/tlg0059.tlg015.perseus-grc2.xml	Ἵππαρχος	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996		grc; eng		The Annenberg CPB/Project	Gregory Crane	14173	2395	1910
tlg0059	tlg012	tlg0059.tlg012.perseus-grc2.xml	tlg0059/tlg012/tlg0059.tlg012.perseus-grc2.xml	Φαῖδρος	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	Ibycus Frag. 24, Bergk.	grc; eng		The Annenberg CPB/Project		109682	16994	1910
tlg0059	tlg012	tlg0059.tlg012.perseus-eng2.xml	tlg0059/tlg012/tlg0059.tlg012.perseus-eng2.xml	Phaedrus	Plato	Harold North Fowler; Harold North Fowler; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	Pind. Isthm 1.1	eng; grc		The Annenberg CPB/Project	Gregory Crane	130334	23525	1914
tlg0059	tlg024	tlg0059.tlg024.perseus-eng2.xml	tlg0059/tlg024/tlg0059.tlg024.perseus-eng2.xml	Meno	Plato	Walter Rangeley Maitland Lamb; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	Plat. Prot. 337a	eng; grc		The Annenberg CPB/Project	Gregory Crane	74234	14061	1924
tlg0059	tlg024	tlg0059.tlg024.perseus-grc2.xml	tlg0059/tlg024/tlg0059.tlg024.perseus-grc2.xml	Μένων	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	Pind. fr. 133 Bergk	grc; eng		The Annenberg CPB/Project	Gregory Crane	60453	10254	1903
tlg0059	tlg023	tlg0059.tlg023.perseus-grc2.xml	tlg0059/tlg023/tlg0059.tlg023.perseus-grc2.xml	Γοργίας	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	Pind. fr. 169	grc; eng		The Annenberg CPB/Project	Gregory Crane	162562	27307	1903
tlg0059	tlg023	tlg0059.tlg023.perseus-eng2.xml	tlg0059/tlg023/tlg0059.tlg023.perseus-eng2.xml	Gorgias	Plato	Walter Rangeley Maitland Lamb; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	Hom. Il.  6.211	eng; grc		The Annenberg CPB/Project	Gregory Crane	210551	39042	1925
tlg0059	tlg022	tlg0059.tlg022.perseus-grc2.xml	tlg0059/tlg022/tlg0059.tlg022.perseus-grc2.xml	Πρωταγόρας	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	ηομ. οδ. 11.601	grc; eng		The Annenberg CPB/Project	Gregory Crane	109414	17257	1903
tlg0059	tlg022	tlg0059.tlg022.perseus-eng2.xml	tlg0059/tlg022/tlg0059.tlg022.perseus-eng2.xml	Protagoras	Plato	Walter Rangeley Maitland Lamb; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	Hom. Il.24.348	eng; grc		The Annenberg CPB/Project	Gregory Crane	136423	23984	1924
tlg0059	tlg025	tlg0059.tlg025.perseus-eng2.xml	tlg0059/tlg025/tlg0059.tlg025.perseus-eng2.xml	Hippias Major	Plato	Harold North Fowler; Harold North Fowler; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996		eng; grc		The Annenberg CPB/Project	Gregory Crane	65610	12103	1926
tlg0059	tlg025	tlg0059.tlg025.perseus-grc2.xml	tlg0059/tlg025/tlg0059.tlg025.perseus-grc2.xml	Ἱππίας μείζων	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996		grc; eng		The Annenberg CPB/Project	Gregory Crane	50648	8796	1903
tlg0059	tlg013	tlg0059.tlg013.perseus-grc2.xml	tlg0059/tlg013/tlg0059.tlg013.perseus-grc2.xml	Ἀλκιβιάδης αʹ	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	Hom. Il.. 2.547	grc; eng		The Annenberg CPB/Project		101163	11174	1910
tlg0059	tlg013	tlg0059.tlg013.perseus-eng2.xml	tlg0059/tlg013/tlg0059.tlg013.perseus-eng2.xml	Alcibiades 1	Plato	Walter Rangeley Maitland Lamb; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	Plat. Apol. 31c-d	eng; grc		The Annenberg CPB/Project	Gregory Crane	83593	15731	1927
tlg0059	tlg014	tlg0059.tlg014.perseus-eng2.xml	tlg0059/tlg014/tlg0059.tlg014.perseus-eng2.xml	Alcibiades 2	Plato	Walter Rangeley Maitland Lamb; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	Hom. Il. 10.224	eng; grc		The Annenberg CPB/Project	Gregory Crane	33827	6300	1927
tlg0059	tlg014	tlg0059.tlg014.perseus-grc2.xml	tlg0059/tlg014/tlg0059.tlg014.perseus-grc2.xml	Ἀλκιβιάδης βʹ	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	Hom. Il. 2.303	grc; eng		The Annenberg CPB/Project		27019	4388	1910
tlg0059	tlg032	tlg0059.tlg032.perseus-grc2.xml	tlg0059/tlg032/tlg0059.tlg032.perseus-grc2.xml	Κριτίας	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996		grc; eng		The Annenberg CPB/Project	Gregory Crane	30847	4960	1905
tlg0059	tlg032	tlg0059.tlg032.perseus-eng2.xml	tlg0059/tlg032/tlg0059.tlg032.perseus-eng2.xml	Critias	Plato	Robert Gregg Bury; Robert Gregg Bury	Trustees of Tufts University	Medford, MA	1996		eng; grc		The Annenberg CPB/Project	Gregory Crane	42679	7561	1929
tlg0059	tlg035	tlg0059.tlg035.perseus-eng2.xml	tlg0059/tlg035/tlg0059.tlg035.perseus-eng2.xml	Epinomis	Plato	Walter Rangeley Maitland Lamb; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996		eng; grc		The Annenberg CPB/Project	Gregory Crane	56233	10336	1927
tlg0059	tlg035	tlg0059.tlg035.perseus-grc2.xml	tlg0059/tlg035/tlg0059.tlg035.perseus-grc2.xml	Ἐπινομίς	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996		grc; eng		The Annenberg CPB/Project	Gregory Crane	38563	6331	1915
tlg0059	tlg003	tlg0059.tlg003.perseus-grc2.xml	tlg0059/tlg003/tlg0059.tlg003.perseus-grc2.xml	Κρίτων	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	ηομ. ιλ. 9.363	grc; eng		The Annenberg CPB/Project	Gregory Crane	27393	4269	1905
tlg0059	tlg003	tlg0059.tlg003.perseus-eng2.xml	tlg0059/tlg003/tlg0059.tlg003.perseus-eng2.xml	Crito	Plato	Harold North Fowler; Harold North Fowler; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	Hom. Il. 9.363	eng; grc		The Annenberg CPB/Project	Gregory Crane	30196	5707	1914
tlg0059	tlg004	tlg0059.tlg004.perseus-eng2.xml	tlg0059/tlg004/tlg0059.tlg004.perseus-eng2.xml	Phaedo	Plato	Harold North Fowler; Harold North Fowler; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	"Hom. Od
                            20.17-18"	eng; grc		The Annenberg CPB/Project	Gregory Crane	204128	27415	1914
tlg0059	tlg004	tlg0059.tlg004.perseus-grc2.xml	tlg0059/tlg004/tlg0059.tlg004.perseus-grc2.xml	Φαίδων	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	Hom. Od 20.17-18	grc; eng		The Annenberg CPB/Project	Gregory Crane	222933	22517	1905
tlg0059	tlg005	tlg0059.tlg005.perseus-eng2.xml	tlg0059/tlg005/tlg0059.tlg005.perseus-eng2.xml	Cratylus	Plato	Harold North Fowler; Harold North Fowler; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	Hom. Il. 21.342-380	eng; grc		The Annenberg CPB/Project	Gregory Crane	138791	24349	1926
tlg0059	tlg005	tlg0059.tlg005.perseus-grc2.xml	tlg0059/tlg005/tlg0059.tlg005.perseus-grc2.xml	Κρατύλος	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	ηομ. ιλ. 14.291	grc; eng		The Annenberg CPB/Project	Gregory Crane	111647	18987	1905
tlg0059	tlg002	tlg0059.tlg002.perseus-grc2.xml	tlg0059/tlg002/tlg0059.tlg002.perseus-grc2.xml	Ἀπολογία Σωκράτους	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996		grc; eng		The Annenberg CPB/Project	Gregory Crane	53631	8661	1905
tlg0059	tlg002	tlg0059.tlg002.perseus-eng2.xml	tlg0059/tlg002/tlg0059.tlg002.perseus-eng2.xml	Apology	Plato	Harold North Fowler; Harold North Fowler; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	Hom. Il. 18.96	eng; grc		The Annenberg CPB/Project	Gregory Crane	62114	11710	1914
tlg0059	tlg034	tlg0059.tlg034.perseus-eng2.xml	tlg0059/tlg034/tlg0059.tlg034.perseus-eng2.xml	Laws	Plato	Robert Gregg Bury; Robert Gregg Bury	Trustees of Tufts University	Medford, MA	1996	Hom. Od. 19.178	eng; grc		The Annenberg CPB/Project	Gregory Crane	865483	153609	1926
tlg0059	tlg034	tlg0059.tlg034.perseus-grc2.xml	tlg0059/tlg034/tlg0059.tlg034.perseus-grc2.xml	Νόμοι	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	Tyrtaeus 12 Bergk	grc; eng		The Annenberg CPB/Project	Gregory Crane	651472	104720	1915
tlg0059	tlg033	tlg0059.tlg033.perseus-grc2.xml	tlg0059/tlg033/tlg0059.tlg033.perseus-grc2.xml	Μίνως	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	Hom. Od. 19.179	grc; eng		The Annenberg CPB/Project	Gregory Crane	17782	3020	1915
tlg0059	tlg033	tlg0059.tlg033.perseus-eng2.xml	tlg0059/tlg033/tlg0059.tlg033.perseus-eng2.xml	Minos	Plato	Walter Rangeley Maitland Lamb; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	Hom. Od. 19.179	eng; grc		The Annenberg CPB/Project	Gregory Crane	23495	4335	1927
tlg0059	tlg011	tlg0059.tlg011.perseus-eng2.xml	tlg0059/tlg011/tlg0059.tlg011.perseus-eng2.xml	Symposium	Plato	Walter Rangeley Maitland Lamb; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	Rep. 368A	eng; grc		The Annenberg CPB/Project	Gregory Crane	139509	24587	1925
tlg0059	tlg011	tlg0059.tlg011.perseus-grc2.xml	tlg0059/tlg011/tlg0059.tlg011.perseus-grc2.xml	Συμπόσιον	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	Hom. Il. 17.587	grc; eng		The Annenberg CPB/Project		110321	17310	1910
tlg0059	tlg016	tlg0059.tlg016.perseus-grc2.xml	tlg0059/tlg016/tlg0059.tlg016.perseus-grc2.xml	Ἐρασταί	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	Solon Fr. 18	grc; eng		The Annenberg CPB/Project	Gregory Crane	14807	2387	1910
tlg0059	tlg016	tlg0059.tlg016.perseus-eng2.xml	tlg0059/tlg016/tlg0059.tlg016.perseus-eng2.xml	Lovers	Plato	Walter Rangeley Maitland Lamb; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	Solon Fr. 18	eng; grc		The Annenberg CPB/Project	Gregory Crane	19623	3591	1927
tlg0059	tlg029	tlg0059.tlg029.perseus-grc2.xml	tlg0059/tlg029/tlg0059.tlg029.perseus-grc2.xml	Κλειτοφῶν	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996		grc; eng		The Annenberg CPB/Project	Gregory Crane	9648	1553	1905
tlg0059	tlg029	tlg0059.tlg029.perseus-eng2.xml	tlg0059/tlg029/tlg0059.tlg029.perseus-eng2.xml	Cleitophon	Plato	Robert Gregg Bury; Robert Gregg Bury	Trustees of Tufts University	Medford, MA	1996	Plat. Meno 70a	eng; grc		The Annenberg CPB/Project	Gregory Crane	13164	2466	1929
tlg0059	tlg020	tlg0059.tlg020.perseus-eng2.xml	tlg0059/tlg020/tlg0059.tlg020.perseus-eng2.xml	Lysis	Plato	Walter Rangeley Maitland Lamb; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	Solon 21.2.	eng; grc		The Annenberg CPB/Project	Gregory Crane	52507	9970	1925
tlg0059	tlg020	tlg0059.tlg020.perseus-grc2.xml	tlg0059/tlg020/tlg0059.tlg020.perseus-grc2.xml	Λύσις	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	Solon 21.2	grc; eng		The Annenberg CPB/Project	Gregory Crane	40427	6655	1903
tlg0059	tlg027	tlg0059.tlg027.perseus-grc2.xml	tlg0059/tlg027/tlg0059.tlg027.perseus-grc2.xml	Ἴων	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	Hom. Il. 23.335 ff.	grc; eng		The Annenberg CPB/Project	Gregory Crane	27492	4040	1903
tlg0059	tlg027	tlg0059.tlg027.perseus-eng2.xml	tlg0059/tlg027/tlg0059.tlg027.perseus-eng2.xml	Ion	Plato	William Rangeley Maitland Lamb; William Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	Aristoph. Birds 750f.	eng; grc		The Annenberg CPB/Project	Gregory Crane	34930	5821	1925
tlg0059	tlg018	tlg0059.tlg018.perseus-grc2.xml	tlg0059/tlg018/tlg0059.tlg018.perseus-grc2.xml	Χαρμίδης	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	ηομ. οδ. 17.347	grc; eng		The Annenberg CPB/Project	Gregory Crane	49167	8304	1903
tlg0059	tlg018	tlg0059.tlg018.perseus-eng2.xml	tlg0059/tlg018/tlg0059.tlg018.perseus-eng2.xml	Charmides	Plato	Walter Rangeley Maitland Lamb; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	Hdt. 4.94-6	eng; grc		The Annenberg CPB/Project	Gregory Crane	61469	11476	1927
tlg0059	tlg026	tlg0059.tlg026.perseus-grc2.xml	tlg0059/tlg026/tlg0059.tlg026.perseus-grc2.xml	Ἱππίας ἐλάττων	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	Hom. Il. 9.308	grc; eng		The Annenberg CPB/Project	Gregory Crane	26181	4399	1903
tlg0059	tlg026	tlg0059.tlg026.perseus-eng2.xml	tlg0059/tlg026/tlg0059.tlg026.perseus-eng2.xml	Hippias Minor	Plato	Harold North Fowler; Harold North Fowler; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	Hom. Il. 308 ff.	eng; grc		The Annenberg CPB/Project	Gregory Crane	32407	5965	1926
tlg0059	tlg019	tlg0059.tlg019.perseus-grc2.xml	tlg0059/tlg019/tlg0059.tlg019.perseus-grc2.xml	Λάχης	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	Hom. Il. 8.107-108	grc; eng		The Annenberg CPB/Project	Gregory Crane	47205	7930	1903
tlg0059	tlg019	tlg0059.tlg019.perseus-eng2.xml	tlg0059/tlg019/tlg0059.tlg019.perseus-eng2.xml	Laches	Plato	Walter Rangeley Maitland Lamb; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	Solon Fr. 10	eng; grc		The Annenberg CPB/Project	Gregory Crane	60363	11275	1924
tlg0059	tlg021	tlg0059.tlg021.perseus-eng2.xml	tlg0059/tlg021/tlg0059.tlg021.perseus-eng2.xml	Euthydemus	Plato	Walter Rangeley Maitland Lamb; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	Plat. Euthyd. 271c	eng; grc		The Annenberg CPB/Project	Gregory Crane	95979	17674	1924
tlg0059	tlg021	tlg0059.tlg021.perseus-grc2.xml	tlg0059/tlg021/tlg0059.tlg021.perseus-grc2.xml	Εὐθύδημος	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996		grc; eng		The Annenberg CPB/Project	Gregory Crane	75163	12201	1903
tlg0059	tlg017	tlg0059.tlg017.perseus-grc2.xml	tlg0059/tlg017/tlg0059.tlg017.perseus-grc2.xml	Θεάγης	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	Soph. Fr. 14.1	grc; eng		The Annenberg CPB/Project	Gregory Crane	21334	3584	1903
tlg0059	tlg017	tlg0059.tlg017.perseus-eng2.xml	tlg0059/tlg017/tlg0059.tlg017.perseus-eng2.xml	Theages	Plato	Walter Rangeley Maitland Lamb; Walter Rangeley Maitland Lamb	Trustees of Tufts University	Medford, MA	1996	Soph. Fr. 14.1	eng; grc		The Annenberg CPB/Project	Gregory Crane	28183	5292	1927
tlg0059	tlg028	tlg0059.tlg028.perseus-grc2.xml	tlg0059/tlg028/tlg0059.tlg028.perseus-grc2.xml	Μενέξενος	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996		grc; eng		The Annenberg CPB/Project	Gregory Crane	30696	4847	1903
tlg0059	tlg028	tlg0059.tlg028.perseus-eng2.xml	tlg0059/tlg028/tlg0059.tlg028.perseus-eng2.xml	Menexenus	Plato	Robert Gregg Bury; Robert Gregg Bury	Trustees of Tufts University	Medford, MA	1996		eng; grc		The Annenberg CPB/Project	Gregory Crane	42922	7732	1929
tlg0059	tlg010	tlg0059.tlg010.perseus-eng2.xml	tlg0059/tlg010/tlg0059.tlg010.perseus-eng2.xml	Philebus	Plato	Harold North Fowler; Harold North Fowler	Trustees of Tufts University	Medford, MA	1996	Plat. Phaedo 58b	eng; grc		The Annenberg CPB/Project	Gregory Crane	132032	24161	1925
tlg0059	tlg010	tlg0059.tlg010.perseus-grc2.xml	tlg0059/tlg010/tlg0059.tlg010.perseus-grc2.xml	Φίληβος	Plato	John Burnet; John Burnet	Trustees of Tufts University	Medford, MA	1996	Hom. Il. 18.108-109	grc; eng		The Annenberg CPB/Project		126712	18845	1910
tlg0032	tlg009	tlg0032.tlg009.perseus-eng2.xml	tlg0032/tlg009/tlg0032.tlg009.perseus-eng2.xml	Agesilaus	Xenophon	"E. C. Marchant, G. W. Bowersock, tr. Constitution of the
                        Athenians.; E. C. Marchant, G. W. Bowersock, tr. Constitution of
                                the Athenians."	Trustees of Tufts University	Medford, MA	1925	Hdt. 8.131	eng; grc		The Annenberg CPB Project	Gregory Crane	89147	10738	1925
tlg0032	tlg009	tlg0032.tlg009.perseus-grc2.xml	tlg0032/tlg009/tlg0032.tlg009.perseus-grc2.xml	Agesilaus	Xenophon		Trustees of Tufts University	Medford, MA	1920 (repr.1969)		grc; eng		The Annenberg CPB Project	Gregory Crane	52820	7385	1920 (repr.1969)
tlg0032	tlg007	tlg0032.tlg007.perseus-eng2.xml	tlg0032/tlg007/tlg0032.tlg007.perseus-eng2.xml	Cyropaedia	Xenophon	Walter Miller; Walter Miller	Trustees of Tufts University	Medford, MA	1914	Xen. Cyrop. 3.3.60	eng; grc	about 680Kb	The Annenberg CPB/Project	Gregory Crane	650522	120617	1914
tlg0032	tlg007	tlg0032.tlg007.perseus-grc2.xml	tlg0032/tlg007/tlg0032.tlg007.perseus-grc2.xml	Cyropaedia	Xenophon	E. C. Marchant; E. C. Marchant	Trustees of Tufts University	Medford, MA	1910 (repr. 1970)		grc; eng	about 621Kb	The Annenberg CPB/Project	Gregory Crane	562332	79313	1910 (repr. 1970)
tlg0032	tlg001	tlg0032.tlg001.perseus-grc2.xml	tlg0032/tlg001/tlg0032.tlg001.perseus-grc2.xml	Hellenica	Xenophon		Trustees of Tufts University	Medford, MA	1900 (repr. 1968)		grc; eng	about 548Kb	The Annenberg CPB/Project	Gregory Crane	492921	66524	1900 (repr. 1968)
