rule_uid	file_id	rule_name	rule_category	group	resource	resource_category	directionality	proof	reasoning	specificity	specificity_reasoning	confidence	criteria	valid	comment
tlg0086.tlg010.perseus-eng2#214	tlg0086.tlg010.perseus-eng2	Judicial excuse for patriarchy	Legal defense privilege	Adult sons	Right to claim hereditary impulse in assault	Legal standing	MORE	[§950] But anger and bad temper are more natural than desire for excessive and unnecessary pleasures; witness the man who was had up for beating his father and who said in his defence, “Well, my father used to beat his father, and he used to beat his, and (pointing to his little boy) so will my son here beat me when he grows up; it runs in our family”	The text describes a specific legal context ('the man who was had up') where an individual uses the 'natural' or 'hereditary' quality of anger as a legitimate or at least recognized line of defense for physical assault against a parent. This suggests a societal rule where certain familial violence is mitigated by being perceived as a natural, inherited disposition.	4	This applies specifically to those in a domestic conflict involving paternal assault, a subset of the population.	7	Age|Gender|Lineage		
tlg0086.tlg010.perseus-eng2#256	tlg0086.tlg010.perseus-eng2	Paternal slavery of sons	Restriction of personal freedom	Sons	Freedom from enslavement by father	Freedom	LESS	[§1084] Among the Persians paternal rule is tyrannical, for the Persians use their sons as slaves.	Aristotle identifies a specific cultural rule among the Persians where sons are treated as the property of the father, effectively removing their status as free persons within the household.	4	This rule applies to a specific subset of the population (sons) within a specific civilization (Persians) mentioned in the text.	10	Lineage|Gender		
tlg0199.tlg001.perseus-eng2#1	tlg0199.tlg001.perseus-eng2	Dynastic succession rights	Access to political succession	Legitimate sons	Right to rule	Political power	MORE	[§1] And in the tenth month the bride with beautiful hair bore Euxantius, to be ruler over the glorious island daughters city cut deep by the sun's rays. From his (Euxantius'?) family descended Argeius.	The text identifies the birth of a son to a specific union (Minos and Dexithea) as the designated ruler, establishing that lineage and birth within the ruling family grant the resource of political power.	8	Political succession rules apply only to a very small number of elite individuals.	10	Lineage|Gender		
tlg1216.tlg001.perseus-eng1#30	tlg1216.tlg001.perseus-eng1	Infant life protection	Protection of children	Children	Protection from infanticide and abortion	Body integrity	MORE	[§195] Thou shalt not procure abortion, thou shalt not commit infanticide.	The text explicitly forbids abortion and infanticide as part of the 'Way of Light,' establishing a communal rule where infants and the unborn are granted the right to life and protection from lethal harm.	1	This rule applies to all children/infants within the community and prohibits actions by any member.	10	Age		
tlg0014.tlg021.perseus-eng2#33	tlg0014.tlg021.perseus-eng2	Liturgical expenditure exemptions	Grant of economic privilege	Wealthy citizens	Exemption from subsequent public services	Economic privileges	MORE	[§155] After this the State provides the crews and furnishes the tackle; so that some of them succeed in really spending nothing at all and by pretending to have performed one public service enjoy exemption from the rest.	Demosthenes describes a loophole or rule where performing one 'trierarchy' (public service) allows a citizen to claim exemption from other financial burdens imposed by the state.	3	This rule applies to the 'Twelve Hundred', the wealthiest tier of Athenian citizens responsible for funding the navy.	9	Wealth / Properties|Citizenship		
tlg0029.tlg004.perseus-eng2#20	tlg0029.tlg004.perseus-eng2	Athenian citizenship by birth	Access to citizenship	Foreigners	Right to Athenian citizenship	Citizenship	LESS	[§95] This man is a juggler, Athenians, and a blackguard, not entitled to be a citizen of Athens, either by virtue of his birth or of his political record.	Dinarchus argues that certain individuals are ineligible for the rights of citizenship based on 'birth', implying a genealogical requirement for full civic status in Athens.	3	Citizenship rules apply to a large portion of the population (the entire non-citizen resident and foreign population).	9	Citizenship		
tlg0557.tlg001.perseus-eng4#138	tlg0557.tlg001.perseus-eng4	Judicial power of imprisonment	Access to judicial protection	Judges	Authority to imprison or corporal punish	Political power	MORE	[§68] But I can throw whom I please into a prison. [...] But I can beat whom I will too.	The text explicitly states the legal powers held by a Judge of the Greeks, including the power to imprison and inflict corporal punishment on others.	9	This is a specific power held only by high-ranking legal officials.	10	Occupation|Legal Standing		
tlg0006.tlg014.perseus-eng2#5	tlg0006.tlg014.perseus-eng2	Barbarian absolute autocracy	Political exclusion	Non-royal subjects	Status as free persons	Freedom	LESS	[§9] Next, the gods have removed me from my native country to barbarian habits, and bereft of friends I have become a slave although I am free by birth; for among barbarians all are slaves except one.	Helen describes the political structure of 'barbarian' (non-Greek) societies as one where the lack of civic rights effectively renders every subject a slave to the single ruler.	2	This describes the entire population of non-Greek states under a single monarch.	9	Nobility|Freedom		
tlg0057.tlg010.perseus-eng2#38	tlg0057.tlg010.perseus-eng2	Scientific investigator's causal inquiry	Access to intellectual labor	Scientific investigators	Right to investigate primary causes	Economic privileges	MORE	[§28] This is no concern of ours, they say; we do not occupy ourselves with such causes as these; they are outside the sphere of the practitioner, and belong to that of the scientific investigator.	The text distinguishes between the 'practitioner' (physician) and the 'scientific investigator' regarding the study of primary causes. The investigator is granted the professional right and social expectation to pursue high-level causal knowledge that practitioners claim is outside their own sphere.	8	This refers to a specific elite subset of the intellectual class defined by their academic or theoretical focus.	9	Occupation|Education		
tlg0057.tlg010.perseus-eng2#9	tlg0057.tlg010.perseus-eng2	Intellectual sector exclusion	Exclusion from intellectual discourse	Unsystematic thinkers	Right to be recognized in philosophical debate	Legal standing	LESS	[§13] I speak, of course, of such of them as know what they are talking about, and who realize the logical sequence of their hypotheses, and stand by them; as for those who cannot understand even this, but who simply talk any nonsense that comes to their tongues, and who do not remain definitely attached either to one sect or the other — such people are not even worth mentioning.	Galen explicitly excludes a specific group of people from the 'sects' of medicine and philosophy based on their lack of logical consistency and adherence to a defined school of thought, effectively stripping them of professional or intellectual standing in his society.	4	This rule applies to a specific sub-set of the educated class (physicians and philosophers) who fail to meet the standards of systematic thought.	9	Education		
tlg0057.tlg010.perseus-eng2#15	tlg0057.tlg010.perseus-eng2	Slave labor for unintelligent students	Obligation of menial labor	Unintelligent students	Freedom from menial tasks	Freedom	LESS	[§15] And there are some of them, who, even if they meet with more than one teacher, are yet so unintelligent and slow-witted that even by the time they have reached old age they are still incapable of understanding the steps of an argument.... In the old days such people used to be set to menial tasks.... What will be the end of it God knows!	Galen notes that historically, individuals lacking the cognitive capacity for philosophy or medicine (the 'slow-witted') were relegated to menial labor rather than being allowed to claim professional status, implying a customary loss of professional freedom based on perceived intellectual disability.	4	The rule targets a specific sub-section of the population (those failing intellectual training) but Galen suggests it was a standard social practice in the 'old days'.	7	Education		
tlg0057.tlg010.perseus-eng2#5	tlg0057.tlg010.perseus-eng2	Sophist intellectual exclusion	Exclusion from scientific discourse	Sophists	Right to be heard in scientific debate	Legal standing	LESS	[§3] Others (such as Anaxagoras) will have it that the qualities do exist in it, but that they are unchangeable and immutable from eternity to eternity, and that these apparent alterations are brought about by separation and combination. Now, if I were to go out of my way to confute these people, my subsidiary task would be greater than my main one. [...] We shall then, as I said, renounce our controversy with them, since those who wish may get a good grasp of the views of the ancients from our own personal investigations into these matters.	Galen explicitly refuses to engage with or 'confute' the Sophists and those who deny material alteration, effectively excluding them from the valid circle of medical and natural-philosophical discourse.	5	Applies to a specific school of thinkers/rhetoricians characterized by their professional-intellectual claims.	8	Occupation|Education		
tlg1419.tlg001.perseus-eng1#133	tlg1419.tlg001.perseus-eng1	Maiden building site residency	Mandatory site presence	Maidens	Freedom of movement from the workplace	Freedom	LESS	[§653] [1] And the six men commanded all the builders to retire a little and rest, but they commanded the maidens not to go away from the tower.	While the builders (men) are granted the right to retire and rest away from the site, the maidens are legally commanded to remain at the tower, restricting their freedom of movement.	5	This rule distinguishes between two different groups of workers on the same site, granting one freedom while denying it to the other.	9	Age|Gender		
tlg1419.tlg001.perseus-eng1#136	tlg1419.tlg001.perseus-eng1	Maiden labor in construction	Access to labor roles	Maidens	Right to perform masonry and construction labor	Economic privileges	MORE	[§677] Then he looked at those which were rotten and he took and hewed many of them and commanded the maidens to take them and put them into the building, and the maidens took them and put them into the building in the middle of the tower. ... Then he began to look at those which had stains, and of these a very few were turned black, and were rejected with the rest, but most of them were found to be bright and sound, and these were fitted by the maidens into the building, but they were put on the outside because of their strength.	The text depicts a group of maidens as the primary workforce responsible for the physical assembly and placement of stones in the tower under the shepherd's direction, indicating a customary role for women in this specific labor context.	4	This describes a specific group of women (maidens) performing a specialized task within the narrative's social structure.	9	Age|Gender		
tlg0020.tlg001.perseus-eng2#3	tlg0020.tlg001.perseus-eng2	Intestate inheritance secondary	Exclusion from inheritance	Kinsfolk	Right to inherit over direct heirs	Property and inheritance	MORE	[§1] ...whoever avoids marriage and the sorrows that women cause, and will not wed, reaches deadly old age without anyone to tend his years, and though he at least has no lack of livelihood while he lives, yet, when he is dead, his kinsfolk divide his possessions amongst them.	The text outlines the legal consequence of remaining unmarried and childless: the individual's property is not passed to a direct heir (son) but is fragmented and divided among collateral kinsfolk, establishing the priority of lineage in property retention.	4	This applies to the kin-groups of unmarried, childless men.	10	Lineage		
tlg0627.tlg010.perseus-eng2#43	tlg0627.tlg010.perseus-eng2	Physician ethical restraint	Professional conduct	Physicians	Right to use elaborate or 'popular' methods for gain	Legal standing	LESS	[§78] The prime object of the physician in the whole art of medicine should be to cure that which is diseased; and if this can be accomplished in various ways, the least troublesome should be selected; for this is more becoming a good man, and one well skilled in the art, who does not covet popular coin of base alloy.	The text establishes a professional and ethical rule that physicians must avoid unnecessarily complex or showy treatments intended merely to impress the public ('popular coin'). They are restricted to the 'least troublesome' effective methods.	7	The rule is directed specifically at the behavior and methods of those identified as 'physicians' or 'skilled in the art'.	9	Occupation		
tlg0627.tlg010.perseus-eng2#27	tlg0627.tlg010.perseus-eng2	Medical treatment for contusions	Access to medical care	Surgical patients	Right to bloodletting and pharmaceutical care	Economic privileges	MORE	[§50] they should be bled in the arm, speak as little as possible, should have the contused part bound round with folded compresses, plenty of bandages, broader than the contusion, and which should be smeared with cerate; ... It is better also to open the bowels with some gentle medicine, so as just to produce an evacuation of the food	The text prescribes a specific set of medical interventions (bloodletting, pharmaceuticals, bandaging) that the society’s practitioners were expected to provide to those with specific physical injuries.	3	Applies to any individual suffering from a specific class of physical trauma.	10	Health		
tlg0627.tlg010.perseus-eng2#7	tlg0627.tlg010.perseus-eng2	Surgical safety requirement	Protection from medical harm	Patients	Protection from nerve damage during cautery	Body integrity	MORE	[§11] The glands, then, are not to be taken hold of, nor the parts internal to the glands; for this would be attended with great danger, as they are adjacent to the most important nerves. But the greater part of the substances external to the glands are to be grasped, for there is no danger from them.	The author establishes a strict procedural rule for physicians to avoid specific anatomical structures (glands and internal nerves) during cauterization to prevent permanent harm, constituting a rule of safe medical practice for the patient's protection.	5	Applies specifically to patients undergoing a particular surgical procedure (cautery for dislocation).	10	Health		
tlg0627.tlg010.perseus-eng2#14	tlg0627.tlg010.perseus-eng2	Dietary restriction for recovery	Restriction of personal freedom	Sick and injured	Right to full dietary rations	Economic privileges	LESS	[§33] He is to be kept on a spare diet for ten days, and then nourished without delay.	The text establishes a medical rule that patients with fractured jaws must be denied full nourishment ('spare diet') for a specific duration as part of the healing protocol.	4	The rule applies specifically to those with a particular injury (fractured jaw) during a specific recovery window.	10	Health		
tlg0012.tlg002.perseus-eng3#234	tlg0012.tlg002.perseus-eng3	Slave labor for transport	Labor control	Slave women	Freedom of movement	Freedom	LESS	[§163] And Arete sent with him slave women, one bearing a newly washed cloak and a tunic, and another again she bade follow to bear the strong chest, and yet another bore bread and red wine.	The text shows slave women being commanded to perform manual porter labor (carrying heavy chests and supplies) to the shore at the queen's bidding, illustrating their lack of autonomy over their labor and movement.	4	It applies specifically to the female household slaves of a royal estate.	10	Freedom|Gender|Occupation		
tlg0012.tlg002.perseus-eng3#131	tlg0012.tlg002.perseus-eng3	Blind minstrel support	Grant of economic privilege	Minstrels	Right to public honor and physical assistance	Economic privileges	MORE	[§87] For among all men that are upon the earth minstrels win honor and reverence, for that the Muse has taught them the paths of song, and loves the tribe of minstrels. | [§87] For him Pontonous, the herald, set a silver-studded chair in the midst of the banqueters, leaning it against a tall pillar... and beside him he placed a basket and a beautiful table, and a cup of wine.	Minstrels are explicitly identified as a 'tribe' that receives unique honors, including assigned seating, specific food portions, and heralds to guide them, regardless of physical disabilities (blindness).	8	Minstrels are a very small, specialized professional group.	9	Occupation		
tlg1443.tlg001.perseus-eng1#4	tlg1443.tlg001.perseus-eng1	Clerical authority over assembly	Access to political power	Bishops	Right to absolute command in assembly	Political power	MORE	[§1] Therefore it is clear that we must regard the bishop as the Lord himself. | [§1] And the more anyone sees that the bishop is silent, the more let him fear him. For every one whom the master of the house sends to do his business ought we to receive as him who sent him.	The text grants the bishop total representative authority over the community, equating his will to the divine 'Lord's' will, which translates to absolute executive control over the congregation's activities.	9	The rule applies only to a single individual within each local community (the bishop).	10	Occupation|Religion		
tlg1443.tlg001.perseus-eng1#11	tlg1443.tlg001.perseus-eng1	Common meeting participation	Access to religious assembly	Christians	Right to attend common meetings	Religious access	MORE	[§43] Seek, then, to come together more frequently to give thanks and glory to God. | [§68] [2] especially if the Lord reveal to me that you all severally join in the common meeting in grace from his name, in one faith and in Jesus Christ	The author exhorts all members of the faith to participate in frequent communal gatherings, framing it as a standard expectation for those in the 'one faith'.	3	This applies to the entire group of 'the faithful' within the author's social context.	9	Religion		
tlg1443.tlg001.perseus-eng1#7	tlg1443.tlg001.perseus-eng1	Instructional exclusion of heretics	Denial of social hearing	Heretics	Right to be heard in assembly	Legal standing	LESS	[§21] Indeed Onesimus himself gives great praise to your good order in God, for you all live according to truth, and no heresy dwells among you; nay, you do not even listen to any unless he speak concerning Jesus Christ in truth. | [§25] For there are some who make a practice of carrying about the Name with wicked guile, and do certain other things unworthy of God; these you must shun as wild beasts, for they are ravening dogs, who bite secretly, and you must be upon your guard against them, for they are scarcely to be cured.	The community is commanded to 'shun' and 'not even listen' to those deemed heretical or speakers of 'evil doctrine.' This is a social and communicative exclusion rule within the society of the early church.	5	This targets a specific sub-group defined by their theological deviation from the bishop's doctrine.	9	Religion		
tlg0017.tlg006.perseus-eng2#12	tlg0017.tlg006.perseus-eng2	Wealth-based military funding	Obligation of public duty	Wealthy citizens	Retention of personal wealth	Economic privileges	LESS	[§61] Both of them have paid all the special war-taxes, being numbered among the three hundred. Formerly only these two members of the family contributed, but now the younger son here is choregus in the tragic competitions and has been enrolled among the three hundred and pays the war-tax.	The wealthiest 300 citizens (the Three Hundred) were legally compelled to fund the city's war efforts and festivals (liturgies), representing a systematic drain on their private resources for public benefit.	5	This specifically targets the top tier of the wealth hierarchy in Athens.	9	Wealth / Properties|Citizenship		
tlg0010.tlg021.perseus-eng2#19	tlg0010.tlg021.perseus-eng2	Allied financial levies	Extraction of wealth	Allied city-states	Retention of local tax revenue and land	Property and inheritance	LESS	[§116] when the Athenians should compel the Hellenes, to whom they had previously given lands and cities, to pay contributions and tribute to Athens in order that she might have the means to pay the kind of men whom I mentioned a moment ago.	As Athens transitioned to a maritime power, it established a rule of compulsory tribute (phoros) from its allies to fund its navy.	4	This applied to all members of the Delian League/Athenian Empire.	9	Citizenship|Wealth / Properties		
tlg0062.tlg068.perseus-eng4#3	tlg0062.tlg068.perseus-eng4	Sacrificial meat allocation	Access to public resources	Men	Right to high-quality meat portions	Property and inheritance	MORE	[§1] I need not remind you how you overreached me about the meat-offerings; my portion, bones disguised in fat: yours, all the good.	The text references the standard Greek sacrificial practice (mythologically attributed to Prometheus's trick) where humans retain the 'good' meat while the gods receive bones and fat. This defines the material distribution of food resources in religious ritual.	2	This rule governs the distribution of meat in sacrifices, affecting all Greek practitioners.	10	Gender		
tlg0062.tlg068.perseus-eng4#18	tlg0062.tlg068.perseus-eng4	Rural marriage status devaluation	Denial of marital prestige	Rural women	Recognition of marital status and dignity	Marriage and family	LESS	[§50] Hermes: I believe there is a wife, as it were; a good enough sort of girl—a native of those parts—but sadly countrified! I fancy he does not care very much about her.	Hermes' description 'a wife, as it were' and 'sadly countrified' indicates that the marriage of a rural woman to a man of higher lineage (Paris, though a herdsman, is of royal blood) is not fully respected or seen as a bind of high social consequence compared to urban or more 'civilized' unions.	5	This applies specifically to women of a certain geographic and economic class ('countrified' natives).	7	Gender		
tlg0062.tlg066.perseus-eng3#14	tlg0062.tlg066.perseus-eng3	Diplomatic integrity rule	Access to diplomatic trust	Kings	Adherence to oaths and promises	Legal standing	MORE	[§48] I never went back on an oath or a promise, or broke faith to gain a victory, and, though I took over most of the Greeks without bloodshed, perhaps you’ve heard how I punished the Thebans.	Alexander cites his adherence to oaths and promises as a hallmark of his legitimate conduct as a leader, implying a societal rule that rulers must maintain faith in treaties and diplomatic agreements rather than relying on 'bribery and treachery.'	7	This rule applies to political and military leaders who act on behalf of the state in diplomatic matters.	8	Occupation|Nobility		
tlg0034.tlg001.perseus-eng2#33	tlg0034.tlg001.perseus-eng2	Public service credit	Grant of economic privilege	Wealthy citizens	Right to judicial leniency through liturgies	Legal standing	MORE	[§140] Some of them indeed are no longer using arguments to try to deceive you; they will even cite their own public services in favor of the defendants. ... To earn your gratitude he must, instead, have been distinguished as a trierarch, or built walls to protect his city, or subscribed generously from his own property for the public safety. These are services to the state	The text confirms the Athenian custom of the 'charis' (gratitude), where wealthy citizens who performed expensive public services (liturgies like trierarchy) could use these contributions as a legal resource to gain leniency or favor for themselves or friends in court.	3	This applies to the elite class of citizens capable of performing such expensive services.	9	Wealth / Properties|Citizenship		
tlg0540.tlg002.perseus-eng2#5	tlg0540.tlg002.perseus-eng2	Military age exemption	Age-based military exclusion	Elders	Exemption from active military service	Military	MORE	[§50] But the Athenians, though their men were away and the enemy close at hand, would not deign to summon anyone. Trusting in their own spirit, and despising the invaders, the elderly and those below the age of service thought fit to take the risk upon themselves alone	The text identifies the 'elderly' as a group normally outside the 'age of service' (men of serviceable age being absent elsewhere). This indicates a formal societal rule where men of a certain advanced age are no longer required to serve in the active field army.	3	This rule applies to all male citizens who reach a specific age threshold, a significant but defined portion of the population.	10	Age		
tlg0540.tlg012.perseus-eng2#13	tlg0540.tlg012.perseus-eng2	Right of political speech	Exclusion from political speech	Orators	Freedom to oppose legislation in Assembly	Political power	LESS	[§72] ...they called the Assembly to a debate on the constitution, when no orator could either oppose them or awe them with threats...	Lysias notes that during the oligarchy, the usual right of orators to speak in opposition to proposals or to use their rhetorical influence was suppressed by force and threats.	6	This refers to the subset of citizens who actively practiced public speaking and political leadership.	9	Occupation		
tlg0540.tlg012.perseus-eng2#19	tlg0540.tlg012.perseus-eng2	Debt-based enslavement	Restriction of personal freedom	Children	Protection from enslavement for petty debts	Freedom	LESS	[§98] Of your children, as many as were here would have been foully assaulted by these men, while those in foreign parts would have been enslaved for petty debts, cut off from all possible assistance.	Lysias points out a vulnerability where children of exiles or those in 'foreign parts' were susceptible to being enslaved to cover small debts, indicating a lack of legal protection for this group's freedom.	6	This refers specifically to the children of the disenfranchised or those living outside the city's protection.	7	Age		
tlg0031.tlg005.perseus-eng2#32	tlg0031.tlg005.perseus-eng2	Jewish-Gentile commensality restriction	Restriction of social association	Jews	Right to eat with uncircumcised persons	Freedom	LESS	[§396] When Peter had come up to Jerusalem, those who were of the circumcision contended with him, [§397] saying, 'You went in to uncircumcised men, and ate with them!'	The text describes a pre-existing social and religious rule among the 'circumcision' (Jews) that prohibited entering the homes of or eating with uncircumcised Gentiles. Peter's action is treated as a violation of a known norm that maintained a social barrier between these groups.	3	This rule applied to the entire Jewish population in their interactions with the non-Jewish world, representing a significant portion of the society described.	10	Ethnicity|Religion		
tlg0525.tlg001.perseus-eng2#660	tlg0525.tlg001.perseus-eng2	Citizen female temple exclusion	Exclusion from sacred spaces	Women of the citizens	Right to enter the sanctuary of Heracles	Religious access	LESS	[§2003] The women of the citizens absolutely refused to obey the dream; [§2004] but the Thracian women, both the slaves and the free who lived there, offered themselves to be shorn. And so the men of Erythrae towed the raft ashore. Accordingly no women except Thracian women are allowed within the sanctuary of Heracles, and the hair rope is still kept by the natives.	The text describes a specific exclusionary religious ritual law in Erythrae where native citizen women are barred from a sanctuary because they refused a specific sacrifice (cutting their hair) in the city's founding legend.	4	This is a local cult rule affecting a specific gender/status group within one city.	10	Gender|Citizenship		
tlg0525.tlg001.perseus-eng2#791	tlg0525.tlg001.perseus-eng2	Sacred tree felling prohibition	Restriction of resource use	Citizens	Right to cut timber	Property and inheritance	LESS	[§2475] These the inhabitants will not cut down, holding them to be sacred to Alcmaeon. They are called “maidens” by the natives.	The inhabitants of Psophis are prohibited by religious custom from treating the cypresses around Alcmaeon's tomb as a material timber resource, restricting their ability to use land/property in a standard economic way.	3	This affects all inhabitants of the city regarding specific local landmarks.	9	Citizenship		
tlg0525.tlg001.perseus-eng2#901	tlg0525.tlg001.perseus-eng2	Non-Greek oracle consultation	Access to religious ritual	Foreigners	Right to receive oracular responses in native language	Religious access	MORE	[§2957] Once too a mail of Europus, of the name of Mys, who was sent by Mardonius, inquired of the god in his own language, and the god too gave a response, not in Greek but in the Carian speech.	Pausanias records a specific instance where the Ptoan oracle provided a response in Carian to a Carian speaker. This indicates that the sanctuary, at least in certain instances of high-level diplomatic/military inquiry (sent by Mardonius), permitted and facilitated religious communication in non-Greek languages.	7	The rule concerns foreign envoys or specific non-Greeks interacting with a local oracle, which is a specific subset of the population.	8	Citizenship		
tlg0033.tlg003.perseus-eng2#3	tlg0033.tlg003.perseus-eng2	Noble praise obligation	Access to social recognition	Nobles	Right to public praise and poetic record	Legal standing	MORE	[§3] I bid you to summon the Muse in honor of Aeacus and his race; consummate justice attends the precept, “praise the noble.”	Pindar identifies a societal 'precept' or rule of 'justice' that dictates the noble (those of high lineage like the Aeacids) are entitled to public praise and poetic preservation of their deeds.	4	This applies specifically to those of elite lineage or high achievement within the aristocratic class.	8	Nobility		
tlg0059.tlg034.perseus-eng2#214	tlg0059.tlg034.perseus-eng2	Public mess requirement	Restriction of personal freedom	Married men	Freedom to take meals privately	Freedom	LESS	[§156] we shall assert that the married people must take their meals at the public messes neither more nor less than they did during the time preceding marriage.	The text confirms that adult males are legally compelled to participate in communal dining, losing the right to eat at home with their families.	3	It applies to the entire adult male citizen population.	10	Gender		
tlg0011.tlg004.perseus-eng2#21	tlg0011.tlg004.perseus-eng2	Servile mother status attribution	Lineage-based social stratification	Children of servile mothers	Right to noble or free-born status	Citizenship	LESS	[§27] Even if I should be found the son of a servile mother—a slave by three descents—you will not be proven baseborn.	The text explicitly links the status of the mother to the status of the child; if the mother is 'servile,' the child is considered a slave, highlighting the lack of access to free-born status for children of such women.	4	While applying to many, it specifically targets the intersection of gender and freedom status in lineage.	10	Freedom|Lineage		
