rule_uid	file_id	criteria	rule	group	resource	directionality	verbatim	contemporary	factuality	reasoning	confidence	author	sampled_for
tlg0033.tlg002.perseus-eng3#2	tlg0033.tlg002.perseus-eng3	Freedom	Slave exclusion from boy-chorus themes	Slaves	Representation in celebratory songs	LESS	Phalaris, with his pitiless mind, who burned his victims in a bronze bull, is surrounded on all sides by a hateful reputation; lyres that resound beneath the roof do not welcome him as a theme in gentle partnership with the voices of boys. [§1]	1	1	While Phalaris was a tyrant, the context of 'voices of boys' and household lyres refers to the cultural education and celebration of free-born youth; those who violate social norms (like Phalaris) or lack status are excluded from this immaterial resource of honor.	7.0	Pindar	Freedom
tlg0059.tlg034.perseus-eng2#407	tlg0059.tlg034.perseus-eng2	Freedom	Manumission for reporting elder abuse	Slaves	Right to freedom (manumission)	MORE	[§303] If a slave gives information [of parent maltreatment] he shall be set free: he shall be set free by the Board of Magistrates if he be a slave of either the injured party or the injurers; but if he belong to any other citizen, the State Treasury shall pay his owner a price for him.	1	1	Slaves are granted the specific legal resource of freedom as a reward for acting as informants in cases of parental neglect.	10.0	Plato	Freedom
tlg0059.tlg034.perseus-eng2#441	tlg0059.tlg034.perseus-eng2	Freedom	Legal protection for slaves	Slaves	Protection from legal interference	MORE	[§325] If any man forcibly prevent any person from appearing at an action at law—whether it be the person himself or his witnesses,—in case that person be a slave of his own or of another man, the action shall be null and void.	1	1	Specific legal protections are granted to slaves to ensure they can appear as witnesses or parties in court; if they are forcibly prevented from doing so, the entire legal action is invalidated.	8.0	Plato	Freedom
tlg0719.tlg001.perseus-eng2#3	tlg0719.tlg001.perseus-eng2	Gender	Female recovery from tetanus	Women	Right to medical recovery	MORE	[§6] Women are more disposed to tetanus than men, because they are of a cold temperament; but they more readily recover, because they are of a humid.	1	1	While more frequently attacked, women are described as having a higher capacity for recovery (a positive resource) compared to men based on their gendered 'temperament'.	9.0	Aretaeus of Cappadocia	Gender
tlg0086.tlg035.perseus-eng2#31	tlg0086.tlg035.perseus-eng2	Gender	Spartan female land ownership	Women	Right to inherit and own land	MORE	[§20] And also nearly two-fifths of the whole area of the country is owned by women, because of the number of women who inherit estates and the practice of giving large dowries.	1	1	Aristotle identifies a specific trend in Spartan society where the law allows women to accumulate a significant portion of land through inheritance and dowries.	9.0	Aristotle	Gender
tlg0627.tlg006.perseus-eng4#56	tlg0627.tlg006.perseus-eng4	Gender	Management of maternal complications	Women	Protection from postpartum complications	LESS	[§76] CASE XIV In Cyzicus a woman gave birth with difficult labour to twin daughters, and the lochial discharge was far from good. First day. Acute fever with shivering; painful heaviness of head and neck.	1	1	The passage highlights a specific risk and lack of protection (less resource of health/safety) associated with the gender-specific event of childbirth, particularly in cases of 'difficult labour'.	9.0	Hippocrates	Gender
tlg0017.tlg003.perseus-eng2#14	tlg0017.tlg003.perseus-eng2	Gender	Mandatory daughter inclusion in wills	Women	Right to inherit property directly	LESS	[§69] [68] The law states explicitly that, in the absence of legitimate male issue, a man can dispose of his property as he pleases, but that, if he has daughters, the legatees must take them as well. Thus a man may bequeath and dispose of his property with his daughters, but he may not either adopt a son or leave any of his possessions to anyone without also disposing of his legitimate daughters.	1	1	The text describes a legal restriction where daughters (epikleroi) cannot inherit property independently; rather, the property follows them, and any heir must take the daughter as a wife to access the estate.	10.0	Isaeus	Gender
tlg0059.tlg034.perseus-eng2#377	tlg0059.tlg034.perseus-eng2	Gender	Female court standing	Women	Right to bring an action in court	LESS	[§283] A free woman... if she have no husband, she shall be allowed to bring an action; but if she have a husband alive, she shall only be allowed to give evidence.	1	1	Married women are restricted from initiating legal actions, a right they only possess if single or widowed.	10.0	Plato	Gender
tlg0086.tlg010.perseus-eng2#151	tlg0086.tlg010.perseus-eng2	Health	Blind physical movement restriction	The blind	Safety in movement	LESS	For even children and wild animals possess the natural dispositions, yet without Intelligence these may manifestly be harmful. This at all events appears to be a matter of observation, that just as a man of powerful frame who has lost his sight meets with heavy falls when he moves about, because he cannot see, so it also happens in the moral sphere.	1	1	The author uses the natural restriction of a blind person's ability to navigate safely as a baseline fact to illustrate his point about moral intelligence.	8.0	Aristotle	Health
tlg1419.tlg001.perseus-eng1#26	tlg1419.tlg001.perseus-eng1	Health	Sick person physical support	Health	Access to seating support	MORE	[§140] Why, then, I should like to know, did she sit in a chair, sir? Because every sick person sits in a chair because of his sickness, that the weakness of the body may find support.	1	1	The author cites a general societal norm or rule: that being sick (the criterion) entitles or necessitates an individual to have the resource of physical support (a chair).	9.0	Hermas	Health
tlg0627.tlg010.perseus-eng2#27	tlg0627.tlg010.perseus-eng2	Health	Maimed infant sedentary labor restriction	young people	Right to choose physical labor	LESS	[§53] Some tell a story how the Amazonian women dislocate the joints of their male children while mere infants, some at the knee, and others at the hip-joint, that they may be maimed [...] and that they use them as artisans to perform any sedentary work, such as that of a shoemaker or brazier.	0	0	The text describes a practice where male children with physical impairments (dislocated joints) are restricted to sedentary occupations like shoemaking or brazing, rather than having the freedom to pursue more physically active labor.	7.0	Hippocrates	Health
tlg0031.tlg005.perseus-eng2#36	tlg0031.tlg005.perseus-eng2	Health	Infirm exclusion from physical labor	The physically disabled	Right to walk and physical mobility	LESS	[§512] At Lystra a certain man sat, impotent in his feet, a cripple from his mother's womb, who never had walked.	1	1	The passage identifies a specific group defined by health (congenital disability) as lacking the basic human resource of mobility/walking from birth.	9.0	New Testament	Health
tlg0059.tlg034.perseus-eng2#308	tlg0059.tlg034.perseus-eng2	Health	Penal reform for curable injustice	Curable wrongdoers	Right to rehabilitative instruction	MORE	[§234] As regards unjust injuries and gains, in case one man causes another to gain by acting unjustly towards him, all such cases as are curable we must cure, regarding them as diseases of the soul. [...] In this,—that whenever any man commits any unjust act, great or small, the law shall instruct him and absolutely compel him for the future either never willingly to dare to do such a deed, or else to do it ever so much less often, in addition to paying for the injury.	1	1	Plato distinguishes between curable and incurable wrongdoers based on their 'soul's health'. Those deemed curable are granted the resource of instruction and corrective discipline rather than simple elimination.	9.0	Plato	Health
tlg0026.tlg001.perseus-eng2#13	tlg0026.tlg001.perseus-eng2	Lineage	Legislative presiding by tribe	Citizens	Right to preside over assembly	MORE	[§33] By the new law, for every meeting of the assembly one tribe is to be chosen by lot to have charge of the speaker’ s platform, and to preside. And what did the proposer of the law prescribe? That the members of the tribe should sit as defenders of the laws and of the democracy.	1	1	A contemporary law assigned the power to manage and defend the platform to a specific tribe chosen by lot for each meeting.	9.0	Aeschines	Lineage
tlg0557.tlg002.perseus-eng4#5	tlg0557.tlg002.perseus-eng4	Lineage	Filial obedience and care	Sons	Right to personal autonomy	LESS	[§30] Is a certain man your father? In this are implied, taking care of him; submitting to him in all things; patiently receiving his reproaches, his correction. But he is a bad father. Is your natural tie, then, to a good father? No, but to a father.	1	1	The text defines the role of a son based on the lineage relationship ('father'), prescribing total submission and care as a duty regardless of the father's moral quality.	9.0	Epictetus	Lineage
tlg0006.tlg018.perseus-eng2#38	tlg0006.tlg018.perseus-eng2	Lineage	Paternal authority over child's life	Kings	Total authority over offspring's life	MORE	[§34] It is not Menelaus who has enslaved me to him, child, nor have I followed his wish; no, it is Hellas, for whom I must sacrifice you whether I will or not; to this necessity I bow my head | [§34] Ah! my child, he that begot you has slain you himself, he and no one else, nor was it by another’s hand	1	1	The passage describes a societal structure where the father (specifically the king/head of lineage) has the ultimate right to decide the life or death of his children for the sake of political or religious necessity.	10.0	Euripides	Lineage
tlg0006.tlg018.perseus-eng2#16	tlg0006.tlg018.perseus-eng2	Lineage	Leader accountability to the mob	Kings	Freedom from public compulsion	LESS	[§15] The whole Achaean army here assembled. ... Don’t you think, then, he [Odysseus] will arise among the Argives and tell them the oracles ... Then, when he has carried the army away with him, he will bid the Argives slay us and sacrifice the girl.	1	1	Agamemnon explains that despite his royal status, he is compelled by the 'mob' (the army) and cannot simply release his daughter, showing that the ruler lacks the resource of independent action when faced with collective military will.	9.0	Euripides	Lineage
tlg0061.tlg003.perseus-eng1#6	tlg0061.tlg003.perseus-eng1	Lineage	Archias' arrest of exiles	Exiles	Right to personal liberty and safety	LESS	[§28] In case any of my younger hearers should not know the fact already, this Archias had been charged with the arrest of all exiles. In particular, he was to get Demosthenes from Calauria into Antipater’s presence, but rather by persuasion than by force.	0	1	The text identifies a specific legal status (exile) which stripped individuals of the resource of protection from arrest/detention by Macedonian agents.	9.0	Lucian of Samosota	Lineage
tlg1216.tlg001.perseus-eng1#29	tlg1216.tlg001.perseus-eng1	Nobility	Noble obligation to provide aid	Kings (those in high positions)	Freedom from social obligations	LESS	[§208] I beseech those who are in high positions, if you will receive any counsel of my goodwill, have among yourselves those to whom you may do good; fail not.	1	1	The author explicitly directs a rule toward those in high social/political positions, obligating them to provide aid to others.	8.0	Barnabas	Nobility
tlg0006.tlg018.perseus-eng2#12	tlg0006.tlg018.perseus-eng2	Nobility	High-born restricted emotional expression	High-born men	Freedom of emotional expression	LESS	[§15] What an advantage humble birth possesses! for it is easy for her sons to weep and tell out all their sorrows; while to the high-born man come these same sorrows, but we have dignity throned over our life and are the people’s slaves.	1	0	Agamemnon contrasts the 'humble born' with the 'high-born,' noting that social status and 'dignity' prevent leaders from openly weeping or expressing grief, effectively making them slaves to public expectation.	9.0	Euripides	Nobility
tlg1419.tlg001.perseus-eng1#72	tlg1419.tlg001.perseus-eng1	Nobility	Human dominion over creation	Man	Power to master all things under heaven	MORE	[§371] [2] ...do you not understand the glory of God, how great and mighty and wonderful it is, because he created the world for man’s sake, and subdued all his creation to man, and gave him all power, to master all things under heaven?	1	0	The author defines 'Man' as a group based on their ontological status (Lineage from God/Creation), granting them the resource of political/physical dominion over the natural world.	8.0	Hermas	Nobility
tlg0031.tlg005.perseus-eng2#34	tlg0031.tlg005.perseus-eng2	Nobility	Elite female political influence	Women	Influence over city magistrates	MORE	[§501] But the Jews urged on the devout women of honorable estate, and the chief men of the city, and stirred up a persecution against Paul and Barnabas, and threw them out of their borders.	1	1	The text highlights a specific sub-group of women (those of 'honorable estate' or high status) who, alongside the 'chief men,' possessed the social power to incite official legal action (persecution and expulsion) from the city.	9.0	New Testament	Nobility
tlg0059.tlg034.perseus-eng2#78	tlg0059.tlg034.perseus-eng2	Nobility	Noble rule over ignoble	Nobles	Right to exercise authority	MORE	[§68] And next to this, the right of the noble to rule over the ignoble;	1	1	The text explicitly lists the social hierarchy of nobility as a recognized basis for the right to rule others.	10.0	Plato	Nobility
tlg0057.tlg010.perseus-eng2#14	tlg0057.tlg010.perseus-eng2	Occupation	Butcher observation of anatomy	Butchers	Access to anatomical knowledge	MORE	[§14] That these are organs for secreting [separating out] the urine, was the belief not only of Hippocrates, Diocles, Erasistratus, Praxagoras, and all other physicians of eminence, but practically every butcher is aware of this, from the fact that he daily observes both the position of the kidneys and the duct (termed the ureter) which runs from each kidney into the bladder, and from this arrangement he infers their characteristic use and faculty.	1	1	Galen identifies butchers as a specific occupational group that, through their daily work, possesses empirical knowledge of internal anatomy (the function of kidneys and ureters) comparable to that of eminent physicians.	10.0	Galen	Occupation
tlg0057.tlg010.perseus-eng2#5	tlg0057.tlg010.perseus-eng2	Occupation	Physician identification of elementary qualities	physicians	Right to define physical reality	MORE	[§3] In fact, all those known to us who have been both physicians and philosophers Hippocrates was the first who took in hand to demonstrate that there are, in all, four mutually interacting qualities, and that to the operation of these is due the genesis and destruction of all things that come into and pass out of being.	0	1	Galen identifies a specific group (physician-philosophers, exemplified by Hippocrates) as the authoritative source for the fundamental scientific rule governing the genesis and destruction of all things, contrasting their established empirical demonstrations against the 'illusions' of the Sophists.	9.0	Galen	Occupation
tlg1419.tlg001.perseus-eng1#121	tlg1419.tlg001.perseus-eng1	Occupation	Ministerial accountability for resources	priests	Right to retain ecclesiastical earnings	LESS	[§617] From the ninth mountain, which was desert... are such believers as these: Those with spots are ministers who ministered amiss, and devoured the living of widows and orphans, and made gain for themselves from the ministry which they had received to administer. If then they remain in the same covetousness they are dead and they have no hope of life.	1	1	The text identifies a specific professional group (ministers/deacons) and restricts their right to profit from their office, specifically regarding the property of vulnerable groups like widows.	9.0	Hermas	Occupation
tlg1443.tlg001.perseus-eng1#30	tlg1443.tlg001.perseus-eng1	Occupation	Bishop oversight of regional churches	Bishops	Right to lead the local church	MORE	[§166] ...that God has vouchsafed that the bishop of Syria shall be found at the setting of the sun, having fetched him from the sun’s rising. | [§194] [1] Remember in your prayers the Church in Syria which has God for its Shepherd in my room. Its bishop shall be Jesus Christ alone,—and your love.	1	1	The text identifies a specific office (Bishop) associated with the governance and 'shepherding' of a regional church (Syria), denoting the resource of religious leadership.	9.0	Ignatius of Antioch	Occupation
tlg0062.tlg066.perseus-eng3#17	tlg0062.tlg066.perseus-eng3	Occupation	Philosopher's access to royal patronage	Educated women / Philosophers	Access to royal gifts and wealth	MORE	[§52] Let me be the sole authority on him, with all his requests for gifts and his instructions, and the way he took advantage of my zeal for education by flattering and praising me [...] for my achievements and my wealth. For that was yet another thing he counted as good, so that he need have no shame in accepting some for himself too.	0	1	While the dialogue is fictional, it reflects the historical social rule where philosophers (like Aristotle) leveraged their education and role as tutors to gain material wealth and gifts from monarchs/elites.	8.0	Lucian of Samosata	Occupation
tlg1216.tlg001.perseus-eng1#23	tlg1216.tlg001.perseus-eng1	Religion	Believer access to spiritual indwelling	Christians	Divine presence within the individual	MORE	[§181] When we received the remission of sins, and put our hope on the Name, we became new, being created again from the beginning; wherefore God truly dwells in us, in the habitation which we are. | [§183] This is a spiritual temple being built for the Lord.	1	1	The author defines a new rule for believers where the 'resource' of God's presence (the temple) is shifted from a building to the group of believers themselves.	9.0	Barnabas	Religion
tlg1419.tlg001.perseus-eng1#5	tlg1419.tlg001.perseus-eng1	Religion	Heathen exclusion from early judgment	Heathen	Extended window for repentance	MORE	[§32] for repentance for the just has an end; the days of repentance have been fulfilled for all the saints, but for the heathen repentance is open until the last day.	1	1	The rule explicitly grants a longer period for the 'heathen' group to repent compared to the 'saints', framing the time window as the resource.	10.0	Hermas	Religion
tlg1419.tlg001.perseus-eng1#60	tlg1419.tlg001.perseus-eng1	Religion	Intercession of the mournful	the mournful man	Right of intercession to the altar	LESS	[§308] For the intercession of the mournful man has nowhere power to ascend to the altar of God. ... Therefore, the grief which is mixed with his intercession does not permit the intercession to ascend in purity to the altar.	1	1	The text defines a group ('the mournful') who are deprived of the resource of effective spiritual intercession/prayer reaching the divine altar due to their internal state.	9.0	Hermas	Religion
tlg1419.tlg001.perseus-eng1#61	tlg1419.tlg001.perseus-eng1	Religion	Efficacious prayer restricted for mourners	Mournful men	Power of intercession	LESS	[§323] For the intercession of the mournful man has nowhere power to ascend to the altar of God. Why, said I, does not the intercession of the mournful man ascend to the altar? Because, said he, grief sits in his heart. Therefore, the grief which is mixed with his intercession does not permit the intercession to ascend in purity to the altar.	1	0	The text establishes a spiritual rule where an individual's emotional state (grief/mourning) prevents their prayers or intercessions from effectively reaching God's altar.	9.0	Hermas	Religion
tlg0031.tlg005.perseus-eng2#43	tlg0031.tlg005.perseus-eng2	Religion	Jewish expulsion from Rome	Jews	Right of residence in Rome	LESS	[§652] He found a certain Jew named Aquila, a man of Pontus by race, who had recently come from Italy, with his wife Priscilla, because Claudius had commanded all the Jews to depart from Rome.	1	1	The text records a historical-legal decree issued by the Emperor Claudius which explicitly removed the right of residence for the Jewish population in Rome, forcing their departure.	10.0	New Testament	Religion
tlg0028.tlg005.perseus-eng2#10	tlg0028.tlg005.perseus-eng2	Wealth / Properties	Imprisonment for unpaid debt	Indebted citizens	Freedom from imprisonment	LESS	[§63] On the contrary, the probabilities show that he would have been induced to commit the crime by me sooner than I by him; for even after suffering an execution for a debt of seven minae, he could not release himself from prison: his friends had to purchase his release.	1	1	The text describes a specific individual, Lycinus, who was imprisoned because he could not pay a debt (an execution for seven minae). This reflects a general societal rule where failure to pay debts resulted in the loss of physical liberty until the debt was settled by the individual or their associates.	10.0	Antiphon	Wealth / Properties
tlg0028.tlg005.perseus-eng2#12	tlg0028.tlg005.perseus-eng2	Wealth / Properties	Liturgy and tax obligations	Wealthy citizens	Right to retain own earnings	LESS	[§77] He has failed neither the city of Athens nor that of Mytilene, when a public service was demanded of him; he regularly furnishes choruses, and always pays the imposts.	1	1	The text identifies providing choruses (liturgies) and paying imposts (taxes) as mandatory public services for a man of the father's status and wealth, representing a systematic redirection of private wealth to the state.	10.0	Antiphon	Wealth / Properties
tlg0086.tlg010.perseus-eng2#224	tlg0086.tlg010.perseus-eng2	Wealth / Properties	Timocratic political equality	Wealthy citizens	Right to equal political participation	MORE	[§1084] Timocracy passes into Democracy, there being an affinity between them, inasmuch as the ideal of Timocracy also is government by the mass of the citizens, and within the property qualification all are equal.	1	1	The text establishes that within a system defined by property requirements (Timocracy), those who meet the qualification (the wealthy) are treated as political equals.	9.0	Aristotle	Wealth / Properties
