rule_uid	file_id	rule_name	rule_category	group	resource	resource_category	directionality	proof	reasoning	specificity	specificity_reasoning	confidence	criteria	is_contemporary	verbatim_type	sampled_for	valid	comment	factuality
tlg0086.tlg010.perseus-eng2#186	tlg0086.tlg010.perseus-eng2	Scientific knowledge transmissibility	Access to education	Learners	Right to acquire scientific knowledge through teaching	Economic privileges	MORE	[§814] Again, it is held that all Scientific Knowledge can be communicated by teaching, and that what is scientifically known must be learnt.	The text establishes that scientific knowledge (episteme) is by nature something that must be communicable and capable of being taught. This creates a rule for the transmission of intellectual resources within the educated class of the Greek polis.	4	While potentially broad, the 'learner' group in Aristotle's context refers specifically to those with the leisure and status to pursue 'Scientific Knowledge'.	8	Education	1	fact	Education			3
tlg0086.tlg010.perseus-eng2#125	tlg0086.tlg010.perseus-eng2	Class-based speech decorum	Exclusion from political speech	Uneducated persons	Right to participate in refined social discourse	Social status	LESS	[§620] since there is a certain propriety in what such a man will say and hear in jest, and the jesting of a gentleman differs from that of a person of servile nature, as does that of an educated from that of an uneducated man.	The text establishes a categorical exclusion where 'uneducated' or 'servile' persons are deemed incapable of the 'tact' and 'wit' required for the social intercourse of the elite, effectively barring them from the 'gentlemanly' circle of conversation.	4	This applies to a significant portion of the population who lack formal elite education and leisure.	8	Education	1	fact	Education			3
tlg0086.tlg025.perseus-eng2#21	tlg0086.tlg025.perseus-eng2	Scientific previous knowledge exemption	Access to expertise	Novice students	Exemption from prior specialized knowledge	Educational access	MORE	[§130] because just as a man who is beginning to learn geometry can have previous knowledge of other facts, but no previous knowledge of the principles of that science or of the things about which he is to learn, so it is in the case of all other branches of knowledge.	The text identifies a standard social and intellectual rule that a beginner in a specific craft or science is not expected to already possess the internal principles of that science to begin their education, granting them access to the discipline despite their lack of initial expertise.	3	This applies to any individual beginning a new trade, craft, or science in the society.	9	Education	1	fact	Education			3
tlg0086.tlg025.perseus-eng2#172	tlg0086.tlg025.perseus-eng2	Student partial knowledge requirement	Access to education	Students	Right to practice a science while learning	Legal standing	MORE	[§1040] But since something of that which is being generated is already generated, and something of that which is being moved as a whole is already moved (this is demonstrated in our discussion on Motion), presumably the learner too must possess something of the science.	Aristotle asserts that for a learner to engage in the object of a science (the 'doing'), they must already be granted or possess a portion of that knowledge. This establishes a rule for how learners are permitted to interact with professional/scientific materials.	5	This rule specifically governs the relationship between apprentices/students and the disciplines they study.	7	Education	1	fact	Education			3
tlg0086.tlg025.perseus-eng2#183	tlg0086.tlg025.perseus-eng2	Intellectual status as measure	Access to intellectual authority	Scholars	Right to serve as a measure of reality	Legal standing	MORE	[§1091] Protagoras says that man is the measure of all things, meaning, as it were, the scholar or the man of perception; and these because they possess, the one knowledge, and the other perception, which we hold to be the measures of objects.	Aristotle clarifies Protagoras' famous dictum by specifying that the 'man' who serves as a measure is specifically the scholar (possessor of knowledge). This elevates a specific occupational/intellectual group to a position of epistemic authority over objects and other people.	4	Scholars and those categorized by 'perception' or 'knowledge' represent a distinct but established minority within the citizen body of a Greek poleis.	8	Occupation|Education|Health	1	fact	Education			3
tlg1216.tlg001.perseus-eng1#4	tlg1216.tlg001.perseus-eng1	Jewish covenantal forfeiture	Denial of legal status	Jews	Right to the divine covenant	Citizenship	LESS	[§28] It is ours: but in this way did they finally lose it when Moses had just received it... And Moses understood and cast the two tables out of his hands, and their covenant was broken, in order that the covenant of Jesus the Beloved should be sealed in our hearts in hope of his faith.	The author argues that the 'covenant'—which in this context functions as the primary legal and foundational status of the people of God—was permanently lost by the Jews due to idolatry and is now exclusive to the author's group.	3	This applies to an entire ethnic/religious group (the Jews) within the author's historical narrative.	9	Ethnicity|Religion	1	fact	Ethnicity			3
tlg1216.tlg001.perseus-eng1#6	tlg1216.tlg001.perseus-eng1	Jewish covenantal loss	Denial of religious standing	Jews	Right to the divine covenant	Legal standing	LESS	[§35] It is ours: but in this way did they finally lose k when Moses had just received it, for the Scripture says: And Moses was in the mount fasting forty days and forty nights, and he received the covenant from the Lord, tables of stone written with the finger of the hand of the Lord. [§36] But they turned to idols and lost it. For thus saith the Lord: Moses, Moses, go down quickly, for thy people, whom thou broughtest forth out of the land of Egypt, have broken the Law. And Moses understood and cast the two tables out of his hands, and their covenant was broken	The author argues that the Jewish people (Israel) permanently lost their legal/religious claim to the covenant due to the golden calf incident, transferring the status of 'covenant people' exclusively to the Christian community.	3	This applies to an entire ethnic/religious group within the Roman and Mediterranean world of the author's time.	10	Ethnicity|Religion	1	fact	Ethnicity			3
tlg1216.tlg001.perseus-eng1#14	tlg1216.tlg001.perseus-eng1	Jewish ritual circumcision abolition	Denial of religious status	Jews	Validity of physical circumcision as a religious seal	Religious access	LESS	[§98] But moreover the circumcision in which they trusted has been abolished. For he declared that circumcision was not of the flesh, but they erred because an evil angel was misleading them.	The author explicitly states that the physical circumcision practiced by the Jewish people is no longer a valid or recognized legal/divine seal for their covenant, claiming it was a result of error rather than legitimate divine law.	2	This affects an entire ethnic/religious group relative to their standing in the perceived covenant.	9	Ethnicity|Religion	1	fact	Ethnicity			3
tlg1216.tlg001.perseus-eng1#27	tlg1216.tlg001.perseus-eng1	Jewish temple exclusion	Denial of religious infrastructure	The people of Israel	Right to a physical temple facility	Religious access	LESS	[§173] Again, it was made manifest that the city and the temple and the people of Israel were to be delivered up. For the Scripture says, And it shall come to pass in the last days that the Lord shall deliver the sheep of his pasture, and the sheep-fold, and their tower to destruction.	The author argues that the physical temple of the Jews was intentionally delivered to destruction by God because of their 'error' in hoping in a building, effectively stripping the group of their central religious site.	3	This affects the entire Jewish population/nation as described by the author.	9	Ethnicity|Religion	1	fact	Ethnicity			3
tlg1216.tlg001.perseus-eng1#29	tlg1216.tlg001.perseus-eng1	Gentile inclusion in covenant	Access to covenant status	Gentiles	Inclusion in the divine covenant	Citizenship	MORE	[§160] I have given thee for a covenant of the people, for a light to the Gentiles, to open the eyes of the blind, and to bring forth from their fetters those that are bound. | [§161] Lo, I have made thee a light for the Gentiles, to be for salvation unto the ends of the earth.	The text explicitly states that the covenant and salvation, previously restricted or unrevealed, are now granted to Gentiles.	2	This rule concerns an extremely large category of people (all non-Jews).	9	Ethnicity|Religion	1	fact	Ethnicity			3
tlg0028.tlg005.perseus-eng2#7	tlg0028.tlg005.perseus-eng2	Prohibition of summary execution	Protection from bodily harm	Slaves	Protection from execution without trial	Body integrity	MORE	[§48] Why, even slaves who have murdered their masters and been caught red-handed are not put to death by the victim’s own relatives; they are handed over to the authorities as the ancient laws of your country ordain.	The text explicitly states that even in extreme cases (murdering a master), the law forbids relatives from summarily executing the slave, requiring them to be turned over to public authorities.	3	This is a general legal protection for slaves against private extrajudicial killing.	10	Freedom	1	fact	Freedom			4
tlg0028.tlg006.perseus-eng2#3	tlg0028.tlg006.perseus-eng2	Slave admissibility under torture	Legal standing restriction	Slaves	Right to testify without torture	Legal standing	LESS	[§23] As to the slaves, if he considered that they were answering his questions truthfully, well and good; if he did not, I was ready to place all my own at his disposal for examination under torture, and should he demand any that did not belong to me, I agreed to obtain the consent of their owner and hand them over to him to examine as he liked.	In Athenian law, as reflected in this challenge, a slave's testimony was only legally rigorous or 'verifiable' through 'basanos' (judicial torture). The slave does not have the right to have their word accepted on oath like a free man.	3	This applies to the entire enslaved population of the city.	10	Freedom	1	fact	Freedom			4
tlg1443.tlg001.perseus-eng1#52	tlg1443.tlg001.perseus-eng1	Church-funded slave manumission restriction	Restriction of economic privilege	Slaves	Right to communal manumission funding	Economic privileges	LESS	[§298] Let them not desire to be set free at the Church’s expense, that they be not found the slaves of lust.	The text explicitly discourages or forbids slaves from expecting the religious community to pay for their legal freedom (manumission), framing such a desire as a moral failing.	3	This applies to all enslaved members of the specific religious society across various households.	9	Freedom	1	fact	Freedom			3
tlg0062.tlg068.perseus-eng4#22	tlg0062.tlg068.perseus-eng4	Slave mobility rights	Restriction of personal freedom	Slaves	Right to choose or change master	Freedom	LESS	[§67] Hermes: Mortal slaves are better off than I am: they have the chance of being sold to a new master; I wish I had the same!	Hermes' lament confirms that even though mortal slaves can be sold (changing masters), they do not have the right to initiate that sale or leave a master of their own accord; they are subject to the master's will, unlike a free person.	2	This applies to the entire class of enslaved individuals in the society.	9	Freedom	1	fact	Freedom			1
tlg0062.tlg068.perseus-eng4#23	tlg0062.tlg068.perseus-eng4	Slave right to transfer	Access to market mobility	Slaves	Right to change masters through sale	Freedom	MORE	[§69] Mortal slaves are better off than I am: they have the chance of being sold to a new master; I wish I had the same!	Hermes, performing the role of a divine servant, explicitly contrasts his eternal bond to Zeus with the condition of human slaves, who possess a 'chance' or legal possibility of being sold to a different owner, implying a form of situational mobility or escape from a specific master that a permanent divine subordinate lacks.	2	This applies generally to the class of slaves within the Greco-Roman legal framework described.	9	Freedom	1	fact	Freedom			1
tlg0086.tlg010.perseus-eng2#91	tlg0086.tlg010.perseus-eng2	Gentlemanly social distinction	Grant of social privilege	Educated men	Right to engage in refined jesting	Economic privileges	MORE	[§455] the jesting of a gentleman differs from that of a person of servile nature, as does that of an educated from that of an uneducated man.	The text establishes a social rule where the 'educated' or 'gentleman' class is granted a different standard of social conduct (refinement in humor) compared to those of 'servile nature.'	4	This distinguishes between the leisure class and the laboring class.	8	Education|Gender	1	fact	Gender			3
tlg0525.tlg001.perseus-eng2#621	tlg0525.tlg001.perseus-eng2	Ritual mourning of Achilles	Obligation of religious ritual	Women	Right to perform public ritual honors	Religious access	MORE	[§1916] On an appointed day at the beginning of the festival, when the course of the sun is sinking towards the west, the Elean women do honor to Achilles, especially by bewailing him.	The text describes a specific customary religious role assigned to the women of Elis during the festival, where they are the primary group responsible for the ritual bewailing of Achilles.	4	This applies to a large demographic (all Elean women) but is tied to a specific local festival and site.	9	Gender	1	fact	Gender			3
tlg0525.tlg001.perseus-eng2#477	tlg0525.tlg001.perseus-eng2	Olympic execution for women	Protection from corporal punishment	Women	Protection from execution without trial	Body integrity	LESS	[§1416] It is a law of Elis to cast down it any women who are caught present at the Olympic games, or even on the other side of the Alpheius, on the days prohibited to women.	The penalty for violating the attendance ban is immediate execution by being cast down a cliff (Mount Typaeum), indicating women lack protection from lethal punishment for this specific ritual transgression.	3	While the event is specific, the rule targets a very broad demographic group (all women).	10	Gender	1	fact	Gender			3
tlg0525.tlg001.perseus-eng2#896	tlg0525.tlg001.perseus-eng2	Female ritual purification	Access to ritual	Women	Right to religious purification	Religious access	MORE	[§2934] [4] The grander of the two versions of the Triton legend relates that the women of Tanagra before the orgies of Dionysus went down to the sea to be purified	The text describes an established customary practice where women have the specific right and obligation to undergo sea-purification as a prerequisite for participating in the Dionysian festivals.	5	This applies to all women of a specific city participating in a major religious event.	8	Gender	1	fact	Gender			3
tlg0059.tlg034.perseus-eng2#173	tlg0059.tlg034.perseus-eng2	Unmarried bachelor fine	Wealth-based family restriction	Unmarried men	Retention of property	Property and inheritance	LESS	[§126] Should any man, however, refuse to obey willingly, and keep himself aloof and unpartnered in the State, and reach the age of thirty-five unmarried, an annual fine shall be imposed upon him	Men who remain unmarried after the age of 35 are legally penalized with an annual fine, the amount of which is dictated by their property class.	5	This targets a specific demographic (bachelors over 35).	10	Gender	1	fact	Gender			1
tlg0719.tlg003.perseus-eng2#42	tlg0719.tlg003.perseus-eng2	Freedom from medically-induced unconsciousness	Restriction of personal freedom	Patients	Protection from medically induced sleep or anesthesia	Body integrity	LESS	[§18] but at times it is permitted, when he foresees that present symptoms cannot be escaped from, to lull the patient asleep with narcotics and anæsthetics.	The text specifies that while killing is forbidden, a physician is permitted to use drugs to force a state of insensibility (sleep/anesthesia) if the case is deemed hopeless. This represents a loss of bodily autonomy/consciousness granted to the medical professional over the patient.	6	The application is limited to patients suffering from ileus or similar acute, hopeless conditions.	8	Health	1	fact	Health			3
tlg0627.tlg004.perseus-eng2#0	tlg0627.tlg004.perseus-eng2	Treatment without pain	Protection from bodily harm	Patients	Protection from pain during medical operations	Body integrity	MORE	[§2] such operations as can be performed without pain should be done with the least possible pain; and that all other things of the like kind should be done better than they could be managed by the attendants.	The author establishes a professional medical standard that patients should be protected from unnecessary physical suffering during clinical procedures.	2	This applies to any person undergoing a medical operation, which represents a large portion of the population at various times.	9	Health	1	fact	Health			3
tlg0627.tlg006.perseus-eng4#27	tlg0627.tlg006.perseus-eng4	Athenian medical attendance	Access to healthcare	Sick persons	Medical monitoring and attendance	Economic privileges	MORE	[§35] ...A copious passing of urine with convulsions—her attendants seldom reminding her—which was white and thick, like urine with a sediment and then shaken...	The mention of 'attendants' monitoring clinical symptoms (urine and convulsions) and 'reminding' the patient suggests a social norm or established practice where those with acute illness are provided with bedside care and observation within the household or community.	2	This applies broadly to anyone in the society falling into the category of the seriously ill or bedridden.	8	Health	1	fact	Health			3
tlg0627.tlg010.perseus-eng2#26	tlg0627.tlg010.perseus-eng2	Patient dietary restriction	Restriction of consumption	Surgical patients	Right to specific foods and venery	Economic privileges	LESS	[§50] Wherefore some physicians pay much less attention to such injuries, than where the rib is fractured, whereas, if they were wise, they would treat such cases with far greater care than the other; for it is proper that the diet should be restricted, that the patients should remain at rest as much as possible, and abstain from venery, from fat articles of food, from such as excite cough, and from everything strong	In cases of contusion of the ribs, the medical rule mandates a systematic withdrawal of resources (diverse diet and sexual activity) as part of the formal treatment protocol.	3	While specific to the sick, injury was common, and this rule applied to a broad section of the population when afflicted.	9	Health	1	fact	Health			3
tlg0059.tlg034.perseus-eng2#338	tlg0059.tlg034.perseus-eng2	Madman liability for damage	Legal standing	The mentally ill	Exemption from punitive criminal charges	Legal standing	MORE	[§236] If any case of this kind is ever brought to the notice of the selected judges, either on the information of the doer of the act or on that of him who is pleading for the doer, and if it be judged that he was in this state of madness when he broke the law, then he shall certainly pay for the damage he has done, but only the exact sum, and he shall be acquitted of the other charges, unless it be that he has killed a man and has not purged his hands from blood.	Plato establishes that those acting in a state of madness or senility are not subject to standard criminal penalties (other than civil restitution for damages), acknowledging a lack of voluntary intent due to their health status.	4	This applies to a specific subset of the population (the mentally ill or senile) who commit legal infractions.	9	Health	1	fact	Health			1
tlg0017.tlg003.perseus-eng2#9	tlg0017.tlg003.perseus-eng2	Grandchild inheritance right	Access to property succession	Children of legitimate daughters	Right to succeed to grandfather's estate	Property and inheritance	MORE	[§51] for he knew perfectly well that the children of a legitimate daughter have a right to succeed to the whole of their grandfather's estate.	The law favored direct blood descendants; the sons of a legitimate daughter (the epikleros) eventually inherited the full estate of their maternal grandfather.	4	This applies specifically to male grandchildren in the female line of an estate-holder.	9	Lineage	1	fact	Lineage			4
tlg0017.tlg003.perseus-eng2#11	tlg0017.tlg003.perseus-eng2	Direct patrimony possession	Access to property rights	Legitimate children	Right to possess patrimony without court adjudication	Property and inheritance	MORE	[§60] but that, if he has left legitimate children born of his body, no child need claim to have his patrimony adjudicated to him. It is quite unnecessary to labor this point, for all of you, and all other citizens as well, possess your patrimonies without any adjudication by the courts.	Legitimate biological children had an automatic right to their father's property and did not need to go through the legal process of 'adjudication' required for adopted sons or collateral relatives.	2	This applies to the vast majority of citizens who inherit from their biological fathers.	10	Lineage	1	fact	Lineage			4
tlg0017.tlg006.perseus-eng2#9	tlg0017.tlg006.perseus-eng2	Bastard inheritance exclusion	Denial of property rights	Bastards	Right to participate in family cults or property	Property and inheritance	LESS	[§48] Thus the contrary has been done of that which the law has prescribed; for according to the law no male or female bastard has any right, based on kinship, to participate in the cults or property of a family since the archonship of Eucleides.	Athenian law after 403/2 BC (the archonship of Eucleides) explicitly stripped children born outside of legitimate marriage (bastards) of any right to inherit family property or participate in religious rites.	3	This is a broad legal exclusion based on birth status affecting a significant social category.	10	Lineage	1	fact	Lineage			4
tlg0017.tlg006.perseus-eng2#3	tlg0017.tlg006.perseus-eng2	Equal share inheritance	Access to property rights	Legitimate sons	Right to an equal share of paternal estate	Property and inheritance	MORE	[§26] [...] why did he introduce them on special terms, when the law ordains that all the legitimate sons have an equal right to share in their father's property?	The law guaranteed that all legitimate sons inherited an equal portion of their father's property, preventing fathers from arbitrarily favoring one legitimate son over another in the total estate.	4	Applies to the specific group of males born within legitimate citizen marriages.	10	Lineage|Gender	1	fact	Lineage			4
tlg0540.tlg013.perseus-eng2#5	tlg0540.tlg013.perseus-eng2	Duty of blood vengeance	Obligation of family duty	Legitimate sons	Right to receive paternal mandates for vengeance	Legal standing	MORE	[§42] and he charged his wife, believing her to be with child by him, that if she should bear a son she should tell the child that Agoratus had taken his father’s life, and should bid him execute his father’s vengeance on the man for his murder.	The text describes a formal deathbed charge where a father delegates the legal and moral obligation of seeking vengeance to an unborn son, indicating that male progeny were the primary agents for redressing lethal wrongs against the lineage.	4	This applies specifically to sons born to victims of homicide within the citizen class.	9	Lineage|Gender	1	fact	Lineage			3
tlg0086.tlg010.perseus-eng2#128	tlg0086.tlg010.perseus-eng2	Class-based legal interest	Political power distribution	The ruling class	Legal protection of group interests	Political power	MORE	[§637] Now all the various pronouncements of the law aim either at the common interest of all, or at the interest of a ruling class determined either by excellence or in some other similar way.	Aristotle notes that laws are specifically designed to serve the interests of the ruling class, showing that this group has greater access to the mechanisms of the state for their own benefit.	4	While applying to a 'ruling class' (a subset), it describes a general constitutional principle of the city-state.	9	Nobility	1	fact	Nobility			3
tlg0086.tlg010.perseus-eng2#313	tlg0086.tlg010.perseus-eng2	Noble peer association	Access to social capital	Nobles	Right to exclusive peer association	Religious access	MORE	[§1223] But the friendship of the good is good, and grows with their intercourse. And they seem actually to become better by putting their friendship into practice, and because they correct each other’s faults, for each takes the impress from the other of those traits in him that give him pleasure—whence the saying: Noble deeds from noble men.	Aristotle describes a social rule where 'the good' (often synonymous with the well-born/noble in this context) strengthen their status and character through exclusive partnership and 'intercourse.' The quote 'Noble deeds from noble men' reinforces that this virtuous development is restricted to a specific lineage/class group who are permitted to associate and 'impress' their traits upon one another.	4	This applies to a significant but restricted elite stratum of the citizen body (the 'good' or 'noble').	8	Nobility	1	mixed	Nobility			3
tlg0086.tlg035.perseus-eng2#22	tlg0086.tlg035.perseus-eng2	Universalized nobility	Access to social standing	Nobles	Absolute status of nobility	Legal standing	MORE	[§8] our nobles consider themselves noble not only in their own country but everywhere, but they think that barbarian noblemen are only noble in their own country—which implies that there are two kinds of nobility and of freedom, one absolute and the other relative.	The text identifies a rule of lineage where Greek nobles claim a status that persists across territories, unlike foreign nobles.	6	Applies to a small elite within the citizen body.	8	Nobility	1	fact	Nobility			3
tlg0086.tlg035.perseus-eng2#210	tlg0086.tlg035.perseus-eng2	Protection from ostracism	Protection from bodily harm	Prominent citizens	Protection from temporary banishment	Freedom	LESS	[§111] Excessive predominance causes faction... Owing to this in some places they have the custom of temporary banishment, as at Argos and Athens.	Aristotle describes the practice of ostracism, where citizens who became too powerful were legally liable to be exiled to prevent tyranny.	5	While the rule exists for all, it practically targets only the most prominent political figures.	9	Citizenship|Nobility	1	fact	Nobility			3
tlg0086.tlg035.perseus-eng2#141	tlg0086.tlg035.perseus-eng2	Assigned royal guards limit	Restriction of personal freedom	Monarchs	Protection from overwhelming military force by the ruler	Political power	LESS	[§75] Probably therefore it is not difficult to define the regulations for a king of this sort: he must have a force of his own, but the force must be only so large as to be stronger than a single individual or even several individuals banded together, but weaker than the multitude.	Aristotle specifies a rule/regulation for constitutional monarchies that limits the size of the ruler's armed force to ensure it cannot overpower the collective citizenry.	5	Applies specifically to the category of 'kings' or 'aesymnetes' under constitutional regulation.	8	Occupation|Nobility	1	fact	Nobility			3
tlg0719.tlg001.perseus-eng2#14	tlg0719.tlg001.perseus-eng2	Physician non-intervention rule	Medical restriction	Physicians	Right to perform corrective surgery on living patients	Legal standing	LESS	[§3] But neither can the physician, though present and looking on, furnish any assistance, as regards life, relief from pain or from deformity. For if he should wish to straighten the limbs, he can only do so by cutting and breaking those of a living man.	The text indicates a professional and ethical boundary: the physician cannot provide 'assistance' to straighten tetanus-deformed limbs because the only means to do so involves breaking/cutting the living, which is treated as an impossible/prohibited act in this context.	6	Applies to a specific professional class (physicians) in a specific clinical scenario.	8	Occupation	1	fact	Occupation			3
tlg0014.tlg019.perseus-eng2#32	tlg0014.tlg019.perseus-eng2	Official accountability for speech	Political accountability	Ambassadors	Protection from prosecution for official reports	Legal standing	LESS	[§178] [183] For what are we to bring any ambassador to justice, if not for his words? Ambassadors have control, not over war-ships, and military positions, and troops, and citadels,—these are never entrusted to them,—but over words and opportunities. If an ambassador has not wasted the opportunities of the state, he is no wrongdoer; if he has wasted them, he has done wrong. If the words of his reports are true and profitable words, let him be acquitted; if they are false, venal, and noxious, let him be convicted.	Demosthenes argues that ambassadors in Athens are legally liable for the truthfulness and utility of their verbal and written reports to the assembly. Unlike private citizens, whose 'idiotic' speech might be excused, officials are subject to criminal conviction if their words are found to be false or harmful.	6	This applies to a specific class of high-level state officials (ambassadors) during their term of service.	10	Occupation	1	fact	Occupation			4
tlg0057.tlg010.perseus-eng2#14	tlg0057.tlg010.perseus-eng2	Anatomical demonstration access	Access to scientific proof	Physicians	Right to observe vivisection for proof	Legal standing	MORE	[§14] We were, therefore, further compelled to show them in a still living animal, the urine plainly running out through the ureters into the bladder... Now the method of demonstration is as follows. One has to divide the peritoneum in front of the ureters, then secure these with ligatures, and next, having bandaged up the animal, let him go (for he will not continue to urinate).	Galen describes a social and professional norm where physicians (even those he disagrees with) are granted access to witness complex surgical demonstrations and vivisections to settle disputes over natural faculties.	5	This specifically concerns the professional class of medical practitioners and scholars.	9	Occupation	1	fact	Occupation			3
