period	group_cat	resource_meta	has_right
Classical (500–360 BCE)	Elders	Access to education	0
Classical (500–360 BCE)	Elders	Access to public honors	0
Classical (500–360 BCE)	Elders	Access to religious rites	0
Classical (500–360 BCE)	Elders	Access to the gymnasium	0
Classical (500–360 BCE)	Elders	Eligibility for public office	0
Classical (500–360 BCE)	Elders	Exemption from compulsory public financing	0
Classical (500–360 BCE)	Elders	Exemption from legal audit	0
Classical (500–360 BCE)	Elders	Exemption from manual labor	0
Classical (500–360 BCE)	Elders	Exemption from military service	0
Classical (500–360 BCE)	Elders	Exemption from public service financing	0
Classical (500–360 BCE)	Elders	Exemption from taxes	0
Classical (500–360 BCE)	Elders	Political power	1
Classical (500–360 BCE)	Elders	Protection from arbitrary banishment	0
Classical (500–360 BCE)	Elders	Protection from capital punishment	0
Classical (500–360 BCE)	Elders	Protection from corporal punishment	0
Classical (500–360 BCE)	Elders	Protection from enslavement	0
Classical (500–360 BCE)	Elders	Protection from legal prosecution	0
Classical (500–360 BCE)	Elders	Protection from public libel	0
Classical (500–360 BCE)	Elders	Right to a dowry	0
Classical (500–360 BCE)	Elders	Right to a legal trial	0
Classical (500–360 BCE)	Elders	Right to address the assembly	0
Classical (500–360 BCE)	Elders	Right to adopt	0
Classical (500–360 BCE)	Elders	Right to bear arms	0
Classical (500–360 BCE)	Elders	Right to bodily autonomy	0
Classical (500–360 BCE)	Elders	Right to burial	0
Classical (500–360 BCE)	Elders	Right to citizenship	0
Classical (500–360 BCE)	Elders	Right to dispose of property	0
Classical (500–360 BCE)	Elders	Right to free speech	0
Classical (500–360 BCE)	Elders	Right to freedom of movement	0
Classical (500–360 BCE)	Elders	Right to inherit divine covenant	0
Classical (500–360 BCE)	Elders	Right to inherit property	0
Classical (500–360 BCE)	Elders	Right to marry	0
Classical (500–360 BCE)	Elders	Right to military protection	0
Classical (500–360 BCE)	Elders	Right to own land	0
Classical (500–360 BCE)	Elders	Right to own property	0
Classical (500–360 BCE)	Elders	Right to professional judgement	0
Classical (500–360 BCE)	Elders	Right to remuneration for office	0
Classical (500–360 BCE)	Elders	Right to reside in the city	0
Classical (500–360 BCE)	Elders	Right to retain own earnings	0
Classical (500–360 BCE)	Elders	Right to retain property	0
Classical (500–360 BCE)	Elders	Right to speak first in assembly	0
Classical (500–360 BCE)	Elders	Right to valid professional opinion	0
Classical (500–360 BCE)	Elders	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	Exiles	Access to education	0
Classical (500–360 BCE)	Exiles	Access to public honors	0
Classical (500–360 BCE)	Exiles	Access to religious rites	0
Classical (500–360 BCE)	Exiles	Access to the gymnasium	0
Classical (500–360 BCE)	Exiles	Eligibility for public office	0
Classical (500–360 BCE)	Exiles	Exemption from compulsory public financing	0
Classical (500–360 BCE)	Exiles	Exemption from legal audit	0
Classical (500–360 BCE)	Exiles	Exemption from manual labor	0
Classical (500–360 BCE)	Exiles	Exemption from military service	0
Classical (500–360 BCE)	Exiles	Exemption from public service financing	0
Classical (500–360 BCE)	Exiles	Exemption from taxes	0
Classical (500–360 BCE)	Exiles	Political power	0
Classical (500–360 BCE)	Exiles	Protection from arbitrary banishment	0
Classical (500–360 BCE)	Exiles	Protection from capital punishment	0
Classical (500–360 BCE)	Exiles	Protection from corporal punishment	0
Classical (500–360 BCE)	Exiles	Protection from enslavement	0
Classical (500–360 BCE)	Exiles	Protection from legal prosecution	0
Classical (500–360 BCE)	Exiles	Protection from public libel	0
Classical (500–360 BCE)	Exiles	Right to a dowry	0
Classical (500–360 BCE)	Exiles	Right to a legal trial	0
Classical (500–360 BCE)	Exiles	Right to address the assembly	0
Classical (500–360 BCE)	Exiles	Right to adopt	0
Classical (500–360 BCE)	Exiles	Right to bear arms	0
Classical (500–360 BCE)	Exiles	Right to bodily autonomy	0
Classical (500–360 BCE)	Exiles	Right to burial	0
Classical (500–360 BCE)	Exiles	Right to citizenship	0
Classical (500–360 BCE)	Exiles	Right to dispose of property	0
Classical (500–360 BCE)	Exiles	Right to free speech	0
Classical (500–360 BCE)	Exiles	Right to freedom of movement	0
Classical (500–360 BCE)	Exiles	Right to inherit divine covenant	0
Classical (500–360 BCE)	Exiles	Right to inherit property	0
Classical (500–360 BCE)	Exiles	Right to marry	0
Classical (500–360 BCE)	Exiles	Right to military protection	0
Classical (500–360 BCE)	Exiles	Right to own land	0
Classical (500–360 BCE)	Exiles	Right to own property	0
Classical (500–360 BCE)	Exiles	Right to professional judgement	0
Classical (500–360 BCE)	Exiles	Right to remuneration for office	0
Classical (500–360 BCE)	Exiles	Right to reside in the city	1
Classical (500–360 BCE)	Exiles	Right to retain own earnings	0
Classical (500–360 BCE)	Exiles	Right to retain property	1
Classical (500–360 BCE)	Exiles	Right to speak first in assembly	0
Classical (500–360 BCE)	Exiles	Right to valid professional opinion	0
Classical (500–360 BCE)	Exiles	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	Foreigners	Access to education	0
Classical (500–360 BCE)	Foreigners	Access to public honors	0
Classical (500–360 BCE)	Foreigners	Access to religious rites	0
Classical (500–360 BCE)	Foreigners	Access to the gymnasium	0
Classical (500–360 BCE)	Foreigners	Eligibility for public office	1
Classical (500–360 BCE)	Foreigners	Exemption from compulsory public financing	0
Classical (500–360 BCE)	Foreigners	Exemption from legal audit	0
Classical (500–360 BCE)	Foreigners	Exemption from manual labor	0
Classical (500–360 BCE)	Foreigners	Exemption from military service	0
Classical (500–360 BCE)	Foreigners	Exemption from public service financing	0
Classical (500–360 BCE)	Foreigners	Exemption from taxes	0
Classical (500–360 BCE)	Foreigners	Political power	0
Classical (500–360 BCE)	Foreigners	Protection from arbitrary banishment	0
Classical (500–360 BCE)	Foreigners	Protection from capital punishment	1
Classical (500–360 BCE)	Foreigners	Protection from corporal punishment	1
Classical (500–360 BCE)	Foreigners	Protection from enslavement	0
Classical (500–360 BCE)	Foreigners	Protection from legal prosecution	0
Classical (500–360 BCE)	Foreigners	Protection from public libel	0
Classical (500–360 BCE)	Foreigners	Right to a dowry	0
Classical (500–360 BCE)	Foreigners	Right to a legal trial	1
Classical (500–360 BCE)	Foreigners	Right to address the assembly	1
Classical (500–360 BCE)	Foreigners	Right to adopt	0
Classical (500–360 BCE)	Foreigners	Right to bear arms	0
Classical (500–360 BCE)	Foreigners	Right to bodily autonomy	0
Classical (500–360 BCE)	Foreigners	Right to burial	0
Classical (500–360 BCE)	Foreigners	Right to citizenship	1
Classical (500–360 BCE)	Foreigners	Right to dispose of property	1
Classical (500–360 BCE)	Foreigners	Right to free speech	0
Classical (500–360 BCE)	Foreigners	Right to freedom of movement	0
Classical (500–360 BCE)	Foreigners	Right to inherit divine covenant	0
Classical (500–360 BCE)	Foreigners	Right to inherit property	0
Classical (500–360 BCE)	Foreigners	Right to marry	0
Classical (500–360 BCE)	Foreigners	Right to military protection	0
Classical (500–360 BCE)	Foreigners	Right to own land	0
Classical (500–360 BCE)	Foreigners	Right to own property	0
Classical (500–360 BCE)	Foreigners	Right to professional judgement	0
Classical (500–360 BCE)	Foreigners	Right to remuneration for office	0
Classical (500–360 BCE)	Foreigners	Right to reside in the city	0
Classical (500–360 BCE)	Foreigners	Right to retain own earnings	0
Classical (500–360 BCE)	Foreigners	Right to retain property	0
Classical (500–360 BCE)	Foreigners	Right to speak first in assembly	0
Classical (500–360 BCE)	Foreigners	Right to valid professional opinion	0
Classical (500–360 BCE)	Foreigners	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	Greeks	Access to education	0
Classical (500–360 BCE)	Greeks	Access to public honors	0
Classical (500–360 BCE)	Greeks	Access to religious rites	0
Classical (500–360 BCE)	Greeks	Access to the gymnasium	0
Classical (500–360 BCE)	Greeks	Eligibility for public office	0
Classical (500–360 BCE)	Greeks	Exemption from compulsory public financing	0
Classical (500–360 BCE)	Greeks	Exemption from legal audit	0
Classical (500–360 BCE)	Greeks	Exemption from manual labor	0
Classical (500–360 BCE)	Greeks	Exemption from military service	0
Classical (500–360 BCE)	Greeks	Exemption from public service financing	0
Classical (500–360 BCE)	Greeks	Exemption from taxes	0
Classical (500–360 BCE)	Greeks	Political power	0
Classical (500–360 BCE)	Greeks	Protection from arbitrary banishment	0
Classical (500–360 BCE)	Greeks	Protection from capital punishment	0
Classical (500–360 BCE)	Greeks	Protection from corporal punishment	0
Classical (500–360 BCE)	Greeks	Protection from enslavement	0
Classical (500–360 BCE)	Greeks	Protection from legal prosecution	0
Classical (500–360 BCE)	Greeks	Protection from public libel	0
Classical (500–360 BCE)	Greeks	Right to a dowry	0
Classical (500–360 BCE)	Greeks	Right to a legal trial	0
Classical (500–360 BCE)	Greeks	Right to address the assembly	0
Classical (500–360 BCE)	Greeks	Right to adopt	0
Classical (500–360 BCE)	Greeks	Right to bear arms	0
Classical (500–360 BCE)	Greeks	Right to bodily autonomy	0
Classical (500–360 BCE)	Greeks	Right to burial	0
Classical (500–360 BCE)	Greeks	Right to citizenship	0
Classical (500–360 BCE)	Greeks	Right to dispose of property	0
Classical (500–360 BCE)	Greeks	Right to free speech	0
Classical (500–360 BCE)	Greeks	Right to freedom of movement	0
Classical (500–360 BCE)	Greeks	Right to inherit divine covenant	0
Classical (500–360 BCE)	Greeks	Right to inherit property	0
Classical (500–360 BCE)	Greeks	Right to marry	0
Classical (500–360 BCE)	Greeks	Right to military protection	0
Classical (500–360 BCE)	Greeks	Right to own land	0
Classical (500–360 BCE)	Greeks	Right to own property	0
Classical (500–360 BCE)	Greeks	Right to professional judgement	0
Classical (500–360 BCE)	Greeks	Right to remuneration for office	0
Classical (500–360 BCE)	Greeks	Right to reside in the city	0
Classical (500–360 BCE)	Greeks	Right to retain own earnings	0
Classical (500–360 BCE)	Greeks	Right to retain property	0
Classical (500–360 BCE)	Greeks	Right to speak first in assembly	0
Classical (500–360 BCE)	Greeks	Right to valid professional opinion	0
Classical (500–360 BCE)	Greeks	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	Heirs	Access to education	0
Classical (500–360 BCE)	Heirs	Access to public honors	0
Classical (500–360 BCE)	Heirs	Access to religious rites	0
Classical (500–360 BCE)	Heirs	Access to the gymnasium	0
Classical (500–360 BCE)	Heirs	Eligibility for public office	0
Classical (500–360 BCE)	Heirs	Exemption from compulsory public financing	0
Classical (500–360 BCE)	Heirs	Exemption from legal audit	0
Classical (500–360 BCE)	Heirs	Exemption from manual labor	0
Classical (500–360 BCE)	Heirs	Exemption from military service	0
Classical (500–360 BCE)	Heirs	Exemption from public service financing	0
Classical (500–360 BCE)	Heirs	Exemption from taxes	0
Classical (500–360 BCE)	Heirs	Political power	1
Classical (500–360 BCE)	Heirs	Protection from arbitrary banishment	0
Classical (500–360 BCE)	Heirs	Protection from capital punishment	0
Classical (500–360 BCE)	Heirs	Protection from corporal punishment	0
Classical (500–360 BCE)	Heirs	Protection from enslavement	0
Classical (500–360 BCE)	Heirs	Protection from legal prosecution	0
Classical (500–360 BCE)	Heirs	Protection from public libel	0
Classical (500–360 BCE)	Heirs	Right to a dowry	0
Classical (500–360 BCE)	Heirs	Right to a legal trial	0
Classical (500–360 BCE)	Heirs	Right to address the assembly	0
Classical (500–360 BCE)	Heirs	Right to adopt	0
Classical (500–360 BCE)	Heirs	Right to bear arms	0
Classical (500–360 BCE)	Heirs	Right to bodily autonomy	0
Classical (500–360 BCE)	Heirs	Right to burial	0
Classical (500–360 BCE)	Heirs	Right to citizenship	1
Classical (500–360 BCE)	Heirs	Right to dispose of property	0
Classical (500–360 BCE)	Heirs	Right to free speech	0
Classical (500–360 BCE)	Heirs	Right to freedom of movement	0
Classical (500–360 BCE)	Heirs	Right to inherit divine covenant	0
Classical (500–360 BCE)	Heirs	Right to inherit property	1
Classical (500–360 BCE)	Heirs	Right to marry	0
Classical (500–360 BCE)	Heirs	Right to military protection	0
Classical (500–360 BCE)	Heirs	Right to own land	0
Classical (500–360 BCE)	Heirs	Right to own property	0
Classical (500–360 BCE)	Heirs	Right to professional judgement	0
Classical (500–360 BCE)	Heirs	Right to remuneration for office	0
Classical (500–360 BCE)	Heirs	Right to reside in the city	0
Classical (500–360 BCE)	Heirs	Right to retain own earnings	0
Classical (500–360 BCE)	Heirs	Right to retain property	0
Classical (500–360 BCE)	Heirs	Right to speak first in assembly	0
Classical (500–360 BCE)	Heirs	Right to valid professional opinion	0
Classical (500–360 BCE)	Heirs	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	Jews	Access to education	0
Classical (500–360 BCE)	Jews	Access to public honors	0
Classical (500–360 BCE)	Jews	Access to religious rites	0
Classical (500–360 BCE)	Jews	Access to the gymnasium	0
Classical (500–360 BCE)	Jews	Eligibility for public office	0
Classical (500–360 BCE)	Jews	Exemption from compulsory public financing	0
Classical (500–360 BCE)	Jews	Exemption from legal audit	0
Classical (500–360 BCE)	Jews	Exemption from manual labor	0
Classical (500–360 BCE)	Jews	Exemption from military service	0
Classical (500–360 BCE)	Jews	Exemption from public service financing	0
Classical (500–360 BCE)	Jews	Exemption from taxes	0
Classical (500–360 BCE)	Jews	Political power	0
Classical (500–360 BCE)	Jews	Protection from arbitrary banishment	0
Classical (500–360 BCE)	Jews	Protection from capital punishment	0
Classical (500–360 BCE)	Jews	Protection from corporal punishment	0
Classical (500–360 BCE)	Jews	Protection from enslavement	0
Classical (500–360 BCE)	Jews	Protection from legal prosecution	0
Classical (500–360 BCE)	Jews	Protection from public libel	0
Classical (500–360 BCE)	Jews	Right to a dowry	0
Classical (500–360 BCE)	Jews	Right to a legal trial	0
Classical (500–360 BCE)	Jews	Right to address the assembly	0
Classical (500–360 BCE)	Jews	Right to adopt	0
Classical (500–360 BCE)	Jews	Right to bear arms	0
Classical (500–360 BCE)	Jews	Right to bodily autonomy	0
Classical (500–360 BCE)	Jews	Right to burial	0
Classical (500–360 BCE)	Jews	Right to citizenship	0
Classical (500–360 BCE)	Jews	Right to dispose of property	0
Classical (500–360 BCE)	Jews	Right to free speech	0
Classical (500–360 BCE)	Jews	Right to freedom of movement	0
Classical (500–360 BCE)	Jews	Right to inherit divine covenant	0
Classical (500–360 BCE)	Jews	Right to inherit property	0
Classical (500–360 BCE)	Jews	Right to marry	0
Classical (500–360 BCE)	Jews	Right to military protection	0
Classical (500–360 BCE)	Jews	Right to own land	0
Classical (500–360 BCE)	Jews	Right to own property	0
Classical (500–360 BCE)	Jews	Right to professional judgement	0
Classical (500–360 BCE)	Jews	Right to remuneration for office	0
Classical (500–360 BCE)	Jews	Right to reside in the city	0
Classical (500–360 BCE)	Jews	Right to retain own earnings	0
Classical (500–360 BCE)	Jews	Right to retain property	0
Classical (500–360 BCE)	Jews	Right to speak first in assembly	0
Classical (500–360 BCE)	Jews	Right to valid professional opinion	0
Classical (500–360 BCE)	Jews	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	Kings	Access to education	0
Classical (500–360 BCE)	Kings	Access to public honors	0
Classical (500–360 BCE)	Kings	Access to religious rites	1
Classical (500–360 BCE)	Kings	Access to the gymnasium	0
Classical (500–360 BCE)	Kings	Eligibility for public office	1
Classical (500–360 BCE)	Kings	Exemption from compulsory public financing	0
Classical (500–360 BCE)	Kings	Exemption from legal audit	0
Classical (500–360 BCE)	Kings	Exemption from manual labor	0
Classical (500–360 BCE)	Kings	Exemption from military service	0
Classical (500–360 BCE)	Kings	Exemption from public service financing	0
Classical (500–360 BCE)	Kings	Exemption from taxes	0
Classical (500–360 BCE)	Kings	Political power	0
Classical (500–360 BCE)	Kings	Protection from arbitrary banishment	0
Classical (500–360 BCE)	Kings	Protection from capital punishment	0
Classical (500–360 BCE)	Kings	Protection from corporal punishment	0
Classical (500–360 BCE)	Kings	Protection from enslavement	0
Classical (500–360 BCE)	Kings	Protection from legal prosecution	0
Classical (500–360 BCE)	Kings	Protection from public libel	0
Classical (500–360 BCE)	Kings	Right to a dowry	0
Classical (500–360 BCE)	Kings	Right to a legal trial	0
Classical (500–360 BCE)	Kings	Right to address the assembly	0
Classical (500–360 BCE)	Kings	Right to adopt	0
Classical (500–360 BCE)	Kings	Right to bear arms	0
Classical (500–360 BCE)	Kings	Right to bodily autonomy	0
Classical (500–360 BCE)	Kings	Right to burial	0
Classical (500–360 BCE)	Kings	Right to citizenship	0
Classical (500–360 BCE)	Kings	Right to dispose of property	0
Classical (500–360 BCE)	Kings	Right to free speech	0
Classical (500–360 BCE)	Kings	Right to freedom of movement	0
Classical (500–360 BCE)	Kings	Right to inherit divine covenant	0
Classical (500–360 BCE)	Kings	Right to inherit property	0
Classical (500–360 BCE)	Kings	Right to marry	0
Classical (500–360 BCE)	Kings	Right to military protection	0
Classical (500–360 BCE)	Kings	Right to own land	0
Classical (500–360 BCE)	Kings	Right to own property	0
Classical (500–360 BCE)	Kings	Right to professional judgement	0
Classical (500–360 BCE)	Kings	Right to remuneration for office	0
Classical (500–360 BCE)	Kings	Right to reside in the city	0
Classical (500–360 BCE)	Kings	Right to retain own earnings	0
Classical (500–360 BCE)	Kings	Right to retain property	0
Classical (500–360 BCE)	Kings	Right to speak first in assembly	0
Classical (500–360 BCE)	Kings	Right to valid professional opinion	0
Classical (500–360 BCE)	Kings	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	Macedonians	Access to education	0
Classical (500–360 BCE)	Macedonians	Access to public honors	0
Classical (500–360 BCE)	Macedonians	Access to religious rites	0
Classical (500–360 BCE)	Macedonians	Access to the gymnasium	0
Classical (500–360 BCE)	Macedonians	Eligibility for public office	0
Classical (500–360 BCE)	Macedonians	Exemption from compulsory public financing	0
Classical (500–360 BCE)	Macedonians	Exemption from legal audit	0
Classical (500–360 BCE)	Macedonians	Exemption from manual labor	0
Classical (500–360 BCE)	Macedonians	Exemption from military service	0
Classical (500–360 BCE)	Macedonians	Exemption from public service financing	0
Classical (500–360 BCE)	Macedonians	Exemption from taxes	0
Classical (500–360 BCE)	Macedonians	Political power	0
Classical (500–360 BCE)	Macedonians	Protection from arbitrary banishment	0
Classical (500–360 BCE)	Macedonians	Protection from capital punishment	0
Classical (500–360 BCE)	Macedonians	Protection from corporal punishment	0
Classical (500–360 BCE)	Macedonians	Protection from enslavement	0
Classical (500–360 BCE)	Macedonians	Protection from legal prosecution	0
Classical (500–360 BCE)	Macedonians	Protection from public libel	0
Classical (500–360 BCE)	Macedonians	Right to a dowry	0
Classical (500–360 BCE)	Macedonians	Right to a legal trial	0
Classical (500–360 BCE)	Macedonians	Right to address the assembly	0
Classical (500–360 BCE)	Macedonians	Right to adopt	0
Classical (500–360 BCE)	Macedonians	Right to bear arms	0
Classical (500–360 BCE)	Macedonians	Right to bodily autonomy	0
Classical (500–360 BCE)	Macedonians	Right to burial	0
Classical (500–360 BCE)	Macedonians	Right to citizenship	0
Classical (500–360 BCE)	Macedonians	Right to dispose of property	0
Classical (500–360 BCE)	Macedonians	Right to free speech	0
Classical (500–360 BCE)	Macedonians	Right to freedom of movement	0
Classical (500–360 BCE)	Macedonians	Right to inherit divine covenant	0
Classical (500–360 BCE)	Macedonians	Right to inherit property	0
Classical (500–360 BCE)	Macedonians	Right to marry	0
Classical (500–360 BCE)	Macedonians	Right to military protection	0
Classical (500–360 BCE)	Macedonians	Right to own land	0
Classical (500–360 BCE)	Macedonians	Right to own property	0
Classical (500–360 BCE)	Macedonians	Right to professional judgement	0
Classical (500–360 BCE)	Macedonians	Right to remuneration for office	0
Classical (500–360 BCE)	Macedonians	Right to reside in the city	0
Classical (500–360 BCE)	Macedonians	Right to retain own earnings	0
Classical (500–360 BCE)	Macedonians	Right to retain property	0
Classical (500–360 BCE)	Macedonians	Right to speak first in assembly	0
Classical (500–360 BCE)	Macedonians	Right to valid professional opinion	0
Classical (500–360 BCE)	Macedonians	Right to vote in the Ekklesia	0
Classical (500–360 BCE)	Magistrates	Access to education	0
Classical (500–360 BCE)	Magistrates	Access to public honors	0
Classical (500–360 BCE)	Magistrates	Access to religious rites	1
Classical (500–360 BCE)	Magistrates	Access to the gymnasium	0
Classical (500–360 BCE)	Magistrates	Eligibility for public office	1
Classical (500–360 BCE)	Magistrates	Exemption from compulsory public financing	0
Classical (500–360 BCE)	Magistrates	Exemption from legal audit	0
Classical (500–360 BCE)	Magistrates	Exemption from manual labor	0
Classical (500–360 BCE)	Magistrates	Exemption from military service	0
Classical (500–360 BCE)	Magistrates	Exemption from public service financing	0
Classical (500–360 BCE)	Magistrates	Exemption from taxes	0
Classical (500–360 BCE)	Magistrates	Political power	0
